,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,740827,68536.0,,26016.0,107468.0,,,,,,,,,,800.0,,,,
001902041,514719,18833.0,,17476.0,55477.0,,,,,,,,,,563.0,,,,
001902103,827302,,8384.0,137843.0,134192.0,793.0,,,,,,,,,2704.0,,,,
001903001,1058435,186083.0,,,139779.0,,,,,,,,,,47312.0,,,,
001903041,758078,,,,111326.0,,,,,,,,,,11460.0,,,,
001903101,745316,,224.0,,124574.0,,,,,,,,,,5896.0,,,,
001903102,562038,,7672.0,,163948.0,,,,,,,,,,5939.0,,,,
001904001,660784,113781.0,,,152971.0,,,,,,,,,,43986.0,,,,
001904041,524453,1053.0,7479.0,,59104.0,,,,,,,,,,13189.0,,,,
001904102,1023839,,7323.0,,129233.0,6830.0,,,,,,,,,25408.0,,,,
001906002,400671,,,10539.0,68707.0,2452.0,,,,,,,,,11113.0,63091.0,,-625.0,
001906102,626130,,6812.0,85503.0,138560.0,,,,,,,,,,4235.0,68732.0,,,
001907001,1863469,393137.0,31010.0,32765.0,557826.0,12190.0,,,,,,,,,124513.0,245470.0,,12713.0,
001907041,1289076,46864.0,,,327912.0,6496.0,,,,,,,,,12238.0,151725.0,,1995.0,
001907101,1400320,,,,173356.0,4283.0,,,,,,,,,4818.0,69924.0,,457.0,
001907102,357476,,,,129452.0,,,,,,,,,,2906.0,25252.0,,5979.0,
001907107,1263260,,,,172452.0,,,,,,,,,,3875.0,72438.0,,361.0,
001907110,1767808,,56152.0,,292345.0,9833.0,,,,,,,,,9472.0,99081.0,,982.0,
001908002,849396,,135595.0,198949.0,271299.0,112749.0,,,,,,,,,1906.0,,14660.0,7953.0,
001908041,556242,,69687.0,127490.0,101605.0,38198.0,,,,,,,,,877.0,,14660.0,3284.0,
001908101,825969,,39851.0,392007.0,163089.0,42713.0,,,,,,,,,,,14660.0,4599.0,
001908102,902632,,3460.0,187617.0,201055.0,40079.0,,,,,,,,,,,15784.0,6349.0,
001909001,441893,18010.0,4745.0,51967.0,96029.0,,,,,,,,,,33.0,,,1880.0,
001909101,582898,,,344050.0,101164.0,9321.0,,,,,,,,,71.0,,,,
002901001,2634338,435935.0,64301.0,152165.0,412329.0,,,,,,,,,,57404.0,18.0,,,
002901041,1982109,80380.0,80349.0,398630.0,278037.0,4082.0,,,,,,,,,20841.0,124.0,,,
002901101,1491695,,6442.0,395119.0,376554.0,,,,,,,,,,22944.0,94.0,,,
002901104,1746520,,15727.0,348560.0,289327.0,,,,,,,,,,20866.0,100.0,,,
002901105,1817557,,4912.0,117953.0,410766.0,6528.0,,,,,,,,,29199.0,37.0,,,
003902001,1629176,148788.0,150740.0,,521119.0,17617.0,,,,,,,,,141710.0,,,,
003902041,1012673,17789.0,182248.0,,314197.0,6639.0,,,,,,,,,60570.0,,,,
003902101,1304964,,42034.0,,155570.0,19038.0,,,,,,,,,6640.0,700.0,,,
003902102,1112717,,238811.0,60525.0,181551.0,7510.0,,,,,,,,,158657.0,,,,
003902999,808,,,,207578.0,,1052615.0,,,,,,,521474.0,8569.0,658851.0,93651.0,,317.0
003903001,6170813,341994.0,,220051.0,1387691.0,417.0,,,,,,,,,52418.0,1252.0,,8470.0,
003903003,288130,,,,107017.0,,,,,,,,,,6658.0,,,84.0,
003903044,5094026,,,443272.0,1084705.0,8798.0,,,,,,,,,33815.0,,,3241.0,
