,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,795209,98431.0,,14536.0,115062.0,923.0,,,,,,,,,736.0,,,,
001902041,516669,14949.0,,18786.0,65489.0,,,,,,,,,,405.0,,,,
001902103,882836,,9055.0,165749.0,113767.0,,,,,,,,,,2519.0,,,,
001903001,1226376,190708.0,,,128889.0,,,,,,,,,,38932.0,,,,
001903041,776482,2000.0,,,187613.0,,,,,,,,,,3571.0,,,,
001903101,686414,,4435.0,,147873.0,,,,,,,,,,1190.0,,,,
001903102,751444,,4435.0,,143961.0,,,,,,,,,,1315.0,,,,
001904001,599758,132992.0,,,128055.0,,,,,,,,,,30164.0,,,,
001904041,599056,988.0,9554.0,,29677.0,,,,,,,,,,5269.0,,,,
001904102,999367,,,,87121.0,7875.0,,,,,,,,,13778.0,,,,
001906002,403788,,,2747.0,93091.0,995.0,,,,,,,,,17673.0,51164.0,,-374.0,
001906102,692032,,9048.0,27855.0,139456.0,,,,,,,,,,,73814.0,,-628.0,
001907001,2590236,500909.0,37560.0,49405.0,222308.0,18608.0,,,,,,,,,72097.0,329385.0,,60697.0,
001907041,1763205,50432.0,300.0,,181360.0,,,,,,,,,,12490.0,169002.0,,40673.0,
001907101,1735658,,,,96109.0,34976.0,,,,,,,,,7314.0,77545.0,,24162.0,
001907102,116392,,,,44717.0,,,,,,,,,,6514.0,32262.0,,24679.0,
001907107,1501474,,,,110111.0,50870.0,,,,,,,,,6055.0,88997.0,,26514.0,
001907110,2453421,,58164.0,,244358.0,27139.0,,,,,,,,,14990.0,122456.0,,59453.0,
001907999,89,,,328353.0,156487.0,,3024059.0,,,,,,,1605000.0,212529.0,223184.0,117868.0,192129.0,51514.0
001908002,1240868,,20948.0,199583.0,239162.0,,,,,,,,,,1567.0,,14042.0,10943.0,
001908041,943689,,,44866.0,84739.0,,,,,,,,,,400.0,,14158.0,1410.0,
001908101,1072060,,21133.0,311757.0,195427.0,1617.0,,,,,,,,,,,13809.0,2855.0,
001908102,829768,,,228230.0,150070.0,,,,,,,,,,,,12953.0,2830.0,
001909001,476029,21500.0,5930.0,2534.0,123329.0,,,,,,,,,,,,,3487.0,
001909101,630363,,,319925.0,98259.0,5930.0,,,,,,,,,,,,,
002901001,3062735,505180.0,42114.0,122458.0,439513.0,,,,,,,,,,59407.0,1.0,,,
002901041,2466246,89764.0,82962.0,486335.0,280433.0,2299.0,,,,,,,,,26635.0,62.0,,,
002901101,1697088,,16754.0,550557.0,349985.0,,,,,,,,,,16119.0,66.0,,,
002901104,1840859,,5680.0,404520.0,362295.0,4647.0,,,,,,,,,19351.0,36.0,,,
002901105,2017457,,39.0,226741.0,384383.0,4625.0,,,,,,,,,14943.0,32.0,,,
003902001,1628384,167206.0,150939.0,,268088.0,21569.0,,,,,,,,,89632.0,,,,
003902041,1262690,19065.0,390729.0,,368580.0,57312.0,,,,,,,,,59133.0,,,,
003902101,1604393,,13804.0,,99849.0,21122.0,,,,,,,,,8613.0,700.0,,,
003902102,1222343,,236895.0,61114.0,212689.0,14694.0,,,,,,,,,142104.0,,,,
003902999,648,,,,264715.0,,646675.0,,,,,,,900000.0,19560.0,585413.0,104443.0,,538723.0
003903001,6215308,357028.0,,279384.0,1393525.0,500.0,,,,,,,,,42237.0,,,1945.0,
003903003,279065,,,,97391.0,,,,,,,,,,4818.0,,,750.0,
003903044,5256298,,,412026.0,992927.0,11782.0,,,,,,,,,31351.0,,,563.0,
003903120,865319,,,92292.0,232292.0,250.0,,,,,,,,,6423.0,,,92.0,
003903121,1323339,,60141.0,102292.0,205857.0,250.0,,,,,,,,,4817.0,,,2398.0,
003903122,903796,,,98289.0,619173.0,399.0,,,,,,,,,19269.0,,,448.0,
003903123,1067662,,,52526.0,132249.0,10324.0,,,,,,,,,3212.0,,,23.0,
003903124,1021843,,,154890.0,50603.0,250.0,,,,,,,,,,,,393.0,
003903125,500915,,,49618.0,,18043.0,,,,,,,,,,,,31.0,
003903126,88,,,43813.0,,9237.0,,,,,,,,,,,,175.0,
003903127,736142,,,149093.0,607306.0,500.0,,,,,,,,,29625.0,,,404.0,
003903128,847593,,,148509.0,72281.0,500.0,,,,,,,,,1606.0,,,784.0,
003903129,1473203,,,75447.0,166603.0,30662.0,,,,,,,,,4817.0,,,44.0,
003903130,831854,,,109392.0,118913.0,250.0,,,,,,,,,1605.0,,,493.0,
003903131,1409032,,,102966.0,66708.0,37884.0,,,,,,,,,1606.0,,,41.0,
003903999,361,,,285177.0,119674.0,21526.0,2024453.0,,,,,,,2765000.0,12069.0,2445619.0,299565.0,270585.0,
003904001,145115,12572.0,,32762.0,181588.0,1000.0,,,,,,,,,8199.0,,,,
003904041,1154341,,,134801.0,242555.0,1000.0,,,,,,,,,8933.0,,,,
003904101,1322615,,1557.0,207783.0,145838.0,6000.0,,,,,,,,,6896.0,,,,
003904102,721404,,816028.0,81718.0,156464.0,2000.0,,,,,,,,,5746.0,,,,
003904999,5175,172915.0,,11275.0,225938.0,855.0,803424.0,,,,,,,740000.0,24091.0,541323.0,54896.0,,
003905001,1319403,155788.0,,14203.0,216276.0,7358.0,,,,,,,,,15570.0,,,,
003905041,1305171,,,5167.0,61497.0,1609.0,,,,,,,,,5538.0,,,,
003905101,1215484,,,65491.0,672.0,27661.0,,,,,,,,,54.0,,,,
003905102,307954,,,,50765.0,9624.0,,,,,,,,,5483.0,,,,
003905103,1328164,,64139.0,47595.0,203083.0,15756.0,,,,,,,,,43570.0,,,,
003906001,648871,33558.0,5768.0,78144.0,161680.0,,,,,,,,,,15114.0,97858.0,,22406.0,
003906101,488729,,3727.0,139107.0,106379.0,,,,,,,,,,6347.0,39505.0,,15289.0,
003906999,2230,,,,,,284776.0,,,,,,,209000.0,4102.0,26962.0,15305.0,10141.0,
003907001,1436490,93673.0,5016.0,90124.0,256989.0,,,,,,,,,,37337.0,,,,
003907041,1645526,63246.0,8803.0,78723.0,277466.0,,,,,,,,,,32760.0,,,,
003907102,1622153,,4705.0,46069.0,220001.0,4600.0,,,,,,,,,51643.0,,,,
004901001,2610648,8000.0,,5000.0,433935.0,500.0,,,,,,,,,17256.0,508335.0,,1515.0,
004901041,2094629,3000.0,,,450779.0,500.0,,,,,,,,,17836.0,140667.0,,3235.0,
004901101,1563671,,,,194303.0,500.0,,,,,,,,,6923.0,165932.0,,1599.0,
004901102,838219,,,,86237.0,500.0,,,,,,,,,4614.0,89244.0,,1981.0,
004901103,2211397,,,,306084.0,500.0,,,,,,,,,14537.0,292360.0,,4553.0,
004901699,4460,,,97675.0,6680.0,4075.0,,,,,,,,,,,,17191.0,
004901998,42488,,,,,,1211221.0,118150.0,,,,,,1325000.0,,42662.0,,199.0,
005901001,1096559,99364.0,570.0,29614.0,109698.0,,,,,,,,,,45011.0,63543.0,,1150.0,
005901101,748389,,8228.0,100691.0,141506.0,,,,,,,,,,13048.0,29603.0,,,
005902001,928914,152437.0,,41431.0,70480.0,,,,,,,,,,39563.0,,,9932.0,
005902041,618279,,,40256.0,58115.0,,,,,,,,,,2466.0,,,604.0,
005902101,1078937,,21398.0,68724.0,82188.0,,,,,,,,,,1658.0,,,3154.0,
005904001,450518,87884.0,1130.0,21904.0,29441.0,5184.0,,,,,,,,,3482.0,10119.0,,26363.0,
005904041,389490,12346.0,,44670.0,19927.0,5098.0,,,,,,,,,609.0,574.0,,,
005904101,475887,,624.0,40287.0,37315.0,4076.0,,,,,,,,,959.0,2234.0,,14163.0,
005904999,368,,,,,,78344.0,,,,,,,96919.0,92636.0,203607.0,19909.0,,
006902001,847665,,8716.0,,94721.0,,,,,,,,,,23307.0,,,,
006902101,470193,,,,86375.0,,,,,,,,,,12218.0,,,,
007901001,382058,1500.0,,51737.0,61683.0,,,,,,,,,,12600.0,,,,
007901041,464840,,,91724.0,65694.0,,,,,,,,,,6608.0,,,,
007901101,488843,,,4155.0,60847.0,41034.0,,,,,,,,,9017.0,,,,
007901699,11318,,,,1509.0,,,,,,,,,,,,,,
007902001,1499019,160688.0,45468.0,27750.0,147538.0,2287.0,,,,,,,,,29078.0,117016.0,37517.0,25160.0,
007902004,37677,,,25570.0,24776.0,,,,,,,,,,,,,,
007902005,14589,,,58519.0,22980.0,,,,,,,,,,,,,1000.0,
007902006,52609,,,,49757.0,,,,,,,,,,,,,,
007902041,1355010,28697.0,,24750.0,217856.0,5746.0,,,,,,,,,199989.0,99804.0,,21658.0,
007902101,2095369,,,3000.0,191238.0,24152.0,,,,,,,,,9397.0,101478.0,,30696.0,
007904001,1581612,157622.0,3740.0,222271.0,201248.0,676.0,,,,,,,,,23035.0,179180.0,17360.0,3919.0,
007904041,1197377,45182.0,9677.0,,138196.0,5302.0,,,,,,,,,10056.0,71078.0,17339.0,6664.0,
007904101,1270757,,8953.0,1530.0,249384.0,11954.0,,,,,,,,,5047.0,94177.0,16143.0,4019.0,
007904103,655792,,3367.0,,134182.0,17181.0,,,,,,,,,3647.0,59214.0,17416.0,4249.0,
007905001,2674847,262236.0,,1050.0,317669.0,,,,,,,,,,22503.0,450779.0,,14451.0,
007905005,43494,,,,,,,,,,,,,,301.0,,,0.0,
007905041,1563911,58857.0,,,211056.0,2500.0,,,,,,,,,13893.0,113539.0,,6535.0,
007905103,2279808,,95568.0,450.0,181559.0,4500.0,,,,,,,,,18929.0,140598.0,,4865.0,
007905104,1684793,,,,209527.0,2500.0,,,,,,,,,14032.0,166788.0,,2205.0,
007905105,1422276,,19467.0,86130.0,63603.0,12460.0,,,,,,,,,13842.0,154890.0,,10298.0,
007906001,1407105,355400.0,24558.0,113101.0,205870.0,,,,,,,,,,41232.0,12171.0,,19937.0,
007906041,1023040,33912.0,,362540.0,127477.0,,,,,,,,,,109752.0,,,25640.0,
007906101,1393657,,,141375.0,80031.0,19586.0,,,,,,,,,4080.0,,,38396.0,
007906102,775375,,5172.0,30493.0,80056.0,,,,,,,,,,425.0,,,1057.0,
008901001,1590087,240151.0,9728.0,69759.0,318819.0,2064.0,,,,,,,,,76308.0,,,19443.0,
008901041,1679786,42213.0,18646.0,96914.0,180708.0,63447.0,,,,,,,,,24313.0,,,10128.0,
008901101,1437574,,21879.0,174114.0,142875.0,57197.0,,,,,,,,,21675.0,,,8759.0,
008901102,874218,,21893.0,58725.0,149028.0,13414.0,,,,,,,,,12551.0,,,4489.0,
008901105,652047,,9610.0,11679.0,57090.0,,,,,,,,,,4831.0,1568.0,,1042.0,
008901699,1634,,,23614.0,,1222.0,,,,,,,,,,,,,
008902001,2300927,182984.0,,126188.0,593402.0,932.0,,,,,,,,,28990.0,,,,
008902041,2117694,55875.0,9478.0,245740.0,382246.0,1386.0,,,,,,,,,19813.0,,,,
008902102,2463992,,32760.0,51178.0,416538.0,10506.0,,,,,,,,,23046.0,,,,
008902103,1132585,,32883.0,5125.0,314929.0,1850.0,,,,,,,,,16467.0,,,,
008903001,803497,96329.0,,130049.0,215918.0,,,,,,,,,,55425.0,139645.0,,1192.0,
008903041,603911,43170.0,21899.0,104342.0,142578.0,,,,,,,,,,21360.0,88487.0,,965.0,
008903102,864714,,72003.0,76305.0,7838.0,52480.0,,,,,,,,,5367.0,88664.0,,51.0,
008903103,72388,,,,,,,,,,,,,,8400.0,6206.0,,,
009901001,1002878,183573.0,,,159579.0,7213.0,,,,,,,,,22848.0,,,,
009901041,949334,21420.0,,24322.0,142029.0,7819.0,,,,,,,,,10981.0,,,,
009901101,589162,,11418.0,,201788.0,13962.0,,,,,,,,,13073.0,,,,28814.0
009901103,859590,,7792.0,,176490.0,15112.0,,,,,,,,,9726.0,,,,
010901001,575207,44745.0,20287.0,43302.0,114216.0,13294.0,,,,,,,,,22534.0,,,2734.0,
010901101,424287,,19651.0,123688.0,49722.0,2963.0,,,,,,,,,5886.0,,,427.0,
010902001,1883892,184545.0,,126184.0,361091.0,,,,,,,,,,24458.0,,,65.0,
010902041,1701455,36527.0,10005.0,170388.0,278065.0,11135.0,,,,,,,,,16184.0,,,69.0,
010902101,1463992,,,260817.0,365604.0,18442.0,,,,,,,,,21760.0,,,1650.0,
010902102,1449134,,32267.0,314422.0,261552.0,,,,,,,,,,16138.0,,,3.0,
011901001,3016699,268305.0,609627.0,487643.0,886396.0,16790.0,,,,,,,,,309828.0,789.0,,,
011901002,2811568,243158.0,654959.0,534027.0,888311.0,54951.0,,,,,,,,,260389.0,798.0,,,
011901041,1445903,49089.0,353146.0,539363.0,387820.0,19723.0,,,,,,,,,96069.0,205.0,,,
011901101,1609174,,27922.0,149775.0,575309.0,6489.0,,,,,,,,,69694.0,118.0,,,
011901102,1526879,,29637.0,249047.0,285932.0,59785.0,,,,,,,,,37235.0,117.0,,,
011901103,1108681,,28188.0,148262.0,380441.0,879866.0,,,,,,,,,37865.0,111.0,,,
011901104,1616847,,29311.0,247490.0,550583.0,237247.0,,,,,,,,,61960.0,154.0,,,
011901106,1388438,47500.0,361686.0,575921.0,381417.0,44318.0,,,,,,,,,87552.0,175.0,,,
011901107,1145564,,28059.0,138668.0,453566.0,643858.0,,,,,,,,,55070.0,121.0,,,
011901108,1807205,,29443.0,268045.0,467754.0,260752.0,,,,,,,,,73096.0,157.0,,,
011901109,1461989,,29573.0,202582.0,353336.0,564160.0,,,,,,,,,45915.0,158.0,,,
011901110,1127532,,27478.0,134049.0,401437.0,647533.0,,,,,,,,,61755.0,155.0,,,
011902001,2535333,472843.0,,140894.0,628354.0,30442.0,,,,,,,,,66256.0,375528.0,,19446.0,
011902041,2468917,67450.0,27784.0,163533.0,419222.0,26490.0,,,,,,,,,109534.0,240632.0,,10458.0,
011902101,2140543,,27901.0,,228603.0,,,,,,,,,,24536.0,81331.0,,2799.0,
011902102,1932951,,27175.0,,233802.0,,,,,,,,,,26832.0,111661.0,,2978.0,
011902103,1904922,,27607.0,,383429.0,,,,,,,,,,30202.0,125196.0,,5136.0,
011902699,5089,,,153730.0,,7551.0,,,,,,,,,,,,,
011902999,29250,,,43594.0,126829.0,25155.0,2679232.0,,,,,,,,286977.0,329950.0,149773.0,135617.0,
011904002,1350762,,,,316773.0,28851.0,,,,,,,,,7220.0,215909.0,,,
011904041,1138731,,30030.0,6233.0,434406.0,30022.0,,,,,,,,,,158591.0,,,
011904101,1074259,,210.0,6244.0,251645.0,,,,,,,,,,2895.0,97636.0,,1988.0,
011904102,1154195,,,,157416.0,4316.0,,,,,,,,,,144130.0,,,
011904699,2400,,,,1405.0,4905.0,,,,,,,,,,,,,
011904999,96100,209629.0,,,37365.0,,381100.0,,,,,,,975000.0,,83203.0,73825.0,19018.0,
011905101,596372,3500.0,5320.0,41525.0,65318.0,2056.0,,,,,,,,,30373.0,,,,
012901001,604836,96424.0,1500.0,,22583.0,500.0,,,,,,,,,37616.0,121274.0,8451.0,4690.0,
012901042,533438,4163.0,3075.0,,62785.0,,,,,,,,,,,3091.0,,1937.0,
012901101,619353,,,34046.0,79429.0,,,,,,,,,,7575.0,51978.0,8451.0,1537.0,
013901001,2399293,381588.0,,245841.0,456813.0,112585.0,,,,,,,,,182361.0,388221.0,,7802.0,
013901041,1526973,65228.0,100108.0,217610.0,382230.0,24944.0,,,,,,,,,62319.0,169682.0,,1312.0,
013901101,1215238,,54681.0,237622.0,128645.0,5472.0,,,,,,,,,75353.0,79067.0,,1117.0,
013901102,1325528,,45719.0,207562.0,188510.0,3700.0,,,,,,,,,57464.0,77106.0,,2051.0,
013901104,1288523,,,232298.0,187456.0,8784.0,,,,,,,,,122423.0,95417.0,,409.0,
013901105,588385,,,226901.0,181492.0,4100.0,,,,,,,,,80828.0,107185.0,,1554.0,
013901999,71114,,,9319.0,80461.0,,791328.0,15965.0,,,,,,1845000.0,358885.0,172268.0,2315.0,40131.0,
013902101,459470,7507.0,,,51228.0,,,,,,,,,,92674.0,7172.0,6896.0,15289.0,
013903001,570143,125215.0,,23936.0,129163.0,,,,,,,,,,10133.0,,,2790.0,
013903101,575729,,,,56075.0,,,,,,,,,,1531.0,,,2285.0,
013905001,503761,172428.0,,65577.0,81128.0,,,,,,,,,,,,,,
013905041,585364,73213.0,,42498.0,40074.0,7610.0,,,,,,,,,,,,,
013905101,938560,,17357.0,7023.0,97647.0,27226.0,,,,,,,,,,,,,
014901001,1168685,82076.0,15012.0,10401.0,117383.0,60.0,,,,,,,,,13154.0,,,,
014901041,1076285,35680.0,13884.0,52270.0,216902.0,998.0,,,,,,,,,36307.0,,,,
014901101,1253140,,13921.0,102496.0,145100.0,2102.0,,,,,,,,,48309.0,,,,
014902001,721219,121169.0,9652.0,24877.0,80697.0,43845.0,,,,,,,,,29777.0,,,50885.0,
014903001,6210774,946306.0,196464.0,306793.0,1516501.0,88971.0,,,,,,,,,82391.0,,48839.0,17048.0,
014903005,580333,,,244303.0,70031.0,,,,,,,,,,41765.0,,6830.0,5305.0,
014903042,2086481,45986.0,109915.0,266656.0,411966.0,74117.0,,,,,,,,,33964.0,,10795.0,11080.0,
014903043,2501843,84076.0,190269.0,186111.0,462247.0,9407.0,,,,,,,,,36527.0,,18927.0,5549.0,
014903044,2485359,88240.0,23473.0,38572.0,494561.0,69948.0,,,,,,,,,54992.0,,21431.0,6338.0,
014903045,94183,2984.0,3665.0,7724.0,12051.0,,,,,,,,,,,,,,
014903102,929426,,,157782.0,136312.0,,,,,,,,,,5729.0,,6706.0,5003.0,
014903103,1260563,,,168482.0,267697.0,,,,,,,,,,20945.0,,10406.0,4019.0,
014903104,1551414,,,139373.0,100286.0,65573.0,,,,,,,,,21192.0,,9205.0,3844.0,
014903108,1840472,,,175587.0,233399.0,,,,,,,,,,9056.0,,7709.0,3309.0,
014903109,2135952,,,168197.0,64331.0,18493.0,,,,,,,,,7177.0,,10602.0,1748.0,
014903111,1987090,,,158947.0,235330.0,,,,,,,,,,9785.0,,9581.0,3118.0,
014903114,1834257,,,163257.0,352502.0,43321.0,,,,,,,,,24298.0,,11045.0,5296.0,
014903116,1394349,,,214154.0,252106.0,,,,,,,,,,8420.0,,8435.0,3717.0,
014903117,1679357,,,110479.0,275184.0,,,,,,,,,,33374.0,,9102.0,3626.0,
014903118,84485,,,,,,,,,,,,,,,,,,
014903699,80204,,,,,15461.0,,,,,,,,,,,,26327.0,
014903999,43409,129160.0,,104013.0,578395.0,7095.0,5585583.0,,,,,,,4534614.0,1097348.0,2679400.0,101019.0,515057.0,
014905001,498911,36315.0,3635.0,3349.0,38540.0,,,,,,,,,,33957.0,,,1664.0,
