,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
004901102,836814,,,,138818.0,,,,,,,,,,11404.0,82186.0,,1367.0,
004901103,2142591,,,2590.0,256941.0,500.0,,,,,,,,,11528.0,176016.0,,7548.0,
004901699,33979,,,155650.0,29611.0,14825.0,,,,,,,,,,,,28572.0,
004901998,38625,,,,,,373650.0,86341.0,,,,,,735000.0,,1517.0,,750.0,
004901999,1570,317476.0,7800.0,92832.0,108892.0,,,,,,,,,,6401.0,199770.0,104670.0,118349.0,
005901001,1060112,84280.0,1514.0,25975.0,76238.0,,,,,,,,,,42553.0,53769.0,,1607.0,
005901101,693904,,10114.0,117867.0,102683.0,,,,,,,,,,5007.0,28577.0,,38.0,
005902001,908935,153553.0,6214.0,63966.0,51289.0,,,,,,,,,,39558.0,,,3458.0,
005902041,534748,,4923.0,45863.0,54938.0,,,,,,,,,,1062.0,,,,
005902101,1039023,,9691.0,51670.0,54042.0,,,,,,,,,,2241.0,,,,
005904001,641438,86303.0,23817.0,83331.0,34071.0,,,,,,,,,,3876.0,6692.0,,31870.0,
005904101,656341,,538.0,57780.0,56137.0,3238.0,,,,,,,,,2689.0,1814.0,,7151.0,
006902001,915851,,2332.0,,72930.0,,,,,,,,,,17501.0,,,,
006902101,396470,,,,118718.0,,,,,,,,,,14012.0,,,,
007901001,424082,25998.0,32.0,62092.0,55647.0,,,,,,,,,,14995.0,,,,
007901041,237590,5034.0,595.0,56605.0,52955.0,,,,,,,,,,3315.0,,,,
007901101,792392,,549.0,52596.0,61273.0,37662.0,,,,,,,,,4399.0,,,,
007902001,1208020,150011.0,,16000.0,133959.0,1000.0,,,,,,,,,18791.0,43197.0,2492.0,1878.0,
007902002,282887,,,,46352.0,,,,,,,,,,10053.0,19278.0,,,
007902004,1131,,,4153.0,58082.0,,,,,,,,,,,,,,
007902041,1005645,23005.0,,12000.0,152420.0,3000.0,,,,,,,,,12306.0,13186.0,,112.0,
007902101,1654384,,47573.0,12790.0,114285.0,13000.0,,,,,,,,,51122.0,13961.0,,1617.0,
007902699,8975,4300.0,,15435.0,,,,,,,,,,,,,,20483.0,
007904001,1438208,147723.0,,369089.0,96399.0,2036.0,,,,,,,,,36013.0,156470.0,11471.0,5181.0,
007904041,1055473,38455.0,13722.0,131953.0,149308.0,3799.0,,,,,,,,,26800.0,82360.0,11713.0,1197.0,
007904101,1356061,,11265.0,216484.0,200541.0,16352.0,,,,,,,,,44901.0,60689.0,11008.0,4655.0,
007904103,650242,,5613.0,298378.0,98273.0,16634.0,,,,,,,,,16653.0,54985.0,11328.0,466.0,
007905001,3138414,202849.0,,,685118.0,335.0,,,,,,,,,26803.0,443816.0,,20353.0,
007905041,1401749,62415.0,,,390278.0,9604.0,,,,,,,,,6206.0,111191.0,,5737.0,
007905102,451438,,9283.0,,,7787.0,,,,,,,,,1024.0,34640.0,,590.0,
007905103,1106821,,58461.0,,209546.0,8027.0,,,,,,,,,4411.0,146868.0,,960.0,
007905104,1369459,,,,329614.0,1722.0,,,,,,,,,6078.0,168871.0,,894.0,
007905105,2081059,,35903.0,,200542.0,10402.0,,,,,,,,,5275.0,172499.0,,1096.0,
007905699,45900,,,,14850.0,,,,,,,,,,,,,,
007906001,1499038,157003.0,15081.0,263474.0,186103.0,,,,,,,,,,8983.0,22472.0,,8048.0,
007906041,1039868,48210.0,7678.0,122896.0,97649.0,6904.0,,,,,,,,,213.0,,,5203.0,
007906101,1323724,500.0,6133.0,301592.0,128057.0,43304.0,,,,,,,,,6900.0,,,5125.0,
007906102,662986,7312.0,7112.0,104357.0,76870.0,1759.0,,,,,,,,,,,,1622.0,
008901001,1625337,220543.0,7555.0,136901.0,334476.0,28357.0,,,,,,,,,62612.0,3843.0,3615.0,6387.0,
008901041,1582212,45980.0,23561.0,95164.0,351109.0,31512.0,,,,,,,,,16688.0,2882.0,3072.0,170.0,
008901101,1566993,,23154.0,166192.0,252782.0,96011.0,,,,,,,,,7507.0,2882.0,2703.0,2946.0,
008901102,709512,,23069.0,61781.0,193669.0,13425.0,,,,,,,,,5733.0,1455.0,2318.0,334.0,
008901105,707441,,29999.0,1913.0,110566.0,,,,,,,,,,3984.0,1608.0,1788.0,717.0,
008902001,2416698,175754.0,,39362.0,361017.0,2530.0,,,,,,,,,51282.0,,,,
