,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,667581,42311.0,,,121131.0,,,,,,,,,,357.0,,,,
001902041,476356,5747.0,,2874.0,33688.0,,,,,,,,,,67.0,,,,
001902103,702186,,8196.0,121229.0,86780.0,1025.0,,,,,,,,,950.0,,,,
001903001,1025295,182063.0,,,214856.0,,,,,,,,,,142670.0,,,,
001903041,780467,1200.0,,,113574.0,,,,,,,,,,5881.0,,,,
001903101,1377543,,,,254456.0,,,,,,,,,,29418.0,,,,
001904001,727347,96424.0,,,92373.0,,,,,,,,,,21999.0,,,,
001904041,555468,1000.0,,,61257.0,,,,,,,,,,4982.0,,,,
001904102,968883,,21045.0,,141619.0,17047.0,,,,,,,,,16871.0,,,,
001906002,353729,,,20771.0,92643.0,,,,,,,,,,7891.0,61858.0,,-1008.0,
001906102,444019,,15677.0,106933.0,111422.0,,,,,,,,,,,36003.0,,,
001907001,1748579,327267.0,74104.0,,516255.0,49762.0,,,,,,,,,150591.0,155689.0,,16999.0,
001907041,1576601,43443.0,,5000.0,422710.0,51162.0,,,,,,,,,29979.0,104044.0,,2987.0,
001907101,878745,,,,222926.0,89979.0,,,,,,,,,7251.0,46390.0,,1102.0,91168.0
001907107,1218532,,,,187866.0,85871.0,,,,,,,,,9147.0,57796.0,,765.0,
001907110,1689127,,29349.0,,341408.0,53203.0,,,,,,,,,51957.0,93774.0,,1436.0,
001908002,1077921,,61352.0,62545.0,268357.0,40782.0,,,,,,,,,1133.0,,14083.0,3788.0,
001908041,577566,,80612.0,80712.0,239408.0,,,,,,,,,,500.0,,14083.0,626.0,
001908101,1059134,,48898.0,103803.0,184953.0,,,,,,,,,,,,14083.0,1036.0,
001908102,516334,,120397.0,417915.0,159728.0,16977.0,,,,,,,,,,,14083.0,735.0,
001909001,432845,16832.0,,1987.0,78524.0,,,,,,,,,,29.0,,,2954.0,
001909101,602581,,,298599.0,86921.0,,,,,,,,,,43.0,,,,
001909999,30,,,,,,,,,,,,,,7839.0,66097.0,9032.0,11749.0,54045.0
002901001,2297557,316375.0,37381.0,243090.0,467959.0,,,,,,,,,,62453.0,,,270.0,
002901041,1763566,57619.0,103629.0,266035.0,375498.0,,,,,,,,,,16672.0,,,243.0,
002901101,814244,,46518.0,206780.0,277139.0,5712.0,,,,,,,,,11223.0,,,153.0,
002901103,841611,,65784.0,81994.0,249078.0,5029.0,,,,,,,,,14516.0,,,,
002901104,695769,,47457.0,281235.0,159546.0,3424.0,,,,,,,,,8047.0,,,396.0,
002901105,1599576,,7705.0,270148.0,278077.0,3356.0,,,,,,,,,20918.0,,,1278.0,
003902001,1540456,123949.0,10559.0,4508.0,268627.0,5077.0,,,,,,,,,173132.0,,,,
003902041,1961613,24284.0,22923.0,22978.0,312248.0,6773.0,,,,,,,,,75676.0,,,,
