,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,819552,90325.0,,14029.0,112048.0,1500.0,,,,,,,,,753.0,,,,
001902041,501119,24633.0,,20814.0,54641.0,,,,,,,,,,402.0,,,,
001902103,841906,,8559.0,137890.0,133798.0,1013.0,,,,,,,,,2602.0,,,,
001903001,1049110,192848.0,,,134575.0,,,,,,,,,,47652.0,,,,
001903041,776347,,,,141656.0,,,,,,,,,,14075.0,,,,
001903101,668770,,4207.0,,127203.0,,,,,,,,,,14008.0,,,,
001903102,718709,,4207.0,,174068.0,,,,,,,,,,14754.0,,,,
001904001,642438,110323.0,,,146136.0,,,,,,,,,,35010.0,,,,
001904041,502002,1000.0,7500.0,,14272.0,,,,,,,,,,7713.0,,,,
001904102,904878,,7364.0,,129072.0,8010.0,,,,,,,,,21352.0,,,,
001906002,420662,,,2392.0,91839.0,1300.0,,,,,,,,,16330.0,48125.0,,-601.0,
001906102,681666,,8939.0,28504.0,134771.0,,,,,,,,,,,57088.0,,-873.0,
001906999,800,,,27980.0,,,213670.0,,,,,,,120000.0,,2307.0,10201.0,,
001907001,2238961,427124.0,35191.0,47315.0,455439.0,18322.0,,,,,,,,,101355.0,304100.0,,19248.0,
001907041,1472085,50039.0,,,271884.0,4505.0,,,,,,,,,12693.0,169907.0,,2656.0,
001907101,1418270,,,,199838.0,33401.0,,,,,,,,,9807.0,81260.0,,3166.0,
001907102,319519,,,,76013.0,,,,,,,,,,3287.0,32151.0,,12060.0,
001907107,1294355,,,,189075.0,49415.0,,,,,,,,,6573.0,74541.0,,2054.0,
001907110,1922484,,57049.0,,297303.0,44356.0,,,,,,,,,16433.0,105190.0,,2820.0,
001908002,1187227,,19943.0,147972.0,247279.0,,,,,,,,,,1688.0,,12880.0,14113.0,
001908041,866407,,,83279.0,44310.0,,,,,,,,,,929.0,,10450.0,5811.0,
001908101,939782,,21436.0,360766.0,198974.0,16297.0,,,,,,,,,,,13733.0,7853.0,
001908102,881664,,,195183.0,238642.0,4897.0,,,,,,,,,,,12284.0,10672.0,
001909001,456368,22400.0,4882.0,,97634.0,,,,,,,,,,33.0,,,1711.0,
001909101,646104,,,319056.0,99901.0,5499.0,,,,,,,,,41.0,,,,
002901001,2702858,300701.0,69342.0,80630.0,447512.0,,,,,,,,,,71093.0,4.0,,,
002901041,2033449,68002.0,86456.0,237665.0,242333.0,4522.0,,,,,,,,,24869.0,50.0,,,
002901101,1302472,,6231.0,465275.0,348186.0,,,,,,,,,,20689.0,82.0,,,
002901104,1482830,,6392.0,317440.0,297492.0,,,,,,,,,,15805.0,63.0,,,
002901105,1714090,,5187.0,139820.0,363945.0,6720.0,,,,,,,,,22414.0,26.0,,,
003902001,1524695,159066.0,140833.0,,282251.0,19170.0,,,,,,,,,81935.0,,,,
003902041,1141884,23328.0,273385.0,2012.0,281434.0,9453.0,,,,,,,,,59724.0,,,,
003902101,1513146,,6697.0,,165660.0,17666.0,,,,,,,,,2946.0,700.0,,,
003902102,592933,,317689.0,69068.0,210020.0,525854.0,,,,,,,,,157718.0,,,,
003902999,692,,,,252540.0,,758296.0,,,,,,,815000.0,11544.0,739103.0,92627.0,,
003903001,6505067,355019.0,,239800.0,1475359.0,583.0,,,,,,,,,48530.0,546.0,,12015.0,
003903003,307829,,,,102682.0,,,,,,,,,,4508.0,,,1034.0,
003903044,5389705,,,468697.0,1077626.0,11434.0,,,,,,,,,30819.0,,,7376.0,
003903120,938228,,,93478.0,270506.0,250.0,,,,,,,,,9016.0,,,3772.0,
003903121,1261978,,57908.0,94747.0,354792.0,479.0,,,,,,,,,10519.0,,,6796.0,
003903122,1008853,,,102309.0,613483.0,312.0,,,,,,,,,14978.0,,,3193.0,
003903123,992799,,,55610.0,150052.0,8245.0,,,,,,,,,4508.0,,,2841.0,
003903124,1051963,,100.0,120879.0,50365.0,250.0,,,,,,,,,,,,4059.0,
003903125,514900,,,85809.0,,30572.0,,,,,,,,,,,,2528.0,
003903127,660005,,,144164.0,543057.0,500.0,,,,,,,,,25545.0,,,5695.0,
003903128,847702,,,144928.0,77807.0,500.0,,,,,,,,,1503.0,,,3016.0,
003903129,1558656,,,59883.0,135013.0,35438.0,,,,,,,,,1503.0,,,2891.0,
