,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,788295,78112.0,,9180.0,104909.0,,,,,,,,,,146.0,,,,
001902041,526541,17208.0,,20090.0,52160.0,,,,,,,,,,85.0,,,,
001902103,875863,,8657.0,160071.0,132083.0,1082.0,,,,,,,,,1694.0,,,,
001903001,949588,225746.0,,,214404.0,,,,,,,,,,39232.0,,,,
001903041,807237,2500.0,,,126501.0,,,,,,,,,,6778.0,,,,
001903101,1457403,,560.0,,264841.0,,,,,,,,,,5682.0,,,,
001904001,890257,107322.0,,,121207.0,,,,,,,,,,44813.0,,,,
001904041,508425,1005.0,,,43084.0,,,,,,,,,,5059.0,,,,
001904102,1227302,,14915.0,,93561.0,6380.0,,,,,,,,,21827.0,,,,
001906002,443219,,,44763.0,57877.0,1332.0,,,,,,,,,9083.0,70442.0,,371.0,
001906102,596055,,8338.0,115902.0,93173.0,,,,,,,,,,,86599.0,,,
001907001,1968736,384735.0,56483.0,28794.0,707965.0,6428.0,,,,,,,,,64300.0,216515.0,,3080.0,
001907041,2028598,39969.0,1500.0,,534451.0,12964.0,,,,,,,,,7352.0,145252.0,,1950.0,1000.0
001907101,1221740,,5600.0,,232843.0,5443.0,,,,,,,,,34475.0,55289.0,,1981.0,
001907102,25057,,,,8802.0,,,,,,,,,,,,,,
001907107,1650944,,6000.0,2600.0,243488.0,3000.0,,,,,,,,,702.0,59957.0,,674.0,
001907110,1937565,,10285.0,10815.0,302011.0,5163.0,,,,,,,,,907.0,126693.0,,1711.0,
001908002,1088923,,123699.0,93833.0,282122.0,118120.0,,,,,,,,,2221.0,,11164.0,4500.0,
001908041,591759,,144991.0,59075.0,179068.0,17613.0,,,,,,,,,160.0,,11164.0,8722.0,
001908101,1240912,,40408.0,144193.0,198284.0,,,,,,,,,,,,11165.0,5693.0,
001908102,721080,,84979.0,326109.0,134383.0,,,,,,,,,,,,11165.0,9155.0,
001909001,501178,16612.0,4450.0,94539.0,99098.0,,,,,,,,,,2683.0,,,2203.0,
001909101,622331,,,307848.0,105094.0,5514.0,,,,,,,,,2507.0,,,,
001909999,1915,,,,,,,,,,,,,,10882.0,73791.0,8548.0,6716.0,274887.0
002901001,2695762,377054.0,63576.0,302643.0,563667.0,,,,,,,,,,66135.0,,,,
002901041,2218775,72627.0,150702.0,279566.0,327828.0,5245.0,,,,,,,,,28548.0,,,,
002901101,1438619,,19609.0,464677.0,397284.0,7056.0,,,,,,,,,21568.0,,,,
002901104,1454304,,15607.0,326432.0,353687.0,,,,,,,,,,20822.0,,,,
002901105,1888793,,54052.0,253752.0,469632.0,8057.0,,,,,,,,,20301.0,,,,
003902001,1688552,153033.0,18000.0,1305.0,286678.0,28150.0,,,,,,,,,197771.0,,,,
003902041,1708041,15585.0,38729.0,1801.0,287342.0,19012.0,,,,,,,,,62967.0,,,,
003902101,1312481,,2839.0,2675.0,165190.0,168389.0,,,,,,,,,5856.0,700.0,,,
003902102,1303951,,14897.0,62055.0,280095.0,17122.0,,,,,,,,,167711.0,,,,
003902999,442,,,400.0,142708.0,,832177.0,1741.0,,,,,,695000.0,99997.0,756763.0,66055.0,,
