,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,739437,57054.0,,10499.0,129575.0,,,,,,,,,,2226.0,,,,
001902041,505357,8594.0,,12024.0,37146.0,,,,,,,,,,1576.0,,,,
001902103,762667,,8564.0,152889.0,95012.0,1070.0,,,,,,,,,3958.0,,,,
001903001,1154605,159214.0,,,235420.0,,,,,,,,,,34477.0,,,,
001903041,794292,1000.0,,,176338.0,,,,,,,,,,9367.0,,,,
001903101,1511231,,,1838.0,290956.0,,,,,,,,,,6941.0,,,,
001904001,812336,104360.0,,,114707.0,,,,,,,,,,26483.0,,,,
001904041,537356,83.0,,,127174.0,,,,,,,,,,5620.0,,,,
001904102,1189772,,21433.0,,115110.0,6467.0,,,,,,,,,18028.0,,,,
001906002,402605,,,34548.0,81551.0,,,,,,,,,,7533.0,75002.0,,-980.0,
001906102,534885,,15179.0,97280.0,95915.0,,,,,,,,,,,45361.0,,,
001907001,1755331,348445.0,52394.0,,663407.0,12089.0,,,,,,,,,129322.0,196867.0,,16150.0,
001907041,1954452,43451.0,,,431308.0,15501.0,,,,,,,,,30316.0,113153.0,,5594.0,
001907101,1076076,,,,250252.0,10037.0,,,,,,,,,10360.0,46846.0,,1724.0,152637.0
001907107,1442728,,,,231861.0,10361.0,,,,,,,,,8010.0,54933.0,,2336.0,
001907110,1888083,,52979.0,,395352.0,8404.0,,,,,,,,,26770.0,104895.0,,3705.0,
001908002,1198539,98.0,55390.0,120100.0,265462.0,54639.0,,,,,,,,,1442.0,,10468.0,6333.0,
001908041,584676,,74882.0,85047.0,237192.0,4110.0,,,,,,,,,,,10468.0,3059.0,
001908101,1098340,,43571.0,176128.0,183404.0,,,,,,,,,,,,10468.0,2685.0,
001908102,661748,,121350.0,301414.0,116154.0,,,,,,,,,,,,10468.0,955.0,
001909001,409430,16775.0,6845.0,2073.0,80078.0,5968.0,,,,,,,,,161.0,,,2665.0,
001909101,595712,,6845.0,341866.0,103781.0,,,,,,,,,,239.0,,,,
001909999,95,,,,,,,,,,,,,,8030.0,68398.0,10402.0,7767.0,514549.0
002901001,2554424,372278.0,38016.0,277120.0,448352.0,,,,,,,,,,60587.0,,,,
002901041,1878055,61843.0,40417.0,264637.0,397843.0,,,,,,,,,,31808.0,,,,
