,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,739500,108818.0,,8542.0,107233.0,709.0,,,,,,,,,,,,,
001902041,560111,15532.0,,17484.0,71831.0,,,,,,,,,,,,,,
001902103,888756,,8963.0,128715.0,112938.0,,,,,,,,,,2107.0,,,,
001903001,1251256,187861.0,,,109923.0,,,,,,,,,,34966.0,,,,
001903041,853597,,,,148775.0,,,,,,,,,,6596.0,,,,
001903101,750853,,4772.0,,151782.0,,,,,,,,,,2038.0,,,,
001903102,777544,,4290.0,,178123.0,,,,,,,,,,2425.0,,,,
001904001,613600,157002.0,,,156829.0,,,,,,,,,,39292.0,,,,
001904041,564521,593.0,13291.0,,17211.0,,,,,,,,,,10960.0,,,,
001904102,1122280,,4423.0,,76222.0,8014.0,,,,,,,,,24887.0,,,,
001906002,419602,,,10133.0,97081.0,,,,,,,,,,18252.0,51324.0,,-709.0,
001906102,703728,,9397.0,27871.0,143099.0,,,,,,,,,,,61223.0,,-1211.0,
001907001,2716918,567769.0,36564.0,42264.0,60999.0,46338.0,,,,,,,,,48641.0,178071.0,,23985.0,
001907041,1880227,54770.0,,,56153.0,,,,,,,,,,4395.0,-16981.0,,7394.0,
001907101,1863013,,,,,70441.0,,,,,,,,,,-90413.0,,11742.0,
001907102,211225,,,,,,,,,,,,,,,-132043.0,,11418.0,
001907107,1618388,,,,323295.0,,,,,,,,,,37954.0,-80689.0,,22213.0,
001907110,2558799,,56155.0,,,,,,,,,,,,,-41416.0,,11250.0,
001907999,12008,,,259175.0,217323.0,3000.0,3120977.0,,,,,,,1677464.0,225756.0,1052982.0,6882.0,114792.0,
001908002,1397486,,15753.0,79872.0,256012.0,,,,,,,,,,1896.0,,13657.0,6256.0,
001908041,981936,,5721.0,36276.0,100061.0,,,,,,,,,,541.0,,13657.0,935.0,
001908101,1216035,,19526.0,183239.0,213758.0,,,,,,,,,,,,13657.0,2425.0,
001908102,983143,,,141271.0,150732.0,,,,,,,,,,,,13657.0,2362.0,
001908699,20630,,,,,,,,,,,,,,,,,,
001909001,554882,31000.0,13699.0,135758.0,93920.0,,,,,,,,,,212.0,,,3818.0,
001909101,594017,,,134274.0,138802.0,6223.0,,,,,,,,,242.0,,,,
002901001,2954135,550086.0,61624.0,274899.0,551076.0,,,,,,,,,,84406.0,,,,
002901041,2564420,82612.0,51217.0,688283.0,353596.0,,,,,,,,,,36024.0,,,,
002901101,1837706,,31706.0,687840.0,334200.0,,,,,,,,,,17765.0,,,,
002901104,1961045,,34328.0,432237.0,331735.0,4083.0,,,,,,,,,26144.0,,,,
002901105,2050941,,24927.0,287127.0,433498.0,5276.0,,,,,,,,,14966.0,,,,
003902001,1797177,189678.0,163009.0,,272480.0,29942.0,,,,,,,,,88090.0,,,,
003902041,1277537,21363.0,386953.0,,377264.0,9287.0,,,,,,,,,60160.0,,,,
003902101,1618094,,131467.0,,134071.0,22285.0,,,,,,,,,2816.0,,,,
003902102,1234722,,287907.0,,241553.0,29519.0,,,,,,,,,148843.0,,,,
003902999,607,,,,266584.0,,645283.0,,,,,,,895000.0,71406.0,659507.0,99777.0,,50211.0
003903001,6449014,368907.0,,315503.0,1374688.0,458.0,,,,,,,,,43141.0,,,671.0,
003903003,304043,,,,104410.0,,,,,,,,,,5314.0,,,1412.0,
003903044,5438540,,,401832.0,1062442.0,15724.0,,,,,,,,,33148.0,,,394.0,
003903120,922579,,,44739.0,244341.0,250.0,,,,,,,,,8858.0,,,31.0,
003903121,1341283,,64447.0,107416.0,188746.0,229.0,,,,,,,,,5315.0,,,466.0,
003903122,864339,,,57728.0,624016.0,250.0,,,,,,,,,21260.0,,,96.0,
003903123,1072941,,,137356.0,120171.0,8850.0,,,,,,,,,3544.0,,,9.0,
003903124,1084985,,,145187.0,55754.0,250.0,,,,,,,,,,,,165.0,
003903125,472129,,,54775.0,,21509.0,,,,,,,,,,,,21.0,
003903126,1412,,,45612.0,,11268.0,,,,,,,,,,,,65.0,
003903127,696014,,,180237.0,593785.0,458.0,,,,,,,,,30119.0,,,49.0,
003903128,872510,,,157389.0,5926.0,500.0,,,,,,,,,,,,209.0,
003903129,1489898,,,61063.0,154577.0,30587.0,,,,,,,,,3543.0,,,12.0,
003903130,970736,,,58934.0,56946.0,437.0,,,,,,,,,,,,61.0,
003903131,1398419,,,107740.0,68837.0,42025.0,,,,,,,,,1772.0,,,11.0,
003904001,1096353,15551.0,,19569.0,195822.0,2000.0,,,,,,,,,2832.0,,,,
003904041,1213259,,,121757.0,229841.0,2000.0,,,,,,,,,2395.0,,,,
003904101,1463602,,,165676.0,91488.0,5000.0,,,,,,,,,1798.0,,,,
003904102,691245,,5311.0,60895.0,123266.0,2000.0,,,,,,,,,1952.0,,,,
003904999,2154,188721.0,,112850.0,255847.0,1157.0,861861.0,,,,,,,750000.0,25349.0,544738.0,52500.0,,
003905001,1456815,158877.0,,11036.0,156013.0,9190.0,,,,,,,,,22597.0,,,,
003905041,1323724,,,14481.0,22206.0,3652.0,,,,,,,,,8205.0,,,,
003905101,1211805,,,65003.0,4205.0,30345.0,,,,,,,,,146.0,,,,
003905102,232151,,,,58733.0,8491.0,,,,,,,,,7956.0,,,,
003905103,1362714,,67265.0,112500.0,184585.0,18018.0,,,,,,,,,39609.0,,,,
003906001,614303,32475.0,4843.0,75729.0,164957.0,,,,,,,,,,22687.0,89885.0,,19122.0,
003906101,480458,,2020.0,152366.0,84199.0,,,,,,,,,,12140.0,38737.0,,16256.0,
003906999,2432,,,,,,282686.0,,,,,,,,3751.0,22244.0,13025.0,8622.0,
003907001,1534767,83556.0,,76768.0,379683.0,,,,,,,,,,47120.0,,,,
003907041,1610028,64381.0,,51858.0,319742.0,,,,,,,,,,43642.0,,,,
003907102,1692691,,,102682.0,209427.0,,,,,,,,,,33533.0,,,,
004901001,2699875,8000.0,500.0,,454551.0,500.0,,,,,,,,,14635.0,543669.0,,8887.0,
004901041,2368744,3000.0,500.0,,314011.0,500.0,,,,,,,,,9337.0,138337.0,,10264.0,
