,general_wages,athletics_wages,gifted_wages,accelerated_wages,disability_wages,billingual_wages,bond_interest,debt_interest,rent,athletics,per_capita_ASF,foundational_school,school_lunch,bond_principal,prof_services,utilities,USDA_donations,overtime,land_purchase
001902001,561764,137568.0,,12797.0,122473.0,8892.0,,,,,,,,,1651.0,,,,
001902041,640961,22917.0,,11970.0,84485.0,,,,,,,,,,1878.0,,,,
001902103,849889,,,94777.0,109982.0,,,,,,,,,,3115.0,,,,
001903001,1107589,199030.0,,,111169.0,,,,,,,,,,43348.0,,,,
001903041,973533,,,,132279.0,,,,,,,,,,8209.0,,,,
001903101,1003552,,4576.0,,114672.0,,,,,,,,,,5190.0,,,,
001903102,880676,,4576.0,,170394.0,,,,,,,,,,5872.0,,,,
001904001,697299,257849.0,,,69489.0,,,,,,,,,,46130.0,,,,
001904041,521565,,,,86324.0,,,,,,,,,,19698.0,,,,
001904102,1201827,,,,137748.0,,,,,,,,,,43006.0,,,,
001906002,282493,,,13622.0,98095.0,2200.0,,,,,,,,,23423.0,59953.0,,-263.0,
001906102,746928,,11787.0,27354.0,158395.0,,,,,,,,,,,61259.0,,-737.0,
001907001,3154708,520371.0,35941.0,,239203.0,,,,,,,,,,158942.0,256162.0,,15973.0,
001907041,2197948,54493.0,,,16056.0,,,,,,,,,,20969.0,108017.0,,10273.0,
001907101,1718595,,,,14810.0,81239.0,,,,,,,,,14764.0,67437.0,,6295.0,
001907102,147902,,,,15147.0,,,,,,,,,,14764.0,30683.0,,6160.0,
001907107,1739588,,,,17664.0,,,,,,,,,,17217.0,74650.0,,15310.0,
001907110,2591851,,,,102784.0,,,,,,,,,,44293.0,122359.0,,16192.0,
001907999,20631,,,291383.0,717512.0,,2651608.0,,,,,,,1470000.0,110720.0,343224.0,163673.0,128182.0,
001908002,1223631,,9447.0,8273.0,120187.0,,,,,,,,,,,,17623.0,8358.0,
001908041,1027414,,,59207.0,142309.0,,,,,,,,,,,,17623.0,2256.0,
001908101,1265021,,11721.0,90613.0,220383.0,700.0,,,,,,,,,,,17623.0,3323.0,
001908102,904976,,,169919.0,158594.0,,,,,,,,,,,,17623.0,2494.0,
001909001,359298,31702.0,5930.0,58758.0,53637.0,,,,,,,,,,31.0,,,4653.0,
001909101,850071,,,286476.0,178657.0,5986.0,,,,,,,,,61.0,,,,
002901001,3087115,540001.0,22580.0,226403.0,530865.0,,,,,,,,,,225923.0,,,,
002901041,2648677,92674.0,48235.0,566543.0,375021.0,,,,,,,,,,29416.0,,,,
002901101,1954797,,43575.0,250508.0,336888.0,,,,,,,,,,13187.0,,,,
002901104,1999469,,18090.0,161557.0,400842.0,,,,,,,,,,18847.0,,,,
002901105,1956347,,31595.0,212013.0,420774.0,5398.0,,,,,,,,,11647.0,,,,
003902001,2057428,203704.0,249758.0,,298947.0,26627.0,,,,,,,,,112667.0,,,,
003902041,1735217,29110.0,361460.0,,287410.0,41643.0,,,,,,,,,11736.0,,,,
003902101,1811064,,,,87008.0,23760.0,,,,,,,,,5588.0,,,,
003902102,1793400,,-257.0,,328626.0,22283.0,,,,,,,,,168076.0,,,,
003902999,1717,,,,287387.0,,622010.0,,,,,,,857550.0,26417.0,599929.0,112275.0,,
003903001,6873437,409614.0,,215934.0,1428130.0,9391.0,,,,,,,,,32445.0,,,2456.0,
003903003,138284,,,,100260.0,,,,,,,,,,2585.0,,,306.0,
003903044,5824541,,,394276.0,1112032.0,19433.0,,,,,,,,,25368.0,,,1117.0,
003903120,978719,,,72275.0,325788.0,500.0,,,,,,,,,9049.0,,,284.0,
003903121,1434323,,135465.0,134379.0,95638.0,250.0,,,,,,,,,,,,589.0,
003903122,908478,,,81207.0,806456.0,250.0,,,,,,,,,19272.0,,,453.0,
003903123,872083,,,227490.0,263118.0,12925.0,,,,,,,,,9304.0,,,950.0,
003903124,1197842,,50684.0,174303.0,31249.0,250.0,,,,,,,,,,,,967.0,
003903125,7670,,,54634.0,,10768.0,,,,,,,,,,,,240.0,
003903126,-5255,,,64499.0,,10878.0,,,,,,,,,,,,361.0,
003903127,856895,,,66198.0,737305.0,500.0,,,,,,,,,30906.0,,,340.0,
003903128,790214,,,186207.0,38956.0,250.0,,,,,,,,,646.0,,,2622.0,
003903129,1865251,,,70424.0,99314.0,51867.0,,,,,,,,,2586.0,,,642.0,
003903130,1026956,,,57241.0,32010.0,250.0,,,,,,,,,,,,303.0,
003903131,1406838,,,109245.0,30224.0,30184.0,,,,,,,,,646.0,,,327.0,
003903999,13901,,,321850.0,24787.0,,1695597.0,,,,,,,2758370.0,19078.0,2638220.0,311203.0,271452.0,
003904001,1316210,,,141056.0,215234.0,2000.0,,,,,,,,,6618.0,,,,
003904041,1259084,,4142.0,186930.0,189341.0,1000.0,,,,,,,,,3194.0,,,,
003904101,1401256,,10963.0,193058.0,200717.0,4605.0,,,,,,,,,6291.0,,,,
003904102,751859,,10388.0,83556.0,211152.0,2000.0,,,,,,,,,4745.0,,,,
003905001,1211943,158086.0,,119961.0,127740.0,11655.0,,,,,,,,,12393.0,,,,
003905041,1344668,,,144966.0,8333.0,5699.0,,,,,,,,,70.0,,,,
003905101,1217569,,,,118356.0,25607.0,,,,,,,,,12156.0,,,,
003905102,291165,,,,92961.0,11817.0,,,,,,,,,7979.0,,,,
003905103,1357713,,63199.0,118604.0,199127.0,17256.0,,,,,,,,,16300.0,,,,
003905999,3500,82549.0,,,193281.0,,489799.0,,,,,,,770000.0,97240.0,736167.0,92276.0,,
003906001,587116,39158.0,9468.0,90884.0,111256.0,,,,,,,,,,17332.0,75397.0,,17332.0,
003906101,503917,,,138846.0,112016.0,,,,,,,,,,7839.0,33042.0,,15349.0,
003906999,3946,,,,,,282686.0,,,,,,,,4701.0,17786.0,13648.0,7568.0,
003907001,1363552,118755.0,30623.0,6972.0,437245.0,,,,,,,,,,52303.0,,,,
003907041,1530419,12841.0,18917.0,83719.0,228365.0,,,,,,,,,,33574.0,,,,
003907102,1733867,,31019.0,154835.0,196075.0,11116.0,,,,,,,,,34321.0,,,,
004901001,2730984,12000.0,4750.0,,420914.0,250.0,,,,,,,,,11152.0,384933.0,,124392.0,
004901041,2368441,3000.0,1250.0,,476347.0,250.0,,,,,,,,,12370.0,130558.0,,111231.0,
004901101,1557319,,,,389326.0,500.0,,,,,,,,,10727.0,153189.0,,74105.0,
004901102,798371,,500.0,,77913.0,500.0,,,,,,,,,1867.0,34293.0,,51237.0,
004901103,2295817,,1000.0,,437913.0,9718.0,,,,,,,,,13579.0,176819.0,,121752.0,
005901001,1148911,101745.0,2796.0,20968.0,127239.0,,,,,,,,,,64746.0,79130.0,,2140.0,
005901101,785845,,10289.0,84540.0,176892.0,,,,,,,,,,21196.0,45964.0,,,
005902001,960078,169684.0,,8830.0,83970.0,,,,,,,,,,41861.0,,,10168.0,
005902041,790644,,,43060.0,63009.0,,,,,,,,,,2054.0,,,1614.0,
005902101,1243661,,15663.0,75926.0,95958.0,5418.0,,,,,,,,,920.0,,,3064.0,
005902999,1574,,524.0,467.0,,,654735.0,1306.0,,,,,,380000.0,5282.0,230191.0,19534.0,42440.0,
005904001,459373,130713.0,1154.0,15680.0,26852.0,,,,,,,,,,5633.0,618.0,,31394.0,
005904041,380027,13355.0,,15804.0,10187.0,,,,,,,,,,227.0,,,12.0,
005904101,492968,,595.0,14400.0,59277.0,3559.0,,,,,,,,,550.0,288.0,,14657.0,
