,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,8259,6284,0
001902041,5966,4741,0
001902103,4991,4316,0
001903001,7460,4999,55
001903041,5485,4593,57
001903101,4014,3479,40
001904001,7220,5046,31
001904041,5871,4646,35
001904102,5913,4983,43
001906002,8041,5169,0
001906102,5449,4034,0
001907001,8188,4976,198
001907041,6183,4509,61
001907101,5597,4434,72
001907107,5711,4447,62
001907110,5964,4520,82
001908002,6112,4657,0
001908041,5799,4367,0
001908101,4615,3429,0
001908102,3805,2901,0
001909001,5512,4449,0
001909101,6420,5555,0
002901001,8701,5367,98
002901002,10175,9867,179
002901041,6987,4780,148
002901101,9473,7158,264
002901104,8029,6193,122
002901105,6426,4920,137
003801001,4654,3891,0
003902001,5544,3954,34
003902004,30658,17405,0
003902041,4910,3946,36
003902101,4066,3363,24
003902102,4543,3818,38
003903001,6773,4349,253
003903004,.,.,.
003903044,5465,4000,167
003903120,6314,4436,114
003903121,6232,4451,164
003903122,7129,5151,139
003903123,6469,4753,144
003903124,6165,4594,79
003903125,4552,3516,108
003903126,4442,3156,67
003903127,6106,4547,201
003903128,6276,4593,134
003903129,5253,4016,80
003903130,5578,4386,85
003903140,.,.,.
003903141,20353,9120,3044
003903201,5409,5409,0
003904001,6222,4451,27
003904005,9655,6138,2316
003904041,5491,4043,43
003904101,4412,3392,23
003904102,5271,3662,29
003905001,7919,5197,138
003905004,.,.,.
003905005,.,.,.
003905041,7058,4774,99
003905101,5641,4331,59
003905102,5847,4345,65
003906001,7964,5582,0
003906004,.,.,.
003906101,5522,4366,0
003907001,6601,4986,196
003907004,.,.,.
003907041,5643,4378,129
003907101,5413,4095,141
003907102,5260,4131,140
004901001,7037,5068,90
004901041,6517,4882,95
004901101,6659,5050,125
004901102,6611,4694,116
004901103,6066,4684,94
005901001,10072,7001,0
005901101,5879,4693,0
005902001,9364,6302,0
005902041,4462,3671,0
005902101,3894,3275,0
005904001,6856,4938,0
005904101,5066,4335,0
006902001,8054,6344,0
006902101,6922,5836,0
007901001,8661,7382,45
007901002,.,.,.
007901003,.,.,.
007901041,6570,5244,33
007901101,5891,5117,36
007902001,10015,5849,74
007902002,59813,35523,0
007902004,66144,66144,0
007902005,2996,2941,30
007902041,8845,5847,85
007902101,5289,3685,50
007904001,9331,5161,71
007904002,.,.,.
007904041,7465,4675,69
007904101,6109,3930,110
007904103,6457,4211,95
007905001,6951,4781,179
007905004,.,.,.
007905005,13072,13072,0
007905006,.,.,.
007905041,6921,4744,114
007905102,6331,4364,57
007905103,6024,4485,82
007905104,5692,4192,86
007905105,4826,3770,48
007906001,7238,4996,116
007906003,.,.,.
007906041,4982,3545,118
007906101,4933,4069,118
007906102,5435,3957,123
008901001,6925,4085,263
008901041,6324,4472,125
008901101,5548,4174,108
008901102,7070,5119,148
008901105,6738,4508,126
008902001,7757,5625,154
008902041,5939,4794,132
008902102,5434,4683,38
008902103,6280,5185,51
008903001,9614,5965,0
008903041,8686,5535,0
008903102,6219,4605,18
009901001,7718,5418,159
009901002,.,.,.
009901041,6373,4864,157
009901101,5783,4433,141
009901103,5100,4232,117
010901001,8733,6422,111
010901101,7763,5984,166
010902001,6452,4847,78
010902041,5404,4243,32
010902101,5566,4590,45
