,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
014908101,4665,3673,0
014909002,7499,4742,228
014909005,10952,6883,321
014909041,6187,4271,117
014909042,7025,4879,139
014909044,7096,5022,143
014909101,4267,3344,74
014909102,5806,4279,87
014909107,6332,4665,107
014909110,6022,4569,84
014909111,5354,3906,83
014909114,5306,3971,82
014909115,7354,5118,128
014909116,5669,4086,88
014909117,5279,3869,90
014909118,6192,4643,95
014910001,6351,4024,28
014910041,6217,4555,39
014910101,4694,3793,31
014910103,5259,4104,32
015801001,7983,3718,864
015801002,11079,3755,824
015801003,8544,2967,1125
015802001,7431,3707,0
015802004,6527,5106,0
015803101,5426,3656,127
015805041,7587,4991,17
015805101,7787,5219,13
015805102,7644,4979,15
015806001,14619,5042,772
015806003,3896,2664,138
015806041,4692,2874,437
015806101,5062,2833,209
015806103,5635,3047,227
015806104,4403,2601,37
015806105,6196,3087,272
015806106,8530,3562,373
015807001,4022,1991,97
015807002,8944,4837,584
015807004,5511,2887,121
015807005,10857,5270,271
015808001,28872,15925,1114
015808003,11096,7450,382
015808005,16888,11061,373
015808006,18678,11032,707
015808007,11591,6710,399
015809101,6225,3696,0
015811101,7022,4103,0
015812001,6995,4670,0
015813041,4086,3439,0
015814001,8248,4600,551
015815001,9668,4449,432
015815041,5643,3087,0
015815101,7065,3763,53
015815102,6496,3740,81
015815103,11044,2336,1240
015815104,6427,2937,0
015816001,7725,4403,42
015817001,7461,3417,167
015819001,6932,5348,20
015819101,8934,4021,4
015819102,13883,7646,1565
015819103,8082,4037,333
015819105,4616,3003,41
015819106,2813,1616,0
015819107,6867,2806,0
015819108,.,.,.
015820001,7032,4785,199
015820002,247,228,0
015822001,6961,3988,0
015822002,8734,5547,0
015822003,2806,1805,0
015822004,4026,2111,0
015823001,12589,6792,0
015824001,7969,4026,486
015824002,4576,2595,5
015825101,4768,3950,0
015826001,.,.,.
015826041,8038,4657,1
015827001,6361,4640,0
015827002,.,.,.
015828001,5910,3994,0
015830001,6370,4677,37
015831001,6763,3852,0
015832001,.,.,.
015833001,.,.,.
015901001,7560,5361,148
015901002,.,.,.
015901041,6614,5225,151
015901101,6388,5237,162
015901102,8236,6838,270
015901104,7053,5807,187
015904001,7502,4943,91
015904002,7095,4655,83
015904003,65769,39882,725
015904004,13402,7336,50
015904007,.,.,.
015904008,.,.,.
015904010,69508,32908,750
015904041,6744,4338,43
015904042,7092,4688,45
015904043,6892,4441,44
015904044,7618,4874,55
015904045,.,.,.
015904046,.,.,.
015904047,8875,8875,0
015904048,.,.,.
015904101,6209,4277,48
015904102,5846,4067,45
015904103,6677,4541,46
015904104,7591,5142,55
015904105,6138,4386,59
015904106,6069,4216,48
015904107,6692,4556,49
015904108,6278,4457,44
015904109,6585,4499,58
015904110,7202,4806,52
015904113,6296,4455,44
015904114,6794,4632,55
015904115,55891,41186,879
015904116,6841,4723,51
015904117,.,.,.
015905002,6294,4701,151
015905003,7071,5293,167
015905010,.,.,.
015905041,6291,4810,118
015905042,24538,18797,439
015905044,6354,4904,128
015905045,7278,5554,134
015905046,7019,5351,133
015905104,7459,5761,140
015905105,6029,4724,109
015905106,6570,5205,154
015905108,6305,4972,113
015905109,6173,4732,129
015905110,6079,4634,144
015905112,6190,4906,193
015905113,6165,4717,128
015905114,6524,5210,110
015905116,6257,4747,125
015905117,6257,4914,143
015905118,5642,5187,38
015905124,.,.,.
015905125,.,.,.
015906001,10209,6614,163
015906041,6749,4678,99
015906101,6708,4896,0
015907001,6293,4586,75
015907002,6587,4689,86
015907003,6035,4409,77
015907004,6900,4907,78
