,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,6151,4659,489
001902041,4114,3168,549
001902103,4236,3578,273
001903001,5872,3846,392
001903041,3993,3362,265
001903101,3299,2878,163
001904001,5467,3928,388
001904041,4290,3397,515
001904102,3951,3422,243
001906002,6169,3980,560
001906102,4568,3197,479
001907001,6026,3936,466
001907041,4498,3288,360
001907042,4808,3469,431
001907101,4357,3535,272
001907104,3847,2815,515
001907107,4333,3479,276
001907110,3862,2998,270
001908002,4541,3492,324
001908041,4583,3504,310
001908101,3439,2605,307
001908102,3225,2599,181
001909001,5658,4591,287
001909101,4663,4109,194
002901001,6252,4062,356
002901002,8813,7605,52
002901041,5932,4312,294
002901101,7064,5401,383
002901103,7062,5218,416
002901104,5585,3949,428
002901105,5152,3848,279
003801001,3829,3328,251
003902001,5113,3917,368
003902004,.,.,.
003902041,4123,3388,331
003902101,2813,2337,208
003902102,3271,2724,223
003903001,5209,3706,401
003903004,.,.,.
003903044,3971,3040,299
003903120,4604,3385,379
003903121,4401,3253,382
003903122,5902,4483,413
003903123,5781,4103,492
003903124,3901,2863,399
003903125,3011,2167,230
003903126,2325,1513,317
003903127,3841,2744,263
003903128,3778,2788,340
003903129,3538,2757,252
003903130,3769,2812,311
003903140,13231,.,0
003903141,.,.,.
003903201,.,.,.
003904001,5185,3439,391
003904005,3186,2956,8
003904041,4592,3107,446
003904101,3752,2829,269
003904102,5058,3649,514
003905001,5742,3623,396
003905004,.,.,.
003905041,4891,3350,402
003905101,4134,2879,352
003905102,3571,2218,353
003906001,6397,4318,365
003906101,3771,2610,350
003907001,4879,3851,418
003907004,.,.,.
003907041,3359,2613,346
003907101,3310,2897,235
003907102,3634,3183,256
004901001,5514,3683,449
004901041,5072,3619,403
004901101,4431,3370,369
004901102,4707,3630,384
004901103,4255,3461,251
005901001,6549,4691,394
005901101,4325,3277,342
005902001,7574,5044,467
005902041,3935,3174,476
005902101,4059,3346,300
005903001,9891,7985,768
005904001,6959,4553,438
005904101,4246,3361,373
006902001,6959,5702,504
006902101,3963,3242,424
007901001,8854,7187,737
007901041,4421,3503,552
007901101,3964,3235,311
007902001,8024,5234,324
007902002,.,.,.
007902004,625,600,0
007902005,1337,1330,0
007902041,5469,3447,430
007902101,4442,3166,352
007904001,7098,4214,488
007904002,.,.,.
007904041,5174,3325,326
007904042,4238,2741,433
007904101,4775,3090,284
007904103,3997,2396,300
007905001,5874,4092,429
007905003,13825,6218,3310
007905004,.,.,.
007905041,5494,3768,525
007905102,3965,2536,716
007905103,5021,3566,401
007905104,5068,3712,440
007905105,4203,3163,318
007906001,5885,4322,411
007906003,.,.,.
007906041,5240,4017,480
007906101,4964,4472,257
008901001,5214,3386,412
008901041,4579,3257,349
008901101,4482,3376,365
008901102,4579,3277,398
008901105,6310,4621,638
008902001,5751,4454,398
008902041,5425,4120,513
008902102,3715,3120,264
008902103,3881,3139,343
008903001,7392,4393,563
008903041,6151,4129,449
008903102,5895,4446,304
009901001,6248,4452,483
009901002,.,.,.
009901041,6216,4640,507
009901101,4860,3617,379
009901103,2989,2188,338
010901001,9135,7342,643
010901101,6085,5026,549
010902001,4898,3438,291
010902041,4415,3352,239
010902101,4052,3158,244
010902102,4774,3693,332
011901001,5127,3614,314
011901022,8494,5581,1715
011901033,15545,11290,2331
011901041,5055,3522,369
011901101,4566,3483,251
011901102,4530,3443,243
011901103,4329,3276,267
011901104,4900,3594,314
011901106,5308,3857,380
011901107,4792,3509,317
