,sat,act,act_pct
015822001,.,.,.
015823001,.,.,.
015901001,1095,22.7,88.8
015901002,.,.,.
015901041,.,.,.
015901101,.,.,.
015901102,.,.,.
015901104,.,.,.
015904001,842,18.4,48.6
015904002,832,17.9,51.5
015904003,.,.,.
015904004,.,.,3.4
015904007,.,.,.
015904008,.,.,.
015904041,.,.,.
015904042,.,.,.
015904043,.,.,.
015904044,.,.,.
015904045,.,.,.
015904046,.,.,.
015904101,.,.,.
015904102,.,.,.
015904103,.,.,.
015904104,.,.,.
015904105,.,.,.
015904106,.,.,.
015904107,.,.,.
015904108,.,.,.
015904109,.,.,.
015904110,.,.,.
015904111,.,.,.
015904113,.,.,.
015904114,.,.,.
015904115,.,.,.
015904116,.,.,.
015904117,.,.,.
015905002,831,17.3,54.7
015905003,806,16.6,48.5
015905006,.,.,0
015905007,.,.,.
015905041,.,.,.
015905044,.,.,.
015905045,.,.,.
015905046,.,.,.
015905101,.,.,.
015905102,.,.,.
015905104,.,.,.
015905105,.,.,.
015905106,.,.,.
015905107,.,.,.
015905108,.,.,.
015905109,.,.,.
015905110,.,.,.
015905112,.,.,.
015905113,.,.,.
015905114,.,.,.
015905115,.,.,.
015905116,.,.,.
015905117,.,.,.
015905118,.,.,.
015906001,1015,22.5,75.8
015906041,.,.,.
015906101,.,.,.
015907001,900,18.2,63.6
015907002,767,15.9,97
015907003,825,16.9,62.2
015907004,768,15.4,52.3
015907005,842,17.6,62.2
015907006,759,15,68.8
015907007,783,16.4,62.3
015907008,735,15.1,61.9
015907010,.,.,0
015907014,.,.,10.5
015907020,.,.,.
015907041,.,.,.
015907042,.,.,.
015907043,.,.,.
015907046,.,.,.
015907047,.,.,.
015907049,.,.,.
015907050,.,.,.
015907051,.,.,.
015907052,.,.,.
015907053,.,.,.
015907054,.,.,.
015907055,.,.,.
015907056,.,.,.
015907057,.,.,.
015907058,.,.,.
015907059,.,.,.
015907061,.,.,.
015907063,.,.,.
015907101,.,.,.
015907102,.,.,.
015907103,.,.,.
015907104,.,.,.
015907105,.,.,.
015907106,.,.,.
015907107,.,.,.
015907108,.,.,.
015907109,.,.,.
015907110,.,.,.
015907111,.,.,.
015907112,.,.,.
015907114,.,.,.
015907115,.,.,.
015907116,.,.,.
015907117,.,.,.
015907118,.,.,.
015907119,.,.,.
015907121,.,.,.
015907123,.,.,.
015907124,.,.,.
015907125,.,.,.
015907126,.,.,.
015907127,.,.,.
015907129,.,.,.
015907131,.,.,.
015907132,.,.,.
015907134,.,.,.
015907135,.,.,.
015907136,.,.,.
015907137,.,.,.
015907139,.,.,.
015907140,.,.,.
015907141,.,.,.
015907143,.,.,.
015907144,.,.,.
015907145,.,.,.
015907146,.,.,.
015907147,.,.,.
015907148,.,.,.
015907149,.,.,.
015907150,.,.,.
015907153,.,.,.
015907155,.,.,.
015907156,.,.,.
015907157,.,.,.
015907158,.,.,.
015907159,.,.,.
015907160,.,.,.
015907161,.,.,.
015907162,.,.,.
015907164,.,.,.
015907165,.,.,.
015907167,.,.,.
015907168,.,.,.
015907169,.,.,.
015907170,.,.,.
015907171,.,.,.
015907172,.,.,.
015907173,.,.,.
015907174,.,.,.
015907175,.,.,.
015907176,.,.,.
015907179,.,.,.
015907180,.,.,.
015907181,.,.,.
015907182,.,.,0
015907183,.,.,.
015907184,.,.,.
015907186,.,.,.
015907191,.,.,.
015907194,.,.,.
015907195,.,.,.
015907201,.,.,.
015907202,.,.,.
015908001,839,16.5,65.5
015908002,875,18.3,62.1
015908037,.,.,.
015908038,.,.,0
015908039,.,.,.
015908041,.,.,.
015908042,.,.,.
015908043,.,.,.
015908101,.,.,.
015908104,.,.,.
015908105,.,.,.
015908106,.,.,.
015908107,.,.,.
015908108,.,.,.
015908109,.,.,.
015908110,.,.,.
015908111,.,.,.
015908112,.,.,.
015909001,877,21.3,51.5
015909002,.,.,.
015909003,.,.,.
015909041,.,.,.
015909101,.,.,.
015909102,.,.,.
015909103,.,.,.
015910001,991,20,62.4
015910002,1052,22.1,81.3
015910003,1072,21.3,94.3
015910004,932,19,61.3
015910005,1001,20.6,80.3
015910006,.,.,.
015910007,1041,22.5,91.7
015910008,997,.,27.6
015910009,1042,20.7,89.9
015910011,.,.,.
015910012,.,.,.
015910022,.,.,.
015910041,.,.,.
015910042,.,.,.
015910043,.,.,.
015910044,.,.,.
015910045,.,.,.
015910046,.,.,.
015910047,.,.,.
015910048,.,.,.
015910049,.,.,.
015910050,.,.,.
015910053,.,.,.
015910054,.,.,0
015910055,.,.,.
015910056,.,.,.
015910070,.,.,.
015910071,.,.,.
015910074,.,.,.
015910075,.,.,.
015910101,.,.,.
015910102,.,.,.
015910103,.,.,.
015910104,.,.,.
015910105,.,.,.
015910106,.,.,.
015910107,.,.,.
015910108,.,.,.
015910109,.,.,.
015910110,.,.,.
015910111,.,.,.
015910112,.,.,.
015910113,.,.,.
015910114,.,.,.
015910115,.,.,.
015910116,.,.,.
015910117,.,.,.
015910118,.,.,.
015910119,.,.,.
015910120,.,.,.
015910121,.,.,.
015910122,.,.,.
015910123,.,.,.
015910124,.,.,.
015910125,.,.,.
015910126,.,.,.
015910127,.,.,.
015910128,.,.,.
015910129,.,.,.
015910130,.,.,.
015910131,.,.,.
015910132,.,.,.
015910133,.,.,.
015910134,.,.,.
015910135,.,.,.
015910136,.,.,.
015910137,.,.,.
015911001,956,20,63.7
015911004,.,.,.
015911005,.,.,.
015911041,.,.,.
015911042,.,.,.
015911043,.,.,.
015911101,.,.,.
015911102,.,.,.
015911103,.,.,.
015911104,.,.,.
015911105,.,.,.
015912001,847,18.4,47.6
015912003,.,.,.
015912041,.,.,.
015912042,.,.,.
015912043,.,.,.
015912044,.,.,.
015912101,.,.,.
015912102,.,.,.
015912103,.,.,.
015912104,.,.,.
015912105,.,.,.
015912106,.,.,.
015912107,.,.,.
015912108,.,.,.
015912109,.,.,.
015913001,1079,23.4,75
015913101,.,.,.
015914001,1021,21.5,81.8
015914101,.,.,.
015915001,894,18.7,44.1
015915002,863,17.9,56.9
015915003,1003,20.7,73.3
015915004,.,.,.
015915005,1046,22.6,76.3
015915006,1153,25,93.5
015915007,994,21.3,57.3
015915008,.,.,.
015915011,.,.,0
015915013,.,.,.
015915015,954,20.8,40.6
015915016,1012,21.8,83.6
015915020,.,.,.
015915039,.,.,.
015915041,.,.,.
015915042,.,.,.
015915043,.,.,.
015915044,.,.,.
015915045,.,.,.
015915046,.,.,.
015915047,.,.,.
015915048,.,.,.
015915049,.,.,.
015915050,.,.,.
015915051,.,.,.
015915052,.,.,.
015915061,.,.,.
015915062,.,.,.
015915101,.,.,.
015915102,.,.,.
015915103,.,.,.
015915104,.,.,.
015915105,.,.,.
015915106,.,.,.
015915108,.,.,.
015915109,.,.,.
015915111,.,.,.
015915112,.,.,.
015915113,.,.,.
015915114,.,.,.
015915115,.,.,.
015915116,.,.,.
015915117,.,.,.
015915118,.,.,.
015915119,.,.,.
015915121,.,.,.
015915122,.,.,.
015915123,.,.,.
015915124,.,.,.
015915125,.,.,.
015915127,.,.,.
015915128,.,.,.
015915129,.,.,.
015915131,.,.,.
015915132,.,.,.
015915133,.,.,0
015915134,.,.,.
015915135,.,.,.
015915136,.,.,.
015915137,.,.,.
015915138,.,.,.
015915139,.,.,.
015915140,.,.,.
015915143,.,.,.
015915144,.,.,.
015915145,.,.,.
015915149,.,.,.
015915150,.,.,.
015915151,.,.,.
015915152,.,.,.
015915156,.,.,.
015915157,.,.,.
015915158,.,.,.
015915159,.,.,.
015915160,.,.,.
015915161,.,.,.
015915162,.,.,.
015915163,.,.,.
015915165,.,.,.
015915166,.,.,.
015915167,.,.,.
015915168,.,.,.
015915201,.,.,0
015915202,.,.,.
015915250,.,.,.
015916001,973,20,69.1
015916003,.,.,6.9
015916004,.,.,.
015916005,.,.,.
015916006,.,.,.
015916041,.,.,.
015916042,.,.,.
015916043,.,.,.
015916101,.,.,.
015916102,.,.,.
015916103,.,.,.
015916104,.,.,.
015916105,.,.,.
015916106,.,.,.
015916107,.,.,.
015916109,.,.,.
015916110,.,.,.
015916111,.,.,.
015916112,.,.,.
015916113,.,.,.
015916114,.,.,.
015917001,825,17.2,48.5
015917002,.,.,.
015917003,.,.,.
015917041,.,.,.
015917102,.,.,.
015917103,.,.,.
015917104,.,.,.
016901001,966,20.2,73.7
016901041,.,.,.
016901101,.,.,.
016902001,1067,20.5,70.5
016902041,.,.,.
016902101,.,.,.
017901001,.,22.4,.
018901001,1002,19.6,73.2
018901041,.,.,.
018901101,.,.,.
018901103,.,.,.
018902001,1069,22.4,82.6
018902101,.,.,.
018903001,.,.,20
018904001,.,.,31.3
018904041,.,.,.
018904101,.,.,.
018905001,.,19.6,55.6
018906001,.,.,50
018907001,.,.,.
018908001,.,.,.
019802001,.,.,.
019901001,950,18.2,90.9
019901041,.,.,.
019901102,.,.,.
019902002,.,18.8,63.2
019902041,.,.,.
019902102,.,.,.
019903001,792,18.9,69
019905001,1022,20.5,89.7
019905041,.,.,.
019905101,.,.,.
019906001,.,23,68.9
019906041,.,.,.
019906101,.,.,.
019906102,.,.,.
019907002,1075,20.3,74.5
019907003,.,.,0
019907042,.,.,.
019907103,.,.,.
019907105,.,.,.
019907107,.,.,.
019907108,.,.,.
019907109,.,.,.
019907111,.,.,.
019907113,.,.,.
019907115,.,.,.
019908001,893,19,65.9
019908002,.,.,.
019908003,.,.,.
019908041,.,.,.
019908101,.,.,.
019908102,.,.,.
019908103,.,.,.
019909001,.,18.8,85.7
019909101,.,.,.
019909200,.,.,.
019910101,.,.,.
019911041,.,.,.
019911101,.,.,.
019912001,1062,21.9,96.6
019912041,.,.,.
019912102,.,.,.
019913101,.,.,.
019914101,.,.,.
020901001,1009,20.8,47.9
020901004,.,.,.
020901041,.,.,.
020901042,.,.,.
020901043,.,.,.
020901044,.,.,.
020901101,.,.,.
020901102,.,.,.
020901103,.,.,.
020901104,.,.,.
020901105,.,.,.
020901106,.,.,.
020901107,.,.,.
020901108,.,.,.
020901109,.,.,.
020901110,.,.,.
020901200,.,.,.
020902001,1010,21.6,55.8
020902002,.,.,.
020902003,.,.,.
020902004,.,.,.
020902005,.,.,.
020902041,.,.,.
020902042,.,.,.
020902101,.,.,.
020902102,.,.,.
020902103,.,.,.
020902104,.,.,.
020902108,.,.,.
020902109,.,.,.
020904001,950,20.8,55.1
020904002,.,.,.
020904041,.,.,.
020904101,.,.,.
020905001,903,18.8,45.2
020905002,1054,22.1,64
020905004,.,.,.
020905005,.,.,.
020905006,.,.,.
020905041,.,.,.
020905042,.,.,.
020905043,.,.,.
020905101,.,.,.
020905102,.,.,.
020905104,.,.,.
020905106,.,.,.
020905107,.,.,.
020905108,.,.,.
020905109,.,.,.
020905110,.,.,.
020905111,.,.,.
020905113,.,.,.
020905114,.,.,.
020905115,.,.,.
020905116,.,.,.
020906002,999,20.9,62
020906003,.,.,.
020906041,.,.,.
020906104,.,.,.
020907001,954,19.9,52.5
020907005,.,.,.
020907042,.,.,.
020907101,.,.,.
020907102,.,.,.
020907103,.,.,.
020907104,.,.,.
020907106,.,.,.
020908001,1030,20.6,64.6
020908002,.,.,.
020908041,.,.,.
020908042,.,.,.
020908101,.,.,.
020908102,.,.,.
020908103,.,.,.
020908104,.,.,.
020908105,.,.,.
020908106,.,.,.
020908107,.,.,.
020908108,.,.,.
020908109,.,.,.
020910101,.,.,.
021802001,.,.,0
021803001,.,.,.
021901001,1109,23.2,81.9
021901002,.,.,0
021901041,.,.,.
021901042,.,.,.
021901101,.,.,.
021901102,.,.,.
021901104,.,.,.
021901105,.,.,.
021901107,.,.,.
021901201,.,.,.
021901202,.,.,.
021902001,1007,19.9,64.2
021902011,.,.,0
021902012,.,.,.
021902014,.,.,.
021902041,.,.,.
021902045,.,.,.
021902046,.,.,.
021902101,.,.,.
021902103,.,.,.
021902105,.,.,.
021902106,.,.,.
021902107,.,.,.
021902108,.,.,.
021902109,.,.,.
021902110,.,.,.
021902112,.,.,.
021902113,.,.,.
021902114,.,.,.
021902115,.,.,.
021902116,.,.,.
021902117,.,.,.
021902118,.,.,.
021902119,.,.,.
022004001,914,.,39.1
022004101,.,.,.
022901001,966,19.9,73.3
022901041,.,.,.
022901101,.,.,.
022902001,723,.,66.7
022903101,.,.,.
023902001,905,20.1,.
024801101,.,.,.
024901001,800,17,46.6
024901041,.,.,.
024901101,.,.,.
024901103,.,.,.
025901001,1043,21.3,85.7
025901002,.,.,.
025901041,.,.,.
025901101,.,.,.
025901160,.,.,.
025902001,972,20.2,72.7
025902002,.,.,9.8
025902041,.,.,.
025902042,.,.,.
025902101,.,.,.
025902105,.,.,.
025902106,.,.,.
025902107,.,.,.
025902108,.,.,.
025902109,.,.,.
025904001,.,20.6,.
025904101,.,.,.
025904160,.,.,.
025905001,914,22,.
025905101,.,.,.
025906001,.,17.8,.
025906101,.,.,.
025906160,.,.,.
025908001,1029,21.1,100
025908101,.,.,.
025909001,1019,21.8,85.9
025909041,.,.,.
025909101,.,.,.
025909102,.,.,.
026901001,1005,19.4,53.1
026901041,.,.,.
026901042,.,.,.
026901101,.,.,.
026902001,908,16.9,39.5
026902005,.,.,.
026902041,.,.,.
026902101,.,.,.
026903002,1020,20.3,65.5
026903101,.,.,.
027903001,1011,20.5,61.4
027903003,.,.,0
027903041,.,.,.
027903101,.,.,.
027903102,.,.,.
027903104,.,.,.
027904001,1009,21.4,70.5
027904041,.,.,.
027904101,.,.,.
027904102,.,.,.
027904103,.,.,.
028902001,947,19,62.2
028902004,.,.,.
028902038,.,.,0
028902043,.,.,.
028902045,.,.,.
028902101,.,.,.
028902102,.,.,.
028902103,.,.,.
028902104,.,.,.
028903001,927,19.6,69.1
028903041,.,.,.
028903101,.,.,.
028903102,.,.,.
028903103,.,.,.
028906001,715,.,.
029901001,1038,18.5,43.9
029901003,.,.,4.5
029901004,.,.,.
029901043,.,.,.
029901101,.,.,.
029901102,.,.,.
029901104,.,.,.
029901105,.,.,.
029901107,.,.,.
030901001,1044,19.2,56.4
030901101,.,.,.
030902001,1042,22.4,57.7
030902041,.,.,.
030902101,.,.,.
030902102,.,.,.
030902103,.,.,.
030903001,.,19.2,100
030903101,.,.,.
030906001,1044,20,67.6
030906041,.,.,.
030906101,.,.,.
031801001,.,.,0
031802001,.,.,0
031901001,939,19.5,36.7
031901002,885,18.4,27.1
031901003,880,17.4,32.7
031901004,840,17.3,48.5
031901007,817,17,23.8
031901034,.,.,.
031901041,.,.,.
031901042,.,.,.
031901043,.,.,.
031901044,.,.,.
031901045,.,.,.
031901046,.,.,.
031901047,.,.,.
031901048,.,.,.
031901051,.,.,.
031901101,.,.,.
031901102,.,.,.
031901103,.,.,.
031901104,.,.,.
031901105,.,.,.
031901106,.,.,.
031901108,.,.,.
031901109,.,.,.
031901110,.,.,.
031901111,.,.,.
031901112,.,.,.
031901113,.,.,.
031901115,.,.,.
031901116,.,.,.
031901117,.,.,.
031901120,.,.,.
031901121,.,.,.
031901122,.,.,.
031901123,.,.,.
031901124,.,.,.
031901126,.,.,.
031901127,.,.,0
031901128,.,.,.
031901129,.,.,.
031901130,.,.,.
031901131,.,.,.
031901132,.,.,.
031901133,.,.,.
031901134,.,.,.
031901135,.,.,.
031901136,.,.,.
031901137,.,.,.
031901138,.,.,.
031903001,925,18.9,47.9
031903002,936,19.4,57.1
031903003,.,.,0
031903004,.,.,.
031903041,.,.,.
031903042,.,.,.
031903043,.,.,.
031903044,.,.,.
031903102,.,.,.
031903103,.,.,.
031903104,.,.,.
031903105,.,.,.
031903106,.,.,.
031903107,.,.,.
031903108,.,.,.
031903109,.,.,.
031903110,.,.,.
031903111,.,.,.
031903112,.,.,.
031903114,.,.,.
031903116,.,.,.
031903117,.,.,.
031903118,.,.,.
031903120,.,.,.
031905001,1029,18.5,46.9
031905002,.,.,0
031905003,.,.,.
031905041,.,.,.
031905101,.,.,.
031905102,.,.,.
031905103,.,.,.
031905104,.,.,.
