,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
013801101,-1,-1,-1,.,.,.
013901001,51,55,76,995,17.9,59.7
013901002,-1,-1,-1,.,.,0
013901041,-1,-1,-1,.,.,.
013901101,-1,-1,-1,.,.,.
013901102,-1,-1,-1,.,.,.
013901104,-1,-1,-1,.,.,.
013901105,.,.,.,.,.,.
013901106,-1,-1,-1,.,.,.
013902101,-1,-1,-1,.,.,.
013903001,51,50,94,929,19.2,57.7
013903101,-1,-1,-1,.,.,.
013905001,42,42,84,-1,18.5,54.5
013905041,-1,-1,-1,.,.,.
013905101,-1,-1,-1,.,.,.
014801001,-3,-3,80,-1,.,3
014802001,-1,-1,-1,.,.,0
014803101,20,-1,80,.,.,-1
014804001,-1,-1,-1,.,.,.
014901001,65,71,86,1040,21.5,76.8
014901041,-1,-1,-1,.,.,.
014901101,-1,-1,-1,.,.,.
014902001,48,50,80,779,17.4,34.5
014902002,.,.,.,.,.,.
014902101,-1,-1,-1,.,.,.
014903001,63,66,88,1061,19.3,97.3
014903005,38,43,75,.,17.5,33.3
014903041,-1,-1,-1,.,.,.
014903102,-1,-1,-1,.,.,.
014903103,-1,-1,-1,.,.,.
014903104,-1,-1,-1,.,.,.
014903108,-1,-1,-1,.,.,.
014903109,-1,-1,-1,.,.,.
014903110,-1,-1,-1,.,.,.
014903111,-1,-1,-1,.,.,.
014903112,-1,-1,-1,.,.,.
014905001,75,81,92,1003,21.1,58.8
014905041,-1,-1,-1,.,.,.
014905101,-1,-1,-1,.,.,.
014906001,48,50,80,920,19.7,60.6
014906002,63,67,86,957,19.4,62.5
014906004,.,.,.,.,.,.
014906006,67,-1,67,.,.,0
014906007,57,58,86,959,20,65.8
014906008,39,39,76,885,18.7,71.5
014906009,.,.,.,.,.,.
014906022,-1,-1,-1,.,.,-1
014906025,-1,-1,-1,.,.,.
014906026,.,.,.,.,.,.
014906041,-1,-1,-1,.,.,.
014906042,-1,-1,-1,.,.,.
014906043,-1,-1,-1,.,.,.
014906044,-1,-1,-1,.,.,.
014906045,-1,-1,-1,.,.,.
014906046,-1,-1,-1,.,.,.
014906048,-1,-1,-1,.,.,.
014906049,-1,-1,-1,.,.,.
014906050,-1,-1,-1,.,.,.
014906051,-1,-1,-1,.,.,.
014906052,-1,-1,-1,.,.,.
014906100,.,.,.,.,.,.
014906102,-1,-1,-1,.,.,.
014906103,-1,-1,-1,.,.,.
014906104,-1,-1,-1,.,.,.
014906105,-1,-1,-1,.,.,.
014906106,-1,-1,-1,.,.,.
014906108,-1,-1,-1,.,.,.
014906109,-1,-1,-1,.,.,.
014906110,-1,-1,-1,.,.,.
014906111,-1,-1,-1,.,.,.
014906112,-1,-1,-1,.,.,.
014906113,-1,-1,-1,.,.,.
014906115,-1,-1,-1,.,.,.
014906116,-1,-1,-1,.,.,.
014906117,-1,-1,-1,.,.,.
014906119,-1,-1,-1,.,.,.
014906120,-1,-1,-1,.,.,.
014906121,-1,-1,-1,.,.,.
014906122,-1,-1,-1,.,.,.
014906123,-1,-1,-1,.,.,.
014906124,-1,-1,-1,.,.,.
014906125,-1,-1,-1,.,.,.
014906126,-1,-1,-1,.,.,.
014906127,-1,-1,-1,.,.,.
014906128,-1,-1,-1,.,.,.
014906129,-1,-1,-1,.,.,.
014906130,-1,-1,-1,.,.,.
