,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,7025,5372,428
001902041,4965,4027,495
001902103,4241,3616,267
001903001,5748,3953,249
001903041,3832,3211,305
001903101,3149,2792,153
001904001,5206,3663,367
001904041,3334,2920,376
001904102,3870,3418,208
001906002,7193,4644,577
001906102,5422,3944,468
001907001,5146,3464,361
001907041,4476,3416,313
001907042,4421,3197,389
001907101,3757,3097,216
001907104,3226,2310,414
001907107,3668,2956,233
001907110,3891,3193,247
001908002,4070,3140,316
001908041,4105,3088,275
001908101,3093,2395,265
001908102,3087,2489,201
001909001,5230,4155,263
001909101,4247,3637,200
002901001,5546,3608,289
002901002,2118,2060,0
002901041,5258,3773,318
002901101,4940,3744,288
002901103,7665,5758,462
002901104,5915,4376,396
002901105,5410,4102,352
003801001,.,.,.
003902001,4649,3690,254
003902004,.,.,.
003902041,3697,2997,296
003902102,3070,2690,158
003903001,4637,3333,314
003903004,.,.,.
003903044,3930,3043,261
003903120,4182,3105,308
003903121,4133,3076,257
003903122,4768,3626,295
003903123,4235,3018,376
003903124,3624,2637,358
003903125,2660,2025,224
003903126,2747,1926,174
003903127,3760,2725,290
003903128,4193,3166,380
003903129,3798,2943,247
003903130,3716,2858,324
003903140,.,.,.
003903141,796,796,0
003903201,.,.,.
003904001,4830,3444,304
003904005,2360,2082,170
003904041,4763,3122,385
003904101,3363,2375,165
003904102,3730,3201,402
003905001,5665,3734,385
003905004,.,.,.
003905041,4786,3325,404
003905101,3669,2629,281
003905102,3335,2397,240
003906001,5709,3872,295
003906004,.,.,.
003906101,3474,2568,207
003907001,4540,3597,394
003907004,.,.,.
003907041,3774,2974,378
003907101,3090,2723,225
003907102,3062,2690,214
004901001,5106,3417,377
004901041,5580,4128,352
004901042,4474,3360,326
004901101,4332,3253,242
004901102,3763,2990,237
004901103,4795,3604,409
005901001,6180,4277,488
005901101,4164,3341,279
005902001,5527,3452,412
005902041,3653,3027,361
005902101,3520,2863,240
005903001,8525,7392,586
005903101,7347,6071,756
005904001,6928,4920,405
005904101,3462,2847,321
006902001,5497,4436,404
006902101,4048,3389,385
007901001,6948,5299,836
007901041,4388,2983,752
007901101,4835,3628,410
007902001,7177,4242,470
007902002,.,.,.
007902005,2637,2633,0
007902041,5378,3619,398
007902101,4196,3217,204
007904001,6953,3990,476
007904041,5138,3444,355
007904101,4535,3258,271
007905001,5310,3741,348
007905003,22208,10680,4335
007905004,.,.,.
007905041,5069,3522,483
007905102,3724,2431,625
007905103,4803,3413,387
007905104,4785,3542,404
007905105,3862,2907,292
007906001,6380,4540,446
007906003,7000,7000,0
007906041,4542,3462,399
007906101,4817,4380,222
008901001,4380,2890,288
008901041,4148,2977,296
008901101,3877,2999,212
008901102,3933,2899,332
008901105,4654,3478,444
008902001,4793,3576,253
008902041,5255,3960,436
008902102,3582,2914,238
008902103,3875,3048,279
008903001,5972,3583,349
008903041,5817,3784,449
008903102,5157,3938,280
009901001,6747,4453,412
009901002,.,.,.
009901041,5927,3960,572
009901101,5748,4114,333
009901103,4492,3264,243
009903001,7384,6251,479
010901001,5969,4644,482
010901101,4621,3618,564
010902001,5150,3461,262
010902002,1874,933,534
010902041,4673,3442,225
010902101,4156,3149,211
010902102,4554,3365,244
011901001,4495,3062,288
011901003,.,.,.
011901022,8064,5078,1796
011901033,11011,8039,1535
011901038,1388,475,67
011901041,4444,3241,271
011901101,4190,3093,249
011901102,4771,3351,305
011901103,3520,2611,227
011901104,3451,2491,217
011901105,3695,2753,323
011902001,6590,4593,414
011902002,9622,4802,363
011902003,300,.,0
011902041,4776,3578,275
011902101,5008,3798,344
011902102,4147,3262,210
011904002,5162,4184,326
011904039,4307,4186,17
011904041,4900,3805,379
011904101,3704,2882,270
011904102,3797,3154,239
011905101,4661,3944,251
012901001,7433,4972,341
012901101,5542,4258,272
013901001,5557,3556,237
013901002,20994,13521,3724
013901041,4726,3189,321
013901101,3708,2650,230
013901102,4743,3482,254
013901104,4031,3187,278
013901105,4435,3574,319
013901106,3975,2947,288
013902101,6515,4166,286
013903001,5524,3747,810
013903101,5466,4676,402
013905001,5053,3563,429
013905041,5347,3954,616
013905101,4354,3494,328
014801001,1975,1144,650
014802001,2967,1953,418
014803101,12378,7837,488
014901001,4216,3014,449
014901041,4153,3454,280
014901101,4080,3475,275
014902001,5746,3777,588
014902041,3408,2519,609
014902101,3844,3201,338
014903001,4070,2879,252
014903005,4876,3008,1213
014903006,.,.,.
014903041,3781,3099,214
014903102,3568,2858,341
014903103,3614,2775,426
014903104,3222,2639,368
014903108,3540,2917,326
014903109,3534,2789,425
014903110,3049,2480,238
014903111,4326,3641,488
014903113,4060,3413,458
014905001,5035,3361,443
014905041,3949,3006,243
014905101,3949,3282,424
014906001,4808,3157,267
014906002,4169,2682,227
014906004,17607,10241,1960
014906006,8675,5696,1253
014906009,12052,8563,1630
014906011,5652,3118,413
014906012,5686,3159,420
014906022,6066,5647,0
014906025,7772,7138,37
014906026,.,.,.
014906041,4930,3104,354
014906042,4779,3239,296
014906043,4973,3241,342
014906044,5338,3362,410
014906045,4219,2790,249
014906046,4526,2975,291
014906048,4389,2761,283
014906049,4561,2813,326
014906102,5044,3208,395
014906103,4956,3070,433
014906104,4711,2909,455
014906105,4739,3138,362
014906106,4570,2953,284
014906108,4117,2800,276
014906109,4155,2601,345
014906110,4199,2775,326
014906111,4336,2879,332
014906112,3797,2295,394
014906113,4584,3106,371
014906114,5487,3126,618
014906115,4356,2932,319
014906116,4159,2648,371
014906117,4152,2524,287
014906119,3618,2363,232
014906120,3694,2496,263
014906121,4028,2701,286
014906122,4255,2770,338
014906123,4329,2854,322
014906124,3929,2612,300
014906125,4460,2931,352
014906126,4108,2632,318
014906127,4951,3353,270
014906128,3475,2277,212
014907001,5772,4851,421
014907041,2571,1989,374
014907102,3322,2848,218
014908001,5899,4270,564
014908041,2574,2173,264
014908101,3684,3044,302
014909002,5121,3308,303
014909041,4509,3272,254
014909042,4545,3450,247
014909044,5001,3687,322
014909101,5004,3647,231
014909102,5208,4088,331
014909105,4828,3406,285
014909107,3987,3158,194
014909109,3754,2859,225
014909110,4830,3599,284
014909111,4929,3805,250
014909114,4958,3783,232
014909115,4194,3233,254
014909116,4161,3128,192
014909117,4145,3101,224
014909118,4258,3262,208
014910001,4700,3366,435
014910041,4056,3176,341
014910101,3749,3075,287
015801001,2779,1444,352
015802001,4436,2597,0
015803101,3569,2330,525
015805101,3948,2677,276
015806101,3877,2639,305
015806102,6564,3610,2934
015807001,4399,2965,489
015808001,7028,6744,0
015809101,6945,5485,407
015810001,21621,10829,6753
015811101,4682,1946,843
015813041,.,.,.
015814001,2745,953,416
015815001,5743,3189,406
015815101,.,.,.
015818001,3658,2401,548
015819001,4010,2429,158
015901001,5051,3786,361
015901002,.,.,.
015901041,4616,3718,291
015901101,4776,4088,271
015901102,5346,4456,332
015901104,4826,4118,246
015904001,5068,3613,509
015904002,5369,3776,575
015904003,27020,18471,4229
015904004,8425,3986,1811
015904006,.,.,.
015904007,.,.,.
015904041,5254,3712,612
015904042,5013,3453,647
015904043,4882,3301,624
015904044,4914,3402,600
015904045,.,.,.
015904101,4155,3066,354
015904102,3961,3020,354
015904103,4085,3027,387
015904104,5281,4030,446
015904105,4211,2997,462
015904106,3752,2753,377
015904107,4251,3140,387
015904108,4808,3585,485
015904109,3941,2942,355
015904110,4146,3042,386
015904111,4820,3472,469
015904113,4248,3122,410
015904114,4315,3100,449
015904115,40992,31541,3464
015904116,4796,3598,392
015905002,4253,3281,386
015905003,4404,3376,398
015905006,5514,3603,975
015905010,.,.,.
015905012,10008,7802,73
015905013,1325,608,298
015905014,1521,685,133
015905041,4619,3447,359
015905044,5442,3840,599
015905045,4450,3292,428
015905046,5805,4458,489
015905047,6571,4589,804
015905101,4352,3242,430
015905102,4623,3486,426
015905104,4926,3628,433
015905105,4175,3299,308
015905106,3863,2942,345
015905107,4360,3353,355
015905108,4668,3523,345
015905109,4152,3074,335
015905110,6595,4597,581
015905112,3932,2944,299
015905113,4509,3259,520
015905114,4082,3200,335
015905115,4011,3092,331
015905116,3887,3051,262
015905117,4181,3120,381
015905118,4971,2315,1086
015906001,9168,5943,468
015906041,6105,4267,369
015906101,5383,4020,310
015907001,4117,3108,244
015907002,4969,3602,351
015907003,4738,3475,299
015907004,4749,3470,339
015907005,4199,3169,249
015907006,5689,4030,357
015907007,4886,3519,315
015907008,4354,3197,302
015907009,13155,7283,1766
015907010,33427,20166,4800
015907014,6442,4673,696
015907020,1579,1579,0
015907041,4797,3424,345
015907042,5655,3874,458
015907043,4052,3075,249
015907046,4771,3421,346
015907047,4881,3485,374
015907049,4481,3281,319
015907050,4895,3527,370
015907051,5287,3743,400
015907052,4961,3540,362
015907053,5197,3667,395
015907054,4504,3339,338
015907055,5238,3582,418
015907056,6654,4523,686
015907057,4704,3450,340
015907058,4702,3381,349
015907059,4410,3131,359
015907061,4129,3129,249
015907063,18348,10808,3087
015907101,5615,4287,412
015907102,5720,4133,499
015907103,4766,3637,341
015907104,5011,3715,370
015907105,5249,3978,390
015907106,4739,3557,341
015907107,5853,4371,459
015907108,4465,3377,357
015907109,4850,3470,438
015907110,5080,3793,357
015907111,4803,3547,353
015907112,4793,3666,379
015907114,6800,4858,577
015907115,4665,3429,381
015907116,4275,3313,283
015907117,4306,3171,348
015907118,4245,3302,242
015907119,5037,3779,454
015907121,4002,3015,302
015907123,4952,3855,372
015907124,5079,3770,446
015907125,4368,3382,316
015907126,4614,3528,362
