,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,7445,5569,0
001902041,4384,3326,0
001902103,4424,3762,0
001903001,6414,4148,45
001903041,5337,4465,54
001903101,3895,3350,35
001904001,7404,5076,46
001904041,4575,3545,40
001904102,5223,4511,43
001906002,6982,4155,0
001906102,5662,4115,0
001907001,6635,4053,129
001907041,5350,3934,34
001907101,4893,3954,30
001907107,4581,3593,18
001907110,4320,3202,39
001908002,5410,3595,0
001908041,5083,3962,0
001908101,3912,3064,0
001908102,3418,2772,0
001909001,5788,4658,0
001909101,4948,4287,0
002901001,6754,4104,84
002901002,7120,6485,128
002901041,6048,4166,126
002901101,8643,6330,247
002901103,6843,4835,164
002901104,6445,4630,172
002901105,5274,4030,109
003801001,3912,3228,1
003902001,5805,4116,52
003902004,33530,19702,0
003902041,4633,3678,27
003902101,3634,2992,13
003902102,3865,3286,28
003903001,5898,3811,197
003903004,64,64,0
003903044,5128,3750,160
003903120,5750,4256,93
003903121,5892,4267,158
003903122,5722,4134,121
003903123,5337,3864,141
003903124,5368,3915,68
003903125,4085,3086,81
003903126,4780,2994,354
003903127,5225,3927,162
003903128,5374,4168,99
003903129,5157,3959,78
003903130,4867,3907,54
003903140,.,.,.
003903141,24362,10487,5439
003903201,2526,2526,0
003904001,5161,3629,83
003904005,6795,5364,1134
003904041,5504,4078,130
003904101,4305,3289,81
003904102,5215,3627,66
003905001,6977,4310,172
003905004,.,.,.
003905005,.,.,.
003905041,6689,4462,195
003905101,5679,4027,153
003905102,6033,4201,128
003906001,6852,4669,0
003906101,4679,3490,0
003907001,5437,4204,92
003907004,.,.,.
003907041,4891,3773,101
003907101,4781,3798,112
003907102,5230,4152,117
004901001,5765,4150,91
004901041,5007,3841,86
004901101,5667,4487,115
004901102,5248,3883,108
004901103,4905,3839,94
005901001,8275,5819,0
005901101,5339,4207,0
005902001,8683,5973,0
005902041,4726,3875,0
005902101,4044,3328,0
005904001,6571,4711,0
005904101,4254,3670,0
006902001,6341,5247,0
006902101,5650,4873,0
007901001,8488,6918,16
007901003,.,.,.
007901041,5111,4057,7
007901101,4837,4236,10
007902001,8856,4759,42
007902002,100492,55904,0
007902004,.,.,.
007902005,3431,3384,23
007902041,7064,4710,81
007902101,5031,3632,53
007904001,8022,4577,52
007904002,.,.,.
007904041,6524,4136,68
007904101,5189,3416,90
007904103,5363,3428,65
007905001,6790,4690,99
007905003,17513,8530,168
007905004,.,.,.
007905041,5670,3948,91
007905102,4890,3263,37
007905103,5765,4297,92
007905104,5947,4394,89
007905105,4521,3398,57
007906001,6659,4543,168
007906003,.,.,.
007906041,5645,3941,246
007906101,4665,3916,131
007906102,4328,3351,135
008901001,5832,3579,309
008901041,5108,3551,69
008901101,5000,3814,69
008901102,5292,3881,79
008901105,5975,4121,78
008902001,6702,5440,1
008902041,5564,4566,0
008902102,5850,5188,0
008902103,4925,4159,0
008903001,8543,5014,0
008903041,8457,5460,0
008903102,6146,4480,18
009901001,7083,5178,102
009901002,.,.,.
009901041,6510,4970,128
009901101,5398,4282,103
009901103,4725,3952,73
010901001,9079,6719,139
010901101,8065,6453,163
010902001,5353,3904,47
010902041,5300,4115,59
010902101,5735,4687,80
010902102,4904,3873,73
011901001,5111,3660,31
011901033,10426,7922,104
011901041,4634,3306,20
011901101,5076,3934,17
011901102,5470,4200,23
011901103,4712,3604,16
011901104,4459,3282,17
011901106,4884,3410,23
011901107,5261,4026,24
011901108,4366,3163,15
011901109,4879,3709,17
011901110,4900,3791,17
011902001,6652,4058,118
011902003,.,.,.
011902004,5528,1974,262
011902041,5777,3831,172
011902101,5030,3371,101
011902102,5540,3762,164
011902103,4952,3328,47
011904002,5638,4129,91
011904041,5327,3969,106
011904101,4643,3557,94
011904102,5103,3974,97
011905101,5425,4149,0
012901001,11356,6029,0
012901042,5642,4501,0
012901101,6585,4679,0
013801101,8309,5444,327
013901001,6576,3898,138
013901002,12172,8003,135
013901041,5910,3717,99
013901101,5715,4085,103
013901102,6889,5079,173
013901104,5744,4464,113
013901105,5098,3738,124
013901106,5578,4184,136
013902101,7116,4498,2
013903001,7429,5026,0
013903101,6952,5844,0
013905001,7171,5030,0
013905041,5193,3750,0
013905101,5254,4350,0
014801001,4174,2374,0
014802001,5541,2723,0
014803101,4517,3528,0
014804001,18080,11695,0
014901001,6424,4546,0
014901041,6524,5433,0
014901101,4730,3965,0
014902001,5486,3511,0
014902101,5779,4883,0
014903001,5161,3495,123
014903005,5500,3636,96
014903006,.,.,.
014903042,5581,4071,142
014903043,5457,3849,145
014903102,5472,3785,103
014903103,5707,4204,208
014903104,5027,3613,261
014903108,4359,3306,110
014903109,4766,3514,160
014903111,3975,3099,119
014903114,5574,4242,130
014905001,7669,4918,10
014905041,4971,3907,3
014905101,4137,3548,5
014906001,7287,4349,120
014906002,6287,3908,100
014906004,16970,10437,177
014906006,11161,7769,155
014906007,6288,3891,98
014906008,5927,3698,90
014906009,15636,11707,197
014906022,9356,5381,399
014906025,19842,17494,230
014906026,.,.,.
014906041,7311,4586,94
014906042,6740,4427,98
014906043,6770,4303,80
014906044,6038,4019,87
014906045,7803,4709,88
014906046,6433,4242,94
014906048,6481,4081,88
014906049,5967,3787,70
014906050,6046,3946,85
014906051,6232,3946,71
014906052,6693,4087,73
014906100,25074,20622,1005
014906102,7098,4805,75
014906103,7369,4983,97
014906104,8746,5654,82
014906105,6410,4369,61
014906108,7990,5470,82
014906109,6158,4193,64
014906110,6769,4698,79
014906111,6685,4619,59
014906112,7556,5158,68
014906113,6941,4807,86
014906115,5578,3948,70
014906116,5375,3824,49
014906117,6052,4221,52
014906119,5814,4210,68
014906120,6168,4352,66
014906121,4730,3331,49
014906122,6234,4393,78
014906123,5811,4067,52
014906124,5540,3906,59
014906125,5490,3774,57
014906126,6921,4840,66
014906127,6061,4149,81
014906128,6085,4227,80
014906129,5266,3592,57
014906130,6364,3973,49
014906131,5326,3761,58
014906132,6011,4187,61
014906133,6403,4250,47
014906135,.,.,.
014906136,.,.,.
014907001,6947,5837,16
014907041,4167,3455,0
014907102,3830,3403,0
014908001,6931,4698,0
014908041,3812,3139,0
014908101,4046,3343,0
014909002,6063,3714,151
014909006,.,.,.
014909041,5385,3597,73
014909042,5655,3931,78
014909044,6619,4579,108
014909101,7028,5472,81
014909102,6283,4506,104
014909107,5512,4107,67
014909110,5613,4125,59
014909111,5101,3727,60
014909114,5085,3792,53
014909115,6274,4650,84
014909116,5531,4030,68
014909117,4815,3539,56
014909118,5653,4178,71
014909198,.,.,.
014910001,5697,3531,39
014910041,5825,4090,52
014910101,5024,3894,44
014910103,5556,4197,48
015801001,6115,1589,231
015801002,6018,2815,321
015801003,8243,3560,1030
015802001,9869,4232,0
015802004,3224,2324,0
015803101,6224,3111,171
015805041,5572,3709,0
015805101,6560,4311,0
015806001,7873,4545,0
015806041,1706,1397,0
015806101,6452,4299,0
015806103,4012,2702,0
015806104,2963,2098,0
015806105,.,.,.
015807001,4048,2619,52
015807002,4211,2894,0
015807004,4044,2146,0
015807005,12129,4978,0
015808001,28211,14629,1810
015808003,9854,6839,217
015808004,.,.,.
015808005,11116,7302,182
015809101,5181,2898,0
015811101,6265,3449,0
015812001,6871,3036,23
015813041,3800,541,0
015814001,6320,3562,250
015814002,3722,2254,0
015815001,7779,4463,15
015815041,.,.,.
015815101,5886,3526,0
015816001,6294,3022,0
015817001,6819,3611,196
015819001,6365,4425,0
015819101,8731,4027,1
015819102,6445,3980,0
015819103,6548,4034,0
015820001,4637,3290,65
015822001,7063,3918,0
015822002,6389,3822,3
015823001,6998,3352,0
015824001,4403,3009,18
015825101,4865,3664,0
015826041,8174,5313,123
015827001,8226,4667,0
015828001,.,.,.
015829041,.,.,.
015830001,.,.,.
015901001,6011,4234,94
015901002,.,.,.
015901041,5097,4100,92
015901101,6139,5036,132
015901102,6526,5191,174
015901104,5677,4720,111
015904001,6193,3822,94
015904002,6890,4280,110
015904003,45690,26161,607
015904004,11086,5999,53
015904007,.,.,.
015904008,.,.,.
015904010,149041,83405,2795
015904041,6064,3747,56
015904042,6407,3926,63
015904043,6102,3790,61
015904044,6205,3849,72
015904045,.,.,.
015904046,.,.,.
