,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,completion_rate,recieved_GED,graduated,dist_name,county_num,charter,grade_span,eng_class_size,math_class_size,sci_class_size
001902001,46,49,42,48,20,145,12,60,24,26,60,43244,11.906972149,5.5422040068,5.5,5.5,87.3,CAYUGA ISD,001,N,09 - 12,14.8,10.4,11.8
001902041,0,0,0,0,12,141,5,53,21,24,53,42505,11.428571429,5.3333333333,.,.,.,CAYUGA ISD,001,N,06 - 08,16.3,16.7,15.1
001902103,0,0,0,0,13,215,16,122,18,24,122,42965,15.958333333,10.5,.,.,.,CAYUGA ISD,001,N,EE - 05,.,.,.
001903001,104,100,79,75,18,312,20,146,29,40,146,43151,13.8,7.15,1.2,0,96.4,ELKHART ISD,001,N,09 - 12,12,10.8,11.6
001903041,0,0,0,0,9,240,19,117,17,27,117,41443,13.774193548,8.6129032258,.,.,.,ELKHART ISD,001,N,06 - 08,15.1,14.6,14.7
001903101,0,0,0,0,47,561,54,445,12,43,445,40684,14.891304348,11.673913043,.,.,.,ELKHART ISD,001,N,EE - 05,.,.,.
001904001,59,50,65,53,32,165,15,114,17,33,114,40417,12.6241033,8.1406025825,1.6,1.6,96.8,FRANKSTON ISD,001,N,09 - 12,15.5,11.2,17
001904041,0,0,0,0,26,128,15,94,14,20,94,40157,11.367346939,5.8571428571,.,.,.,FRANKSTON ISD,001,N,06 - 08,13.4,12,14.5
001904102,0,0,0,0,38,302,36,232,16,35,232,42541,18.560232994,12.384323592,.,.,.,FRANKSTON ISD,001,N,EE - 05,.,.,.
001906002,33,15,16,21,8,69,5,39,4,16,39,41565,10.25,4.8333333333,0,0,100,NECHES ISD,001,N,09 - 12,11,12.5,14
001906102,0,0,0,0,23,227,28,119,29,32,119,39833,10.28,4.48,.,.,.,NECHES ISD,001,N,KG - 08,16.5,16.3,16.8
001907001,225,244,169,170,216,282,299,499,41,60,499,42549,13.40625,6.85625,2.5,0.5,92.5,PALESTINE ISD,001,N,09 - 12,17.1,18.8,18.3
001907041,0,0,0,0,188,222,233,468,31,48,468,39899,10.169374658,5.2359206279,.,.,.,PALESTINE ISD,001,N,06 - 08,17.7,15.5,19.5
001907101,0,0,0,0,67,82,113,201,0,18,201,40161,11.590909091,7.8181818182,.,.,.,PALESTINE ISD,001,N,KG - KG,.,.,.
001907102,0,0,0,0,68,39,81,198,0,11,198,41556,11.84,8.6,.,.,.,PALESTINE ISD,001,N,EE - PK,.,.,.
001907107,0,0,0,0,167,163,212,442,13,23,442,41736,13.666666667,9,.,.,.,PALESTINE ISD,001,N,01 - 02,.,.,.
001907110,0,0,0,0,210,228,287,571,33,36,571,40617,11.247032784,6.686937761,.,.,.,PALESTINE ISD,001,N,03 - 05,.,.,.
001908002,126,123,111,93,90,273,65,195,27,68,195,39187,11.514952581,4.8927368398,2,0,92,WESTWOOD ISD,001,N,09 - 12,15.4,15,16.4
001908041,0,0,0,0,41,157,43,136,11,16,136,40028,12.777777778,8.2962962963,.,.,.,WESTWOOD ISD,001,N,07 - 08,12.2,13.2,16.5
001908101,0,0,0,0,103,292,103,338,25,44,338,39045,11.27027027,6.9189189189,.,.,.,WESTWOOD ISD,001,N,03 - 06,.,.,.
001908102,0,0,0,0,78,256,130,330,7,23,330,38547,11.061761747,8.732350667,.,.,.,WESTWOOD ISD,001,N,EE - 02,.,.,.
001909001,29,29,28,21,2,183,11,85,18,31,85,44154,14.713705246,10.241547622,3.3,3.3,93.3,SLOCUM ISD,001,N,06 - 12,12.1,10.9,14.2
001909101,0,0,0,0,6,177,8,114,6,16,114,41685,12.146233154,7.9148444396,.,.,.,SLOCUM ISD,001,N,EE - 05,.,.,.
002901001,242,205,223,179,15,319,502,270,67,121,270,59703,15.326923077,8.9487179487,3.4,0,88.9,ANDREWS ISD,002,N,09 - 12,16,16.6,18.9
002901002,2,4,14,10,0,5,25,5,0,3,5,53114,10.5,9.75,100,0,0,ANDREWS ISD,002,N,09 - 12,.,.,.
002901041,0,0,0,0,12,233,444,336,34,47,336,55991,14.219298246,10.807017544,.,.,.,ANDREWS ISD,002,N,06 - 08,17.9,20.4,22.4
002901101,0,0,0,0,10,157,325,276,10,36,276,52330,11.472222222,6.8611111111,.,.,.,ANDREWS ISD,002,N,02 - 03,.,.,.
002901104,0,0,0,0,14,169,283,255,15,24,255,54214,13.756756757,9.6756756757,.,.,.,ANDREWS ISD,002,N,04 - 05,.,.,.
002901105,0,0,0,0,16,169,474,455,0,38,455,57741,18.484940907,15.154403355,.,.,.,ANDREWS ISD,002,N,EE - 01,.,.,.
003801001,25,22,0,0,22,82,14,58,0,12,58,45613,9.7033492823,1.1913875598,.,.,.,PINEYWOODS COMMUNITY ACADEMY,003,Y,07 - 10,12.8,13.3,17.7
003801103,0,0,0,0,65,219,45,214,0,29,214,41987,9.16,2.68,.,.,.,PINEYWOODS COMMUNITY ACADEMY,003,Y,PK - 06,.,.,.
003902001,213,186,152,177,25,541,118,330,54,67,330,43250,13.444444444,9.1481481481,0.6,0,97.6,HUDSON ISD,003,N,09 - 12,19,17.4,19.3
003902004,0,4,3,10,0,10,6,7,0,1,7,44858,4.8,4.4,40,10,40,HUDSON ISD,003,N,10 - 12,.,.,.
003902041,0,0,0,0,22,446,128,346,42,55,346,43040,13.315789474,8.7320574163,.,.,.,HUDSON ISD,003,N,06 - 08,19.3,19,20.2
003902101,0,0,0,0,41,446,173,466,11,37,466,40674,10.097560976,6.243902439,.,.,.,HUDSON ISD,003,N,EE - 02,.,.,.
003902102,0,0,0,0,35,428,136,351,49,37,351,43334,13.026315789,7.2105263158,.,.,.,HUDSON ISD,003,N,03 - 05,.,.,.
003903001,618,585,526,499,624,808,721,1374,342,387,1374,44701,13.78021978,10.923076923,2.6,0.9,85.8,LUFKIN ISD,003,N,09 - 12,16.2,16.1,19.1
003903004,3,4,8,19,14,12,8,12,0,9,12,.,.,.,29.3,0,53.7,LUFKIN ISD,003,N,09 - 12,.,.,.
003903044,0,0,0,0,504,579,620,1229,215,277,1229,44513,14.871212121,11.333333333,.,.,.,LUFKIN ISD,003,N,06 - 08,17.9,22,23.5
003903120,0,0,0,0,85,86,107,225,0,42,225,44208,14.8,10.04,.,.,.,LUFKIN ISD,003,N,02 - 05,.,.,.
003903121,0,0,0,0,181,176,88,304,201,48,304,44452,14.090909091,10.333333333,.,.,.,LUFKIN ISD,003,N,03 - 05,.,.,.
003903122,0,0,0,0,132,98,91,271,0,62,271,48862,21.666666667,17.833333333,.,.,.,LUFKIN ISD,003,N,03 - 05,.,.,.
003903123,0,0,0,0,60,62,158,268,0,34,268,46889,19.681818182,16.272727273,.,.,.,LUFKIN ISD,003,N,03 - 05,.,.,.
003903124,0,0,0,0,134,107,62,215,143,13,215,45673,16.571428571,11.142857143,.,.,.,LUFKIN ISD,003,N,01 - 02,.,.,.
003903125,0,0,0,0,93,59,238,345,66,3,345,41810,11.086956522,7.1304347826,.,.,.,LUFKIN ISD,003,N,PK - KG,.,.,.
003903126,0,0,0,0,105,18,156,276,0,0,276,40178,6.2307692308,3.5384615385,.,.,.,LUFKIN ISD,003,N,PK - PK,.,.,.
003903127,0,0,0,0,101,128,190,396,0,58,396,41782,10,6.2903225806,.,.,.,LUFKIN ISD,003,N,EE - 02,.,.,.
003903128,0,0,0,0,126,104,122,314,0,19,314,44658,15.25,12.208333333,.,.,.,LUFKIN ISD,003,N,PK - 02,.,.,.
003903129,0,0,0,0,26,108,299,344,0,25,344,43558,13.125,12.3125,.,.,.,LUFKIN ISD,003,N,03 - 05,.,.,.
003903130,0,0,0,0,148,103,135,361,0,32,361,45698,16.545454545,13.272727273,.,.,.,LUFKIN ISD,003,N,EE - 02,.,.,.
003903131,0,0,0,0,37,143,316,386,0,15,386,43373,13.212121212,11.03030303,.,.,.,LUFKIN ISD,003,N,KG - 02,.,.,.
003903140,0,0,2,1,1,2,1,2,0,4,2,46237,15,10.5,.,.,.,LUFKIN ISD,003,N,07 - 12,.,.,.
003903141,0,0,0,0,2,6,2,4,0,9,4,42773,8.5,5.5,.,.,.,LUFKIN ISD,003,N,EE - KG,.,.,.
003903201,4,0,1,0,3,1,3,4,0,2,4,55400,38,35,-1,-1,-1,LUFKIN ISD,003,N,08 - 11,.,.,.
003904001,151,99,130,95,11,435,20,185,43,62,185,43127,13.533333333,6.9333333333,0,0,97.2,HUNTINGTON ISD,003,N,09 - 12,18.5,20.2,20.1
003904005,5,17,9,27,0,55,3,38,0,12,38,46927,16,13,16.7,0,76.2,HUNTINGTON ISD,003,N,09 - 12,.,.,.
003904041,0,0,0,0,9,383,26,204,43,43,204,41254,12.333333333,6.6060606061,.,.,.,HUNTINGTON ISD,003,N,06 - 08,23.8,19.3,23.8
003904101,0,0,0,0,16,456,29,325,13,42,325,41153,13.142857143,9.9428571429,.,.,.,HUNTINGTON ISD,003,N,EE - 03,.,.,.
003904102,0,0,0,0,2,242,18,144,19,19,144,39102,10.52173913,7.6086956522,.,.,.,HUNTINGTON ISD,003,N,04 - 05,.,.,.
003905001,126,124,121,115,79,176,230,327,32,60,327,44529,10.350649351,6.5584415584,2.1,2.1,89.5,DIBOLL ISD,003,N,07 - 12,19,17.9,19.9
003905004,1,1,7,9,3,11,4,5,0,0,5,.,.,.,33.3,0,41.7,DIBOLL ISD,003,N,09 - 12,.,.,.
003905005,0,3,1,0,1,0,2,4,0,1,4,48800,23,14,.,.,.,DIBOLL ISD,003,N,10 - 11,.,.,.
003905041,0,0,0,0,62,127,218,331,21,42,331,43257,11.088235294,8,.,.,.,DIBOLL ISD,003,N,06 - 08,15.4,18.9,16.6
003905101,0,0,0,0,57,187,303,423,28,41,423,43431,10.840854558,6.5756899916,.,.,.,DIBOLL ISD,003,N,02 - 07,.,.,.
003905102,0,0,0,0,60,151,290,429,0,29,429,42561,9.8209437491,7.1729759806,.,.,.,DIBOLL ISD,003,N,EE - 01,.,.,.
003906001,27,35,29,22,0,210,5,126,21,34,126,43399,12.477417341,7.6751506711,0,3.2,93.5,ZAVALLA ISD,003,N,06 - 12,14.3,17.2,16.1
003906101,0,0,0,0,0,238,11,168,6,17,168,41463,11.210526316,9.4736842105,.,.,.,ZAVALLA ISD,003,N,PK - 05,22,.,.
003907001,118,113,117,101,11,371,60,202,25,77,202,44146,11.909090909,6.2727272727,2.2,0,97.8,CENTRAL ISD,003,N,09 - 12,13.7,17.9,18.5
003907004,0,1,2,1,0,3,1,2,0,2,2,.,.,.,0,0,75,CENTRAL ISD,003,N,10 - 12,.,.,.
