,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,8013,5962,0
001902041,5318,4095,0
001902103,4682,3979,0
001903001,7073,4651,49
001903041,5214,4322,52
001903101,4056,3494,39
001904001,6751,4580,34
001904041,5753,4645,39
001904102,5311,4515,38
001906002,7659,4955,0
001906102,5052,3689,0
001907001,6914,4249,150
001907041,5250,3838,50
001907101,4961,3988,40
001907107,4951,3882,29
001907110,5240,3985,39
001908002,5350,4092,0
001908041,5415,4010,0
001908101,4473,3328,0
001908102,3715,2784,0
001909001,6443,5196,0
001909101,4791,4135,0
002901001,7341,4503,87
002901002,10124,9798,183
002901041,6886,4773,126
002901101,8344,6139,233
002901103,7328,5286,170
002901104,6774,5046,152
002901105,6029,4557,127
003801001,4348,3734,0
003902001,5727,4096,42
003902004,39284,22118,0
003902041,5021,4076,36
003902101,4001,3280,28
003902102,4450,3764,31
003903001,6250,4048,243
003903004,.,.,.
003903044,5405,3976,185
003903120,5909,4281,115
003903121,6358,4528,175
003903122,6372,4666,136
003903123,5687,4129,158
003903124,4991,3696,69
003903125,4470,3498,109
003903126,4885,3157,335
003903127,5393,4004,180
003903128,5799,4393,125
003903129,4835,3747,78
003903130,5287,4251,70
003903140,.,.,.
003903141,6164,1345,1233
003903201,8445,8445,0
003904001,6227,4486,67
003904005,9357,6755,1494
003904041,6251,4575,269
003904101,4143,3154,31
003904102,4956,3466,42
003905001,7284,4538,162
003905004,.,.,.
003905005,.,.,.
003905041,6640,4361,233
003905101,5396,3856,146
003905102,5592,3875,114
003906001,7308,5157,0
003906004,.,.,.
003906101,5407,4249,0
003907001,5981,4530,202
003907004,.,.,.
003907041,5167,3943,130
003907101,5301,4082,164
003907102,5551,4283,170
004901001,6543,4608,91
004901041,5580,4197,111
004901101,6180,4735,114
004901102,5938,4310,113
004901103,5586,4379,97
005901001,8875,6216,0
005901101,5454,4312,0
005902001,8198,5534,0
005902041,4452,3641,0
005902101,4209,3515,0
005904001,6688,4786,0
005904101,4558,3950,0
006902001,7296,5951,0
006902101,6590,5618,0
007901001,8564,7206,22
007901041,6119,4936,15
007901101,5126,4504,12
007902001,9158,5219,65
007902002,197922,117243,0
007902004,12959,12959,0
007902005,3933,3874,37
007902041,9079,6063,86
007902101,5173,3606,50
007904001,8901,4950,75
007904002,.,.,.
007904041,7091,4452,96
007904101,5654,3537,118
007904103,5755,3800,50
007905001,6840,4565,160
007905003,11752,5788,116
007905004,.,.,.
007905005,.,.,.
007905041,6232,4167,106
007905102,5277,3489,35
007905103,5578,4193,83
007905104,6098,4385,81
007905105,4614,3527,54
007906001,6381,4398,102
007906041,5021,3665,121
007906101,4851,3992,115
007906102,5190,3818,96
008901001,6229,3579,323
008901041,5931,4285,74
008901101,5580,4312,69
008901102,6493,4745,85
008901105,6333,4354,76
008902001,7935,5946,60
008902041,5181,4168,69
008902102,5240,4377,49
008902103,6372,5398,56
008903001,8395,5039,0
008903041,8518,5515,0
008903102,6895,5268,18
009901001,7354,5327,125
009901002,.,.,.
009901041,6154,4778,150
009901101,5815,4481,130
009901103,4955,4122,111
010901001,9351,7057,90
010901101,8358,6480,168
010902001,5966,4235,48
010902041,5156,4045,50
010902101,5727,4725,87
010902102,5809,4588,91
011901001,5815,4195,31
011901022,.,.,.
011901033,13899,11393,112
011901041,5578,4102,18
011901101,6190,4847,16
011901102,6228,4891,22
011901103,5318,4125,18
011901104,6092,4863,17
011901106,5611,4020,20
011901107,6299,4904,28
011901108,5624,4382,15
011901109,5314,4057,17
011901110,5213,4097,17
011902001,6110,3656,128
011902004,6495,1865,34
011902041,5962,3955,178
011902101,5593,3777,124
011902102,5560,3934,112
011902103,4906,3292,84
011904002,5534,4114,96
011904041,5319,4102,122
011904101,5166,3853,139
011904102,5718,4416,121
011905101,6033,4850,0
012901001,10894,5809,0
012901042,5817,4581,0
012901101,6372,4479,0
013801101,7501,5069,238
013901001,6337,3817,126
013901002,23605,16200,240
013901041,6025,3768,122
013901101,6011,4397,39
013901102,6448,4809,153
013901104,5877,4712,81
013901105,5630,4078,135
013902101,8493,5135,28
013903001,7737,5546,0
013903101,6041,5107,0
013905001,7177,5026,0
013905041,6826,5277,0
013905101,5264,4353,0
014801001,5784,3439,0
014802001,6163,3570,0
014803101,5087,4047,0
014804001,16745,10960,0
014901001,6919,5123,0
014901041,6111,5089,0
014901101,5061,4289,0
014902001,6933,4885,0
014903001,5314,3311,114
014903005,5938,4203,101
014903006,.,.,.
014903042,6112,4261,190
014903043,5276,3565,137
014903102,5150,3396,109
014903103,6139,4138,245
014903104,5242,3578,280
014903108,4350,3180,118
014903109,4827,3449,169
014903111,4020,3010,109
014903114,5198,3684,171
014903116,.,.,.
014905001,7849,5165,7
014905041,5361,3913,1
014905101,4369,3814,7
014906001,7611,4650,120
014906002,6386,4073,96
014906004,19999,14006,196
014906006,9965,7433,58
014906007,6366,4161,99
014906008,6703,4264,88
014906009,19250,14321,314
014906022,12266,6965,548
014906025,31823,28132,475
014906026,.,.,.
014906041,8413,5469,114
014906042,7323,4682,98
014906043,7091,4638,85
014906044,6633,4475,80
014906045,7209,4734,72
014906046,6387,4338,94
014906048,6803,4245,82
014906049,6122,4138,67
014906050,6219,4063,85
014906051,5763,3846,58
014906052,7432,4724,101
014906100,29572,24010,506
014906102,6946,4845,93
014906103,7852,5277,114
014906104,8920,5821,86
014906105,6639,4583,57
014906108,8232,5997,60
014906109,6439,4645,63
014906110,6475,4605,63
014906111,7271,4956,53
014906112,7440,5003,75
014906113,7008,4955,82
014906115,5501,3951,42
014906116,6545,4621,58
014906117,5276,3854,44
014906119,6333,4544,69
014906120,5830,4058,58
014906121,5278,3779,57
014906122,6157,4283,57
014906123,6083,4283,51
014906124,5972,4240,59
014906125,5975,4211,48
014906126,7233,4903,84
014906127,6325,4522,69
014906128,6450,4439,79
014906129,6391,4408,74
014906130,6006,4094,45
014906131,5643,4109,69
014906132,6973,5075,66
014906133,6365,4382,59
014906135,7144,5040,106
014906136,5728,4098,68
014907001,6753,5699,0
014907041,4409,3652,0
014907102,3943,3460,0
014908001,7560,5169,0
014908041,3996,3324,0
014908101,4056,3360,0
014909002,6487,4063,171
014909005,.,.,.
014909006,.,.,.
014909041,5916,3998,88
014909042,5883,4039,92
014909044,7013,4948,122
014909101,5414,4279,75
014909102,5380,4002,77
014909107,5993,4440,98
014909110,5737,4308,76
014909111,5139,3776,75
014909114,5996,4461,93
014909115,7061,5174,114
014909116,5916,4424,76
014909117,5208,3861,74
014909118,5499,4056,83
014909198,.,.,.
014910001,5804,3673,27
014910041,5868,4231,37
014910101,4740,3782,31
014910103,4822,3616,30
015801001,6353,2206,348
015801002,7481,3303,395
015801003,9162,3401,201
015802001,7817,3483,0
015802004,2205,2003,0
015803101,5884,3236,349
015805041,6602,3970,0
015805101,7546,4765,0
015805102,.,.,.
015806001,10733,6497,179
015806041,2600,1547,319
015806101,6749,4201,56
015806103,4577,2876,102
015806104,3886,2831,0
015806105,4259,2532,126
015806106,.,.,.
015807001,4332,2832,35
015807002,4027,2676,0
015807004,4407,2298,2
015807005,9528,3845,0
015808001,16993,5939,0
015808003,9567,6589,325
015808004,.,.,.
015808005,12903,8306,252
015809101,5312,3065,0
015811101,6546,3808,0
015812001,8890,4504,7
015813041,5390,2190,0
015814001,9973,5080,546
015814002,3570,2302,4
015815001,7443,3434,157
015815041,6173,3573,0
015815101,5742,3043,168
015815102,.,.,.
015815103,.,.,.
015815104,.,.,.
015816001,4988,3476,341
015817001,7017,4094,0
015819001,6630,4276,377
015819101,5787,2984,107
015819102,8020,4335,1231
015819103,6208,3207,7
015819105,.,.,.
015820001,4773,3072,14
015820002,.,.,.
015822001,7197,3900,0
015822002,7173,4114,0
015823001,10190,6002,0
015824001,3025,2067,12
015825101,7809,6418,0
015826041,7342,4776,93
015827001,5317,2947,0
015828001,6300,3793,0
015830001,6088,3229,0
015901001,6789,4636,130
015901041,5597,4424,137
015901101,6157,5022,178
015901102,7237,5793,225
015901104,6059,4980,157
015904001,6727,4294,92
015904002,6993,4501,93
015904003,35076,20765,419
015904004,13451,7330,62
015904007,.,.,.
015904008,.,.,.
015904010,57100,28757,570
015904041,6409,4027,52
015904042,6624,4195,58
015904043,6689,4204,59
015904044,6751,4308,64
015904045,.,.,.
015904046,.,.,.
015904047,16733,15820,227
015904048,.,.,.
015904101,6052,3927,54
015904102,5864,4046,57
015904103,6718,4246,56
015904104,6946,4824,67
015904105,6172,4245,58
015904106,6064,4161,52
015904107,6294,4210,54
015904108,6825,4660,66
015904109,6625,4439,60
015904110,7059,4601,63
015904111,7230,5053,74
015904113,6227,4304,57
015904114,6699,4674,64
015904115,41730,30466,707
015904116,6987,4843,66
015904117,.,.,.
015905002,6210,4520,170
015905003,5946,4237,161
015905010,.,.,.
015905041,6065,4433,140
015905042,20530,14293,448
015905044,5525,4123,100
015905045,7481,5393,177
015905046,6178,4631,131
015905104,5847,4534,115
015905105,5702,4307,124
015905106,6221,4523,166
015905108,5679,4414,124
015905109,5539,4164,111
015905110,5496,4087,140
015905112,5609,4265,125
015905113,5464,4215,134
015905114,5933,4620,115
015905116,6358,4793,130
015905117,5886,4513,126
015905118,4112,3751,47
015906001,11633,7419,0
015906041,6984,4725,0
015906101,6498,4910,0
015907001,5824,4076,69
015907002,6455,4336,81
015907003,5760,4012,71
015907004,6432,4397,74
015907005,6057,4290,78
015907006,9810,6371,158
015907007,5979,4216,77
015907008,7305,4909,89
015907010,17669,10387,209
015907011,24279,18125,681
015907014,11982,7671,125
015907020,3295,3295,0
015907041,5995,4004,74
015907042,8579,5300,111
015907043,7724,5169,101
015907046,7616,4669,85
015907047,6495,4233,74
015907049,6144,4322,72
015907050,6252,4282,75
015907051,6296,4010,75
015907052,6584,4218,83
015907053,6402,4071,79
015907054,5768,3929,64
015907055,5540,3699,64
015907057,6073,4041,69
015907058,6618,4323,79
015907059,6038,4082,69
015907061,6550,4285,62
015907063,34700,18447,393
015907064,53279,44655,1724
015907101,5840,4309,73
015907102,7671,5524,72
015907103,5848,4271,71
015907105,5854,4222,60
015907106,6236,4555,80
015907107,7056,4927,77
015907108,6320,4350,65
015907109,7076,4805,63
015907110,6206,4371,67
015907111,5775,4265,55
015907112,5930,4476,58
015907114,8096,5827,103
015907115,6678,4901,82
015907116,5543,4134,54
015907117,6531,4630,77
015907118,5968,4350,68
015907119,6774,4909,70
015907121,5520,3935,56
015907123,6483,4555,72
015907124,6343,4459,67
015907125,5343,3989,49
015907126,5449,3947,56
015907127,7196,4742,76
015907129,5396,4080,60
015907131,7761,5455,81
015907132,6049,4430,73
015907134,5365,3922,47
015907135,5338,3975,54
015907136,5747,4347,61
015907137,6610,4867,80
015907139,6387,4835,75
015907140,5889,4058,48
