,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
001902001,79,79,98,939,19.8,48.6
001902041,-1,-1,-1,.,.,.
001902103,-1,-1,-1,.,.,.
001903001,76,75,99,910,21.4,60.9
001903041,-1,-1,-1,.,.,.
001903101,-1,-1,-1,.,.,.
001904001,63,66,90,969,19.5,55.9
001904041,-1,-1,-1,.,.,.
001904102,-1,-1,-1,.,.,.
001906002,92,-4,92,-1,24,45.5
001906102,-1,-1,-1,.,.,.
001907001,62,64,88,974,18.7,41.3
001907041,-1,-1,-1,.,.,.
001907101,.,.,.,.,.,.
001907107,-1,-1,-1,.,.,.
001907110,-1,-1,-1,.,.,.
001908002,73,73,98,920,17.9,55.9
001908041,-1,-1,-1,.,.,.
001908101,-1,-1,-1,.,.,.
001908102,-1,-1,-1,.,.,.
001909001,75,75,-4,1170,24.5,33.3
001909101,-1,-1,-1,.,.,.
002901001,68,70,87,958,19.9,40.5
002901002,.,.,.,.,.,.
002901041,-1,-1,-1,.,.,.
002901101,-1,-1,-1,.,.,.
002901103,-1,-1,-1,.,.,.
002901104,-1,-1,-1,.,.,.
002901105,-1,-1,-1,.,.,.
003801001,-1,-1,-1,.,.,.
003902001,92,93,98,973,20.2,61.3
003902004,-1,-1,-1,.,.,0
003902041,-1,-1,-1,.,.,.
003902101,-1,-1,-1,.,.,.
003902102,-1,-1,-1,.,.,.
003903001,73,74,93,972,17.9,66.7
003903004,-1,-1,-1,.,.,0
003903044,-1,-1,-1,.,.,.
003903120,-1,-1,-1,.,.,.
003903121,-1,-1,-1,.,.,.
003903122,-1,-1,-1,.,.,.
003903123,-1,-1,-1,.,.,.
003903124,-1,-1,-1,.,.,.
003903125,.,.,.,.,.,.
003903126,.,.,.,.,.,.
003903127,-1,-1,-1,.,.,.
003903128,-1,-1,-1,.,.,.
003903129,-1,-1,-1,.,.,.
003903130,-1,-1,-1,.,.,.
003903140,-1,-1,-1,.,.,.
003903141,.,.,.,.,.,.
003903201,.,.,.,.,.,.
003904001,71,73,94,944,-1,58.8
003904005,-1,-1,-1,-1,-1,13.8
003904041,-1,-1,-1,.,.,.
003904101,-1,-1,-1,.,.,.
003904102,-1,-1,-1,.,.,.
003905001,69,73,89,926,18.4,78.2
003905004,-1,-1,-1,.,.,0
003905005,.,.,.,.,.,.
003905041,-1,-1,-1,.,.,.
003905101,-1,-1,-1,.,.,.
003905102,-1,-1,-1,.,.,.
003906001,59,53,-4,-1,19.6,58.3
003906004,-1,-1,-1,.,.,.
003906101,-1,-1,-1,.,.,.
003907001,64,66,84,976,18.4,43.1
003907004,-1,-1,-1,.,.,0
003907041,-1,-1,-1,.,.,.
003907101,-1,-1,-1,.,.,.
003907102,-1,-1,-1,.,.,.
004901001,57,58,87,1008,20.7,58.5
004901041,-1,-1,-1,.,.,.
004901101,-1,-1,-1,.,.,.
004901102,.,.,.,.,.,.
004901103,-1,-1,-1,.,.,.
005901001,81,81,-4,983,21.8,71
005901101,-1,-1,-1,.,.,.
005902001,85,85,-4,1043,21.4,75
005902041,-1,-1,-1,.,.,.
005902101,-1,-1,-1,.,.,.
005904001,88,92,92,1040,23.4,69
005904101,-1,-1,-1,.,.,.
006902001,83,83,96,.,18.9,90.9
006902101,-1,-1,-1,.,.,.
007901001,54,54,88,-1,17.8,100
007901041,-1,-1,-1,.,.,.
007901101,-1,-1,-1,.,.,.
007902001,58,59,94,933,19.7,47.7
007902002,-1,-1,-1,.,.,.
007902004,-1,-1,-1,.,.,.
007902005,-1,-1,-1,.,.,.
007902041,-1,-1,-1,.,.,.
007902101,-1,-1,-1,.,.,.
007904001,50,50,90,877,15.2,76
007904002,.,.,.,.,.,.
007904041,-1,-1,-1,.,.,.
007904101,-1,-1,-1,.,.,.
