,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,dist_name,county_num,charter,grade_span
001902001,50,54,56,51,21,181,7,19,18,26,19,32113,14.5,6.9,CAYUGA ISD,001,N,09 - 12
001902041,0,0,0,0,15,127,3,22,10,32,22,28427,9.6,5,CAYUGA ISD,001,N,06 - 08
001902103,0,0,0,0,44,209,7,65,13,47,65,28224,11.4,6.6,CAYUGA ISD,001,N,EE - 05
001903001,90,91,67,63,25,277,9,64,26,59,64,29725,13.1,4.8,ELKHART ISD,001,N,09 - 12
001903041,0,0,0,0,17,218,5,84,25,42,84,25906,7.9,3.9,ELKHART ISD,001,N,06 - 08
001903101,0,0,0,0,40,513,17,276,19,110,276,29989,12.8,9.4,ELKHART ISD,001,N,EE - 05
001904001,65,53,54,41,22,188,2,48,23,26,48,33716,17.8,9.4,FRANKSTON ISD,001,N,09 - 12
001904041,0,0,0,0,21,168,5,74,24,30,74,32935,13.5,6.9,FRANKSTON ISD,001,N,06 - 08
001904102,0,0,0,0,47,283,14,170,12,45,170,31350,15.8,10.4,FRANKSTON ISD,001,N,EE - 05
001906002,27,27,22,18,20,121,1,36,13,25,36,28562,12.4,6.4,NECHES ISD,001,N,07 - 12
001906102,0,0,0,0,22,164,4,88,10,58,88,25206,7.3,4.4,NECHES ISD,001,N,EE - 06
001907001,299,284,220,185,310,538,136,269,73,124,269,29476,12.1,7.4,PALESTINE ISD,001,N,09 - 12
001907002,24,12,6,2,8,29,9,0,0,5,0,22120,3,3,PALESTINE ISD,001,N,08 - 12
001907041,0,0,0,0,207,308,93,282,7,82,282,29719,13.4,8.3,PALESTINE ISD,001,N,07 - 08
001907042,0,0,0,0,101,148,48,166,10,36,166,28215,10.6,4.8,PALESTINE ISD,001,N,06 - 06
001907101,0,0,0,0,71,190,135,245,4,29,245,32284,14.9,10.4,PALESTINE ISD,001,N,PK - 02
001907104,0,0,0,0,28,86,4,46,4,7,46,28084,9.5,8.5,PALESTINE ISD,001,N,KG - 02
001907107,0,0,0,0,124,140,25,183,3,34,183,32155,14.9,12,PALESTINE ISD,001,N,EE - 02
001907108,0,0,0,0,70,53,33,123,0,7,123,28309,9.8,5.9,PALESTINE ISD,001,N,KG - 02
001907110,0,0,0,0,280,435,154,488,52,93,488,31013,13.8,10.8,PALESTINE ISD,001,N,03 - 05
001908002,161,122,136,97,81,410,23,56,35,81,56,30179,13.8,6.5,WESTWOOD ISD,001,N,09 - 12
001908041,0,0,0,0,42,227,17,81,11,34,81,27393,11,6.4,WESTWOOD ISD,001,N,07 - 08
001908101,0,0,0,0,77,443,49,198,25,83,198,29450,12.5,8.4,WESTWOOD ISD,001,N,03 - 06
001908102,0,0,0,0,81,337,40,208,14,51,208,30660,14.4,9.6,WESTWOOD ISD,001,N,EE - 02
001909001,34,37,29,22,5,171,4,60,23,35,60,31546,13.4,4.5,SLOCUM ISD,001,N,07 - 12
001909101,0,0,0,0,2,165,16,83,8,38,83,27548,7.6,4.4,SLOCUM ISD,001,N,PK - 06
002901001,277,259,214,229,15,540,409,217,81,160,217,37114,14.7,9,ANDREWS ISD,002,N,09 - 12
002901041,0,0,0,0,16,476,396,357,69,194,357,33918,13.1,8.3,ANDREWS ISD,002,N,06 - 08
002901101,0,0,0,0,1,170,144,115,48,40,115,35228,14.8,12.4,ANDREWS ISD,002,N,KG - 05
002901102,0,0,0,0,1,86,131,139,13,40,139,32645,11.8,10.3,ANDREWS ISD,002,N,KG - 05
002901103,0,0,0,0,3,133,121,145,14,69,145,32199,11,7.5,ANDREWS ISD,002,N,KG - 05
002901104,0,0,0,0,13,95,175,198,25,49,198,33020,13.3,10.3,ANDREWS ISD,002,N,KG - 05
002901105,0,0,0,0,17,279,313,357,34,145,357,33639,13.9,10.2,ANDREWS ISD,002,N,EE - 05
