,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,8332,6266,0
001902041,5941,4740,0
001902103,5551,4834,0
001903001,8192,5548,56
001903041,5806,4847,53
001903101,4522,3970,43
001904001,9213,6580,0
001904041,5683,4260,0
001904102,5949,5156,0
001906002,14417,8465,0
001906102,4570,3327,0
001907001,9015,5776,124
001907041,6741,5039,97
001907101,5847,4751,79
001907102,.,.,.
001907107,5434,4318,63
001907110,5199,4008,65
001908002,6478,4882,0
001908041,7149,5395,0
001908101,4818,3631,0
001908102,4580,3563,0
001909001,6632,5448,0
001909101,5939,5320,0
002901001,9395,5854,105
002901002,17962,16123,222
002901041,7497,5292,132
002901101,7779,5722,191
002901104,8556,6228,209
002901105,6631,5047,135
003801001,11732,8375,160
003801103,5949,5189,0
003902001,6417,4588,37
003902004,.,.,.
003902041,5784,4637,36
003902101,3826,3112,29
003902102,4536,3792,34
003903001,7439,4942,259
003903004,.,.,.
003903044,5971,4407,143
003903120,6747,4834,108
003903121,6855,4962,153
003903122,7147,5142,129
003903123,7010,5145,99
003903124,5919,4338,60
003903125,4957,3824,99
003903126,4697,3606,54
003903127,6628,5003,187
003903128,6076,4607,107
003903129,6427,4462,84
003903130,5872,4570,71
003903131,5235,4129,69
003903140,.,.,.
003903141,.,.,.
003903201,6729,6729,0
003904001,7029,5291,71
003904005,4105,3011,828
003904041,4914,3450,73
003904101,4818,3493,75
003904102,5530,3869,107
003905001,8477,5434,47
003905004,.,.,.
003905005,12936,12771,110
003905041,7261,4877,175
003905101,5748,4368,53
003905102,4782,3347,82
003906001,7543,5659,0
003906101,5832,4741,0
003907001,7049,5110,104
003907004,.,.,.
003907041,5840,4400,95
003907102,5166,4188,95
004901001,7274,5282,43
004901041,6942,5289,64
004901101,6989,5456,54
004901102,6023,4513,49
004901103,6468,5032,40
005901001,11233,7912,0
005901101,5925,4732,0
005902001,9174,6030,0
005902041,4784,4037,0
005902101,4346,3744,0
005904001,9558,6235,0
005904041,3872,3148,0
005904101,5820,4920,0
006902001,9438,7257,0
006902101,8429,6980,0
007901001,8371,6802,12
