,gr9_all_tests,gr9_maths,gr9_reading,sat,act,sat/act_pct
001902001,68,73,91,894,21.4,38.1
001902041,-1,-1,-1,.,.,.
001902103,-1,-1,-1,.,.,.
001903001,84,86,96,989,21.3,50.8
001903041,-1,-1,-1,.,.,.
001903101,-1,-1,-1,.,.,.
001904001,80,81,96,905,17.3,60.8
001904041,-1,-1,-1,.,.,.
001904102,-1,-1,-1,.,.,.
001906002,53,52,93,920,-1,54.5
001906102,-1,-1,-1,.,.,.
001907001,65,67,90,878,20.2,44.8
001907041,-1,-1,-1,.,.,.
001907101,.,.,.,.,.,.
001907102,.,.,.,.,.,.
001907107,-1,-1,-1,.,.,.
001907110,-1,-1,-1,.,.,.
001908002,80,84,94,928,17.2,67.9
001908041,-1,-1,-1,.,.,.
001908101,-1,-1,-1,.,.,.
001908102,-1,-1,-1,.,.,.
001909001,96,96,96,939,-1,47.4
001909101,-1,-1,-1,.,.,.
002901001,66,69,86,946,22.9,32.9
002901002,-1,-1,-1,.,.,.
002901041,-1,-1,-1,.,.,.
002901101,-1,-1,-1,.,.,.
002901104,-1,-1,-1,.,.,.
002901105,-1,-1,-1,.,.,.
003801001,79,79,-4,.,.,.
003801103,-1,-1,-1,.,.,.
003902001,78,79,94,980,21.8,73.3
003902004,-1,-1,-1,.,.,0
003902041,-1,-1,-1,.,.,.
003902101,-1,-1,-1,.,.,.
003902102,-1,-1,-1,.,.,.
003903001,79,81,94,981,19.6,49.4
003903004,-1,-1,-1,.,.,0
003903044,-1,-1,-1,.,.,.
003903120,-1,-1,-1,.,.,.
003903121,-1,-1,-1,.,.,.
003903122,-1,-1,-1,.,.,.
003903123,-1,-1,-1,.,.,.
003903124,-1,-1,-1,.,.,.
003903125,.,.,.,.,.,.
003903126,.,.,.,.,.,.
003903127,-1,-1,-1,.,.,.
003903128,-1,-1,-1,.,.,.
003903129,-1,-1,-1,.,.,.
003903130,-1,-1,-1,.,.,.
003903131,-1,-1,-1,.,.,.
003903140,-1,-1,-1,.,.,.
003903141,.,.,.,.,.,.
003903201,.,.,.,.,.,.
003904001,81,82,96,987,23.8,41.2
003904005,-1,-1,-1,.,-1,5.6
003904041,-1,-1,-1,.,.,.
003904101,-1,-1,-1,.,.,.
003904102,-1,-1,-1,.,.,.
003905001,69,75,87,983,19,83.8
003905004,-1,-1,-1,.,.,0
003905005,.,.,.,.,.,.
003905041,-1,-1,-1,.,.,.
003905101,-1,-1,-1,.,.,.
003905102,-1,-1,-1,.,.,.
003906001,61,61,91,841,.,62.5
003906101,-1,-1,-1,.,.,.
003907001,79,81,94,913,19.1,55.8
003907004,-1,-1,-1,.,.,0
003907041,-1,-1,-1,.,.,.
003907102,-1,-1,-1,.,.,.
004901001,64,64,90,970,19.6,68.5
004901041,-1,-1,-1,.,.,.
004901101,-1,-1,-1,.,.,.
004901102,.,.,.,.,.,.
004901103,-1,-1,-1,.,.,.
005901001,66,66,-4,1076,22.9,61.5
005901101,-1,-1,-1,.,.,.
005902001,81,82,94,1037,22.5,65.4
005902041,-1,-1,-1,.,.,.
005902101,-1,-1,-1,.,.,.
005904001,83,83,95,1100,21,80
005904041,-1,-1,-1,.,.,.
005904101,-1,-1,-1,.,.,.
006902001,76,76,-4,-1,21.1,100
006902101,-1,-1,-1,.,.,.
007901001,41,47,78,-1,16.8,72.7
007901003,.,.,.,.,.,.
007901041,-1,-1,-1,.,.,.
007901101,-1,-1,-1,.,.,.
007902001,52,54,86,910,19.9,40
007902002,.,.,.,.,.,.
007902005,-1,-1,-1,.,-1,-2
007902041,-1,-1,-1,.,.,.
007902101,-1,-1,-1,.,.,.
007904001,61,63,88,856,17.6,53.7
007904002,.,.,.,.,.,.
007904041,-1,-1,-1,.,.,.
007904101,-1,-1,-1,.,.,.
007904103,-1,-1,-1,.,.,.
007905001,61,65,84,951,21,48.8
007905004,.,.,.,.,.,.
007905005,-1,-1,-1,.,.,0
007905006,.,.,.,.,.,.
007905041,-1,-1,-1,.,.,.
007905102,.,.,.,.,.,.
007905103,-1,-1,-1,.,.,.
007905104,-1,-1,-1,.,.,.
007905105,-1,-1,-1,.,.,.
007906001,51,53,81,842,19.3,37.6
007906041,-1,-1,-1,.,.,.
007906101,-1,-1,-1,.,.,.
007906102,-1,-1,-1,.,.,.
