,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,white_stu_count,his_stu_count,all_stud_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,teacher_avg_salary,teacher_experience,exp_w_dist,completion_rate,recieved_GED,graduated,dist_name,county_num,charter,grade_span,eng_class_size,math_class_size,sci_class_size
001902001,43,34,50,31,27,124,7,46,17,30,46,35092,13.038461538,4.6923076923,2.5,5,92.5,CAYUGA ISD,001,N,09 - 12,11.3,10.8,9.7
001902041,0,0,0,0,26,117,7,61,26,18,61,33830,12.15,5.05,.,.,.,CAYUGA ISD,001,N,06 - 08,16.1,16.9,15.3
001902103,0,0,0,0,26,233,9,127,24,42,127,37146,14.090909091,7.1363636364,.,.,.,CAYUGA ISD,001,N,EE - 05,.,.,.
001903001,113,92,85,85,30,327,16,144,19,84,144,36893,16.131578947,5.9473684211,2.6,1.3,96.2,ELKHART ISD,001,N,09 - 12,13.9,15.3,15.4
001903002,0,0,1,0,0,2,0,1,0,1,1,.,.,.,.,.,.,ELKHART ISD,001,N,07 - 11,.,.,.
001903041,0,0,0,0,29,218,13,122,13,56,122,33425,11.058823529,5.8235294118,.,.,.,ELKHART ISD,001,N,06 - 08,14.4,12.6,15.9
001903101,0,0,0,0,60,562,32,349,20,76,349,35655,14.581395349,10.976744186,.,.,.,ELKHART ISD,001,N,EE - 05,.,.,.
001904001,60,61,52,60,28,191,13,89,20,44,89,35244,13.189655172,6.1724137931,1.7,1.7,96.7,FRANKSTON ISD,001,N,09 - 12,13.2,13.7,12.6
001904041,0,0,0,0,37,156,17,108,25,32,108,34696,12.75,4.3333333333,.,.,.,FRANKSTON ISD,001,N,06 - 08,13.2,15.3,18.1
001904102,0,0,0,0,44,284,25,203,14,39,203,36494,15.741935484,9.5483870968,.,.,.,FRANKSTON ISD,001,N,EE - 05,.,.,.
001906002,38,14,18,21,15,127,6,53,12,43,53,34084,8,5.1428571429,0,0,100,NECHES ISD,001,N,07 - 12,13.3,9.5,15.4
001906102,0,0,0,0,12,159,8,72,7,27,72,36066,11.733333333,6.2,.,.,.,NECHES ISD,001,N,EE - 06,.,.,.
001907001,260,258,198,176,264,407,207,416,54,129,416,36587,12.926174497,6.966442953,4.3,6.2,86.3,PALESTINE ISD,001,N,09 - 12,19.9,19.1,18.1
001907041,0,0,0,0,197,282,219,434,38,101,434,34074,11.796875,7.5625,.,.,.,PALESTINE ISD,001,N,06 - 08,18.2,19.1,12.7
001907101,0,0,0,0,146,137,151,355,0,23,355,33927,11.506329114,7.5759493671,.,.,.,PALESTINE ISD,001,N,EE - KG,.,.,.
001907107,0,0,0,0,157,200,187,385,9,30,385,36026,14.775,10.975,.,.,.,PALESTINE ISD,001,N,01 - 02,.,.,.
001907110,0,0,0,0,240,310,236,552,46,74,552,34772,12.980952381,8.0380952381,.,.,.,PALESTINE ISD,001,N,03 - 05,.,.,.
001908002,151,121,135,115,87,382,52,150,27,99,150,37064,14.773694916,6.2894915272,4.5,2.7,91,WESTWOOD ISD,001,N,09 - 12,18.2,17.3,17.8
001908041,0,0,0,0,33,182,28,102,11,43,102,37881,17.803303912,13.516804064,.,.,.,WESTWOOD ISD,001,N,07 - 08,15.3,15.9,17.8
