,per_pupil_exp,per_pupil_instruction,per_pupil_leadership
001902001,7065,5311,0
001902041,4326,3336,0
001902103,4337,3732,0
001903001,6386,4115,46
001903002,.,.,.
001903041,4970,4219,51
001903101,4004,3496,38
001904001,6997,4889,0
001904041,4238,3270,0
001904102,4891,4242,0
001906002,6858,4088,0
001906102,5309,3871,0
001907001,5252,3255,75
001907041,5432,3888,62
001907101,4615,3692,82
001907107,4428,3578,39
001907110,4440,3351,49
001908002,5693,3870,0
001908041,5452,4349,0
001908101,3910,3126,0
001908102,3571,2962,0
001909001,5754,4585,0
001909101,4837,4322,0
002901001,6440,3967,83
002901002,9929,9057,185
002901041,5833,3968,122
002901101,8299,5811,273
002901103,5950,4132,148
002901104,6423,4493,179
002901105,5064,3830,101
003801001,3937,3323,0
003902001,5469,3918,51
003902004,54051,30847,0
003902041,4621,3653,26
003902101,3555,2922,12
003902102,3857,3222,31
003903001,5602,3699,184
003903004,428,428,0
003903044,5045,3701,152
003903120,5557,4086,98
003903121,5790,4125,167
003903122,6239,4555,159
003903123,5498,3986,163
003903124,4880,3711,61
003903125,3883,2992,73
003903126,4823,3324,362
003903127,5139,3922,130
003903128,5148,3965,89
003903129,4903,3789,76
003903130,4762,3756,63
003903140,.,.,.
003903141,21775,12629,2943
003903201,5007,5007,0
003904001,5761,4212,7
003904005,4115,3602,5
003904041,5282,3798,9
003904101,3963,3050,5
003904102,6039,4281,7
003905001,6466,4187,117
003905004,.,.,.
003905005,.,.,.
003905041,5986,4060,131
003905101,5097,3702,100
003905102,5178,3629,104
003906001,5907,4028,0
003906004,.,.,.
003906101,4224,3008,14
003907001,5193,4064,85
003907004,.,.,.
003907041,4313,3391,74
003907101,4218,3488,83
003907102,4453,3612,103
004901001,5346,3735,68
004901003,.,.,.
004901041,4748,3452,79
004901101,5372,4069,111
004901102,5619,3956,127
004901103,4422,3457,67
005901001,7474,5247,0
005901101,4898,3971,0
005902001,7891,5198,0
005902041,4423,3544,0
005902101,3869,3193,0
005903001,9911,7591,0
005904001,6037,4299,0
005904101,4043,3387,0
006902001,6475,5387,0
006902101,5014,4378,0
007901001,8582,7124,15
007901002,.,.,.
007901003,.,.,.
007901041,6298,5282,8
007901101,4471,3891,10
007902001,8622,4856,10
007902002,156622,86423,0
007902005,2435,2420,4
007902041,6461,4324,11
007902101,5045,3446,8
007904001,6954,3807,71
007904002,.,.,.
007904041,5557,3341,59
007904101,4775,3159,65
007904103,6415,3787,112
007905001,6187,4347,79
007905003,9417,4635,91
007905004,.,.,.
007905041,5750,4071,94
007905102,4826,3221,38
007905103,5870,4284,89
007905104,5304,3998,77
007905105,4539,3500,56
007906001,6144,4383,138
007906003,.,.,.
007906041,5353,3756,213
007906101,4334,3667,109
007906102,4773,3796,140
008901001,5503,3368,235
008901041,4962,3489,71
008901101,4682,3580,65
008901102,5333,3941,77
008901105,6138,4321,92
008902001,6640,5402,2
008902041,6277,5003,0
008902102,4712,4202,0
008902103,4574,3874,0
008903001,8124,4646,79
008903041,7854,5390,91
008903102,6241,4638,91
009901001,6151,4182,87
009901002,.,.,.
009901041,6575,4668,128
009901101,5658,4408,103
009901103,4363,3549,76
010901001,8971,6840,137
010901101,6404,5129,114
010902001,5012,3513,47
010902041,4553,3301,55
010902101,5380,4294,96
010902102,4501,3373,77
011901001,4774,3375,15
011901033,10243,7595,53
011901041,4710,3380,21
011901101,5198,3948,23
011901102,5681,4168,24
011901103,5036,3689,21
011901104,4556,3363,19
011901106,4958,3462,21
011901107,5540,4040,27
011901108,4511,3232,18
011901109,5390,4032,23
011901110,5258,3928,24
011902001,6408,4084,125
011902004,6724,2615,88
011902041,5636,3906,148
011902101,5036,3701,143
011902102,4488,3273,100
011902103,.,.,.
011904002,5617,4384,94
011904041,4880,3646,96
011904101,5041,3914,99
011904102,4855,3730,94
011905101,5797,4523,8
012901001,10583,5738,0
012901042,5656,4481,0
012901101,6626,4771,0
013801101,7738,5420,325
013901001,6327,3955,139
013901002,21040,13924,192
013901041,6013,3690,113
013901101,6184,4522,131
