,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
001902041,83,76,98,91,89,100,100,74,001902041,001902
001903041,72,75,73,89,88,90,98,78,001903041,001903
001904041,84,80,74,91,81,87,92,84,001904041,001904
002901041,73,67,55,64,57,87,88,66,002901041,002901
003902041,94,90,88,89,85,99,97,87,003902041,003902
003903044,85,75,75,75,75,93,92,79,003903044,003903
003904041,78,75,76,79,76,92,87,51,003904041,003904
004901041,80,79,65,74,66,86,86,81,004901041,004901
005902041,85,87,70,83,79,98,96,80,005902041,005902
005904041,75,91,89,84,92,100,95,90,005904041,005904
007902041,67,69,78,82,82,90,92,70,007902041,007902
007904041,51,65,49,55,44,73,85,53,007904041,007904
007906041,59,61,51,70,70,77,89,63,007906041,007906
008901041,82,80,78,85,87,79,93,61,008901041,008901
008902041,84,76,73,74,79,88,90,69,008902041,008902
008903041,91,73,71,79,63,100,97,90,008903041,008903
009901041,82,67,76,72,78,92,93,62,009901041,009901
010902041,84,77,80,82,76,95,95,77,010902041,010902
011902041,80,74,57,60,53,70,81,63,011902041,011902
011904041,77,57,69,73,64,76,93,75,011904041,011904
013905041,90,91,83,88,84,100,100,92,013905041,013905
014903042,83,78,79,85,78,84,90,75,014903042,014903
014903043,91,87,87,86,77,96,96,90,014903043,014903
014903044,65,64,52,65,59,79,89,73,014903044,014903
014905041,88,86,87,85,93,97,100,93,014905041,014905
014906009,.,.,.,.,.,.,.,.,014906009,014906
014906042,73,74,57,66,64,70,85,54,014906042,014906
014906043,73,67,66,73,62,86,84,65,014906043,014906
014906044,67,71,62,74,69,74,85,43,014906044,014906
014906045,78,80,75,79,80,88,88,61,014906045,014906
014906046,75,76,65,69,63,83,88,65,014906046,014906
014906048,69,67,58,69,62,83,84,51,014906048,014906
014906049,87,84,84,81,75,91,91,65,014906049,014906
014906050,71,73,70,72,68,86,86,60,014906050,014906
014906051,81,83,77,85,77,92,96,87,014906051,014906
014906052,84,83,82,91,83,99,95,86,014906052,014906
014906053,92,82,78,82,77,96,96,81,014906053,014906
014907041,79,78,46,55,67,93,90,71,014907041,014907
014909041,68,71,49,60,53,77,88,62,014909041,014909
014909042,55,56,65,56,53,87,81,61,014909042,014909
014909044,68,66,59,61,51,85,85,67,014909044,014909
014910041,62,81,62,79,76,82,96,55,014910041,014910
015802004,69,62,44,56,31,78,87,73,015802004,015802
015805041,72,80,49,53,45,76,90,47,015805041,015805
015901041,87,90,85,89,84,93,97,83,015901041,015901
015904041,66,60,51,59,58,84,86,76,015904041,015904
015904042,69,64,64,62,61,80,80,65,015904042,015904
015904043,84,79,70,67,71,88,87,73,015904043,015904
015904044,59,66,60,68,70,82,89,67,015904044,015904
015904045,.,.,.,.,.,.,.,.,015904045,015904
015905041,55,67,40,49,42,62,76,59,015905041,015905
015905044,67,58,49,57,48,66,84,55,015905044,015905
015905046,65,67,44,48,38,54,72,41,015905046,015905
015906041,99,96,87,91,88,100,100,88,015906041,015906
015907041,44,51,22,48,42,59,78,47,015907041,015907
015907043,58,57,29,48,38,73,77,60,015907043,015907
015907046,59,58,44,55,54,70,83,60,015907046,015907
015907047,81,70,49,63,47,72,84,51,015907047,015907
015907049,46,49,52,49,40,69,79,63,015907049,015907
015907050,65,61,47,66,57,74,80,56,015907050,015907
015907051,71,67,57,62,64,71,83,56,015907051,015907
015907053,52,54,37,64,50,66,77,46,015907053,015907
015907054,60,69,47,58,47,72,81,45,015907054,015907
015907055,65,67,61,63,58,74,83,58,015907055,015907
015907057,54,57,40,52,40,59,75,31,015907057,015907
015907058,58,68,35,54,43,83,80,57,015907058,015907
015907059,71,77,55,66,65,82,91,64,015907059,015907
015907061,55,64,29,49,36,64,73,49,015907061,015907
015908041,54,63,43,49,47,80,76,54,015908041,015908
015908042,61,71,50,59,57,79,83,63,015908042,015908
015908043,50,58,40,53,45,77,88,56,015908043,015908
015908044,77,67,63,77,78,83,87,65,015908044,015908
015910041,79,81,66,79,71,85,93,77,015910041,015910
015910042,74,78,71,78,72,91,92,84,015910042,015910
015910043,75,77,65,76,73,81,92,75,015910043,015910
015910044,67,66,64,71,69,70,81,52,015910044,015910
015910045,72,78,69,78,67,93,89,63,015910045,015910
015910046,69,64,56,59,55,75,86,59,015910046,015910
015910047,74,75,69,81,77,88,92,74,015910047,015910
015910048,90,92,86,95,91,92,99,88,015910048,015910
015910049,85,86,80,89,78,84,93,74,015910049,015910
015910050,98,95,92,95,92,96,99,96,015910050,015910
015910053,.,.,.,.,.,.,.,.,015910053,015910
015910056,94,92,96,95,88,99,99,91,015910056,015910
015910057,94,94,93,94,95,98,98,93,015910057,015910
015910058,74,79,68,80,71,83,95,81,015910058,015910
015911043,66,61,59,65,60,81,87,60,015911043,015911
015911044,62,67,58,68,65,84,87,58,015911044,015911
015912041,65,65,51,63,58,71,79,61,015912041,015912
015912042,47,54,31,56,54,71,83,56,015912042,015912
015912044,67,65,47,63,57,69,89,62,015912044,015912
015915041,76,74,75,75,70,80,85,71,015915041,015915
015915042,69,67,55,63,56,69,82,52,015915042,015915
015915043,67,75,55,68,59,73,86,65,015915043,015915
015915044,54,52,48,63,56,70,81,46,015915044,015915
015915045,75,78,74,84,79,92,94,78,015915045,015915
015915046,78,76,67,77,70,83,93,67,015915046,015915
015915047,91,89,74,83,76,91,96,75,015915047,015915
015915048,78,71,67,77,72,82,89,67,015915048,015915
015915049,82,81,68,79,78,83,90,69,015915049,015915
015915050,81,83,80,88,84,91,95,70,015915050,015915
015915051,85,80,70,84,77,96,96,82,015915051,015915
015915052,78,84,69,88,85,83,95,73,015915052,015915
015915053,94,92,87,93,89,96,98,82,015915053,015915
015915054,79,80,67,83,79,91,97,88,015915054,015915
015915055,90,91,79,87,81,96,96,79,015915055,015915
015915056,76,77,65,77,68,87,93,73,015915056,015915
015915057,93,93,90,94,89,99,99,93,015915057,015915
