,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,39,50,33,52,24,174,142,8,40,44,12,12.3,10.7,11.1,34677,17.1,001,N,96.9,001902001,001902
001903001,109,88,85,71,31,353,313,20,79,72,15.2,13.8,13.9,12.7,34652,26.5,001,N,97,001903001,001903
001904001,65,74,55,57,28,251,216,18,44,71,11.9,10.7,13.1,11,33676,23.2,001,N,95.4,001904001,001904
001907001,286,213,224,176,289,899,423,50,90,395,19.6,19.2,16,13.8,37533,70.3,001,N,96,001907001,001907
001908002,146,130,125,120,77,521,402,30,94,138,18.9,17.3,17,14.3,36365,35.9,001,N,95.1,001908002,001908
002901001,245,242,258,218,24,963,496,97,156,281,17.6,18.7,17.6,13.3,44548,68.1,002,N,96.4,002901001,002901
003902001,173,183,153,141,23,650,506,60,76,236,18.3,16,18.4,12,34305,48.9,003,N,95.6,003902001,003902
003903001,712,559,491,461,727,2223,1029,202,389,909,17.9,15.8,17.8,14.8,37793,173.6,003,N,95.6,003903001,003903
003903004,8,8,20,24,16,60,27,0,4,18,.,.,.,.,.,.,003,N,72.1,003903004,003903
003904001,136,120,102,102,30,460,416,44,88,147,17.9,16.8,22.5,11.2,35643,37.1,003,N,95.6,003904001,003904
003904005,14,15,16,33,0,78,74,0,14,45,.,.,.,18,32374,4.9,003,N,96.9,003904005,003904
003905001,131,151,119,105,77,506,240,35,77,268,17.2,18.7,18.2,13.4,41389,39.8,003,N,95.5,003905001,003905
003905004,2,0,4,1,0,7,2,0,0,0,.,.,.,.,.,.,003,N,70.8,003905004,003905
003907001,142,119,93,75,14,429,377,15,83,112,13.4,13.6,20.3,12.7,38003,34.4,003,N,96.3,003907001,003907
003907004,2,5,7,7,0,21,19,0,0,0,.,.,.,.,.,.,003,N,77.8,003907004,003907
004901001,298,293,239,198,28,1028,656,89,143,335,18.5,19.8,18,13.1,38004,77.4,004,N,93.2,004901001,004901
005902001,69,87,68,76,0,300,288,25,23,35,11.5,10.7,12.6,14.1,36191,28.3,005,N,96.9,005902001,005902
007901001,37,39,26,35,0,137,26,13,27,93,14.8,11.3,9.9,15.2,41541,15.5,007,N,91.8,007901001,007901
007902001,106,92,93,77,1,368,165,25,75,192,15.7,15.8,14.3,11.3,40344,31.4,007,N,94.4,007902001,007902
007904001,172,85,75,88,2,420,146,43,74,226,13.4,14.6,15.5,8.1,36322,35.1,007,N,93.8,007904001,007904
007905001,281,259,225,237,14,1002,404,93,217,501,18.1,15.5,18.5,12,38006,80.6,007,N,93.9,007905001,007905
007906001,141,132,125,82,1,480,84,28,109,300,14.2,13.1,18,11.7,36616,42.4,007,N,92.9,007906001,007906
008901001,177,173,182,158,96,690,514,80,92,132,19.1,20.9,19.6,13,39324,48.1,008,N,96.5,008901001,008901
008902001,198,159,154,159,89,670,385,33,110,234,16.7,17.3,17.1,14.4,41667,53.1,008,N,94.9,008902001,008902
008903001,64,62,72,73,34,271,160,12,48,87,15,14.4,13.8,11.8,36257,23.6,008,N,95.2,008903001,008903
009901001,102,110,98,74,5,384,168,26,38,172,16.5,14,15.2,13.6,35777,30.9,009,N,95.6,009901001,009901
009901002,4,2,3,5,0,14,1,0,3,10,.,.,.,.,.,.,009,N,73.3,009901002,009901
010902001,289,201,166,161,7,817,655,90,115,228,23.8,22.5,25.9,11.8,37409,60,010,N,95.5,010902001,010902
011901001,638,528,413,351,210,1930,1173,114,278,681,24.9,23.9,23.2,10.7,40530,127.6,011,N,92.9,011901001,011901
011901022,4,10,16,31,5,61,38,0,3,27,.,.,.,14.4,42099,6.2,011,N,84.5,011901022,011901
011902001,296,235,244,171,106,946,471,26,153,409,23.3,21.1,19.8,10.2,39563,64.8,011,N,94.6,011902001,011902
011902004,1,6,7,8,1,22,12,0,3,7,.,.,.,16.2,49825,3.8,011,N,91.5,011902004,011902
011904002,189,107,123,88,60,507,366,31,91,150,18.1,15.9,17.9,8.9,36966,42.7,011,N,93.9,011904002,011904
012901001,56,47,46,51,11,200,166,10,30,84,13.8,11.3,14.6,12,35014,22.7,012,N,95.5,012901001,012901
013901001,334,295,284,217,39,1130,320,2,107,541,19.5,19.7,19.6,9.8,37097,77.9,013,N,94.6,013901001,013901
013905001,49,68,53,41,3,211,84,28,36,118,18.1,17,14.9,11.8,36186,15.9,013,N,93.9,013905001,013905
014801001,25,44,44,35,57,148,49,0,19,69,13,14,4.5,6.9,29373,8.8,014,Y,80,014801001,014801
014802001,30,19,28,28,56,105,20,0,6,1,.,.,.,5.6,24583,3,014,Y,76,014802001,014802
014901001,100,80,75,67,4,322,267,55,65,70,15.5,16.1,15.7,13.8,35987,23.8,014,N,96.1,014901001,014901
014902001,44,40,45,34,34,163,62,22,41,92,11.2,8.8,13.4,9.1,37584,17.6,014,N,94.7,014902001,014902
014903001,581,531,477,424,90,2013,1476,208,271,532,21.7,22.1,23.8,13.3,38204,121.4,014,N,94.6,014903001,014903
