,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001902103,90,90,72,88,87,95,93,79,001902103,001902
001904102,75,86,69,77,76,93,91,83,001904102,001904
005902101,85,87,90,89,89,93,85,92,005902101,005902
006902101,88,79,75,71,71,93,96,81,006902101,006902
010902101,73,70,72,78,69,84,81,74,010902101,010902
011902102,46,49,40,50,44,75,70,64,011902102,011902
014906105,74,67,81,79,72,96,84,64,014906105,014906
014906115,95,83,87,83,84,89,83,73,014906115,014906
014906121,87,78,85,84,76,95,95,75,014906121,014906
014906125,80,72,88,74,70,83,77,68,014906125,014906
014906126,94,91,90,90,73,86,86,76,014906126,014906
014906127,82,69,83,83,78,94,81,65,014906127,014906
014906129,76,72,73,79,65,91,82,70,014906129,014906
014906132,70,67,79,64,77,98,98,92,014906132,014906
014906135,72,74,65,70,65,90,83,70,014906135,014906
014907102,76,67,63,79,74,94,90,71,014907102,014907
015904105,47,46,27,49,35,75,63,63,015904105,015904
015904116,59,53,71,66,59,76,72,74,015904116,015904
015906101,95,91,95,92,90,98,97,93,015906101,015906
015907101,80,76,78,79,71,88,79,73,015907101,015907
015907106,56,48,59,45,48,80,69,64,015907106,015907
015907114,68,62,58,68,81,62,64,49,015907114,015907
015907121,53,46,56,51,51,60,50,41,015907121,015907
015907141,58,58,74,63,53,74,67,77,015907141,015907
015907150,63,62,59,58,43,73,65,56,015907150,015907
015907164,77,71,69,65,60,88,76,68,015907164,015907
015907165,51,51,65,65,64,83,67,74,015907165,015907
015907174,75,70,72,72,60,88,74,69,015907174,015907
015908101,71,65,55,63,55,84,78,65,015908101,015908
015908106,66,64,77,73,66,82,83,72,015908106,015908
015908108,44,57,64,62,59,82,76,56,015908108,015908
015908113,64,62,67,68,65,74,81,56,015908113,015908
015910104,80,76,63,63,47,92,75,77,015910104,015910
015910106,60,69,51,67,54,74,74,60,015910106,015910
015910110,70,70,51,71,67,80,77,75,015910110,015910
015910112,64,53,70,62,51,82,80,60,015910112,015910
015910113,55,46,73,65,70,68,68,60,015910113,015910
015910114,55,47,42,47,46,55,64,58,015910114,015910
015910116,45,70,75,80,62,74,82,65,015910116,015910
015910122,44,44,60,46,49,79,77,63,015910122,015910
015910128,85,80,68,78,74,96,88,82,015910128,015910
015910130,84,79,69,69,63,91,86,80,015910130,015910
015910131,81,88,88,85,79,92,90,84,015910131,015910
015910133,92,91,87,94,88,97,98,90,015910133,015910
015910134,95,89,89,93,91,96,91,82,015910134,015910
015910136,93,93,93,90,89,99,99,93,015910136,015910
015910140,94,92,88,94,83,93,95,89,015910140,015910
015910142,89,84,92,90,83,98,96,90,015910142,015910
015912101,83,67,70,58,58,92,80,80,015912101,015912
015912102,60,58,74,65,55,91,81,78,015912102,015912
015912103,76,67,75,51,53,87,66,67,015912103,015912
015912106,79,69,72,70,60,92,73,81,015912106,015912
015912109,74,72,77,66,63,93,81,83,015912109,015912
015912110,73,61,63,57,59,71,60,43,015912110,015912
015912111,84,61,71,61,64,79,82,76,015912111,015912
015914101,86,86,81,88,71,88,91,70,015914101,015914
015915101,56,60,40,55,48,79,65,60,015915101,015915
015915102,47,59,68,70,57,87,78,82,015915102,015915
015915103,75,62,73,73,54,92,84,78,015915103,015915
015915105,76,61,77,66,65,90,79,65,015915105,015915
015915106,81,64,77,72,60,97,90,88,015915106,015915
015915107,73,71,77,68,66,95,82,79,015915107,015915
015915108,71,74,79,80,67,86,76,69,015915108,015915
015915109,75,77,74,85,65,92,90,75,015915109,015915
015915111,76,67,69,64,66,96,89,76,015915111,015915
015915112,81,79,79,72,65,86,79,73,015915112,015915
015915113,69,78,45,65,56,93,78,79,015915113,015915
015915114,76,57,61,55,45,85,72,74,015915114,015915
015915115,74,73,54,54,41,88,80,68,015915115,015915
015915116,70,67,57,64,46,89,80,78,015915116,015915
015915117,48,48,55,56,48,84,83,65,015915117,015915
015915118,57,53,59,61,57,77,71,71,015915118,015915
015915119,69,62,65,69,59,88,84,73,015915119,015915
015915122,65,63,71,71,50,89,89,82,015915122,015915
015915123,76,66,56,64,50,91,78,65,015915123,015915
015915124,77,75,70,65,67,97,86,90,015915124,015915
015915125,71,65,73,77,50,92,89,87,015915125,015915
015915128,75,71,60,65,47,87,85,69,015915128,015915
015915130,71,68,73,78,64,91,89,78,015915130,015915
015915131,84,67,88,81,78,98,92,85,015915131,015915
015915132,76,73,77,79,74,89,88,54,015915132,015915
015915134,74,71,83,75,65,93,85,70,015915134,015915
015915135,82,80,75,77,74,91,84,80,015915135,015915
015915136,86,76,79,69,55,94,86,80,015915136,015915
015915138,51,60,67,70,53,95,82,66,015915138,015915
015915141,81,76,79,82,72,91,92,65,015915141,015915
015915143,85,79,96,90,90,90,93,77,015915143,015915
015915144,71,81,72,81,72,95,92,78,015915144,015915
015915145,80,83,86,82,67,89,85,66,015915145,015915
015915148,81,77,80,85,82,94,92,78,015915148,015915
015915149,72,76,61,73,62,89,86,68,015915149,015915
015915150,78,66,90,90,79,93,93,85,015915150,015915
015915151,90,92,89,87,78,93,87,81,015915151,015915
015915152,82,93,82,92,94,97,97,86,015915152,015915
015915156,64,75,76,78,72,90,90,77,015915156,015915
015915157,89,87,86,88,75,88,88,76,015915157,015915
015915158,66,72,62,64,62,78,78,66,015915158,015915
015915160,79,73,61,64,52,83,79,70,015915160,015915
015915161,84,86,91,75,69,97,93,90,015915161,015915
015915162,61,69,64,66,46,82,78,58,015915162,015915
015915165,77,76,85,85,79,95,94,85,015915165,015915
015915166,79,83,95,92,78,98,97,91,015915166,015915
015915167,68,74,84,87,85,95,87,84,015915167,015915
015915168,83,83,81,88,77,93,90,78,015915168,015915
015915169,69,76,76,77,66,92,87,77,015915169,015915
015915170,86,82,89,88,78,92,95,76,015915170,015915
015915171,76,71,91,90,88,97,89,80,015915171,015915
015915177,68,73,69,73,55,88,81,71,015915177,015915
015915178,96,95,87,93,86,100,98,94,015915178,015915
015915179,86,84,89,81,79,94,89,78,015915179,015915
015915180,95,90,90,95,91,97,95,89,015915180,015915
015915181,94,92,98,98,93,95,99,93,015915181,015915
015915182,81,78,86,85,77,91,89,81,015915182,015915
015915183,75,75,80,84,74,97,91,79,015915183,015915
015915184,78,80,60,76,55,91,88,69,015915184,015915
015915185,59,59,55,66,50,81,80,73,015915185,015915
015915186,86,87,92,93,88,98,92,87,015915186,015915
015915187,69,77,81,83,81,83,81,68,015915187,015915
015915188,90,85,84,83,77,94,90,83,015915188,015915
015915189,44,55,65,69,48,73,65,64,015915189,015915
015915191,86,86,92,85,80,95,95,81,015915191,015915
015915192,83,82,64,68,59,88,79,72,015915192,015915
015915193,92,88,83,83,91,99,94,88,015915193,015915
015915195,91,89,85,88,80,97,92,93,015915195,015915
015915198,82,76,70,79,62,89,81,71,015915198,015915
015915225,81,84,78,84,69,94,86,81,015915225,015915
015915227,97,86,88,93,82,96,90,82,015915227,015915
015915234,96,94,87,86,84,95,93,89,015915234,015915
015915236,98,89,88,91,84,95,95,90,015915236,015915
015916101,66,69,65,64,54,84,83,58,015916101,015916
015916102,84,74,71,64,58,88,79,65,015916102,015916
015916103,75,69,75,77,61,93,88,74,015916103,015916
015916104,93,89,70,78,68,89,88,70,015916104,015916
015916105,60,53,40,51,38,69,60,50,015916105,015916
015916107,61,58,50,50,37,79,65,60,015916107,015916
015916111,70,69,73,67,74,88,78,64,015916111,015916
015916115,60,59,66,59,59,71,78,54,015916115,015916
015916116,87,85,76,81,71,93,85,83,015916116,015916
015916117,78,82,74,77,66,86,87,78,015916117,015916
016902101,78,79,69,88,79,95,88,86,016902101,016902
019907113,83,76,74,78,80,85,75,65,019907113,019907
019909101,89,82,70,60,39,79,76,73,019909101,019909
020901103,72,69,74,73,63,91,74,74,020901103,020901
020901109,90,72,79,70,66,93,83,86,020901109,020901
020901110,77,70,81,73,65,95,88,88,020901110,020901
020901111,84,82,82,81,80,89,90,89,020901111,020901
020901114,88,83,81,88,78,90,85,91,020901114,020901
020901115,79,88,84,74,72,92,84,81,020901115,020901
020902110,60,74,62,73,81,92,80,89,020902110,020902
020906104,73,73,64,68,59,94,89,77,020906104,020906
021902101,70,62,60,70,75,75,81,64,021902101,021902
027904102,64,63,76,73,63,96,76,76,027904102,027904
029901101,94,79,89,80,83,90,87,79,029901101,029901
030903101,46,65,36,50,41,47,58,58,030903101,030903
031901104,74,66,74,86,73,99,94,86,031901104,031901
031901111,86,79,90,74,71,96,84,90,031901111,031901
031901113,90,79,75,68,73,91,81,79,031901113,031901
031901117,73,71,67,77,63,88,78,73,031901117,031901
031901121,86,86,73,74,59,92,82,75,031901121,031901
031901124,78,54,82,80,65,94,83,83,031901124,031901
031901126,81,84,72,82,69,88,81,73,031901126,031901
031901128,67,63,67,65,69,96,76,80,031901128,031901
031901129,88,85,87,82,78,91,82,86,031901129,031901
031901131,73,74,78,80,65,98,97,96,031901131,031901
031901134,85,73,84,84,67,85,79,68,031901134,031901
031901135,81,79,80,80,80,96,96,81,031901135,031901
031901136,90,72,93,83,84,96,90,91,031901136,031901
031901138,91,89,88,84,80,92,82,78,031901138,031901
031901139,90,88,94,93,88,99,95,91,031901139,031901
031901143,88,80,77,81,72,85,80,74,031901143,031901
031901144,92,89,81,88,79,96,93,91,031901144,031901
031903102,59,65,75,75,75,75,67,64,031903102,031903
031903103,80,73,64,69,59,75,78,69,031903103,031903
031903107,70,79,74,79,73,87,70,68,031903107,031903
031903108,89,83,88,91,84,84,81,73,031903108,031903
031903114,78,72,71,73,67,69,71,73,031903114,031903
031903117,80,77,82,87,80,92,88,76,031903117,031903
031903122,74,69,70,66,68,82,81,65,031903122,031903
031903123,72,71,75,78,73,89,73,78,031903123,031903
031906104,79,86,91,90,94,98,91,94,031906104,031906
031906106,86,86,71,71,79,97,91,94,031906106,031906
031906107,88,77,72,74,79,98,88,93,031906107,031906
031906108,96,93,90,95,94,98,96,88,031906108,031906
031909102,66,63,62,72,68,88,79,64,031909102,031909
031912103,84,79,80,83,88,91,78,86,031912103,031912
031912104,74,85,73,82,76,90,87,84,031912104,031912
031912106,74,61,40,60,72,70,72,44,031912106,031912
031912114,63,65,85,60,70,80,59,65,031912114,031912
031912115,77,69,54,43,58,80,66,64,031912115,031912
033902101,98,83,94,94,92,93,93,87,033902101,033902
034903101,74,79,60,68,57,80,72,75,034903101,034903
034905102,76,72,79,89,79,76,76,73,034905102,034905
038901102,88,87,73,84,91,96,95,81,038901102,038901
043911101,84,75,83,89,86,97,97,92,043911101,043911
043917101,75,88,55,59,69,75,78,66,043917101,043917
043918103,88,84,58,72,53,91,88,73,043918103,043918
044902101,75,71,84,82,83,83,74,37,044902101,044902
045902101,59,57,67,57,57,82,71,65,045902101,045902
046901106,81,89,88,86,76,97,92,88,046901106,046901
046902101,82,89,88,90,82,95,93,78,046902101,046902
046902102,88,85,82,84,82,94,93,92,046902102,046902
046902115,75,65,65,66,63,84,79,72,046902115,046902
046902120,87,84,72,79,68,86,84,80,046902120,046902
046902121,89,81,86,92,94,98,98,89,046902121,046902
046902123,84,87,60,76,67,92,86,76,046902123,046902
047901101,87,81,62,81,82,85,82,67,047901101,047901
054903102,56,59,40,55,52,88,65,59,054903102,054903
057903102,85,84,78,73,71,91,88,72,057903102,057903
057903105,70,82,80,77,80,87,82,70,057903105,057903
057903109,90,82,82,77,77,94,86,90,057903109,057903
057903111,67,56,77,68,55,86,84,58,057903111,057903
057903112,86,88,90,93,100,98,100,93,057903112,057903
057903116,80,68,81,67,56,78,80,78,057903116,057903
057903118,95,95,92,95,88,95,95,90,057903118,057903
057903121,58,59,42,52,53,85,70,58,057903121,057903
057903123,91,80,72,72,64,95,97,92,057903123,057903
057903124,85,79,59,74,73,85,76,67,057903124,057903
057903128,65,72,64,81,70,91,85,73,057903128,057903
057904108,68,66,54,57,68,78,72,65,057904108,057904
057905109,64,67,57,56,51,82,67,59,057905109,057905
057905110,83,68,83,65,65,91,64,71,057905110,057905
057905112,66,77,80,76,69,82,76,73,057905112,057905
057905120,78,61,82,73,78,95,90,79,057905120,057905
057905121,76,54,49,38,44,74,67,70,057905121,057905
057905122,50,56,44,44,39,62,40,35,057905122,057905
057905125,85,84,81,72,75,90,74,69,057905125,057905
057905129,64,58,55,56,65,78,72,73,057905129,057905
057905131,77,70,69,45,46,82,77,61,057905131,057905
057905139,30,34,46,51,45,81,59,52,057905139,057905
057905142,55,40,44,49,49,60,59,53,057905142,057905
057905144,70,53,48,52,37,93,63,47,057905144,057905
057905145,70,69,71,69,71,81,80,71,057905145,057905
057905147,76,72,79,71,81,86,80,68,057905147,057905
057905148,83,71,61,56,61,100,95,91,057905148,057905
057905149,79,75,73,75,60,75,88,64,057905149,057905
057905154,69,66,84,72,81,85,71,77,057905154,057905
057905156,80,69,68,64,57,74,84,70,057905156,057905
057905163,48,46,48,53,52,68,70,55,057905163,057905
057905164,66,55,70,52,53,84,82,72,057905164,057905
057905166,68,68,72,72,59,88,74,63,057905166,057905
057905167,51,51,48,62,63,78,86,61,057905167,057905
057905169,63,75,74,74,76,80,94,88,057905169,057905
057905174,74,70,57,67,66,85,82,56,057905174,057905
057905175,73,66,56,58,68,63,53,54,057905175,057905
057905176,69,75,67,53,62,73,75,61,057905176,057905
057905180,67,63,75,63,78,82,83,76,057905180,057905
057905183,61,60,70,71,62,92,86,79,057905183,057905
057905187,70,62,76,73,74,80,73,68,057905187,057905
057905188,58,55,60,51,52,73,67,51,057905188,057905
057905189,59,53,51,56,71,78,72,61,057905189,057905
057905192,70,66,60,64,46,84,58,50,057905192,057905
057905193,73,74,72,71,85,87,76,73,057905193,057905
057905194,69,67,59,62,61,86,83,82,057905194,057905
057905203,86,75,91,71,93,97,97,73,057905203,057905
057905208,64,69,41,51,54,76,79,68,057905208,057905
057905210,75,80,75,69,66,87,81,86,057905210,057905
057905215,78,72,67,65,78,79,66,73,057905215,057905
057905220,43,46,37,37,40,72,72,63,057905220,057905
057905224,82,74,88,93,93,93,90,80,057905224,057905
057905225,45,31,43,43,40,66,56,53,057905225,057905
057905228,84,76,65,58,51,86,100,86,057905228,057905
057905230,74,72,79,77,88,97,98,81,057905230,057905
057905235,54,52,47,63,66,78,69,60,057905235,057905
057905236,64,62,81,59,63,83,68,77,057905236,057905
057905240,71,54,72,76,80,79,76,70,057905240,057905
057905266,60,51,59,53,71,67,59,74,057905266,057905
057905276,73,65,68,67,72,94,74,71,057905276,057905
057905279,84,80,64,72,65,85,85,73,057905279,057905
057905280,71,74,75,77,78,92,80,75,057905280,057905
057905283,49,55,80,73,69,88,86,72,057905283,057905
057905284,56,53,65,61,61,79,71,67,057905284,057905
057905286,70,64,65,63,65,88,80,65,057905286,057905
057905289,58,56,74,73,66,95,83,83,057905289,057905
057905304,73,70,62,73,78,74,79,77,057905304,057905
057909109,67,66,46,47,36,70,52,50,057909109,057909
057909113,86,84,84,77,86,83,79,52,057909113,057909
057909116,67,64,58,75,63,83,75,52,057909116,057909
057909120,59,70,68,60,62,89,84,67,057909120,057909
057909132,77,72,59,70,69,87,81,67,057909132,057909
057909138,89,77,81,84,80,92,90,77,057909138,057909
057909154,75,73,63,77,69,84,85,77,057909154,057909
057909155,93,90,91,89,87,96,94,87,057909155,057909
057909157,70,65,69,70,62,76,77,48,057909157,057909
057909158,53,63,65,68,53,76,74,46,057909158,057909
057909159,67,58,69,72,67,85,79,59,057909159,057909
057910119,65,61,77,72,73,89,80,83,057910119,057910
057910124,72,60,67,54,44,82,72,69,057910124,057910
057910126,79,84,71,71,68,96,91,81,057910126,057910
057912103,70,63,63,61,48,90,69,71,057912103,057912
057913106,71,73,74,73,64,90,85,87,057913106,057913
057913107,68,52,68,61,56,69,70,68,057913107,057913
057914104,75,70,66,63,66,86,78,72,057914104,057914
057914112,58,64,51,60,63,58,67,45,057914112,057914
057914123,67,67,50,72,62,86,87,82,057914123,057914
057914129,61,68,62,74,71,77,82,71,057914129,057914
057914132,73,71,68,71,68,89,88,89,057914132,057914
057922108,89,91,85,89,80,96,96,91,057922108,057922
057922110,91,93,93,91,93,96,97,87,057922110,057922
057922111,87,87,85,86,81,93,93,82,057922111,057922
057922112,90,91,90,94,91,94,93,88,057922112,057922
061901102,90,85,83,83,81,94,95,80,061901102,061901
061901113,90,80,86,74,70,86,84,75,061901113,061901
061901123,74,68,52,70,69,70,79,66,061901123,061901
061901125,72,68,86,88,70,93,91,86,061901125,061901
061902106,68,77,68,61,58,80,75,75,061902106,061902
061902107,75,75,75,72,56,78,86,48,061902107,061902
061902108,81,83,91,93,87,100,96,88,061902108,061902
061902111,63,67,60,54,45,85,72,71,061902111,061902
061902112,95,92,86,92,80,95,92,89,061902112,061902
061902113,77,78,80,77,70,89,87,79,061902113,061902
061902114,94,85,84,88,90,92,91,93,061902114,061902
061902115,62,68,72,79,74,80,73,72,061902115,061902
061902117,84,94,86,95,88,96,93,88,061902117,061902
061902118,93,96,89,90,89,99,95,83,061902118,061902
061902120,89,93,94,94,92,99,96,91,061902120,061902
061902125,83,73,74,79,79,87,79,68,061902125,061902
061902128,83,92,80,89,78,98,99,93,061902128,061902
061902130,98,98,94,98,93,99,97,91,061902130,061902
061902134,88,87,85,91,87,96,96,95,061902134,061902
061902139,70,65,45,64,64,81,72,58,061902139,061902
061902142,75,74,79,69,78,91,79,79,061902142,061902
061906101,85,84,85,82,76,79,78,62,061906101,061906
061908104,80,81,83,81,72,87,91,84,061908104,061908
061911107,82,85,82,81,69,91,89,84,061911107,061911
061911108,70,67,77,75,67,69,74,57,061911108,061911
061911113,78,77,75,84,69,91,88,79,061911113,061911
061911116,85,88,82,83,83,91,88,81,061911116,061911
061911118,62,78,66,71,57,97,95,78,061911118,061911
061912101,83,77,88,82,82,92,84,78,061912101,061912
061912105,81,86,83,87,77,86,90,88,061912105,061912
061914104,68,75,82,73,68,92,83,78,061914104,061914
065901101,74,87,66,85,78,94,91,71,065901101,065901
067902101,72,90,77,87,86,100,94,93,067902101,067902
067903101,77,72,75,86,73,88,91,80,067903101,067903
067907101,67,76,33,27,33,63,57,50,067907101,067907
070907101,63,66,49,80,56,100,79,70,070907101,070907
070908104,87,88,66,79,73,96,93,82,070908104,070908
070908106,88,89,82,84,85,96,94,78,070908106,070908
070908107,84,81,79,76,68,92,87,84,070908107,070908
070908108,88,78,83,90,94,96,90,86,070908108,070908
070911101,67,59,78,76,80,93,76,67,070911101,070911
070912108,84,86,77,79,75,85,86,79,070912108,070912
070912112,70,69,70,69,60,87,85,70,070912112,070912
071901102,82,74,81,73,69,94,77,82,071901102,071901
071901103,86,76,88,75,82,94,80,90,071901103,071901
071901105,78,59,55,58,46,85,72,62,071901105,071901
071902103,64,80,78,78,76,80,68,55,071902103,071902
071902105,67,74,67,81,68,95,97,83,071902105,071902
071902106,85,73,61,68,63,93,100,93,071902106,071902
071902111,53,54,57,54,62,76,80,61,071902111,071902
071902115,79,74,89,95,89,95,86,73,071902115,071902
071902116,81,79,71,66,54,94,86,85,071902116,071902
071902118,68,68,66,62,75,76,80,84,071902118,071902
071902121,76,82,82,79,72,82,86,74,071902121,071902
071902130,78,84,82,86,74,91,91,80,071902130,071902
071902140,70,65,44,54,47,86,66,68,071902140,071902
071902141,55,59,73,77,66,71,76,61,071902141,071902
071902151,80,86,89,84,84,96,98,90,071902151,071902
071902155,58,55,61,64,58,88,78,56,071902155,071902
071902158,76,93,69,80,64,96,91,74,071902158,071902
071902160,77,76,85,87,75,94,91,81,071902160,071902
071902162,94,92,90,93,79,100,100,78,071902162,071902
071902163,77,83,91,85,87,93,87,83,071902163,071902
071902166,91,89,76,92,82,95,94,81,071902166,071902
071902169,60,55,81,62,74,91,71,67,071902169,071902
071902174,88,84,77,86,77,99,87,82,071902174,071902
071902175,92,85,75,76,76,79,88,84,071902175,071902
071905113,86,82,80,82,68,81,69,74,071905113,071905
071905129,98,96,89,85,95,98,92,95,071905129,071905
071905131,88,82,77,76,75,95,80,89,071905131,071905
071905142,98,89,89,86,88,97,89,91,071905142,071905
071907101,76,72,83,79,78,82,84,76,071907101,071907
071907103,90,80,83,77,75,90,87,87,071907103,071907
071907106,93,91,79,80,76,94,94,78,071907106,071907
071909103,96,95,80,88,84,94,93,93,071909103,071909
071909105,82,79,84,88,88,93,88,84,071909105,071909
071909109,94,94,97,89,64,92,85,92,071909109,071909
071909119,90,85,78,85,74,96,93,87,071909119,071909
071909121,91,88,89,86,87,91,94,92,071909121,071909
071909125,73,75,68,77,69,88,90,81,071909125,071909
071909128,86,81,81,87,84,94,85,79,071909128,071909
075901102,75,78,71,75,81,89,81,49,075901102,075901
075903102,75,85,76,75,64,73,75,70,075903102,075903
079901107,74,71,71,71,51,71,71,56,079901107,079901
079901110,91,81,90,89,86,92,92,84,079901110,079901
079901112,87,79,90,73,67,94,83,67,079901112,079901
079901114,93,96,93,94,88,99,92,92,079901114,079901
079901118,95,89,87,84,72,94,88,82,079901118,079901
079901119,97,98,99,100,95,100,99,98,079901119,079901
079901120,99,94,96,96,91,100,100,97,079901120,079901
079901122,84,80,72,89,70,93,97,84,079901122,079901
079901125,85,81,68,59,47,89,74,59,079901125,079901
079901126,94,93,97,93,85,99,98,93,079901126,079901
079901127,85,77,92,94,92,97,91,83,079901127,079901
079907109,67,54,58,50,30,74,47,36,079907109,079907
079907118,73,68,77,75,54,89,85,75,079907118,079907
079907120,94,91,94,95,93,99,97,88,079907120,079907
079907121,78,76,60,71,58,85,80,72,079907121,079907
079907123,91,90,90,90,87,96,90,89,079907123,079907
079907124,78,68,57,70,60,90,82,69,079907124,079907
079907125,91,92,89,84,66,90,95,84,079907125,079907
079907127,91,92,89,79,75,95,87,74,079907127,079907
079907128,98,95,91,93,85,100,100,97,079907128,079907
079907133,68,73,76,81,73,84,91,68,079907133,079907
079907134,75,64,60,65,53,62,73,35,079907134,079907
079907144,45,52,75,59,49,80,69,65,079907144,079907
079907146,59,62,69,76,52,87,83,92,079907146,079907
084903101,-1,-1,70,50,-1,-1,-1,-1,084903101,084903
084910101,87,83,78,84,81,98,93,90,084910101,084910
084910103,67,68,83,67,55,69,77,59,084910103,084910
084910104,75,78,60,73,66,83,92,81,084910104,084910
084910105,88,87,83,89,79,96,91,88,084910105,084910
084910106,84,82,79,76,76,93,90,71,084910106,084910
084910107,69,68,73,66,67,80,87,79,084910107,084910
084910108,84,81,84,79,73,90,89,75,084910108,084910
084910110,89,88,70,72,61,89,84,78,084910110,084910
084910111,87,85,88,82,71,95,95,79,084910111,084910
084910115,88,85,83,85,79,96,91,80,084910115,084910
084910118,81,92,79,83,87,90,88,79,084910118,084910
084910119,81,88,78,84,78,76,83,70,084910119,084910
084910120,87,90,84,86,74,93,95,84,084910120,084910
084910121,80,83,86,89,81,92,94,87,084910121,084910
084910122,85,88,87,87,77,89,89,78,084910122,084910
084910123,91,88,94,95,89,97,95,93,084910123,084910
084910124,86,85,82,93,80,92,92,86,084910124,084910
084910125,85,87,83,84,77,95,95,88,084910125,084910
084910127,94,94,91,92,88,97,93,92,084910127,084910
085902101,48,37,44,43,55,86,72,63,085902101,085902
090904105,74,65,73,68,69,83,63,57,090904105,090904
091914101,67,79,70,83,81,69,78,63,091914101,091914
092903122,75,72,70,72,65,62,67,38,092903122,092903
092903123,79,77,76,77,72,80,79,63,092903123,092903
092903124,61,58,78,73,65,71,67,51,092903124,092903
092903126,86,86,87,87,88,94,86,80,092903126,092903
093904104,59,56,43,55,38,49,56,34,093904104,093904
095901101,75,65,80,67,61,81,87,65,095901101,095901
095905108,72,69,68,62,62,88,70,75,095905108,095905
097902102,68,72,81,83,72,91,93,89,097902102,097902
099903102,71,71,64,82,60,93,90,71,099903102,099903
100905102,92,89,88,85,74,93,89,96,100905102,100905
101815101,73,87,64,92,60,76,82,61,101815101,101815
101903101,60,63,64,66,59,84,76,78,101903101,101903
101903108,63,58,67,82,70,85,84,77,101903108,101903
101907103,76,80,82,82,79,93,89,88,101907103,101907
101907104,81,83,80,89,72,97,96,92,101907104,101907
101907105,78,86,79,86,69,85,85,75,101907105,101907
101907106,79,82,77,80,77,93,85,81,101907106,101907
101907107,85,89,88,85,81,95,90,86,101907107,101907
101907108,67,71,71,71,69,86,80,78,101907108,101907
101907109,78,73,76,86,78,92,86,91,101907109,101907
101907112,71,65,76,69,59,78,69,69,101907112,101907
101907113,64,65,75,76,65,87,79,72,101907113,101907
101907116,81,83,80,86,75,94,94,90,101907116,101907
101907118,89,82,77,87,76,92,88,88,101907118,101907
101907119,74,70,68,68,66,91,87,90,101907119,101907
101907120,57,64,53,64,60,93,84,88,101907120,101907
