,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001902103,90,81,84,89,97,87,73,85,001902103,001902
001904102,80,92,74,78,69,86,90,80,001904102,001904
001909101,64,89,47,67,63,54,86,67,001909101,001909
003907102,80,86,64,64,68,82,88,86,003907102,003907
005902101,77,88,80,84,84,91,85,76,005902101,005902
010902102,71,79,49,72,64,84,77,82,010902102,010902
011902102,41,67,44,41,37,65,62,61,011902102,011902
014903102,87,92,92,78,78,91,84,78,014903102,014903
014903114,59,73,61,57,54,84,78,55,014903114,014903
014905101,91,97,79,74,77,88,88,86,014905101,014905
014906104,41,62,38,67,57,80,82,89,014906104,014906
014906121,70,90,73,82,82,79,83,76,014906121,014906
014906125,73,87,59,69,64,79,71,76,014906125,014906
014906126,84,93,79,97,84,77,86,74,014906126,014906
014906127,72,84,68,64,56,74,74,65,014906127,014906
014906128,58,74,54,65,59,79,80,71,014906128,014906
014906129,60,87,62,67,64,75,76,64,014906129,014906
014906132,62,85,68,70,65,57,70,57,014906132,014906
014906133,57,80,82,76,74,74,85,73,014906133,014906
014906135,60,81,66,73,75,56,79,54,014906135,014906
015904103,44,69,69,72,72,57,67,64,015904103,015904
015904105,39,59,47,65,52,60,69,71,015904105,015904
015907101,57,73,79,79,90,88,75,76,015907101,015907
015907114,58,74,59,74,91,47,58,59,015907114,015907
015907124,55,77,71,51,45,67,67,63,015907124,015907
015907136,67,71,49,48,43,58,66,64,015907136,015907
015907141,63,71,51,51,48,85,70,84,015907141,015907
015907149,44,58,66,68,80,67,60,59,015907149,015907
015907150,67,81,52,55,48,73,79,61,015907150,015907
015907164,68,77,60,55,41,53,56,58,015907164,015907
015907165,52,51,43,46,38,45,50,46,015907165,015907
015907169,30,53,44,53,42,60,62,54,015907169,015907
015907174,49,71,61,55,58,89,72,69,015907174,015907
015907175,42,47,48,38,31,70,66,71,015907175,015907
015908104,45,63,49,59,60,63,72,63,015908104,015908
015908108,57,60,51,54,64,71,70,65,015908108,015908
015910104,54,78,46,66,60,76,71,73,015910104,015910
015910106,44,73,44,69,63,66,80,72,015910106,015910
015910110,63,74,42,69,67,62,68,68,015910110,015910
015910112,56,71,48,53,49,69,70,64,015910112,015910
015910113,44,71,50,63,56,52,61,50,015910113,015910
015910114,48,68,46,65,54,49,60,60,015910114,015910
