,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
003801103,80,80,64,64,63,86,85,85,003801103,003801
003906101,61,65,65,52,39,75,79,70,003906101,003906
005904101,96,74,87,77,90,87,97,97,005904101,005904
006902101,79,67,88,92,83,100,95,100,006902101,006902
010902102,63,60,68,70,56,84,80,75,010902102,010902
013903101,66,74,48,48,52,70,50,45,013903101,013903
014906103,61,57,64,58,38,79,74,41,014906103,014906
014906105,82,71,73,60,54,97,89,64,014906105,014906
014906108,88,91,66,65,61,83,80,57,014906108,014906
014906109,87,66,90,73,74,83,76,63,014906109,014906
014906110,81,65,74,72,57,82,74,60,014906110,014906
014906111,66,62,66,53,49,75,65,43,014906111,014906
014906112,83,64,63,54,47,59,66,60,014906112,014906
014906113,60,52,76,60,58,87,83,53,014906113,014906
014906117,95,95,94,76,82,92,87,86,014906117,014906
014906119,74,63,64,60,49,86,79,65,014906119,014906
014906120,76,60,65,55,45,81,81,73,014906120,014906
014906122,90,70,79,69,64,92,86,67,014906122,014906
014906123,85,74,84,77,71,95,87,83,014906123,014906
014906124,89,90,85,74,63,90,84,68,014906124,014906
014906128,89,85,93,77,71,94,82,77,014906128,014906
014906130,78,68,86,65,70,91,84,65,014906130,014906
014906131,78,72,54,58,45,87,80,51,014906131,014906
014906133,73,71,74,68,63,88,80,64,014906133,014906
014906136,93,87,88,80,78,98,89,83,014906136,014906
014906137,82,67,82,74,68,96,88,86,014906137,014906
014906138,82,72,83,71,62,91,88,69,014906138,014906
014906139,82,75,83,67,66,91,85,76,014906139,014906
015807102,70,75,-1,100,-1,100,100,92,015807102,015807
015815001,71,50,50,64,68,100,100,89,015815001,015815
015822007,83,87,88,85,75,93,90,76,015822007,015822
015822008,71,74,78,84,69,86,79,69,015822008,015822
015828006,71,70,76,71,54,85,86,86,015828006,015828
015904101,72,65,67,62,57,92,92,76,015904101,015904
015904102,75,59,67,56,51,84,77,59,015904102,015904
015904103,63,51,69,49,46,76,69,58,015904103,015904
015904104,53,76,51,56,57,74,70,53,015904104,015904
015904105,47,42,56,55,42,78,65,46,015904105,015904
015904106,56,53,42,44,45,81,68,39,015904106,015904
015904108,70,65,73,68,62,87,74,66,015904108,015904
015904109,80,71,71,67,67,92,91,78,015904109,015904
015904110,56,65,73,58,67,80,80,62,015904110,015904
015904113,78,59,67,49,57,85,76,71,015904113,015904
015904114,75,61,84,71,73,85,81,74,015904114,015904
015904116,63,55,55,51,47,93,74,65,015904116,015904
015905106,67,54,71,65,57,81,73,64,015905106,015905
015905108,68,57,70,49,46,79,83,58,015905108,015905
015905109,78,56,63,59,51,87,79,81,015905109,015905
015905112,79,73,67,58,63,85,84,82,015905112,015905
015905116,62,55,50,33,39,75,66,55,015905116,015905
015905117,57,51,54,58,38,69,64,58,015905117,015905
015907105,61,63,73,63,63,91,79,71,015907105,015907
015907110,56,52,43,39,35,91,69,56,015907110,015907
015907112,47,41,78,62,62,60,53,37,015907112,015907
015907116,67,55,56,44,50,62,65,62,015907116,015907
015907118,63,54,63,44,42,77,71,64,015907118,015907
015907119,51,35,71,51,59,80,54,45,015907119,015907
015907123,52,46,55,64,68,85,69,59,015907123,015907
015907126,91,82,83,71,69,74,69,51,015907126,015907
015907127,91,70,88,81,66,78,72,83,015907127,015907
015907129,65,56,50,55,46,87,69,57,015907129,015907
015907132,58,53,59,67,64,74,74,62,015907132,015907
015907134,59,64,64,60,49,67,67,43,015907134,015907
015907135,62,60,52,56,49,83,76,74,015907135,015907
015907136,61,52,43,49,55,62,63,41,015907136,015907
015907137,55,59,44,42,41,88,79,73,015907137,015907
015907140,60,48,58,47,49,48,46,35,015907140,015907
015907143,71,61,66,60,49,85,68,58,015907143,015907
015907153,52,35,50,34,41,56,42,36,015907153,015907
015907155,72,64,62,55,59,67,62,62,015907155,015907
015907157,48,40,32,34,27,55,41,29,015907157,015907
015907162,57,41,58,58,52,90,74,68,015907162,015907
015907168,42,33,42,33,31,54,50,36,015907168,015907
015907169,57,38,36,36,31,67,54,43,015907169,015907
015907174,73,71,72,68,63,74,70,56,015907174,015907
015907176,69,59,55,52,50,73,71,61,015907176,015907
015907201,.,.,.,.,.,.,.,.,015907201,015907
015908104,68,48,62,59,56,70,66,43,015908104,015908
015908105,54,46,62,64,62,85,79,67,015908105,015908
015908107,68,74,67,63,52,89,77,71,015908107,015908
015908108,62,57,68,55,58,80,70,66,015908108,015908
015908109,50,58,71,67,61,83,75,64,015908109,015908
015908112,63,61,69,53,56,86,74,69,015908112,015908
015908113,67,63,60,58,51,84,71,60,015908113,015908
015910105,73,65,51,48,47,80,73,68,015910105,015910
015910111,81,64,86,76,72,91,79,84,015910111,015910
015910115,47,39,40,40,39,79,65,63,015910115,015910
015910121,69,59,47,50,47,74,75,66,015910121,015910
015910127,64,67,65,77,61,90,82,74,015910127,015910
015910138,70,70,77,77,66,85,71,62,015910138,015910
