,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,50,54,35,31,28,170,134,17,24,45,12,13.2,8.8,11.396884053,39173,18.6624,001,N,96.1,001902001,001902
001903001,92,98,92,75,22,357,311,24,80,127,13.2,13.8,16.8,15.975,40830,32.7139,001,N,95.1,001903001,001903
001907001,278,225,195,179,262,877,373,50,119,425,18.4,19.3,18.4,12.893053435,39161,65.0673,001,N,92.9,001907001,001907
001908002,129,125,125,103,80,482,333,20,90,194,14,16.1,19.1,14.1,39492,36.9771,001,N,93.7,001908002,001908
002901001,230,208,194,216,15,848,347,80,128,212,16.6,17.5,17.6,15.478873239,53474,63.3651,002,N,94.7,002901001,002901
003902001,212,179,145,170,31,706,537,68,85,301,20.8,21.9,16.8,13.302154269,43347,46.9995,003,N,96,003902001,003902
003903001,657,571,607,494,734,2329,932,236,451,1099,17.1,16.9,19,14.495867769,43242,171.3512,003,N,94.3,003903001,003903
003904001,134,118,120,90,11,462,434,32,73,163,14.6,16.4,13.7,12.448979592,41359,39.4802,003,N,94.8,003904001,003904
003904005,19,17,9,14,1,59,55,0,14,26,19,20.5,-2,21.75,43634,2.8865,003,N,93.2,003904005,003904
003906004,1,1,0,1,0,3,3,0,2,1,.,.,.,.,.,.,003,N,-1,003906004,003906
003907001,138,107,111,122,18,478,409,29,99,156,13.5,15,16.9,11.15,41498,38.7018,003,N,95.1,003907001,003907
003907004,1,4,4,2,0,11,10,0,3,2,.,.,.,.,.,.,003,N,54.1,003907004,003907
004901001,295,275,227,187,22,984,581,61,135,464,19.8,19.9,21.8,11.20391673,42498,79.5086,004,N,93.7,004901001,004901
005902001,65,59,54,77,0,255,234,16,22,39,10.6,11.2,12.6,15.363636364,40084,25.5127,005,N,96.7,005902001,005902
007901001,34,41,35,28,1,138,25,17,23,90,12.5,9.7,11.7,12.833333333,48919,13.822,007,N,93.5,007901001,007901
007902001,88,91,82,77,1,338,145,27,44,190,22.5,23.5,19.6,15.53125,46771,28.1733,007,N,93.2,007902001,007902
007904001,130,112,93,127,1,462,124,47,34,271,18.5,22.6,17.9,12.292682927,45589,40.9049,007,N,95.8,007904001,007904
007905001,291,264,217,219,5,991,370,93,160,524,19.7,16.9,19.1,12.073840685,44360,78.4009,007,N,92.6,007905001,007905
007906001,127,133,110,111,2,481,82,37,56,354,19.1,14,13.7,11.195856453,42346,38.8867,007,N,93.6,007906001,007906
008901001,173,172,185,166,94,696,481,108,95,174,15.4,17.2,17.5,10.642533937,43233,52.2441,008,N,95.4,008901001,008901
008902001,270,150,166,151,97,737,370,79,117,293,18.9,19.7,18.4,12.956834532,46322,61.3512,008,N,95.1,008902001,008902
008903001,63,71,72,74,35,280,152,21,40,107,14.5,15.7,16.3,12.492218703,45080,25.9611,008,N,95.6,008903001,008903
009901001,112,88,74,76,6,350,97,28,53,221,14.7,17,13.3,12.879932659,40808,32.6395,009,N,95.2,009901001,009901
010902001,230,187,195,212,3,824,632,126,99,302,19.3,16.2,20.9,14.90625,45451,60.4365,010,N,94.2,010902001,010902
011901001,736,561,551,493,252,2341,1234,300,325,1092,23.4,24,21.7,11.674693678,45770,144.048,011,N,92.5,011901001,011901
011901022,4,16,23,20,3,63,35,0,8,25,.,.,.,14.845563581,45799,5.3936,011,N,.,011901022,011901
011902001,331,276,215,208,167,1030,410,49,129,523,23.4,18.6,22.7,12,43919,68.4996,011,N,94.3,011902001,011902
011902004,2,4,9,16,5,31,9,0,3,11,8.8,4.8,2,16.166666667,57356,2.9838,011,N,94.1,011902004,011902
011904002,142,136,134,109,37,521,392,17,68,173,16.3,18.2,17.7,11.130434783,41387,44.357,011,N,94.7,011904002,011904
012901001,40,56,45,45,5,186,148,16,19,60,13.4,10.6,13.4,13.166666667,42048,24.8902,012,N,95.6,012901001,012901
013901001,363,246,206,196,24,1011,232,84,101,585,21.9,20.5,18.4,11.561801155,44009,67.3172,013,N,92.8,013901001,013901
013905001,52,66,62,59,5,239,105,16,30,121,14.6,12.2,11.1,9.3989791972,40090,23.2512,013,N,95.3,013905001,013905
014801001,48,31,64,18,70,161,40,0,13,76,8.8,12.9,12.4,7.875,39497,7.9992,014,Y,87.2,014801001,014801
014802001,13,11,25,10,26,59,21,0,6,39,.,5,.,3.4545454545,28837,4.4999,014,Y,92.5,014802001,014802
014901001,87,89,92,67,3,335,285,25,29,57,13.4,16.7,15.1,16.5,44781,27.9968,014,N,95.7,014901001,014901
014903001,703,596,517,511,150,2327,1510,234,323,728,24.1,24.4,25.5,11.628353902,42385,149.4026,014,N,93.8,014903001,014903
014903005,15,26,27,53,12,121,72,2,4,59,13.7,16.6,14.5,11,41822,9.7881,014,N,80.3,014903005,014903
014905001,34,35,42,38,9,149,104,25,19,68,16.7,13,12.7,13.629479448,42284,16.7085,014,N,94.9,014905001,014905
014906001,650,438,393,395,885,1876,542,149,292,826,19.8,21.5,20.2,10.25170068,46280,132.6564,014,N,93.6,014906001,014906
014906002,786,639,485,495,1045,2405,745,217,339,898,19.6,19,21.9,10.7150154,46725,165.7655,014,N,94.8,014906002,014906
014906004,49,31,20,9,75,109,11,1,22,68,.,.,.,15.75,51545,11.9979,014,N,88.5,014906004,014906
014906006,9,20,32,54,46,115,35,1,5,45,.,.,.,15.195468987,51032,12.9055,014,N,84.8,014906006,014906
014906007,729,539,499,503,717,2270,1038,242,255,475,22,22,22.4,10.934716496,46036,157.5158,014,N,94.7,014906007,014906
014906008,719,531,474,370,1054,2094,560,103,289,813,20.4,20.5,22.2,8.9432249795,44825,152.8328,014,N,94,014906008,014906
014907001,72,67,70,49,7,258,206,37,27,87,12.4,12.1,13.4,12.789473684,38521,25.4304,014,N,96.9,014907001,014907
014908001,126,95,95,81,4,397,314,36,44,79,16.8,17.7,15.7,9.7722167509,42807,34.7561,014,N,95.6,014908001,014908
014909002,669,542,497,424,647,2132,871,168,393,967,22.8,22.2,21.8,12.188185325,42603,152.8011,014,N,92.7,014909002,014909
014910001,118,98,92,78,8,386,283,40,73,125,16.5,13.1,17.9,12.555555556,39226,30.9854,014,N,95.6,014910001,014910
015801001,73,51,28,41,2,193,2,0,30,175,.,.,.,3.1074967759,37237,11.7864,015,Y,81.4,015801001,015801
015801002,16,12,15,15,2,58,7,0,6,14,.,.,.,0.7610990314,39595,5.059,015,Y,93.8,015801002,015801
015801003,52,38,21,10,9,121,7,0,37,93,.,.,.,0,41156,5.2194,015,Y,86.3,015801003,015801
015802004,16,27,28,36,58,107,6,0,14,103,17.5,29.7,30,3.61352657,29920,8.1932,015,Y,92.4,015802004,015802
015806001,175,164,100,84,205,523,37,0,73,383,17.8,19,19.6,0.6274509804,35203,44.1951,015,Y,94.7,015806001,015806
015807001,146,100,54,57,79,357,84,9,54,187,30.6,23,26,4.3705308663,39183,13.9703,015,Y,83.5,015807001,015807
015807002,111,59,41,30,92,241,15,8,34,194,21.9,22.7,26,6.3941113382,39526,10.2968,015,Y,82.9,015807002,015807
015807004,114,58,44,65,22,281,33,8,31,125,18.5,14.4,.,5.227913065,36131,11.3703,015,Y,85.5,015807004,015807
