,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001909101,32,22,27,1,193,182,4,15,100,.,.,.,11.444444444,39715,17.5028,001,N,97,001909101,001909
003906101,34,29,42,4,235,221,4,24,139,.,.,.,11.315789474,39283,19,003,N,95.9,003906101,003906
007901101,36,36,49,0,252,29,1,15,207,.,.,.,13.023255814,45501,20.4694,007,N,95.8,007901101,007901
008903102,60,69,66,58,376,157,4,24,209,.,.,.,15.423051311,47130,26.371,008,N,96.7,008903102,008903
011902101,111,83,89,68,637,191,21,48,465,.,.,.,12.8,44941,38.4574,011,N,96.2,011902101,011902
011902103,108,102,105,127,660,190,47,36,437,.,.,.,9.6585365854,43351,38.9575,011,N,96.2,011902103,011902
013903101,29,24,20,3,175,59,6,17,129,.,.,.,15.9375,43628,14.9536,013,N,96.5,013903101,013903
014903102,37,43,50,15,305,209,25,29,160,.,.,.,12.534883721,40864,19.3167,014,N,96.8,014903102,014903
014903103,54,62,64,61,445,229,29,47,353,.,.,.,9.4193548387,40159,29.5481,014,N,96.2,014903103,014903
014903109,104,116,115,21,680,518,41,84,289,.,.,.,10.191011236,39859,42.8367,014,N,96.5,014903109,014903
014903116,57,57,74,47,502,338,24,33,221,.,.,.,6.1333333333,38013,29.5011,014,N,96.5,014903116,014903
014905101,47,42,40,14,274,191,7,16,153,.,.,.,14.5,39888,22.3651,014,N,96.9,014905101,014905
014906102,63,52,73,88,452,152,14,37,272,.,.,.,9.5044788118,47399,40.8779,014,N,96.5,014906102,014906
014906103,73,71,75,249,573,153,7,82,467,.,.,.,8.1854722215,45029,43.0405,014,N,96.1,014906103,014906
014906105,106,90,81,181,699,263,17,63,517,.,.,.,8.6890771754,46279,52.107,014,N,95.9,014906105,014906
014906108,68,151,183,176,768,407,28,60,331,.,.,.,12.094339623,48515,52.0778,014,N,95,014906108,014906
014906109,92,72,85,216,665,155,6,50,498,.,.,.,7.2421973313,45011,52.7569,014,N,95.6,014906109,014906
014906110,113,104,93,300,715,171,19,58,435,.,.,.,8.7365440851,46288,56.3274,014,N,96.2,014906110,014906
014906111,86,61,60,233,508,159,15,52,345,.,.,.,10.918951633,47794,35.6887,014,N,95.8,014906111,014906
014906112,65,57,55,172,483,146,4,57,406,.,.,.,12.368421053,48432,37.5358,014,N,94.8,014906112,014906
014906113,71,81,84,233,530,166,16,62,376,.,.,.,12.6,48521,38.5159,014,N,96.2,014906113,014906
014906115,131,105,139,136,847,554,55,73,358,.,.,.,11.964912281,47939,56.998,014,N,96,014906115,014906
014906117,108,88,95,142,714,407,15,38,420,.,.,.,8.1973924299,45763,51.2999,014,N,95.3,014906117,014906
014906119,112,96,95,381,757,208,11,76,512,.,.,.,10.821428571,46776,52.8723,014,N,95.9,014906119,014906
014906120,121,116,114,385,787,215,14,95,456,.,.,.,8.0934973165,45710,56.3386,014,N,96.2,014906120,014906
014906122,163,160,148,488,1150,364,18,72,547,.,.,.,8.6513317365,45699,68.3904,014,N,95.9,014906122,014906
014906123,136,95,88,258,813,381,13,67,608,.,.,.,8.2024189454,45643,54.8484,014,N,95.1,014906123,014906
014906124,107,86,112,253,664,250,29,77,286,.,.,.,11.856312528,48119,47.0217,014,N,96.8,014906124,014906
014906128,93,87,66,152,556,279,7,69,415,.,.,.,6.8181343467,44302,44.3515,014,N,94.6,014906128,014906
014906136,175,160,176,243,1108,682,35,109,402,.,.,.,6.2843281184,43631,70.6946,014,N,95.8,014906136,014906
014907102,60,53,68,7,366,268,21,30,176,.,.,.,9.7164750958,36672,25.5536,014,N,96.6,014907102,014907
015811101,16,12,7,0,161,2,0,8,69,.,.,.,5.9565217391,32487,11.5,015,Y,96.6,015811101,015811
015815103,3,2,2,17,32,10,0,1,26,.,.,.,4.5,36833,1.7138,015,Y,-1,015815103,015815
015819001,13,8,8,2,81,12,0,4,79,.,.,.,5,35033,6.0001,015,Y,95.1,015819001,015819
015819101,15,12,9,35,83,17,0,4,57,.,.,.,3,36258,6.0002,015,Y,95.2,015819101,015819
015904102,109,109,98,1,689,43,27,59,604,.,.,.,12.357142857,46595,40.7296,015,N,96.4,015904102,015904
015904105,96,96,87,0,769,4,23,56,755,.,.,.,9.1914893617,45131,46.088,015,N,96.9,015904105,015904
015904106,112,102,111,3,739,14,14,59,737,.,.,.,11.395348837,46608,41.8915,015,N,96.3,015904106,015904
015904107,92,87,82,2,527,9,12,46,506,.,.,.,11.685714286,45875,33.8575,015,N,96.4,015904107,015904
015904108,103,111,108,4,710,48,13,47,616,.,.,.,11.086956522,46721,44.3364,015,N,96.7,015904108,015904
015904109,97,86,82,4,564,11,20,43,562,.,.,.,12.342857143,47539,34.2774,015,N,96.9,015904109,015904
015904110,72,65,55,6,448,9,9,42,418,.,.,.,12.107142857,46590,26.1213,015,N,96.3,015904110,015904
015904113,85,74,85,5,596,20,11,31,567,.,.,.,14,47908,34.9853,015,N,96.5,015904113,015904
015904114,66,64,67,1,480,29,20,36,468,.,.,.,12.483870968,47331,29.5308,015,N,96.5,015904114,015904
015905105,88,74,78,6,578,2,25,47,525,.,.,.,13.404761905,49571,38.7262,015,N,96.1,015905105,015905
015905106,66,77,75,5,463,4,9,48,453,.,.,.,9.4166666667,46915,33.2288,015,N,95.8,015905106,015905
015905108,85,74,69,3,575,7,17,34,394,.,.,.,15.080069366,50098,38.5567,015,N,95.5,015905108,015905
015905109,102,70,65,15,558,9,25,64,511,.,.,.,10.157894737,47741,36.1782,015,N,96.2,015905109,015905
015905110,98,81,91,5,611,6,31,68,557,.,.,.,11.181818182,47817,39.8389,015,N,96.3,015905110,015905
015905112,127,108,136,3,827,6,83,103,810,.,.,.,11.847457627,48656,55.4403,015,N,96.2,015905112,015905
015905113,88,75,111,1,603,5,38,65,582,.,.,.,10.392695167,48028,40.056,015,N,96.2,015905113,015905
015905114,102,97,66,9,627,0,22,54,602,.,.,.,10.912196448,47870,40.8592,015,N,96.1,015905114,015905
015905116,71,68,64,11,513,6,15,42,475,.,.,.,10.777797737,48185,34.5845,015,N,95.2,015905116,015905
015905117,59,85,62,8,498,5,11,23,494,.,.,.,11.852941176,48542,31.4428,015,N,96.5,015905117,015905
015907101,97,91,76,9,638,21,28,45,591,.,.,.,12.666666667,48034,35.9998,015,N,96.7,015907101,015907
015907103,77,78,66,22,545,7,25,66,518,.,.,.,11.28125,47910,31.9998,015,N,96.1,015907103,015907
015907106,77,81,74,13,576,25,19,71,548,.,.,.,13.648648649,49350,37.0004,015,N,96.9,015907106,015907
015907111,57,63,53,38,510,4,5,38,509,.,.,.,11.935483871,47215,31,015,N,96.4,015907111,015907
015907116,106,102,99,4,677,3,13,39,627,.,.,.,16.594594595,51019,37.0004,015,N,96.4,015907116,015907
015907118,124,122,106,9,879,2,16,80,854,.,.,.,17.040816327,51952,49.0004,015,N,96.6,015907118,015907
015907121,87,67,76,1,552,4,21,50,531,.,.,.,11.852941176,47034,34,015,N,96.5,015907121,015907
015907123,62,60,59,5,389,9,9,23,345,.,.,.,14.863636364,48575,21.5002,015,N,96.6,015907123,015907
015907125,45,45,47,35,392,29,13,34,367,.,.,.,16.863636364,51545,22.0002,015,N,95.9,015907125,015907
015907126,75,94,81,3,526,17,23,52,488,.,.,.,15.393939394,50280,33.0004,015,N,96.8,015907126,015907
