,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
241901001,75,76,70,61,45,282,127,10,34,125,12.8,13.8,14.6,8.768103263,39900,22.8546,241,N,95.3,241901001,241901
241902001,63,70,62,69,20,264,170,10,22,73,9.4,10.6,13.7,17.24742818,48007,30.3236,241,N,96.8,241902001,241902
241903001,263,255,244,235,156,997,370,136,111,516,14.1,13.9,16.6,15.622635216,49896,80.6209,241,N,94,241903001,241903
241906001,35,42,45,39,10,161,93,16,18,57,15,10.8,12,11.142857143,40194,17.2865,241,N,95.1,241906001,241906
242902001,21,19,22,30,3,92,68,5,11,32,9.4,9,10.3,15.694973423,45090,16.8843,242,N,94.2,242902001,242902
243901001,207,225,205,208,64,845,660,52,98,271,16.6,18.5,17,14.080281569,44991,74.3496,243,N,94.4,243901001,243901
243902001,46,37,30,30,9,143,109,15,21,74,20.2,26.2,32.5,14.995139196,43334,16.6625,243,N,95.3,243902001,243902
243903001,139,137,131,113,2,520,460,30,47,178,17.6,17.3,17.4,13.978021978,44069,44.2182,243,N,95.5,243903001,243903
243905001,192,142,170,179,258,683,240,41,155,404,11.8,14.9,15.1,12.042188984,47555,73.5087,243,N,94.7,243905001,243905
243905002,477,438,417,405,155,1737,1276,206,237,464,19.6,20.3,22.1,14.013756736,48119,112.6486,243,N,95,243905002,243905
243905004,378,335,351,335,222,1399,613,110,234,800,17.5,19.3,19.9,9.4764310426,45584,103.9226,243,N,94,243905004,243905
243905006,9,8,17,26,10,60,37,3,11,29,2.3,1.5,1.9,13.928571429,48515,13.9998,243,N,84.6,243905006,243905
244903001,161,153,136,150,71,600,307,79,57,293,18.4,17,17.4,15.905532604,44566,48.0954,244,N,94.7,244903001,244903
245902001,117,115,85,123,0,440,11,42,55,331,16.4,16,16.9,9.420858709,45229,37.2658,245,N,94.7,245902001,245902
245903001,170,155,145,132,2,602,12,26,93,562,22.1,25,21.3,15.97826087,46917,43.3506,245,N,90.2,245903001,245903
245904002,27,16,22,17,0,82,21,3,12,58,9.7,12.3,12.8,12.866666667,46476,9.6587,245,N,95.3,245904002,245904
246902001,92,79,76,82,1,329,239,20,40,141,14.9,14.7,15.3,16.117647059,45065,28.4522,246,N,95.1,246902001,246902
246904001,27,759,740,645,91,2171,1399,277,146,663,18.2,20.5,19.3,15.040816327,50078,157.5312,246,N,94.1,246904001,246904
246904002,2,8,19,49,2,78,48,0,2,44,.,.,.,16,50860,11.3122,246,N,86.4,246904002,246904
246906001,363,315,297,244,223,1219,607,61,95,471,20.4,20.8,20.9,11.618732347,47988,76.1402,246,N,95.2,246906001,246906
246907001,79,59,59,61,8,258,144,18,25,126,14.7,13.7,18.1,13.709677419,47915,25.9134,246,N,95.9,246907001,246907
246908001,182,188,198,172,12,740,617,53,78,153,16.1,19.3,19,11.618181818,45358,51.3178,246,N,96.1,246908001,246908
246909001,836,707,677,552,287,2772,1571,179,176,780,21.9,23.5,24.2,11.498015364,50583,180.5963,246,N,94.8,246909001,246909
246909003,654,636,560,587,96,2437,1514,408,129,261,18.2,20,21.2,13.502939381,51999,160.8633,246,N,96.7,246909003,246909
246909004,710,747,638,681,274,2776,1722,209,202,479,22.2,23.2,24.4,11.244466701,50780,191.1058,246,N,96.2,246909004,246909
246909007,40,953,810,732,442,2535,1126,158,249,856,22.6,22.2,23,8.7211888482,48025,170.1746,246,N,93.5,246909007,246909
246909011,7,45,72,67,41,191,67,1,8,101,18,.,25,10.048438751,47410,19.984,246,N,72.5,246909011,246909
