,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,53,48,57,34,15,192,2,160,22,37,61,11.7,14.2,13.2,14.745098039,44800,20.5581,001,N,95.7,001902001,001902
001903001,106,92,87,75,11,360,5,306,23,29,135,10.6,14.3,14,14.333333333,43122,32.7724,001,N,95.6,001903001,001903
001904001,62,59,44,58,35,223,1,162,16,30,118,14.1,17,14.4,11.277777778,41983,23.0003,001,N,95.3,001904001,001904
001906002,22,26,32,39,8,119,1,94,7,10,46,7.9,9.6,10.3,13,46519,11.3081,001,N,96.2,001906002,001906
001907001,249,205,198,149,218,801,7,270,36,78,506,16,15.2,20.3,11.619845361,46517,77.4317,001,N,95.4,001907001,001907
001908002,122,124,107,71,84,424,4,259,19,45,207,14.4,13.6,14.7,12.255813953,41778,38.0558,001,N,95.4,001908002,001908
002901001,256,264,228,200,19,948,2,307,46,78,276,14.1,16.9,18.4,14.486666667,59813,68.5597,002,N,96.3,002901001,002901
002901002,3,3,18,16,0,40,0,14,0,2,17,.,.,.,13.333333333,54226,5.9993,002,N,91.1,002901002,002901
003902001,232,197,187,170,34,786,10,552,53,47,361,19.7,19,20.3,13.114754098,45617,53.9903,003,N,95.9,003902001,003902
003903001,604,536,486,510,600,2136,41,693,285,326,1278,17.4,15.4,19.4,13.645791836,44976,177.5555,003,N,94.4,003903001,003903
003903004,1,12,10,44,23,67,0,19,0,13,38,.,.,.,.,.,.,003,N,69.9,003903004,003903
003904001,171,134,122,120,15,547,0,486,49,61,234,19.3,20.8,20.8,12.721959644,43515,34.868,003,N,95.5,003904001,003904
003904005,20,12,19,19,2,70,0,66,0,11,39,.,.,.,15.5,49052,2.6242,003,N,88.2,003904005,003904
003907001,145,115,91,102,21,453,1,358,22,55,178,15.6,17.1,20.5,9.488372093,42891,38.5657,003,N,95.4,003907001,003907
004901001,260,243,225,196,10,924,35,504,35,76,426,18.4,22,21,11.111647906,43878,79.5067,004,N,94.3,004901001,004901
005902001,88,62,55,69,1,274,0,252,11,24,60,10.1,12.5,15.6,16.363636364,46435,25.6486,005,N,95.8,005902001,005902
005904001,37,46,40,41,0,164,0,122,23,15,57,10.9,11.8,13.7,13.563218391,45020,14.4052,005,N,97.2,005904001,005904
007901001,41,37,40,23,0,141,0,19,0,16,104,14.6,18.2,14.4,10.222222222,45394,16.2572,007,N,94.7,007901001,007901
007902001,139,110,122,105,1,476,2,185,36,36,236,11.5,10.1,12.8,16.897435897,53925,34.5624,007,N,95.4,007902001,007902
007904001,114,144,134,124,5,516,0,100,35,38,337,21.5,19.5,19,8.8935904299,46175,42.557,007,N,94.4,007904001,007904
007905001,263,259,244,200,5,966,5,300,58,82,495,16.9,15.3,16.6,10.197530864,46663,70.7646,007,N,94.6,007905001,007905
007906001,129,125,123,90,2,467,1,63,41,48,365,11.8,13.4,13.6,9.5078448647,48391,42.9067,007,N,91.8,007906001,007906
008901001,169,145,140,151,64,605,1,393,61,55,236,16.7,17.4,14.9,15.177204629,45533,48.5714,008,N,95.1,008901001,008901
008902001,212,224,176,180,86,792,2,350,73,80,375,14.5,16,16.4,13,49347,61.7129,008,N,94.7,008902001,008902
008903001,60,64,59,55,27,238,1,87,4,16,121,13.5,14.1,16.2,13.192479168,46916,25.9476,008,N,96,008903001,008903
009901001,86,92,94,65,1,337,3,69,23,38,268,11.7,12.9,14.6,12.021139978,42843,33.8344,009,N,95.4,009901001,009901
009901002,1,5,3,5,0,14,0,2,0,2,12,.,.,.,.,.,.,009,N,84.2,009901002,009901
010902001,191,195,169,170,3,725,2,512,74,68,294,14.3,14.6,15.8,14.771784232,50323,56.9611,010,N,94,010902001,010902
011901001,399,318,250,235,109,1202,6,583,189,131,625,15.6,17.8,16.9,10.779535562,47408,86.2062,011,N,93.7,011901001,011901
011901002,454,384,299,252,61,1389,10,426,106,153,859,22.1,22,19.4,8.4220478844,45829,92.9865,011,N,94.1,011901002,011901
011901022,4,10,38,28,11,80,0,26,0,13,60,.,.,.,17.777777778,50997,8.1907,011,N,77.4,011901022,011901
011902001,356,315,301,258,169,1230,5,429,85,109,768,21.3,20.2,19.7,10.558234992,48622,72.318,011,N,92.5,011902001,011902
011902004,2,16,12,17,4,47,0,19,1,7,31,2.9,2.7,2.1,16.932432432,60061,1.2481,011,N,89.4,011902004,011902
011904002,149,142,118,131,49,540,0,361,33,55,253,20.6,19,18.1,12.416666667,44495,44.2666,011,N,95.1,011904002,011904
012901001,49,39,39,28,7,155,1,112,12,11,62,9.1,9.4,11.4,13.726415094,44807,20.4933,012,N,95.9,012901001,012901
013901001,331,252,186,174,18,943,8,139,81,78,544,15.6,16.3,15.3,9.1023511798,43464,71.5976,013,N,91.7,013901001,013901
013905001,66,61,60,60,0,247,1,74,19,26,128,11.2,11.6,11.1,12.32,47860,22.8522,013,N,94.7,013905001,013905
014801001,40,36,33,23,49,132,1,29,0,23,90,4.9,6.1,4.6,3.9166666667,37409,11.803,014,Y,87.6,014801001,014801
014802001,17,28,27,19,38,91,1,16,0,6,62,4.5,5.6,4.9,13.333333333,37794,2.9995,014,Y,89.8,014802001,014802
014804005,9,10,35,11,1,65,0,54,0,6,21,2.5,3.9,2.2,1,43408,1.8424,014,Y,89.4,014804005,014804
014901001,106,85,104,74,8,369,4,265,36,32,84,15.6,12.5,13.7,17.545454545,47876,29.0735,014,N,96.3,014901001,014901
014903001,702,653,626,613,184,2594,37,1412,247,271,1107,23.6,21.1,24.3,13.124377844,49515,163.793,014,N,95.5,014903001,014903
014905001,47,36,67,41,10,191,2,111,28,19,87,11,11.9,12.9,13.646747946,44365,17.611,014,N,96.2,014905001,014905
014906001,734,533,501,427,870,2195,51,458,155,284,1232,15.4,18.7,19.2,10.249780662,49536,146.4747,014,N,94.6,014906001,014906
014906002,854,656,499,513,993,2522,106,507,171,339,1169,17,21.2,23,12.070046945,51060,154.7083,014,N,95,014906002,014906
014906004,41,28,6,5,40,80,1,6,0,11,54,.,.,.,12.6331503,53949,16.3406,014,N,78.7,014906004,014906
014906006,13,56,83,91,79,243,1,65,5,27,147,.,.,.,13.303826458,52094,24.7518,014,N,79.3,014906006,014906
014906007,613,631,534,508,653,2286,87,834,190,215,592,16.4,21,20.5,11.942673435,50819,143.5389,014,N,95,014906007,014906
014906008,739,544,433,473,1010,2189,54,394,75,291,1200,16.3,22.4,25.5,10.061471347,49436,137.8236,014,N,93.4,014906008,014906
014907001,71,83,75,78,7,307,1,229,34,28,121,14.3,16.2,17.5,13.444444444,45279,21.6913,014,N,97.3,014907001,014907
014908001,126,129,109,113,6,477,5,356,27,28,100,16,20.7,23.4,14.62022756,46072,35.7713,014,N,96.7,014908001,014908
014909002,673,457,395,386,519,1911,39,516,258,194,1192,23,23.7,22.8,12.013760848,46438,153.0648,014,N,93.6,014909002,014909
014909008,15,37,17,5,27,74,3,14,0,5,59,.,.,.,13.2,45879,6.9174,014,N,84.7,014909008,014909
014910001,117,115,94,82,7,408,3,304,39,31,150,17.7,15.9,17.9,11.80096175,43982,28.9977,014,N,96.2,014910001,014910
015801001,85,51,38,16,5,190,0,9,0,31,128,18.8,17.2,15.2,5.9281786397,39875,11.9844,015,Y,66.4,015801001,015801
015801002,9,15,12,12,0,48,0,9,0,7,26,8.4,5.3,6,2.3098104805,38949,9.5967,015,Y,92.3,015801002,015801
015801003,18,13,15,19,3,65,0,5,0,14,57,7.2,6,4.2,2.888600647,41097,8.8276,015,Y,79.6,015801003,015801
