,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
001902041,77,80,85,87,90,85,94,85,001902041,001902
001903041,80,79,56,67,73,85,90,81,001903041,001903
001904041,80,75,76,84,87,88,83,79,001904041,001904
002901041,61,59,63,65,66,86,87,69,002901041,002901
003902041,91,79,86,87,80,92,94,83,003902041,003902
003903044,71,62,70,65,64,88,83,72,003903044,003903
003904041,76,59,81,73,71,90,82,69,003904041,003904
004901041,70,64,73,64,60,75,87,74,004901041,004901
005902041,96,84,86,83,86,89,97,78,005902041,005902
005904041,88,75,93,93,92,96,97,91,005904041,005904
007902041,68,65,82,71,77,87,88,77,007902041,007902
007904041,43,39,63,55,48,75,85,74,007904041,007904
007906041,58,57,72,62,72,61,75,48,007906041,007906
008901041,76,68,74,76,77,80,88,78,008901041,008901
008902041,71,70,58,65,61,75,89,62,008902041,008902
008903041,93,80,74,76,80,94,89,84,008903041,008903
009901041,74,62,78,56,66,88,79,59,009901041,009901
010902041,77,81,74,71,70,85,88,71,010902041,010902
011902041,55,53,57,57,50,76,82,75,011902041,011902
011904041,78,64,47,55,59,82,84,75,011904041,011904
013905041,84,85,86,80,82,94,96,83,013905041,013905
014901041,78,74,88,75,81,82,89,84,014901041,014901
014903043,80,76,74,72,68,81,87,78,014903043,014903
014903044,57,62,65,73,63,64,79,65,014903044,014903
014903045,83,82,78,82,78,86,92,83,014903045,014903
014905041,77,74,91,85,85,92,87,78,014905041,014905
014906009,.,.,.,.,.,.,.,.,014906009,014906
014906042,66,56,54,56,47,80,84,67,014906042,014906
014906043,73,62,65,61,53,82,83,62,014906043,014906
014906044,65,63,66,50,47,71,86,67,014906044,014906
014906045,68,80,68,80,81,88,94,70,014906045,014906
014906046,73,67,67,67,59,75,87,65,014906046,014906
014906048,66,59,54,59,52,83,87,60,014906048,014906
014906049,75,68,85,73,73,89,92,79,014906049,014906
014906050,73,69,71,65,66,83,87,73,014906050,014906
014906051,87,79,76,80,75,87,94,86,014906051,014906
014906052,85,83,84,78,77,88,94,80,014906052,014906
014906053,86,74,75,78,71,89,92,76,014906053,014906
014907041,67,74,73,75,84,83,92,59,014907041,014907
014909041,60,59,54,52,42,76,77,60,014909041,014909
014909042,50,47,49,50,48,85,75,56,014909042,014909
014909044,62,64,65,60,55,76,77,65,014909044,014909
014910041,64,65,66,64,68,88,95,88,014910041,014910
015802004,73,47,56,44,31,67,78,70,015802004,015802
015805041,46,43,56,48,46,76,85,60,015805041,015805
015901041,79,79,66,83,80,92,94,81,015901041,015901
015904041,62,57,51,55,53,86,79,74,015904041,015904
015904042,59,57,67,56,59,76,85,75,015904042,015904
015904043,62,59,69,71,74,96,85,82,015904043,015904
015904044,57,54,62,60,58,82,84,75,015904044,015904
015904045,.,.,.,.,.,.,.,.,015904045,015904
015904047,-1,.,.,.,.,.,-1,-1,015904047,015904
015905041,60,50,53,52,45,77,78,69,015905041,015905
015905044,62,63,58,53,49,83,84,66,015905044,015905
015905046,59,50,47,50,39,67,81,63,015905046,015905
015906041,88,91,86,90,88,91,98,93,015906041,015906
015907041,42,46,54,50,48,55,67,35,015907041,015907
015907043,45,47,42,49,44,60,65,55,015907043,015907
015907046,39,31,44,41,36,51,60,42,015907046,015907
015907047,61,46,62,54,52,59,76,59,015907047,015907
015907049,38,30,40,37,29,41,66,53,015907049,015907
