,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,47,40,33,3,120,0,96,14,14,52,11.9,11.2,12.2,15.5,48429,11.3,001,N,97,001902041,001902
001903041,93,105,101,21,299,3,238,7,34,151,14.4,15.7,17,11.8,42714,23,001,N,97,001903041,001903
001904041,68,48,59,13,175,0,139,21,17,88,14.6,14.6,16.3,12.9,42884,12.8,001,N,96.2,001904041,001904
002901041,318,324,279,9,921,3,260,66,83,378,18.1,17.6,18.9,14.2,55880,58.1,002,N,95.2,002901041,002901
003902041,209,208,209,44,626,5,447,60,55,306,21.9,19.5,20.1,13.3,48327,51,003,N,96.8,003902041,003902
003903044,599,532,563,475,1694,39,440,171,221,1222,16.5,18.8,21.2,12.7,46445,122.4,003,N,96.5,003903044,003903
003904041,134,100,129,8,363,0,314,19,29,175,18.3,19,19,12.1,44271,30.1,003,N,95.6,003904041,003904
004901041,289,224,256,16,769,12,399,42,80,406,16.9,19.8,21.7,11.6,45469,52.1,004,N,95.3,004901041,004901
005902041,71,89,77,1,237,0,212,12,16,48,15.9,13.6,15.1,16.5,44856,15.9,005,N,97.4,005902041,005902
005904041,32,28,33,0,93,0,66,13,6,30,15.3,8.4,15.3,14.2,43584,8,005,N,97,005904041,005904
007902041,119,111,127,3,357,0,139,19,44,188,18.4,18.4,19.6,15.9,54508,27.1,007,N,96.5,007902041,007902
007904041,140,118,113,5,371,0,70,17,24,253,19.1,17.5,19.1,11.2,49493,29,007,N,96,007904041,007904
007906041,112,133,133,0,378,2,60,26,40,262,18.8,19.8,21.9,8.4,45625,30.8,007,N,94.8,007906041,007906
008901041,167,184,175,47,526,1,317,66,45,248,18.2,16.3,18.7,13.6,46225,36.2,008,N,96.4,008901041,008901
008902041,200,232,204,57,636,6,252,43,51,340,20.7,18.4,20.3,12.2,51921,41.8,008,N,96.6,008902041,008902
008903041,56,47,65,11,168,1,83,10,13,86,11.3,11.3,16,18,50505,14.4,008,N,96.5,008903041,008903
009901041,108,93,92,1,293,2,41,5,41,240,12.6,11.9,13.1,15.1,47318,26.1,009,N,96.6,009901041,009901
010902041,152,153,171,1,476,2,296,28,61,228,21.9,21.5,21.1,14.1,50726,30.3,010,N,95,010902041,010902
011902041,311,312,331,122,954,8,224,114,92,717,16.1,19.6,18.6,8.6,47154,56.2,011,N,96,011902041,011902
011904041,124,134,118,29,376,2,216,40,41,245,20.8,19.9,27,11.7,45963,32.5,011,N,95.6,011904041,011904
013905041,57,63,74,1,194,7,45,19,16,115,22,22.7,22.8,10,45181,15.9,013,N,95.4,013905041,013905
014901041,97,105,125,15,327,2,227,29,26,142,22.6,22.6,23,15.8,47068,22.1,014,N,96.3,014901041,014901
014903043,270,264,244,78,778,20,394,92,87,363,19.8,20.5,23.6,12,51017,55.5,014,N,96.1,014903043,014903
014903044,243,236,266,39,745,8,342,96,81,444,18.5,19,22,9.7,50144,55.4,014,N,95.8,014903044,014903
014903045,311,293,327,49,931,18,625,132,118,285,22.2,21.3,24.9,11.4,51195,58.2,014,N,96.4,014903045,014903
014905041,47,54,65,5,166,0,107,10,13,72,15.9,18.6,16.9,12.4,45049,11.2,014,N,96.8,014905041,014905
014906009,6,11,17,23,34,0,3,0,10,24,.,.,.,14.2,56570,14.2,014,N,85.3,014906009,014906
014906042,275,252,200,266,727,15,98,10,136,545,17.1,29.6,21.8,10.4,50970,47.3,014,N,94.2,014906042,014906
014906043,218,248,223,278,689,10,152,30,114,488,19,23,21.8,9.4,49894,46.3,014,N,95,014906043,014906
014906044,252,228,243,330,723,15,109,30,134,451,20.6,23.8,22.1,10.9,49937,50.4,014,N,95.5,014906044,014906
014906045,180,174,157,135,511,7,180,31,69,310,18.4,21.1,25.2,14.5,50070,34.2,014,N,95,014906045,014906
014906046,239,228,264,145,731,14,275,46,87,430,19.9,22.8,23.9,11.2,50033,46.4,014,N,94.5,014906046,014906
014906048,272,308,296,445,876,17,123,37,127,587,19.2,23.3,22.7,8.3,49032,59.8,014,N,95,014906048,014906
014906049,259,307,302,337,868,30,169,45,95,384,15,22.9,26.2,9.5,49986,56.3,014,N,96.2,014906049,014906
014906050,250,276,264,368,790,19,129,23,111,500,17.6,22.6,22.1,9.1,51191,53.9,014,N,95.5,014906050,014906
014906051,279,309,304,227,892,42,329,71,83,207,21.3,23.3,25.3,10.1,51622,53.1,014,N,96.1,014906051,014906
014906052,172,145,133,95,450,6,186,38,60,240,15.2,21.3,23.2,12.4,52166,29,014,N,95.1,014906052,014906
014906053,456,467,434,473,1357,36,300,67,149,634,22,21.8,24.8,6.3,48043,80.6,014,N,95.9,014906053,014906
014907041,57,67,70,4,194,2,123,28,16,94,15.2,18.2,17.1,12.4,44373,18.3,014,N,97.3,014907041,014907
014909041,225,217,211,183,653,2,146,43,62,515,13.8,15.2,18.9,7.1,46559,52.1,014,N,94.7,014909041,014909
014909042,216,244,205,203,665,22,166,79,60,498,17.8,16.8,18.4,7.9,45859,51,014,N,95.4,014909042,014909
014909044,165,143,157,76,465,9,133,53,70,329,13.9,15.8,21.5,8,46908,41.4,014,N,94.7,014909044,014909
014910041,106,106,109,5,321,3,219,24,42,170,17.2,14.9,19.5,11,43169,22.6,014,N,96.5,014910041,014910
015802004,16,24,25,42,65,0,2,0,8,64,12.2,12.1,12.3,0.6,34745,6.9,015,Y,93.8,015802004,015802
015805041,74,69,71,3,214,0,8,0,23,186,23.5,23.6,23.6,5.3,47922,10.2,015,Y,95.4,015805041,015805
015901041,387,382,388,13,1157,27,631,253,80,247,19.2,25.4,27.5,13.3,56331,72.9,015,N,96.2,015901041,015901
015904041,289,285,265,3,839,2,7,69,71,692,13.6,12.6,15.3,11.3,55187,60.5,015,N,95.2,015904041,015904
015904042,286,251,268,1,805,0,5,57,83,644,18.1,21.3,19.8,8.6,53113,63.1,015,N,95.3,015904042,015904
015904043,255,246,216,0,717,1,28,94,78,604,13.7,13.5,13.7,11.5,55162,53.2,015,N,95.1,015904043,015904
015904044,213,216,204,1,633,0,23,68,57,530,15.6,14.3,12.2,12.5,55745,48.1,015,N,96.1,015904044,015904
015904045,5,2,4,0,11,0,0,0,2,8,4.7,15,13.9,9.3,55108,6.3,015,N,87.2,015904045,015904
015904047,2,3,3,0,8,0,1,0,8,6,1.7,10,.,8.4,54014,2.7,015,N,77.5,015904047,015904
015905041,261,252,228,7,741,1,4,52,88,644,15.4,17.6,18.9,9.6,53830,45,015,N,92.2,015905041,015905
015905044,220,200,237,21,657,0,2,75,63,596,19,17.3,17.6,9.5,53678,39.6,015,N,92.2,015905044,015905
015905046,251,251,250,4,752,1,8,53,107,668,17.9,20.3,19.8,8.9,53483,42.2,015,N,92.7,015905046,015905
015906041,110,112,110,69,332,9,136,32,26,29,22,19.7,24.6,15.8,54725,18.9,015,N,97.4,015906041,015906
015907041,186,192,204,41,582,1,18,24,97,547,12.7,9.5,15,6.6,55763,36.6,015,N,94.1,015907041,015907
015907043,180,195,184,192,559,7,18,21,82,530,9.6,9.6,10.6,6.8,55914,34.7,015,N,94.1,015907043,015907
015907046,139,134,137,70,410,2,4,6,91,406,8,9.1,10,6.7,52400,29.7,015,N,97.5,015907046,015907
015907047,272,264,247,2,783,1,1,56,95,727,10.7,10,10.1,12,53808,42.4,015,N,96.2,015907047,015907
015907049,238,241,265,16,744,1,4,33,91,728,10.1,10.3,8.3,3.8,51612,44,015,N,93.5,015907049,015907
015907050,272,353,323,18,948,0,24,33,151,867,9.8,10.8,14.1,11.5,54229,54.7,015,N,94.3,015907050,015907
015907051,152,146,118,4,416,0,3,18,57,388,7.8,10,9.4,8,52866,27.3,015,N,97.1,015907051,015907
015907053,129,153,135,6,417,0,8,26,63,390,9.6,9.3,9.5,10.9,53786,28.6,015,N,95.4,015907053,015907
015907054,186,209,219,40,614,0,11,45,69,591,8.8,10.3,9.9,11.1,54340,37,015,N,95,015907054,015907
015907055,293,260,263,19,816,1,5,96,86,772,9.8,11.1,11,7.9,52831,42,015,N,95.8,015907055,015907
015907057,205,190,195,35,590,2,22,28,88,558,11,10,11.8,7.1,51984,32.6,015,N,94.8,015907057,015907
015907058,125,177,191,8,493,1,18,27,88,468,10.9,9.7,11.6,11.5,53832,32,015,N,95.7,015907058,015907
015907059,303,297,285,4,885,0,13,39,109,810,10.4,10.5,10.5,8.7,52623,50.5,015,N,96.6,015907059,015907
015907061,262,259,263,18,784,2,6,61,93,743,12.8,11.2,11.1,7.6,52468,45.2,015,N,94.9,015907061,015907
015908041,161,153,168,1,482,0,7,22,50,475,27.6,19,20.2,7.5,51188,30.2,015,N,95,015908041,015908
015908042,192,206,192,18,590,0,19,40,44,522,24.5,19.5,18.5,8.6,51710,38.2,015,N,95.2,015908042,015908
015908043,160,167,148,9,475,0,8,12,35,423,22.6,22.7,20.3,8.6,52202,31,015,N,94.8,015908043,015908
015908044,199,188,195,1,582,0,9,43,38,442,22.4,23.4,19.4,10.8,52139,34.2,015,N,97.1,015908044,015908
015910041,356,357,347,72,1060,26,211,47,124,616,21.6,20.2,23.6,9.5,54609,67.7,015,N,95.6,015910041,015910
015910042,340,314,335,120,989,13,182,48,113,686,19,17,21.3,9.7,54428,69.2,015,N,95.9,015910042,015910
015910043,325,383,380,111,1088,24,183,103,111,787,19.4,20.7,20,10.9,54474,81.3,015,N,95.7,015910043,015910
015910044,414,413,388,55,1215,18,115,56,138,945,20,20.4,20.3,9.9,54551,82.1,015,N,95.4,015910044,015910
015910045,283,290,308,43,881,6,119,36,124,618,18.5,18.9,22.7,8.8,53297,64.5,015,N,96,015910045,015910
015910046,412,274,293,218,979,27,133,29,141,751,17.1,17.5,24.4,8.1,52611,72.6,015,N,94.8,015910046,015910
015910047,360,334,370,86,1064,16,229,19,107,681,24.8,22,27.6,10,54557,65.6,015,N,96,015910047,015910
015910048,433,389,385,35,1207,23,502,90,120,384,23,19.9,25.6,13,55936,67.7,015,N,96.1,015910048,015910
015910049,248,297,301,54,846,16,261,41,101,395,21.6,20.3,24.3,12.8,55848,54.3,015,N,96.2,015910049,015910
015910050,372,425,430,53,1227,88,489,133,98,175,24.4,20.7,27.2,12.5,55414,72.1,015,N,96.8,015910050,015910
015910053,6,12,17,7,35,0,3,0,10,33,3.6,3.5,6.8,10.8,54807,10,015,N,86.5,015910053,015910
015910056,335,391,407,53,1133,89,477,137,84,198,22.7,23.5,25.6,12.6,55954,62.4,015,N,96.9,015910056,015910
015910057,369,373,446,38,1188,87,545,164,94,109,25,23.1,28.9,13,56051,68.2,015,N,97.5,015910057,015910
015910058,367,409,470,72,1246,32,370,58,136,548,23.3,20.9,26.3,10.1,54707,72.4,015,N,96.4,015910058,015910
015910059,342,336,301,54,979,54,378,79,89,191,23,21.5,27.5,7.7,53656,54.8,015,N,96.8,015910059,015910
015911043,374,384,369,69,1127,3,325,113,118,709,18.1,28.3,25.1,8.5,54610,61.2,015,N,95,015911043,015911
015911044,414,405,406,160,1225,4,81,89,125,901,21.5,24.6,26.7,11.4,56304,65.2,015,N,95,015911044,015911
015912041,425,420,371,31,1216,2,80,111,141,944,18.6,20.9,20.8,9.7,55964,77.4,015,N,94.5,015912041,015912
015912042,291,318,270,14,879,0,15,72,101,827,19.5,20.4,20.5,7.3,54509,68.4,015,N,94.9,015912042,015912
015912044,334,301,316,43,951,1,66,86,109,705,17.8,20.1,20.4,9.4,55706,67.5,015,N,95.2,015912044,015912
015915041,407,410,386,99,1203,17,97,106,166,950,18.2,21.6,22.3,9,54548,75.6,015,N,95.1,015915041,015915
015915042,277,336,363,44,976,6,42,106,138,804,17.6,15.5,18.1,8,53847,74.5,015,N,95.5,015915042,015915
015915043,350,379,417,56,1146,16,31,109,144,952,18.8,17.7,22.5,9.1,53886,77.7,015,N,95.4,015915043,015915
015915044,375,393,427,44,1195,2,33,130,186,1076,17.4,17.8,22.3,7.6,53725,85.2,015,N,94.6,015915044,015915
015915045,364,317,318,85,999,42,203,106,123,520,18,17.7,24,11.4,55444,60.7,015,N,94.8,015915045,015915
015915046,370,384,370,92,1124,9,79,124,147,808,19.8,20.8,21.2,11.7,55479,71.5,015,N,95.2,015915046,015915
015915047,472,444,494,63,1410,28,353,177,167,557,20.4,20.3,26.5,13.9,56616,80.5,015,N,96.4,015915047,015915
015915048,343,384,334,104,1061,76,169,84,140,661,17,19.6,22.6,11.3,55396,66.5,015,N,95.9,015915048,015915
015915049,333,346,347,63,1026,11,120,112,141,688,20.3,19.6,22.7,10.2,54760,68.7,015,N,95.3,015915049,015915
015915050,404,364,378,68,1146,59,257,162,126,484,20.7,19.6,18.7,15.8,57283,68.2,015,N,96.5,015915050,015915
015915051,468,441,413,115,1322,34,165,135,168,691,21.3,22.8,22.1,10.4,55008,76.2,015,N,95.6,015915051,015915
015915052,333,350,333,46,1016,17,174,135,102,468,19.5,22,20.2,10.8,55129,63.6,015,N,95.6,015915052,015915
015915053,377,369,405,74,1151,57,356,126,113,357,22.3,18.3,22.6,13.7,56362,66.6,015,N,96.1,015915053,015915
015915054,390,436,430,124,1256,22,283,132,142,510,16.6,19.2,25.1,13.7,56031,67.8,015,N,95.9,015915054,015915
015915055,478,475,516,85,1469,36,329,141,136,562,22.3,21.2,22.8,11.8,55402,79,015,N,96.3,015915055,015915
015915056,460,429,436,106,1325,18,168,150,131,668,21,18.8,24.4,9.7,54399,75.4,015,N,96.1,015915056,015915
015915057,480,511,523,37,1514,97,635,255,107,189,22.1,19.3,22.2,12.7,56079,85.5,015,N,97.1,015915057,015915
