,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,55,46,61,12,162,141,21,24,53,16.3,16.7,15.1,11.428571429,42505,12.8997,001,N,96,001902041,001902
001903041,95,99,82,9,276,240,17,27,117,15.1,14.6,14.7,13.774193548,41443,23.5496,001,N,96.4,001903041,001903
001904041,61,59,56,26,176,128,14,20,94,13.4,12,14.5,11.367346939,40157,17.7333,001,N,94.8,001904041,001904
001907041,236,203,218,188,657,222,31,48,468,17.7,15.5,19.5,10.169374658,39899,50.8512,001,N,96.1,001907041,001907
002901041,221,243,251,12,715,233,34,47,336,17.9,20.4,22.4,14.219298246,55991,50.1403,002,N,95.3,002901041,002901
003902041,225,197,199,22,621,446,42,55,346,19.3,19,20.2,13.315789474,43040,48.1899,003,N,96.7,003902041,003902
003903044,599,589,576,504,1764,579,215,277,1229,17.9,22,23.5,14.871212121,44513,123.6662,003,N,95.6,003903044,003903
003904041,138,147,139,9,424,383,43,43,204,23.8,19.3,23.8,12.333333333,41254,28.924,003,N,94.8,003904041,003904
003905041,148,135,129,62,412,127,21,42,331,15.4,18.9,16.6,11.088235294,43257,30.4687,003,N,96.5,003905041,003905
003907041,126,129,116,15,371,295,18,35,194,16.2,19.7,20.3,12.171428571,44359,28.2163,003,N,96.2,003907041,003907
004901041,229,225,249,7,703,375,32,71,449,18.3,21,22.5,12.105537463,43671,54.8127,004,N,95.5,004901041,004901
005902041,83,58,75,2,216,201,11,20,53,13.7,14.9,18.9,14.576923077,39643,15.7026,005,N,96.9,005902041,005902
005904041,37,42,38,1,117,87,16,9,57,18.9,12.2,19.8,17.277777778,44496,8.4363,005,N,97.7,005904041,005904
007902041,122,105,119,2,346,136,30,29,195,15.3,17.8,18.9,14.982858352,48864,24.9591,007,N,96.8,007902041,007902
007904041,103,138,144,4,385,69,25,23,283,22.8,22.8,16.4,7.2662173547,42723,31.1391,007,N,95.6,007904041,007904
007905041,2,259,276,1,537,163,40,46,343,21.6,20.8,22.5,8.25,43437,36.8634,007,N,95.9,007905041,007905
007906041,121,134,134,0,389,41,35,24,315,20.8,15.9,19,8.0330312714,40264,24.7813,007,N,94,007906041,007906
008901041,172,152,160,41,484,309,63,46,205,17.3,17.2,19.6,15.385542169,45236,39.7093,008,N,96,008901041,008901
008902041,198,207,178,70,583,256,51,52,317,13.5,13.4,12.6,13.739130435,47890,44.1818,008,N,96.5,008902041,008902
008903041,70,65,63,23,198,81,4,19,102,14.1,16,15.3,15.105263158,46520,16.718,008,N,96.7,008903041,008903
009901041,99,110,106,0,315,66,20,25,255,14.8,12.7,15.7,12.678571429,41698,26.8888,009,N,95.9,009901041,009901
010902041,178,208,175,1,561,393,61,69,271,19.7,21.5,18.2,13.398279877,49928,42.5879,010,N,95.7,010902041,010902
011902041,261,299,310,122,870,299,98,90,594,18.9,16.3,21,11.336603554,46801,53.5714,011,N,95.3,011902041,011902
011904041,118,134,131,29,383,248,41,44,195,-2,35.7,-2,12.1,43100,29.2982,011,N,95.5,011904041,011904
013901041,254,273,253,14,780,111,78,58,557,17.6,15.2,18.6,12.083455475,43389,53.3676,013,N,95.2,013901041,013901
013905041,65,61,68,1,194,58,18,17,130,21.3,18.3,21.5,9.625,43347,13.8332,013,N,95.6,013905041,013905
014903042,321,364,317,74,1002,534,75,127,569,18.9,19.3,22.4,13.525290371,46197,74.4672,014,N,96,014903042,014903
014903043,360,378,372,98,1110,679,114,102,367,20.1,22.3,26.1,13.18546169,46078,69.3528,014,N,96,014903043,014903
014905041,46,39,65,10,150,88,23,10,79,19.1,20.6,20.6,17.809312854,42061,10.5711,014,N,97.5,014905041,014905
014906009,27,43,34,60,104,11,1,17,82,.,.,.,14.294117647,53935,15.9541,014,N,89.2,014906009,014906
014906042,242,223,196,227,661,143,28,81,492,20.1,19.4,21.4,12.165785711,49994,46.8307,014,N,94.9,014906042,014906
014906043,248,242,190,307,680,143,47,91,434,18.3,16.8,22.1,11.882235177,49516,56.0099,014,N,95.3,014906043,014906
014906044,218,220,216,272,654,126,32,98,435,20.6,24.3,26.7,11.936170213,50012,45.4935,014,N,95.1,014906044,014906
014906045,265,238,228,176,731,310,27,80,415,18.6,21.7,19.7,10.616722901,48425,51.7197,014,N,95.2,014906045,014906
014906046,228,258,251,165,737,346,82,89,360,17.9,18.7,23.5,12.109090909,49558,54.1965,014,N,95.2,014906046,014906
014906048,331,279,256,416,866,138,48,110,453,22.4,20.4,21.8,8.1803278689,46749,59.6087,014,N,96,014906048,014906
014906049,296,312,269,363,877,195,67,91,334,18.5,20.1,24.7,10.162270011,48087,57.4346,014,N,97.5,014906049,014906
014906050,276,263,271,336,810,149,42,93,393,16.7,17.9,22.4,7.6902296051,46782,62.2647,014,N,95.8,014906050,014906
014906051,234,286,278,204,798,322,98,47,135,21.3,23.6,23.4,10.760737588,48303,54.2082,014,N,96.1,014906051,014906
014906052,201,190,148,113,539,213,19,53,341,18.5,19.9,21.1,8.0526315789,46835,37.6546,014,N,94.2,014906052,014906
014906053,243,246,192,249,681,183,44,95,266,19.4,19.7,22.5,6.0204081633,46141,47.7502,014,N,96,014906053,014906
014907041,59,74,72,5,205,147,27,23,102,18.1,18,18,16.457364341,44445,18.2581,014,N,97,014907041,014907
014909041,221,191,229,177,641,157,54,44,480,18.7,20,21.7,9.2072158981,44394,50.0517,014,N,94.7,014909041,014909
014909042,174,172,152,187,498,95,46,50,409,17.8,19.2,17.7,10.28313731,43604,45.4542,014,N,94.1,014909042,014909
014909044,208,190,199,102,597,219,89,54,368,20.8,16.6,21.1,9.1666666667,43766,46.3454,014,N,93.3,014909044,014909
014910041,100,111,92,7,303,226,30,27,128,19.8,13.4,20.1,13.434782609,41330,22.142,014,N,96.5,014910041,014910
015805041,78,70,67,5,215,5,0,21,208,25.4,25.1,25.2,5.583097341,44592,12.3886,015,Y,94.4,015805041,015805
015901041,388,354,340,16,1082,631,232,63,237,22.8,19.7,24.4,12.608333333,53470,70.546,015,N,95.5,015901041,015901
015904041,305,297,284,4,886,14,79,82,777,18.7,18.5,23.4,14.714285714,51031,53.4054,015,N,95.5,015904041,015904
015904042,257,261,246,0,764,9,47,78,685,13.1,16.3,17.2,11.482142857,48825,53.3898,015,N,96,015904042,015904
015904043,236,246,233,5,715,14,56,67,608,13.5,13.3,13.4,11.403425855,49495,49.7223,015,N,94.2,015904043,015904
015904044,222,212,226,2,660,24,48,68,555,11.8,16.7,17.7,13.47974062,50683,47.3083,015,N,95.7,015904044,015904
015904045,3,9,10,0,22,0,0,4,22,7,7,8,20.625,55752,3.6822,015,N,78.4,015904045,015904
015904046,1,3,3,0,7,0,0,2,7,2.5,2.5,2.5,15.166666667,49184,1.8974,015,N,72.7,015904046,015904
015905041,249,227,223,4,699,8,74,73,594,23.2,12.7,18.5,8.7708333333,47860,45.1549,015,N,93.3,015905041,015905
015905044,278,217,231,15,726,3,77,90,666,23.7,21.5,27.3,9.9622641509,48366,48.832,015,N,93.5,015905044,015905
015905046,235,270,190,2,695,7,53,103,635,25.1,21.5,23.7,10.190914887,48978,48.2563,015,N,92.3,015905046,015905
015906041,95,97,77,38,269,138,33,15,18,20.1,18.2,21.6,16.393442623,52531,16.2398,015,N,97.1,015906041,015906
015907041,194,212,241,35,647,25,30,97,608,19.9,15.9,21.1,9.8157894737,48280,36.736,015,N,92.5,015907041,015907
015907043,250,231,191,282,672,23,49,109,651,11.8,12.3,11.7,9.5777777778,48848,43.6511,015,N,93,015907043,015907
015907046,118,110,138,80,366,8,23,94,359,10.9,9.5,10.1,9.2399244795,48523,29.3318,015,N,93.1,015907046,015907
015907047,281,259,265,2,805,6,75,101,738,20.1,16.2,18.4,13,50217,41.3865,015,N,94.4,015907047,015907
015907049,271,260,289,9,820,8,46,115,785,14,14.6,19.9,9.6470588235,48940,50.9995,015,N,93.3,015907049,015907
015907050,299,297,308,16,904,26,67,141,820,13.1,13.2,13.9,10.833333333,49179,53.0589,015,N,92.9,015907050,015907
015907051,172,146,131,2,449,2,40,73,431,11.8,12.3,15.4,12.84375,49066,29.0556,015,N,93.6,015907051,015907
015907053,165,145,152,10,462,10,27,73,436,20.9,13.9,18.5,10.481481481,48517,26.4455,015,N,93,015907053,015907
015907054,271,232,247,48,750,11,80,85,704,13.2,12.6,13.9,8.5128205128,47311,38.9943,015,N,94.1,015907054,015907
015907055,259,257,228,15,744,10,121,89,699,11.1,9.1,10.8,7.175,47536,39.8892,015,N,93.4,015907055,015907
015907057,185,195,221,36,601,17,29,84,551,16.3,14.9,18.4,12.6,50425,34.4291,015,N,93.5,015907057,015907
015907058,191,197,218,12,606,21,54,82,577,11.9,11.7,13.3,8.9473684211,47482,38.0015,015,N,93.6,015907058,015907
015907059,319,282,311,5,912,9,77,112,847,14.2,14.2,13.5,10.017857143,48296,54.69,015,N,93.5,015907059,015907
015907061,330,305,307,12,942,8,113,109,903,14.3,13.9,14.6,14.052631579,51661,53.629,015,N,94,015907061,015907
015908041,166,149,191,0,506,2,20,52,461,17.4,13.9,11.6,12.565217391,50104,43.4588,015,N,94.5,015908041,015908
015908042,198,173,166,9,537,13,19,63,476,20,16,14.6,7.8695652174,48876,44.4629,015,N,94.2,015908042,015908
015908043,164,164,155,2,483,3,29,36,441,17.8,13.3,17.8,10.904761905,50445,40.7496,015,N,94.3,015908043,015908
015908044,189,160,182,2,531,7,57,41,400,20.7,13.6,22.2,9.3571428571,49030,39.2895,015,N,95.8,015908044,015908
015910041,356,387,369,61,1112,380,97,115,504,25.5,20,25,13.493506494,54201,74.4217,015,N,95.5,015910041,015910
015910042,291,296,295,98,882,222,50,115,582,22.1,17.6,24.4,11.304347826,52570,67.7107,015,N,95.5,015910042,015910
015910043,424,389,381,108,1194,257,152,120,792,19.1,17.7,21,10.920903955,52521,85.9247,015,N,95.3,015910043,015910
015910044,347,372,343,44,1062,100,63,114,879,17,17.3,19.6,8.8901098901,51902,87.4789,015,N,94.3,015910044,015910
015910045,326,307,268,36,901,158,61,127,544,22.9,19.9,25,9.0823170732,51581,64.755,015,N,95.9,015910045,015910
015910046,344,342,338,266,1024,100,31,154,782,21.4,19.6,24.1,10.779220779,52178,75.3307,015,N,95.4,015910046,015910
015910047,352,330,304,106,986,244,51,131,629,22.1,28.1,23.3,10.882352941,52411,65.4871,015,N,96,015910047,015910
015910048,376,411,423,31,1210,578,139,107,281,24.2,22.8,26.1,12.549295775,52860,70.2561,015,N,96.4,015910048,015910
015910049,362,334,370,64,1066,391,86,116,419,25.5,24,27.8,14.424242424,54223,64.5461,015,N,96.2,015910049,015910
015910050,466,486,479,63,1431,635,181,118,167,25.4,24.6,28.2,11.654761905,52695,82.2991,015,N,96.5,015910050,015910
015910053,8,14,23,9,45,11,0,15,36,5.1,5.5,9.3,14.25,54437,12.0014,015,N,84.5,015910053,015910
015910056,499,499,499,53,1497,712,170,105,208,23.4,21.3,26.7,11.52688172,52481,89.3378,015,N,96.9,015910056,015910
015910057,409,439,368,47,1216,643,187,99,123,23.4,21.5,26,11.287671233,52364,70.4423,015,N,97,015910057,015910
015910058,472,459,476,114,1407,489,89,119,546,28.6,21.1,25.1,10.951807229,52289,78.939,015,N,96.1,015910058,015910
015911043,330,367,343,53,1040,380,92,103,586,18.1,19.6,23.9,11.882640735,52724,65.0613,015,N,95.1,015911043,015911
015911044,398,403,403,155,1204,94,61,112,886,17.1,20.1,24,11.151515152,52045,64.7094,015,N,94.7,015911044,015911
015912041,288,316,324,12,928,63,55,88,765,21.7,20.4,21.2,10.794293017,53392,59.9409,015,N,94.7,015912041,015912
015912042,352,265,303,15,920,7,46,87,890,20.8,16.9,20.9,9.443781105,52111,64.5635,015,N,94.5,015912042,015912
015912044,254,294,269,37,817,67,62,91,615,24.7,23,27.8,8.7565708328,51813,53.4786,015,N,94.6,015912044,015912
015915041,415,447,397,80,1259,148,154,182,915,25.3,17.3,26.8,8.8876261473,51116,75.9419,015,N,93.9,015915041,015915
015915042,321,311,307,55,939,44,130,133,779,19.3,14.7,21.2,7.2938085281,50028,65.9122,015,N,93.8,015915042,015915
015915043,342,352,347,31,1041,29,100,173,885,19,16,23.1,9.8745703242,51075,68.4273,015,N,94.2,015915043,015915
015915044,368,357,379,34,1104,45,152,183,991,17.4,19.3,23.4,8.5975609756,50572,79.0495,015,N,93.6,015915044,015915
015915045,394,342,351,60,1087,338,181,103,531,24,20.9,25.3,14.011537769,54052,62.9461,015,N,95.3,015915045,015915
015915046,384,401,356,92,1141,91,133,132,851,19.6,18,22.8,11.500802899,52151,73.9798,015,N,93.9,015915046,015915
015915047,469,476,502,73,1447,368,209,185,581,19.9,20.2,23.1,14.239867839,54120,86.6425,015,N,95.2,015915047,015915
015915048,398,390,385,95,1173,224,126,149,658,22.1,20.1,24,12.949237879,53623,74.9583,015,N,95,015915048,015915
015915049,384,394,303,63,1081,140,148,148,695,19.6,14.5,16,13.087097229,53455,72.6232,015,N,94.4,015915049,015915
015915050,407,426,394,69,1227,311,170,124,503,20.3,22.1,26.5,15.810687758,54671,71.0487,015,N,95.7,015915050,015915
015915051,389,438,413,112,1240,135,175,143,709,21.9,21.8,25.4,12.32456282,52435,72.5868,015,N,94.9,015915051,015915
015915052,337,354,327,51,1018,218,169,120,482,21.3,19.5,26,12.757011324,52953,61.7417,015,N,95.5,015915052,015915
015915053,360,352,337,53,1049,367,176,98,324,21,19,25.2,11.227580105,52208,60.152,015,N,95.4,015915053,015915
015915054,350,352,334,97,1036,275,109,111,389,22.5,19.6,21.9,10.035591415,51249,61.0478,015,N,95.2,015915054,015915
015915055,508,478,525,119,1511,379,191,178,632,23,21.5,23.2,10.499720192,51608,84.1461,015,N,96.2,015915055,015915
015915056,455,405,507,112,1367,177,154,139,752,22,23.4,24.2,8.6259510641,50698,74.7849,015,N,96,015915056,015915
015915057,428,474,445,44,1347,633,299,102,162,21.4,19.3,22.7,9.7922770324,51775,75.6848,015,N,96.2,015915057,015915
