,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
003906101,52,90,77,83,70,62,79,60,003906101,003906
005904101,90,93,82,79,86,83,92,94,005904101,005904
006902101,65,100,53,87,83,68,89,89,006902101,006902
007902101,73,74,65,76,78,72,67,63,007902101,007902
008903102,65,83,82,76,64,85,73,71,008903102,008903
010902101,63,83,64,69,61,72,73,76,010902101,010902
013903101,86,95,57,76,81,69,81,48,013903101,013903
013905101,89,96,52,75,81,89,89,79,013905101,013905
014903103,60,82,78,83,78,66,83,63,014903103,014903
014903104,46,65,55,67,51,61,62,35,014903104,014903
014903109,85,84,90,88,88,90,84,72,014903109,014903
014903116,72,82,62,74,73,89,86,77,014903116,014903
014906102,90,90,80,78,88,88,92,98,014906102,014906
014906103,49,87,68,75,64,79,81,80,014906103,014906
014906105,54,81,78,76,78,74,78,61,014906105,014906
014906108,76,89,66,74,65,76,84,79,014906108,014906
014906109,68,82,67,67,62,77,89,76,014906109,014906
014906110,61,74,72,75,77,79,85,82,014906110,014906
014906111,46,87,42,56,64,54,63,60,014906111,014906
014906112,79,81,59,64,54,68,74,79,014906112,014906
014906113,64,73,48,60,55,54,72,74,014906113,014906
014906115,78,90,68,75,75,73,84,78,014906115,014906
014906117,80,90,57,66,72,66,81,68,014906117,014906
014906119,49,66,62,71,48,71,73,66,014906119,014906
014906120,45,65,46,55,46,53,67,55,014906120,014906
014906122,69,79,79,76,70,80,75,64,014906122,014906
014906123,47,76,70,81,75,70,69,66,014906123,014906
014906124,83,91,59,72,76,85,89,78,014906124,014906
014906130,60,72,48,56,63,62,70,57,014906130,014906
014906131,70,82,62,74,63,59,81,69,014906131,014906
014906136,71,81,67,81,76,69,82,76,014906136,014906
014906137,75,88,79,81,81,80,81,75,014906137,014906
014906138,77,87,63,76,77,69,73,68,014906138,014906
014907102,44,71,73,69,63,77,83,87,014907102,014907
015819101,-1,-1,-1,-1,-1,33,83,-1,015819101,015819
015819102,59,59,-1,-1,-1,33,56,-1,015819102,015819
015822004,-1,83,-1,55,73,27,55,-1,015822004,015822
015822008,55,91,46,77,69,0,29,-1,015822008,015822
015904101,72,86,79,64,74,76,77,68,015904101,015904
015904102,49,65,63,62,63,82,74,75,015904102,015904
015904104,56,79,54,63,67,47,63,72,015904104,015904
015904106,48,60,52,57,56,68,69,55,015904106,015904
015904107,79,73,73,77,77,55,66,71,015904107,015904
015904108,54,70,75,74,77,79,76,69,015904108,015904
015904109,58,62,72,68,67,70,75,58,015904109,015904
015904110,45,69,64,58,60,66,77,72,015904110,015904
015904113,37,53,56,63,54,61,55,53,015904113,015904
015904114,30,60,25,47,47,65,67,67,015904114,015904
015904116,60,69,49,61,49,55,60,61,015904116,015904
015905104,51,71,63,62,62,55,57,46,015905104,015905
015905106,75,76,39,51,46,62,59,58,015905106,015905
015905108,65,61,69,65,56,69,72,67,015905108,015905
015905109,79,75,71,67,71,77,68,68,015905109,015905
015905110,50,47,51,55,56,47,57,52,015905110,015905
015905112,51,69,54,59,59,64,66,71,015905112,015905
015905116,47,53,48,46,54,59,65,55,015905116,015905
015905117,45,48,53,51,44,56,57,49,015905117,015905
015906101,88,93,95,93,85,91,93,90,015906101,015906
015907103,48,58,48,59,59,60,55,53,015907103,015907
015907105,64,82,53,57,73,71,76,60,015907105,015907
015907106,62,79,44,49,57,57,71,62,015907106,015907
015907110,76,79,53,70,61,64,61,55,015907110,015907
015907111,30,34,32,48,33,40,47,42,015907111,015907
015907112,75,81,78,66,72,69,74,64,015907112,015907
015907116,49,68,44,59,60,60,55,65,015907116,015907
015907118,34,31,43,43,46,47,51,42,015907118,015907
015907119,43,38,42,42,46,41,43,48,015907119,015907
015907121,40,58,47,43,43,69,61,73,015907121,015907
015907123,48,62,50,48,37,72,67,65,015907123,015907
015907125,44,50,65,61,62,67,56,42,015907125,015907
015907126,72,82,82,56,79,82,69,64,015907126,015907
015907129,53,57,56,54,54,68,69,76,015907129,015907
015907132,45,49,50,51,32,62,53,47,015907132,015907
015907134,58,68,60,64,53,69,75,69,015907134,015907
015907135,49,55,45,54,49,58,72,58,015907135,015907
015907137,43,62,40,47,39,47,55,48,015907137,015907
015907139,82,80,57,55,62,64,60,62,015907139,015907
015907143,58,76,45,66,66,63,73,64,015907143,015907
015907146,61,87,56,67,44,56,64,78,015907146,015907
015907147,47,53,62,59,46,65,71,76,015907147,015907
015907148,33,52,51,58,56,57,60,48,015907148,015907
015907153,69,63,40,34,33,60,65,60,015907153,015907
015907155,43,65,47,52,53,67,73,47,015907155,015907
015907156,52,64,53,60,62,58,77,64,015907156,015907
015907157,73,63,44,36,29,60,58,63,015907157,015907
015907158,56,63,67,67,52,73,54,51,015907158,015907
015907160,47,55,44,56,54,46,65,49,015907160,015907
015907161,50,69,62,60,60,51,51,43,015907161,015907
015907162,45,63,53,56,54,69,69,60,015907162,015907
015907167,73,67,63,67,61,68,72,59,015907167,015907
015907173,39,55,38,49,44,54,60,45,015907173,015907
015907176,56,69,67,63,64,67,57,53,015907176,015907
015908101,53,61,64,63,78,73,73,64,015908101,015908
015908105,43,50,56,63,69,51,67,52,015908105,015908
015908106,48,63,40,40,49,56,56,51,015908106,015908
015908107,71,73,74,83,75,85,79,74,015908107,015908
015908109,47,64,44,57,62,37,55,29,015908109,015908
015908110,57,67,49,63,55,53,59,48,015908110,015908
015908112,45,70,60,65,62,64,57,63,015908112,015908
015908113,59,78,42,49,54,76,71,61,015908113,015908
015910105,43,67,51,62,58,55,72,59,015910105,015910
015910111,33,50,31,51,49,46,64,65,015910111,015910
015910125,54,80,50,75,67,73,76,68,015910125,015910
015910139,98,97,92,92,90,96,96,93,015910139,015910
015910147,92,97,83,88,90,98,99,98,015910147,015910
015912102,42,65,51,61,60,78,67,74,015912102,015912
015912103,51,68,45,56,53,69,65,66,015912103,015912
015912104,69,77,62,72,74,68,74,60,015912104,015912
015912107,64,79,55,74,73,57,73,68,015912107,015912
015912108,75,77,84,73,76,69,75,60,015912108,015912
