,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
001902103,79,67,91,91,80,92,87,66,001902103,001902
001904102,80,65,87,84,82,95,93,86,001904102,001904
005902101,87,89,84,88,86,96,94,90,005902101,005902
007902101,65,72,72,64,60,80,82,83,007902101,007902
008903102,65,76,58,71,48,81,80,83,008903102,008903
010902101,79,71,73,78,58,87,80,83,010902101,010902
011902102,57,61,46,45,30,64,53,51,011902102,011902
014905101,93,93,90,89,83,94,92,88,014905101,014905
014906102,85,81,88,82,77,91,87,88,014906102,014906
014906115,85,77,81,71,67,88,86,78,014906115,014906
014906121,87,82,82,73,75,95,92,79,014906121,014906
014906125,53,41,83,70,69,91,81,56,014906125,014906
014906126,100,86,93,93,71,92,100,83,014906126,014906
014906127,78,62,72,80,63,92,83,76,014906127,014906
014906129,84,75,64,58,49,94,78,58,014906129,014906
014906132,66,58,73,57,58,98,88,66,014906132,014906
014906135,77,70,62,70,56,95,88,77,014906135,014906
014907102,76,66,70,72,56,98,91,78,014907102,014907
015904107,82,69,71,59,54,89,81,65,015904107,015904
015906101,96,97,96,90,85,99,97,97,015906101,015906
015907101,73,73,72,61,62,92,82,80,015907101,015907
015907114,50,42,54,60,52,60,63,36,015907114,015907
015907121,49,47,53,37,41,75,56,48,015907121,015907
015907139,71,65,57,45,46,89,75,71,015907139,015907
015907144,61,40,34,33,28,63,48,36,015907144,015907
015907148,59,54,58,60,55,75,71,66,015907148,015907
015907149,70,53,63,58,64,63,49,49,015907149,015907
015907150,60,64,61,55,65,75,79,65,015907150,015907
015907160,67,70,53,55,38,83,72,59,015907160,015907
015907164,84,73,69,58,51,71,70,60,015907164,015907
015907165,62,54,43,44,49,60,54,58,015907165,015907
015908101,38,53,55,66,74,90,79,58,015908101,015908
015908106,57,60,66,59,53,86,79,70,015908106,015908
015908110,81,73,71,60,59,74,70,43,015908110,015908
015910104,72,70,85,74,56,89,69,69,015910104,015910
015910106,71,74,55,62,40,83,72,58,015910106,015910
015910110,70,65,54,67,56,71,81,75,015910110,015910
015910112,84,65,57,48,38,84,74,55,015910112,015910
015910113,60,62,58,50,34,75,71,63,015910113,015910
015910114,57,55,59,62,47,63,67,47,015910114,015910
015910116,51,49,78,65,51,81,87,67,015910116,015910
015910122,68,50,57,43,58,82,82,49,015910122,015910
015910125,74,74,65,67,53,79,78,49,015910125,015910
015910128,90,87,90,84,74,92,90,86,015910128,015910
015910130,82,85,86,81,78,91,80,76,015910130,015910
015910131,84,85,80,84,74,92,86,77,015910131,015910
015910133,91,96,91,87,87,95,94,88,015910133,015910
015910134,93,90,90,84,77,94,92,84,015910134,015910
015910136,94,91,94,92,91,100,99,93,015910136,015910
015910140,96,92,89,85,80,97,95,93,015910140,015910
015910142,89,89,86,83,80,96,94,83,015910142,015910
015910144,87,87,86,86,76,99,93,89,015910144,015910
015912101,69,61,90,73,73,90,67,63,015912101,015912
015912102,74,71,75,64,59,95,78,83,015912102,015912
015912103,84,69,73,51,58,82,71,58,015912103,015912
015912105,81,81,69,60,62,95,78,79,015912105,015912
015912107,83,73,91,72,75,95,89,81,015912107,015912
015912109,66,70,85,68,58,97,82,81,015912109,015912
015912110,69,61,75,66,52,85,63,73,015912110,015912
015912111,79,67,85,63,67,95,82,85,015912111,015912
015913101,88,88,95,83,86,91,90,87,015913101,015913
015914101,83,80,89,83,80,93,96,77,015914101,015914
015915101,59,56,61,59,54,67,60,47,015915101,015915
015915102,62,64,41,59,49,82,74,69,015915102,015915
015915103,85,76,65,63,55,89,78,78,015915103,015915
015915105,57,46,68,56,45,88,82,72,015915105,015915
015915106,74,66,75,75,67,94,80,75,015915106,015915
015915107,78,74,70,72,59,91,79,69,015915107,015915
015915108,73,70,76,74,60,87,80,70,015915108,015915
015915109,84,78,72,67,65,89,81,72,015915109,015915
015915111,64,52,64,67,54,89,72,71,015915111,015915
015915112,86,72,77,64,63,87,76,70,015915112,015915
015915113,56,51,76,73,66,88,80,78,015915113,015915
015915114,87,73,77,51,48,90,63,70,015915114,015915
015915115,69,62,68,66,47,88,80,70,015915115,015915
015915116,79,73,62,55,51,90,75,74,015915116,015915
015915117,53,49,47,51,27,84,69,73,015915117,015915
015915118,55,55,54,51,45,88,76,77,015915118,015915
015915119,75,68,65,60,57,83,83,69,015915119,015915
015915122,74,69,72,65,58,84,73,79,015915122,015915
015915123,67,59,76,71,54,95,81,62,015915123,015915
015915124,64,50,76,67,58,93,77,84,015915124,015915
015915125,66,66,77,69,60,86,80,72,015915125,015915
015915128,66,59,62,59,49,77,68,44,015915128,015915
015915130,84,82,76,71,56,91,83,69,015915130,015915
015915131,76,69,90,69,72,97,86,87,015915131,015915
015915132,69,65,74,76,66,96,93,78,015915132,015915
015915134,78,79,76,72,65,90,81,72,015915134,015915
015915135,63,63,73,66,53,88,89,79,015915135,015915
015915136,75,76,82,70,61,96,88,86,015915136,015915
015915138,70,71,61,55,37,87,80,68,015915138,015915
015915141,79,78,81,73,73,93,92,81,015915141,015915
015915143,84,78,86,84,76,99,98,91,015915143,015915
015915144,71,67,67,75,68,84,82,65,015915144,015915
015915145,71,83,86,76,63,96,92,82,015915145,015915
015915148,74,64,78,76,64,92,88,73,015915148,015915
015915149,78,69,67,75,56,95,91,75,015915149,015915
015915150,81,73,84,82,64,94,93,88,015915150,015915
015915151,84,91,82,85,67,98,89,77,015915151,015915
015915152,87,88,91,91,82,99,97,93,015915152,015915
015915156,74,75,84,72,63,90,85,79,015915156,015915
015915157,74,76,86,75,67,93,96,88,015915157,015915
015915158,61,61,61,59,45,85,75,57,015915158,015915
015915160,80,82,65,68,57,82,77,62,015915160,015915
015915161,82,81,84,76,64,100,90,69,015915161,015915
015915162,68,61,62,61,43,85,76,53,015915162,015915
015915165,83,87,84,76,68,97,92,87,015915165,015915
015915166,84,87,88,88,77,94,90,94,015915166,015915
015915167,85,83,81,81,77,98,90,93,015915167,015915
015915168,83,71,82,79,66,97,89,85,015915168,015915
015915169,76,68,86,73,66,94,88,78,015915169,015915
015915170,90,84,72,75,57,94,94,88,015915170,015915
015915171,91,77,79,79,65,99,93,87,015915171,015915
015915177,67,67,71,67,60,85,75,73,015915177,015915
015915178,87,87,96,93,83,99,97,91,015915178,015915
015915179,86,86,86,84,71,97,96,83,015915179,015915
