,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
015915186,88,91,91,92,94,99,92,87,015915186,015915
015915187,80,85,84,83,87,98,97,87,015915187,015915
015915188,85,90,97,92,97,97,96,93,015915188,015915
015915189,52,63,58,55,56,78,75,59,015915189,015915
015915191,78,96,80,86,88,98,97,88,015915191,015915
015915192,71,81,77,80,71,85,90,63,015915192,015915
015915193,86,91,85,85,88,97,98,91,015915193,015915
015915195,86,93,92,87,91,100,100,99,015915195,015915
015915198,74,80,77,82,77,96,94,86,015915198,015915
015915225,87,85,85,80,80,96,96,87,015915225,015915
015915236,89,93,94,98,94,100,100,92,015915236,015915
015916101,62,72,49,68,60,78,80,56,015916101,015916
015916102,75,70,72,55,65,96,96,86,015916102,015916
015916104,80,82,83,84,74,100,98,89,015916104,015916
015916105,53,56,39,55,59,91,85,53,015916105,015916
015916111,56,63,47,62,66,97,97,84,015916111,015916
015916113,56,66,62,67,55,86,86,68,015916113,015916
015916115,55,66,73,69,62,84,88,61,015916115,015916
015916117,70,80,58,70,74,92,94,78,015916117,015916
016902101,64,77,70,79,69,96,98,75,016902101,016902
018902101,74,81,55,97,89,100,100,94,018902101,018902
019907113,61,59,68,73,82,90,87,71,019907113,019907
020901103,61,59,80,78,63,89,78,70,020901103,020901
020901109,83,76,77,90,85,93,94,86,020901109,020901
020901110,80,75,82,82,77,94,94,92,020901110,020901
020901111,87,91,89,92,85,96,96,90,020901111,020901
020901113,79,77,70,74,76,91,90,75,020901113,020901
020901114,77,84,74,80,77,97,92,98,020901114,020901
020902110,65,73,58,78,75,96,90,92,020902110,020902
020906104,79,85,88,80,76,91,93,65,020906104,020906
021902112,80,90,75,84,76,98,96,90,021902112,021902
021902117,65,90,87,87,87,92,94,87,021902117,021902
021902119,71,72,69,69,69,93,88,79,021902119,021902
027904101,75,81,85,82,71,95,94,78,027904101,027904
027904102,89,73,79,73,73,100,95,82,027904102,027904
029901101,89,80,81,77,80,95,89,84,029901101,029901
030903101,53,60,77,45,59,87,91,74,030903101,030903
031901111,86,83,72,74,76,99,96,90,031901111,031901
031901120,61,61,84,83,77,96,85,76,031901120,031901
031901121,85,89,89,82,85,93,89,73,031901121,031901
031901122,75,67,64,66,72,97,88,88,031901122,031901
031901128,68,65,69,64,73,99,87,72,031901128,031901
031901129,85,88,88,85,90,99,94,89,031901129,031901
031901134,60,68,67,72,75,89,80,67,031901134,031901
