,gr3_math_avg,gr3_ela_avg,gr4_math_avg,gr4_ela_avg,gr4_writ_avg,gr5_math_avg,gr5_ela_avg,gr5_sci_avg,CAMPUS,DISTRICT
003906101,73,64,78,78,67,68,75,61,003906101,003906
005904101,93,93,69,83,79,96,89,86,005904101,005904
007902101,69,59,72,70,61,88,87,83,007902101,007902
008903102,71,72,66,79,76,65,70,63,008903102,008903
010902102,55,63,67,79,83,84,83,74,010902102,010902
013903101,83,83,43,57,57,81,81,67,013903101,013903
014905101,91,98,82,77,75,98,96,88,014905101,014905
014906102,92,89,92,90,89,94,89,88,014906102,014906
014906103,79,58,66,64,46,92,90,84,014906103,014906
014906108,81,81,74,79,61,89,87,70,014906108,014906
014906109,95,82,80,73,66,91,83,66,014906109,014906
014906110,78,69,70,64,58,87,84,65,014906110,014906
014906111,76,64,63,49,40,83,67,71,014906111,014906
014906112,69,51,59,53,47,85,73,64,014906112,014906
014906113,62,61,71,67,56,87,83,61,014906113,014906
014906117,100,94,86,78,71,95,87,79,014906117,014906
014906119,84,71,81,63,59,91,74,50,014906119,014906
014906120,67,63,53,62,58,81,80,55,014906120,014906
014906122,81,78,78,75,63,94,86,81,014906122,014906
014906123,78,76,83,83,75,97,97,86,014906123,014906
014906124,87,76,76,80,72,97,89,77,014906124,014906
014906128,90,77,79,83,78,95,88,74,014906128,014906
014906130,85,73,78,78,70,96,89,78,014906130,014906
014906131,85,81,80,80,69,88,85,72,014906131,014906
014906133,74,71,70,67,57,89,83,68,014906133,014906
014906136,92,85,95,83,80,94,93,82,014906136,014906
014906137,82,78,76,82,80,100,94,92,014906137,014906
014906138,81,80,79,83,64,91,86,78,014906138,014906
014906139,85,82,87,70,76,83,83,69,014906139,014906
015819102,-1,-1,40,40,62,53,53,-1,015819102,015819
015822004,56,44,64,64,45,-1,-1,-1,015822004,015822
015822008,57,71,77,73,81,87,80,47,015822008,015822
015904101,86,71,82,84,92,83,77,71,015904101,015904
015904102,82,60,70,65,59,87,80,77,015904102,015904
015904103,64,50,51,63,56,83,68,60,015904103,015904
015904104,48,70,70,58,54,82,80,63,015904104,015904
015904106,45,43,39,53,59,74,73,67,015904106,015904
015904107,61,61,61,62,63,90,77,72,015904107,015904
015904108,68,70,71,71,70,93,80,67,015904108,015904
015904109,83,76,80,76,86,90,86,71,015904109,015904
015904110,50,70,67,62,56,82,79,60,015904110,015904
015904113,59,59,61,53,70,73,57,66,015904113,015904
015904114,75,62,75,73,81,78,72,71,015904114,015904
015905112,66,56,70,72,66,76,77,72,015905112,015905
015907103,51,56,40,48,44,63,62,47,015907103,015907
015907105,81,74,68,66,70,81,81,70,015907105,015907
015907110,59,57,48,59,58,80,74,70,015907110,015907
015907112,70,71,72,69,63,84,79,60,015907112,015907
015907116,68,59,40,36,33,80,67,69,015907116,015907
015907117,82,71,52,56,35,61,47,26,015907117,015907
015907118,59,51,55,48,48,84,73,68,015907118,015907
015907119,70,57,60,54,58,65,56,50,015907119,015907
015907123,61,48,54,54,49,91,81,79,015907123,015907
015907124,86,72,71,66,74,69,73,71,015907124,015907
015907125,33,37,51,51,45,70,66,60,015907125,015907
015907126,84,72,65,57,62,80,62,57,015907126,015907
015907127,82,72,72,89,67,66,61,55,015907127,015907
015907129,56,63,61,61,62,88,75,68,015907129,015907
015907132,70,61,73,67,65,81,59,47,015907132,015907
015907134,62,55,57,55,48,75,62,66,015907134,015907
015907135,56,60,56,66,64,78,62,70,015907135,015907
015907136,65,65,65,63,57,80,65,53,015907136,015907
015907137,72,58,51,51,46,79,70,74,015907137,015907
015907139,67,60,64,56,55,95,88,90,015907139,015907
015907140,47,43,49,43,44,57,43,26,015907140,015907
015907143,78,67,74,72,74,78,77,59,015907143,015907
015907144,51,40,52,50,50,66,52,57,015907144,015907
015907146,79,54,50,71,42,86,91,82,015907146,015907
015907147,44,39,29,38,37,81,66,68,015907147,015907
015907148,53,58,51,51,51,76,54,59,015907148,015907
015907149,78,63,48,54,60,75,56,55,015907149,015907
015907153,55,52,59,52,39,56,36,33,015907153,015907
015907155,63,52,44,50,62,75,71,54,015907155,015907
015907157,42,52,27,35,19,55,39,38,015907157,015907
015907158,46,40,45,46,52,71,65,60,015907158,015907
015907160,61,66,66,64,57,50,54,35,015907160,015907
015907161,74,67,53,61,44,83,82,68,015907161,015907
015907162,64,56,63,68,72,92,74,79,015907162,015907
015907168,47,42,30,29,25,58,42,44,015907168,015907
015907169,54,46,50,53,55,62,49,43,015907169,015907
015907172,69,59,68,59,64,78,63,55,015907172,015907
015907176,69,67,49,56,51,77,67,62,015907176,015907
015907201,.,.,.,.,.,.,.,.,015907201,015907
015908104,58,51,51,62,50,79,80,57,015908104,015908
015908105,59,57,73,75,79,73,71,66,015908105,015908
015908107,71,62,61,75,70,97,94,78,015908107,015908
015908109,55,59,53,58,43,80,72,67,015908109,015908
015908110,80,75,59,79,70,75,75,54,015908110,015908
015908112,76,71,45,57,54,90,86,80,015908112,015908
015910105,57,55,50,54,48,67,69,60,015910105,015910
015910111,75,64,84,70,74,96,77,78,015910111,015910
015910121,51,50,59,59,50,83,72,66,015910121,015910
015910127,72,72,76,75,58,88,84,69,015910127,015910
015910139,95,94,93,88,87,97,96,94,015910139,015910
015910147,92,91,88,89,91,96,95,94,015910147,015910
015912104,80,75,66,66,61,87,80,83,015912104,015912
015912105,68,68,75,71,60,74,65,57,015912105,015912
015912107,81,78,87,82,76,93,88,80,015912107,015912
015912108,80,72,88,82,74,94,83,79,015912108,015912
015916106,96,93,92,93,89,95,94,87,015916106,015916
015916109,76,77,89,86,84,92,86,83,015916109,015916
015916110,60,64,46,61,58,84,74,67,015916110,015916
015916112,68,67,54,48,43,81,69,53,015916112,015916
015916113,77,65,59,73,67,90,75,56,015916113,015916
015916114,74,62,58,62,59,88,68,65,015916114,015916
015916118,90,85,89,88,89,92,87,78,015916118,015916
015916119,73,77,68,71,65,81,79,68,015916119,015916
018901101,91,85,69,78,75,89,80,73,018901101,018901
018902101,61,77,70,75,88,91,93,95,018902101,018902
019907105,66,57,74,80,64,84,75,60,019907105,019907
019907109,81,76,88,81,71,93,85,82,019907109,019907
019907111,59,57,77,75,81,82,75,78,019907111,019907
020901104,75,79,67,70,63,84,76,79,020901104,020901
020901105,66,70,83,75,61,94,84,85,020901105,020901
020901108,77,75,72,72,70,93,88,90,020901108,020901
020901112,89,87,88,89,85,92,92,92,020901112,020901
020901113,80,79,73,72,65,81,76,73,020901113,020901
021902103,74,69,76,75,61,82,86,63,021902103,021902
021902105,66,74,65,75,67,81,81,77,021902105,021902
021902106,59,50,74,68,61,82,75,67,021902106,021902
021902109,67,63,80,68,58,82,79,77,021902109,021902
021902115,72,68,64,55,56,91,75,75,021902115,021902
026903101,53,50,85,65,70,87,63,47,026903101,026903
027903102,74,70,86,69,64,77,79,74,027903102,027903
027904101,75,72,71,84,67,92,85,68,027904101,027904
027904103,65,73,64,60,56,85,73,77,027904103,027904
027904104,85,82,89,85,93,100,92,77,027904104,027904
028902105,64,62,72,56,47,77,78,40,028902105,028902
029901102,81,88,71,82,72,89,81,83,029901102,029901
029901105,100,100,100,100,100,100,100,100,029901105,029901
031901101,89,68,75,69,57,92,88,83,031901101,031901
031901102,56,64,68,70,65,86,76,79,031901102,031901
031901103,79,83,89,91,89,89,82,68,031901103,031901
031901105,65,66,77,72,54,78,62,65,031901105,031901
031901106,85,77,64,64,57,92,80,76,031901106,031901
031901108,84,90,86,79,84,98,73,80,031901108,031901
031901109,81,81,84,87,82,100,79,84,031901109,031901
031901110,69,65,70,71,60,87,81,78,031901110,031901
031901112,77,76,69,75,52,94,80,77,031901112,031901
031901115,78,73,85,91,83,96,84,85,031901115,031901
031901120,64,55,63,66,58,79,68,65,031901120,031901
031901122,79,68,71,69,74,87,77,83,031901122,031901
031901123,71,67,80,78,70,92,79,90,031901123,031901
031901130,85,87,90,85,87,97,94,93,031901130,031901
031901132,89,85,89,88,79,96,85,85,031901132,031901
031901133,58,64,79,75,64,88,78,76,031901133,031901
031901137,85,81,93,93,92,94,92,91,031901137,031901
031901140,86,82,62,71,69,81,77,73,031901140,031901
031901141,92,88,74,84,79,90,88,86,031901141,031901
031901142,86,81,93,93,93,100,96,94,031901142,031901
031903104,81,76,87,85,82,100,88,93,031903104,031903
031903105,59,61,80,68,70,91,87,69,031903105,031903
031903106,88,75,83,88,72,94,79,81,031903106,031903
031903109,70,66,62,69,53,88,83,64,031903109,031903
031903110,78,76,80,78,70,93,74,79,031903110,031903
031903111,80,75,78,79,74,96,89,78,031903111,031903
031903112,72,69,72,65,59,85,79,71,031903112,031903
031903116,78,75,79,81,79,84,81,69,031903116,031903
031903120,85,81,69,74,65,91,85,83,031903120,031903
031906101,88,84,74,85,80,96,89,87,031906101,031906
031906102,93,95,79,84,91,98,98,100,031906102,031906
031906103,68,68,64,64,73,88,82,88,031906103,031906
031906109,90,91,97,90,93,99,97,96,031906109,031906
031906110,76,72,84,85,77,96,86,86,031906110,031906
031909101,95,70,82,70,83,97,89,89,031909101,031909
031912101,44,56,58,70,68,69,66,52,031912101,031912
031912108,88,88,59,71,70,79,77,62,031912108,031912
031912109,54,46,68,70,59,57,48,40,031912109,031912
031912110,66,64,57,76,58,77,77,67,031912110,031912
031912112,58,56,67,61,64,69,61,68,031912112,031912
031912116,67,56,76,66,73,86,72,80,031912116,031912
031912117,62,57,76,72,68,65,64,45,031912117,031912
031913101,73,63,62,59,51,76,69,55,031913101,031913
031914101,71,65,67,53,53,84,74,66,031914101,031914
034909101,74,79,60,70,57,100,92,92,034909101,034909
036901101,79,76,85,75,58,87,80,74,036901101,036901
039902101,89,92,85,84,82,92,93,80,039902101,039902
040902101,89,71,79,63,50,95,95,89,040902101,040902
043910118,97,94,96,91,89,90,88,82,043910118,043910
043911103,82,69,83,83,82,87,81,73,043911103,043911
043911104,77,66,69,77,65,91,91,84,043911104,043911
043911105,94,85,77,87,80,98,94,94,043911105,043911
043918101,69,70,66,69,59,83,77,78,043918101,043918
046901102,73,73,86,95,73,100,94,94,046901102,046901
046901109,87,71,77,79,71,90,86,80,046901109,046901
046902104,67,70,64,69,69,86,88,88,046902104,046902
046902105,69,69,61,78,59,84,77,81,046902105,046902
046902107,87,87,86,87,93,91,91,83,046902107,046902
046902113,88,82,80,80,80,91,83,69,046902113,046902
046902114,94,94,86,90,85,96,96,90,046902114,046902
046902117,58,67,51,63,64,79,76,76,046902117,046902
046902119,79,77,77,81,74,80,71,72,046902119,046902
046902122,92,90,78,87,80,90,92,77,046902122,046902
047902101,78,86,77,79,87,100,93,95,047902101,047902
049905101,84,84,90,82,85,96,91,84,049905101,049905
052901101,79,67,56,68,60,82,72,43,052901101,052901
053001103,75,77,76,79,83,59,71,53,053001103,053001
054901101,75,63,58,62,46,66,69,47,054901101,054901
057803104,69,69,67,65,53,79,54,59,057803104,057803
057831001,48,50,38,58,63,74,69,40,057831001,057831
057835102,55,65,82,45,45,78,67,67,057835102,057835
057903103,71,63,71,58,54,73,61,60,057903103,057903
057903106,95,89,93,89,82,96,89,90,057903106,057903
057903110,76,63,87,82,74,87,84,67,057903110,057903
057903120,91,85,96,96,93,95,92,82,057903120,057903
057903122,90,88,94,91,89,97,94,90,057903122,057903
057903125,81,74,57,64,70,78,82,70,057903125,057903
057903129,44,51,41,54,60,67,67,53,057903129,057903
057904102,74,57,63,65,58,78,75,58,057904102,057904
057904104,49,55,53,54,54,61,57,47,057904104,057904
057904105,73,54,55,54,60,84,78,69,057904105,057904
057904107,59,66,57,60,60,81,85,58,057904107,057904
057904110,73,88,65,84,75,99,98,93,057904110,057904
057905101,72,60,74,67,79,81,77,59,057905101,057905
057905103,66,51,51,54,33,68,63,76,057905103,057905
057905104,75,62,72,68,64,64,67,61,057905104,057905
057905105,86,74,80,60,68,91,87,79,057905105,057905
057905108,63,60,62,45,62,77,65,48,057905108,057905
057905114,53,51,42,45,53,65,61,48,057905114,057905
057905115,71,71,63,63,55,78,65,54,057905115,057905
057905116,74,71,68,68,79,75,84,73,057905116,057905
057905117,49,56,49,56,62,70,68,64,057905117,057905
057905118,71,57,90,80,81,96,87,87,057905118,057905
057905119,59,55,68,48,66,80,71,55,057905119,057905
057905124,28,32,25,36,36,40,36,29,057905124,057905
057905126,67,69,71,65,67,86,85,74,057905126,057905
057905128,38,34,48,48,78,45,56,47,057905128,057905
057905130,71,61,72,60,68,80,76,68,057905130,057905
057905133,71,58,58,49,65,70,65,62,057905133,057905
057905135,87,83,81,83,59,91,82,66,057905135,057905
057905136,92,73,73,68,79,86,73,67,057905136,057905
057905137,79,82,67,85,85,90,92,84,057905137,057905
057905140,58,52,40,54,48,77,77,48,057905140,057905
057905141,64,52,65,65,64,93,86,95,057905141,057905
057905152,72,64,73,73,75,96,91,83,057905152,057905
057905153,83,80,72,76,72,96,91,91,057905153,057905
057905157,50,61,70,65,60,72,78,52,057905157,057905
057905158,56,58,55,65,64,87,83,75,057905158,057905
057905159,50,43,46,59,57,72,68,42,057905159,057905
057905160,97,82,82,75,69,86,82,79,057905160,057905
057905161,69,58,79,72,86,67,61,53,057905161,057905
057905168,71,82,79,72,78,89,81,85,057905168,057905
057905170,78,75,70,66,78,86,83,81,057905170,057905
057905172,78,77,75,80,77,89,81,83,057905172,057905
