,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,53,37,28,47,29,165,129,20,29,42,11,12.6,8.8,11.551020408,38014,17.9094,001,N,96.5,001902001,001902
001903001,108,95,81,77,26,361,317,20,82,124,12.6,14.5,15.8,14.863344905,40869,30.7043,001,N,94.7,001903001,001903
001904001,81,58,60,49,38,248,196,24,45,117,11.8,13.3,14.1,13.558823529,38927,25.6099,001,N,96.3,001904001,001904
001907001,297,191,238,199,280,925,407,54,144,447,19.3,20.8,19.4,12.08475028,38500,70.1309,001,N,92.8,001907001,001907
001908002,122,146,118,119,85,505,361,26,89,197,17.4,17.3,16.8,14.022249637,39454,38.0838,001,N,94.4,001908002,001908
002901001,236,213,239,228,16,916,368,83,158,260,17.1,18.1,20,14.434782609,51860,63.4911,002,N,95.2,002901001,002901
003902001,189,166,172,126,28,653,502,62,84,285,17.5,17.1,18.1,13.153555652,41707,44.4181,003,N,96,003902001,003902
003902004,1,3,2,6,0,12,6,0,2,1,.,.,.,12.166666667,46469,5.1435,003,N,67,003902004,003902
003904001,139,124,100,102,12,465,433,33,86,149,13.6,15.7,14,14.420519139,41105,37.6252,003,N,95.2,003904001,003904
003904005,7,4,14,23,1,48,45,0,10,24,.,.,-2,23.25,35964,3.2867,003,N,95.2,003904005,003904
003907001,135,137,113,100,18,485,411,29,102,148,15.7,16.8,20.7,11.756097561,40742,37.9032,003,N,95.1,003907001,003907
003907004,2,1,5,6,1,14,11,0,2,0,.,.,.,.,.,.,003,N,78.6,003907004,003907
004901001,309,280,210,186,22,985,599,66,131,476,19.9,20.7,21.2,11.892655367,40774,75.9744,004,N,94.6,004901001,004901
005902001,64,61,79,65,0,269,256,16,21,48,11.6,12.7,13.3,16.21875,40301,25.4195,005,N,96.8,005902001,005902
007901001,46,34,28,31,0,139,25,15,19,86,16.6,11,12.8,13.111111111,41413,14.0186,007,N,94.2,007901001,007901
007902001,107,82,85,98,1,372,168,34,47,191,23.8,23.3,19.8,14.76056338,46131,29.5608,007,N,93.3,007902001,007902
007904001,119,103,125,98,2,445,134,53,44,273,16.5,17.5,18.4,11.851851852,43362,38.7468,007,N,94.7,007904001,007904
