,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001904102,60,54,49,43,361,1,273,12,30,231,.,.,.,17.230769231,43181,22.7985,001,N,96.5,001904102,001904
001909101,35,24,29,6,205,0,181,9,21,104,.,.,.,14.438189393,44925,18.4228,001,N,97.3,001909101,001909
005902101,68,63,70,0,400,1,346,12,47,128,.,.,.,14.103448276,41047,27.5243,005,N,97.3,005902101,005902
010902101,97,80,95,3,587,4,366,17,58,363,.,.,.,13.540540541,49072,37.0005,010,N,94.7,010902101,010902
010902102,90,72,78,3,537,3,359,19,61,280,.,.,.,14.504564672,51324,33.988,010,N,95.6,010902102,010902
011902102,93,84,88,73,773,2,132,62,46,657,.,.,.,7.7861289816,45902,48.1142,011,N,95.4,011902102,011902
014903102,48,43,42,12,328,9,202,31,36,191,.,.,.,13.133333333,48502,20.7949,014,N,97.1,014903102,014903
014903114,80,78,76,32,567,2,146,18,76,481,.,.,.,10.090909091,46650,42.9723,014,N,96.7,014903114,014903
014905101,43,40,49,4,273,1,182,4,23,155,.,.,.,18.176470588,43495,23.0475,014,N,96.8,014905101,014905
014906104,50,37,39,107,361,6,75,2,41,289,.,.,.,15.785714286,54387,28.0003,014,N,95.2,014906104,014906
014906108,76,136,151,169,730,36,308,24,68,279,.,.,.,10.840587158,49713,48.9979,014,N,95.6,014906108,014906
014906115,89,94,108,133,692,10,321,44,76,351,.,.,.,11.428571429,50130,48.0738,014,N,95.7,014906115,014906
014906120,139,130,126,486,968,20,158,5,72,677,.,.,.,6.5584294336,47139,63.2996,014,N,95.8,014906120,014906
014906121,102,111,106,178,732,46,292,58,53,224,.,.,.,12.326086957,51415,45.0449,014,N,96.7,014906121,014906
014906125,91,87,93,224,659,8,144,16,70,493,.,.,.,9.032797181,48433,46.5815,014,N,96.1,014906125,014906
014906126,68,51,31,97,532,18,224,12,85,314,.,.,.,15.095238095,53739,41.0275,014,N,95.6,014906126,014906
014906127,126,107,93,361,859,29,143,7,82,617,.,.,.,10.325907681,49788,55.8138,014,N,95.9,014906127,014906
014906129,108,113,107,306,777,26,151,18,89,518,.,.,.,7.8644885354,48073,50.1423,014,N,96.3,014906129,014906
014906130,110,114,103,416,784,9,106,21,72,578,.,.,.,8.3076923077,47725,48.8988,014,N,95.8,014906130,014906
014906132,79,74,75,99,642,13,259,5,69,449,.,.,.,10.234042553,49246,46.1814,014,N,95,014906132,014906
014906135,162,160,198,384,1177,20,312,29,119,594,.,.,.,8.6124970302,48076,76.7541,014,N,96.5,014906135,014906
015904102,103,111,101,0,705,1,11,21,62,612,.,.,.,11.659090909,51648,44.0004,015,N,96.6,015904102,015904
015906101,90,100,87,111,598,11,287,31,35,69,.,.,.,13.902213291,52624,41.406,015,N,97.4,015906101,015906
015907101,76,77,82,6,598,1,12,16,57,559,.,.,.,13.105263158,51886,38.0005,015,N,96.5,015907101,015907
015907106,83,67,76,6,533,0,8,24,45,515,.,.,.,8.9393939394,50739,32.9999,015,N,96.8,015907106,015907
015907124,61,42,51,22,373,0,8,17,42,360,.,.,.,11.166666667,51927,23.5363,015,N,96,015907124,015907
015907149,101,65,72,18,538,0,12,10,46,525,.,.,.,12.314285714,51760,34.9976,015,N,96.3,015907149,015907
015907150,103,91,93,11,677,3,27,8,78,590,.,.,.,12.875,51397,40.0003,015,N,96.1,015907150,015907
015907164,87,98,98,27,676,3,30,17,66,617,.,.,.,9.5681818182,50871,43.9994,015,N,96.6,015907164,015907
015907165,82,73,76,45,501,0,4,3,46,490,.,.,.,10.833333333,51306,29.999,015,N,96.3,015907165,015907
015907169,79,72,45,4,482,0,2,0,38,470,.,.,.,8,49976,28.5467,015,N,96.6,015907169,015907
015907174,77,78,75,0,507,0,4,20,45,483,.,.,.,13.935483871,53086,30.9991,015,N,97.4,015907174,015907
015908104,96,100,87,4,624,0,13,28,39,538,.,.,.,11.036288002,51520,36.0284,015,N,96.6,015908104,015908
