,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,19.2,19.2,19.2,001902
001903,19.1,19.1,19.1,001903
001904,21.9,21.9,21.9,001904
001906,22.3,22.3,22.3,001906
001907,19.9,19.9,19.9,001907
001908,19.5,19.5,19.5,001908
001909,21.2,21.2,21.2,001909
002901,19.5,19.5,19.5,002901
003801,.,.,.,003801
003902,19.6,19.6,19.6,003902
003903,17.3,17.3,17.3,003903
003904,18.2,18.2,18.2,003904
003905,17.3,17.3,17.3,003905
003906,17.5,17.5,17.5,003906
003907,17.9,17.9,17.9,003907
004901,20.2,20.2,20.2,004901
005901,21.2,21.2,21.2,005901
005902,22,22,22,005902
005903,.,.,.,005903
005904,21.1,21.1,21.1,005904
006902,20.3,20.3,20.3,006902
007901,18.6,18.6,18.6,007901
007902,20,20,20,007902
007904,17.1,17.1,17.1,007904
007905,20.8,20.8,20.8,007905
007906,18.2,18.2,18.2,007906
008901,20.6,20.6,20.6,008901
008902,19.6,19.6,19.6,008902
008903,16.8,16.8,16.8,008903
009901,19.4,19.4,19.4,009901
010901,20.8,20.8,20.8,010901
010902,20.9,20.9,20.9,010902
011901,18.6,18.6,18.6,011901
011902,18,18,18,011902
011904,19,19,19,011904
011905,.,.,.,011905
012901,21.8,21.8,21.8,012901
013801,.,.,.,013801
013901,18.1,18.1,18.1,013901
013902,.,.,.,013902
013903,18.4,18.4,18.4,013903
013905,17.8,17.8,17.8,013905
014801,.,.,.,014801
014802,.,.,.,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,22.1,22.1,22.1,014901
014902,19.1,19.1,19.1,014902
014903,18.7,18.7,18.7,014903
014905,22.6,22.6,22.6,014905
014906,19.1,19.1,19.1,014906
014907,20,20,20,014907
014908,20,20,20,014908
014909,20.9,20.9,20.9,014909
014910,19.6,19.6,19.6,014910
015801,.,.,.,015801
015802,.,.,.,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,14.3,14.3,14.3,015806
015807,.,.,.,015807
015808,.,.,.,015808
015809,.,.,.,015809
015810,.,.,.,015810
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,.,.,.,015815
015816,.,.,.,015816
015817,.,.,.,015817
015818,.,.,.,015818
015819,.,.,.,015819
015820,.,.,.,015820
015822,.,.,.,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015901,24.1,24.1,24.1,015901
015904,16.9,16.9,16.9,015904
015905,15.3,15.3,15.3,015905
015906,23.1,23.1,23.1,015906
015907,16.9,16.9,16.9,015907
015908,17.2,17.2,17.2,015908
015909,18.1,18.1,18.1,015909
015910,21.4,21.4,21.4,015910
015911,19.5,19.5,19.5,015911
015912,18,18,18,015912
015913,20.7,20.7,20.7,015913
015914,20.7,20.7,20.7,015914
015915,20.9,20.9,20.9,015915
015916,19.2,19.2,19.2,015916
015917,16.6,16.6,16.6,015917
016901,20.8,20.8,20.8,016901
016902,21.4,21.4,21.4,016902
017901,18.2,18.2,18.2,017901
018901,20.1,20.1,20.1,018901
018902,18.9,18.9,18.9,018902
018903,.,.,.,018903
018904,19.1,19.1,19.1,018904
018905,.,.,.,018905
018906,19.7,19.7,19.7,018906
018907,.,.,.,018907
018908,.,.,.,018908
019901,18.3,18.3,18.3,019901
019902,19.1,19.1,19.1,019902
019903,19.1,19.1,19.1,019903
