,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,43,34,50,31,27,158,124,17,30,46,11.3,10.8,9.7,13.038461538,35092,18.2068,001,N,96.4,001902001,001902
001903001,113,92,85,85,30,375,327,19,84,144,13.9,15.3,15.4,16.131578947,36893,29.441,001,N,95.3,001903001,001903
001904001,60,61,52,60,28,233,191,20,44,89,13.2,13.7,12.6,13.189655172,35244,23.1548,001,N,96,001904001,001904
001907001,260,258,198,176,264,892,407,54,129,416,19.9,19.1,18.1,12.926174497,36587,69.2529,001,N,93.6,001907001,001907
001908002,151,121,135,115,87,522,382,27,99,150,18.2,17.3,17.8,14.773694916,37064,37.0211,001,N,95.3,001908002,001908
002901001,215,234,242,198,14,889,392,100,144,274,16.3,16.9,18.9,14,45273,62.5318,002,N,95.7,002901001,002901
003902001,182,174,151,137,23,644,497,56,92,282,19.4,17.4,18.7,12.611111111,36365,49.4518,003,N,95.6,003902001,003902
003902004,2,4,4,4,1,14,11,0,2,2,6,6,.,11.166666667,40603,5.1433,003,N,78.1,003902004,003902
003903001,721,623,575,493,803,2412,993,175,450,1188,19.4,18.1,19.9,13.750636081,40110,168.7594,003,N,95.4,003903001,003903
003903004,3,5,15,19,15,42,17,0,9,13,.,.,.,.,.,.,003,N,80,003903004,003903
003903141,1,0,0,1,0,2,1,0,2,0,.,.,.,8,33680,0.7057,003,N,-1,003903141,003903
003904001,148,111,111,105,18,475,443,36,84,145,18.1,17.5,14.1,12.697674419,35971,37.3354,003,N,95.4,003904001,003904
003904005,10,6,11,21,4,48,39,0,10,30,.,16.5,-2,25.5,39411,3.2847,003,N,95.6,003904005,003904
003907001,150,132,107,104,18,493,420,22,98,146,17.9,17.8,19.5,11.512195122,36939,37.1021,003,N,95.6,003907001,003907
004901001,236,246,216,201,15,899,557,64,129,427,21,18.7,21,11.664857424,38788,63.9027,004,N,94.7,004901001,004901
005902001,65,80,61,60,0,266,254,25,18,30,11.8,11.1,13.1,16.470588235,37291,27.4469,005,N,97,005902001,005902
007901001,35,34,32,32,0,133,21,14,24,82,11.4,12.3,9.8,12.6875,39715,12.6133,007,N,93.1,007901001,007901
007902001,99,94,95,77,0,365,166,39,50,183,25.7,20.8,16.3,13.521126761,42240,29.9325,007,N,93.9,007902001,007902
007904001,110,137,103,76,3,426,129,51,57,246,15.1,18.7,17.8,10.050564785,39772,35.9789,007,N,95.1,007904001,007904
007905001,280,262,203,198,5,943,376,90,198,517,18.1,15.9,19.3,12.410404624,39071,73.7737,007,N,92.8,007905001,007905
007906001,133,136,116,103,0,488,91,35,84,314,18.2,16.8,16.3,12.847826087,37699,39.2019,007,N,94.3,007906001,007906
008901001,186,184,179,159,83,708,523,117,102,155,16.8,17.4,19.3,14.942307692,40749,49.1992,008,N,96.3,008901001,008901
008902001,209,180,178,170,118,737,392,72,129,288,17.3,17.3,16.8,14.088692605,43076,62.5302,008,N,94.6,008902001,008902
008903001,87,70,69,53,52,279,142,17,48,102,17.3,14.8,16,10.703350156,38677,25.5503,008,N,94.9,008903001,008903
009901001,102,98,86,77,6,363,134,38,48,205,15.9,16,15.3,14.452409494,39245,32.1061,009,N,94.9,009901001,009901
010902001,252,253,195,160,3,860,661,101,116,314,20,21.1,20.5,13.633540373,40262,60.5745,010,N,94.5,010902001,010902
011901001,647,597,502,488,240,2234,1244,187,313,994,24.6,24,24.2,12.775826377,43498,133.4299,011,N,93.9,011901001,011901
011902001,301,260,204,180,137,945,402,36,118,479,23.1,24.2,22.2,12.136172266,40907,64.6043,011,N,94.9,011902001,011902
011904002,155,140,117,129,43,541,401,26,88,207,19,19.8,18.4,12.637934008,38528,41.1365,011,N,94.5,011904002,011904
012901001,45,50,51,42,10,188,151,10,22,69,13.2,12.8,13.5,10.833333333,34815,21.3109,012,N,97.2,012901001,012901
013901001,322,289,237,227,26,1075,273,74,99,562,19.7,19.4,20.5,11.262729466,39688,73.238,013,N,93.9,013901001,013901
013901002,10,15,8,24,0,57,4,0,0,39,.,.,.,12.571428571,42527,6.158,013,N,89.5,013901002,013901
013905001,78,66,66,40,6,250,96,14,36,144,17.6,16.4,17.2,9.2344089814,37663,22.6039,013,N,94.7,013905001,013905
014801001,58,53,50,11,75,172,51,0,16,74,11.2,13.1,13.6,6.1111111111,32027,8.2273,014,Y,85,014801001,014801
014802001,25,23,23,13,44,84,27,0,12,54,.,.,.,1.7142857143,26327,3.4997,014,Y,87.2,014802001,014802
014901001,97,73,74,79,4,323,282,26,51,64,15.8,14.4,14.1,15,39406,25.2512,014,N,95.2,014901001,014901
014903001,606,582,458,433,118,2079,1388,233,299,663,25.7,24.5,25.3,13.707646177,38892,130.3713,014,N,94.8,014903001,014903
014903005,21,31,36,26,6,114,84,1,13,46,.,.,.,17.19047619,41040,8.7028,014,N,88,014903005,014903
014905001,50,37,36,23,4,146,115,24,16,56,15.5,8.9,14,13.833333333,37548,15.991,014,N,94.5,014905001,014905
014906001,601,487,365,341,861,1794,504,141,263,781,22.9,21,23.1,11.206065581,43865,136.1135,014,N,94.3,014906001,014906
014906002,694,569,467,363,908,2093,689,195,320,740,24.7,23.8,25.3,11.978668819,43596,138.7316,014,N,94.8,014906002,014906
014906004,31,27,11,4,42,73,16,0,23,42,7,5.4,9,12.7,45466,9.9985,014,N,86.8,014906004,014906
014906006,7,17,23,53,38,100,33,0,12,34,9.7,5.3,2,19.166666667,48605,12.0002,014,N,83.6,014906006,014906
014906007,629,529,477,454,617,2089,1024,223,278,498,25.5,24.8,26.2,10.717896084,42203,140.8109,014,N,95.4,014906007,014906
014906008,715,553,485,373,1068,2126,559,136,292,829,24.6,26.7,26.4,8.0377435446,39955,136.0577,014,N,94.7,014906008,014906
014907001,70,55,68,49,7,242,186,35,30,66,13.6,11.5,14.1,13.918032787,36906,25.6375,014,N,96.7,014907001,014907
014908001,118,84,109,93,7,404,318,41,48,59,15.8,18.6,17,11.161003979,36411,31.6329,014,N,95.5,014908001,014908
014909002,805,518,479,387,663,2189,914,166,449,901,23.2,22.3,22.1,12.068754671,39487,146.1494,014,N,93.3,014909002,014909
014910001,108,89,108,84,6,389,290,47,82,117,17.2,16,18.5,11.424242424,35312,30.6807,014,N,95.7,014910001,014910
015801001,55,43,53,41,1,192,12,0,25,142,22.6,24,25,6.9130434783,35619,10.1223,015,Y,77.9,015801001,015801
015801002,32,36,46,30,3,144,39,0,14,31,16.6,20.3,21.8,2.1032453802,30199,10.8766,015,Y,94.1,015801002,015801
015802004,32,41,31,20,52,124,5,0,13,113,-2,.,-2,6.6666666667,27034,4.17,015,Y,87,015802004,015802
015806001,155,122,69,36,131,382,17,0,57,269,14,16.5,17.5,1.0037590777,28478,29.128,015,Y,94.6,015806001,015806
015807001,95,71,91,110,86,367,88,22,49,222,22.7,19.8,26.3,4.7052631579,39567,15.2998,015,Y,85,015807001,015807
015807002,80,48,73,76,122,277,26,14,39,208,19.7,26.9,13,4.3606552611,38987,11.8975,015,Y,87.6,015807002,015807
015807004,77,64,71,72,14,284,38,14,37,151,20.1,18.4,25,4.7857142857,31626,13.5923,015,Y,84.9,015807004,015807
015807005,5,10,6,6,7,27,8,0,4,21,1,4,1.5,1,30436,2.7328,015,Y,87.2,015807005,015807
015808001,2,0,3,6,0,11,2,0,11,10,.,.,.,2,39975,1,015,Y,95.7,015808001,015808
015814001,53,65,66,43,2,227,6,0,28,189,19.7,15,25,15.242161046,28112,11.8148,015,Y,88.3,015814001,015814
015816001,50,46,29,25,7,150,7,0,24,107,15,15,.,6,25667,6,015,Y,89.9,015816001,015816
015817001,94,100,96,57,9,347,22,0,73,280,46.2,46.5,-2,2.1304347826,34639,22.2432,015,Y,78.3,015817001,015817
