,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,46,54,46,60,15,206,3,173,27,37,62,10.5,12.7,10.1,14.3,44372,19.5,001,N,96.3,001902001,001902
001903001,94,104,83,74,13,355,6,299,23,33,158,11.9,12.7,15.2,14.8,43659,32.5,001,N,95.7,001903001,001903
001904001,68,55,58,42,34,223,1,155,18,28,119,13.3,16.6,17.6,11,41775,21.2,001,N,95.4,001904001,001904
001906002,29,22,32,31,8,114,1,92,7,16,48,7.3,9.4,8.6,14.2,47393,11.7,001,N,96.1,001906002,001906
001907001,259,266,195,177,236,897,10,283,33,96,570,17.1,19.9,20.3,10.8,48236,78.8,001,N,95.8,001907001,001907
001908002,123,116,116,85,79,440,6,265,13,46,240,12.4,13,13.7,14.1,44173,40.7,001,N,95.8,001908002,001908
002901001,267,262,247,219,20,995,5,324,43,60,244,12.3,16.5,19,14.1,59689,71.3,002,N,96.6,002901001,002901
002901002,1,5,20,13,0,39,0,11,0,1,11,.,.,.,14.3,54997,6,002,N,92.1,002901002,002901
003902001,225,201,176,177,40,779,8,531,53,60,346,21.6,20.1,20.8,13.4,47486,53.8,003,N,95.8,003902001,003902
003902004,1,0,6,7,3,14,0,8,0,1,10,.,3,1,10.2,55992,5.9,003,N,78.7,003902004,003902
003903001,602,569,512,469,599,2152,46,690,270,297,1297,14.6,17.8,17.9,13.3,47060,174.4,003,N,95.2,003903001,003903
003904001,165,146,135,109,6,555,0,499,45,58,225,21.3,21.5,21,13.7,46084,36.9,003,N,96,003904001,003904
003904005,13,6,15,11,2,45,0,40,0,11,22,.,.,.,7.3,45713,1.9,003,N,84.5,003904005,003904
003905001,136,136,129,109,77,510,1,155,28,72,369,13.8,15.7,17.9,12.6,48795,38.5,003,N,95.1,003905001,003905
003907001,136,124,107,90,28,457,1,346,15,55,184,15.2,16,16.6,9.7,45306,42.4,003,N,94.8,003907001,003907
003907004,1,1,3,5,0,10,0,9,0,0,3,.,.,.,.,.,.,003,N,-1,003907004,003907
004901001,257,249,220,214,11,940,30,536,33,73,428,18.4,20.9,21.3,10.6,45587,78.2,004,N,93.6,004901001,004901
005902001,68,81,54,54,0,257,0,241,22,24,46,10.1,12.2,14.5,17,46517,24.9,005,N,96.6,005902001,005902
005904001,44,39,46,41,0,170,1,124,23,16,55,10.1,11.4,14.5,15.2,46269,13.8,005,N,97.3,005904001,005904
007901001,41,35,30,31,1,137,0,11,4,18,92,13.4,15.8,13,8.4,44466,15.1,007,N,94.9,007901001,007901
007902001,128,138,106,116,2,488,1,209,35,38,231,10,9.5,10.6,15.1,55305,42.6,007,N,95.6,007902001,007902
007904001,134,111,127,138,7,510,0,89,30,35,340,19.1,19.6,16.2,9,48417,41.7,007,N,94.1,007904001,007904
007905001,281,239,255,229,4,1004,5,302,57,74,396,16.5,16.5,17.4,11.6,47159,71.4,007,N,94.7,007905001,007905
007906001,127,113,105,118,3,463,1,59,44,43,303,11.2,16,17,9.5,49478,40.8,007,N,92.2,007906001,007906
008901001,161,162,141,142,59,606,1,388,50,44,218,17.9,15.7,15.4,13.3,45554,48.7,008,N,95.4,008901001,008901
008902001,259,218,210,166,100,853,1,371,71,76,444,15.7,17.3,16.2,12.9,50978,61.7,008,N,94.2,008902001,008902
008903001,64,61,64,63,32,252,3,95,6,10,127,10.7,17,14.5,13.1,46606,19.7,008,N,95.8,008903001,008903
009901001,101,82,82,89,0,354,3,62,20,36,280,11.3,12.1,16.3,13.4,46236,32.2,009,N,95.9,009901001,009901
010902001,177,169,185,147,4,678,2,471,66,48,277,14.6,16,18.5,14.5,49804,54.6,010,N,94.5,010902001,010902
011901001,425,304,289,234,123,1252,8,565,145,134,634,17.4,19.7,15.2,11.3,48189,87.6,011,N,94.3,011901001,011901
011901002,478,349,341,256,59,1424,8,388,122,156,912,19.3,20.7,22.4,8.2,46820,101,011,N,93.7,011901002,011901
011901022,3,7,26,32,6,68,1,17,0,10,48,.,.,.,18.5,52826,7,011,N,76.1,011901022,011901
011902001,367,324,306,295,182,1292,3,418,89,104,829,19.1,19.9,21.4,11.5,50456,80.9,011,N,93.7,011902001,011902
011902004,1,4,11,13,5,29,0,11,0,4,24,.,.,.,29.7,61867,1.5,011,N,85.7,011902004,011902
011904002,136,132,137,107,41,512,0,327,43,43,226,19,15.9,14.9,12.6,47816,44,011,N,95.7,011904002,011904
012901001,39,49,38,35,8,161,0,115,11,14,71,8.4,8.9,12.8,14.3,43641,18.7,012,N,96.5,012901001,012901
