,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
105906045,242,289,251,38,782,6,168,56,97,476,18.5,28.1,27,8.2,48995,45.5,105,N,95.8,105906045,105906
105906046,259,241,216,23,716,2,75,52,118,537,13.4,14.7,16.1,6.3,48206,50.4,105,N,96.1,105906046,105906
105906047,226,206,221,25,653,8,94,56,78,442,17.3,16.4,18.5,8.9,49635,39.6,105,N,.,105906047,105906
106901041,74,68,68,0,210,0,116,16,11,85,12.9,12,15,14.8,52303,18.8,106,N,97.4,106901041,106901
107901041,231,232,241,69,704,5,272,34,67,514,21.3,21.6,22.3,8.1,43805,41.6,107,N,96.1,107901041,107901
107904041,50,38,33,1,121,0,111,4,12,81,11.4,11.5,11.7,10.7,42549,10.6,107,N,96,107904041,107904
107905102,108,100,132,4,340,1,282,13,43,214,15.3,16.3,22.6,12.8,47006,26.2,107,N,96.6,107905102,107905
107906041,98,90,97,38,285,0,196,9,30,175,16.2,14.8,16.7,13.3,47044,21.1,107,N,96.2,107906041,107906
107910041,45,28,20,15,93,0,67,3,13,52,10.7,10.8,12,13.5,45373,9,107,N,96,107910041,107910
108807013,122,121,129,0,372,0,8,0,26,333,31.6,31.5,31.8,2.3,49220,17,108,Y,98.4,108807013,108807
108807022,119,116,117,10,352,3,6,0,29,314,28.4,28.4,27.5,1.7,51343,19.8,108,Y,97.6,108807022,108807
108807023,112,104,111,85,327,4,25,0,48,276,25.5,25.5,26.8,0.8,49065,15.4,108,Y,96.9,108807023,108807
108902045,242,233,236,0,711,0,0,102,89,622,11.4,12.5,12.8,8.2,50038,82.2,108,N,95,108902045,108902
108902046,348,312,340,0,1000,0,2,124,83,968,16.8,17.2,17.9,8.5,49745,81.5,108,N,95.2,108902046,108902
108902047,276,272,264,0,812,0,2,88,63,778,13.7,14.6,14.6,7.4,49929,78.5,108,N,95.7,108902047,108902
108902048,293,301,273,2,867,0,1,105,75,790,14.3,12.4,15.8,8.8,50831,82.7,108,N,95.2,108902048,108902
108904043,361,348,393,1,1102,6,33,99,71,906,15.9,17.2,19.9,15.2,56242,86.5,108,N,96.2,108904043,108904
108904044,466,479,508,7,1453,15,41,233,87,975,18.6,19.5,24.6,11,53520,94.7,108,N,95.5,108904044,108904
108904045,419,398,406,1,1223,0,9,48,84,1112,16.8,16.8,21.4,13.3,54991,90.6,108,N,95.7,108904045,108904
108904046,467,433,404,3,1304,0,17,77,90,1123,18.2,17.2,21,11.4,53720,91.8,108,N,95.7,108904046,108904
108904047,472,468,441,0,1381,0,3,42,91,1309,17,16.5,21.4,10.1,52780,100,108,N,94.9,108904047,108904
108904048,342,337,331,3,1010,4,17,54,74,875,16.5,15,17.5,12.9,54423,81.4,108,N,96.1,108904048,108904
108905041,198,225,250,1,673,1,1,112,54,590,18.1,17.9,19.3,12.6,50498,53.6,108,N,95.6,108905041,108905
108906042,192,175,172,1,539,0,10,21,70,516,17.7,15.5,20.2,9.2,49597,47.1,108,N,96.2,108906042,108906
108906043,173,156,168,0,497,1,7,21,53,465,16.8,14.8,17.6,10.5,50978,48.8,108,N,94.9,108906043,108906
108906044,244,234,287,3,765,0,5,49,115,688,16.2,17.5,18.2,13.3,52311,65.1,108,N,96.1,108906044,108906
108906045,299,366,352,5,1017,23,91,193,95,531,23.4,24.3,25.5,13.9,52530,65.8,108,N,96.3,108906045,108906
