,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902103,44,45,41,26,274,233,24,42,127,.,.,.,14.090909091,37146,20.6657,001,N,96.3,001902103,001902
001903101,76,85,107,60,654,562,20,76,349,.,.,.,14.581395349,35655,42.8801,001,N,96.6,001903101,001903
001904102,50,55,54,44,353,284,14,39,203,.,.,.,15.741935484,36494,29.5483,001,N,96.5,001904102,001904
002901103,0,0,185,4,260,90,6,50,149,.,.,.,14.9,42469,19.4159,002,N,96.3,002901103,002901
006902101,31,24,27,2,164,149,12,24,67,.,.,.,9.0805710138,33802,16.5317,006,N,97.3,006902101,006902
008903102,52,55,62,68,395,159,17,47,226,.,.,.,15.419354839,42034,30.0267,008,N,96.9,008903102,008903
010902101,80,82,95,0,591,444,55,81,370,.,.,.,12.602844934,38974,47.7154,010,N,96.1,010902101,010902
010902102,66,77,88,4,513,390,23,84,252,.,.,.,8.604723662,36208,40.6692,010,N,96.1,010902102,010902
011901110,96,93,2,45,589,286,42,68,419,.,.,.,11.120905018,40625,41.1964,011,N,95.5,011901110,011901
011902103,83,65,67,109,555,165,15,58,370,.,.,.,9.1763415038,38013,33.048,011,N,.,011902103,011902
014903114,42,40,43,41,455,187,4,63,386,.,.,.,11.711679739,37188,29.213,014,N,.,014903114,014903
014905101,58,50,30,21,288,189,13,16,148,.,.,.,15.727272727,37453,19.9082,014,N,97.1,014905101,014905
014906102,72,43,74,100,432,159,42,36,205,.,.,.,10.04912587,42809,34.0628,014,N,97,014906102,014906
014906104,46,39,41,118,311,110,37,44,204,.,.,.,12,43639,28.0281,014,N,96,014906104,014906
014906106,69,64,58,282,483,88,28,95,316,.,.,.,8.6046511628,40905,40.6409,014,N,96.9,014906106,014906
014906108,48,50,51,114,476,254,32,42,177,.,.,.,13.6,44456,39.0624,014,N,95.9,014906108,014906
014906109,69,96,79,261,642,127,13,91,479,.,.,.,6.5003417922,38878,45.8808,014,N,96.7,014906109,014906
014906119,109,105,95,399,757,198,42,91,449,.,.,.,9.3215123352,41284,52.864,014,N,96.5,014906119,014906
014906122,100,95,92,366,723,186,40,86,431,.,.,.,10.327009377,41469,51.1333,014,N,96.2,014906122,014906
014906127,135,124,123,303,778,313,38,86,338,.,.,.,8.017938797,39325,51.3246,014,N,96.5,014906127,014906
014906128,67,70,187,257,634,256,33,93,435,.,.,.,6.557671544,38685,43.9793,014,N,95.7,014906128,014906
014906129,124,114,121,384,850,214,55,89,425,.,.,.,7.9017330096,39889,52.4555,014,N,97,014906129,014906
014906132,87,85,96,212,640,222,32,72,454,.,.,.,6.7976006844,39242,45.9341,014,N,95.5,014906132,014906
014906133,90,103,83,214,582,241,34,86,234,.,.,.,9.2382444227,40589,39.3097,014,N,.,014906133,014906
014907102,59,58,66,9,397,317,25,54,196,.,.,.,12.419729207,34743,25.7613,014,N,96.8,014907102,014907
014909116,73,65,74,227,441,105,10,56,333,.,.,.,14.3125,39738,31.1762,014,N,95.4,014909116,014909
015904103,79,73,69,3,502,8,18,37,461,.,.,.,8.4567950817,38545,31.1589,015,N,96.5,015904103,015904
015904104,55,56,43,0,378,6,12,53,356,.,.,.,13.035714286,41433,27.1434,015,N,97.2,015904104,015904
015904107,97,84,78,1,552,21,8,46,539,.,.,.,9.6571428571,39465,34.3741,015,N,96.2,015904107,015904
015904116,65,71,63,10,484,15,16,62,471,.,.,.,8.6486486486,39270,36.125,015,N,96.1,015904116,015904
015907103,71,77,66,13,551,15,20,59,460,.,.,.,11.5625,46031,31.9998,015,N,97,015907103,015907
015907117,70,54,76,4,443,6,7,37,443,.,.,.,15.392857143,48292,27.875,015,N,96.9,015907117,015907
015907132,68,82,89,53,565,11,28,44,563,.,.,.,10.84375,44367,32.0005,015,N,97,015907132,015907
015907136,70,68,63,2,530,9,23,42,503,.,.,.,17.78125,48605,32.0005,015,N,96.4,015907136,015907
015907150,91,92,71,27,631,25,30,67,542,.,.,.,14.828571429,47740,35.0004,015,N,96,015907150,015907
015907164,100,109,99,36,684,80,19,55,573,.,.,.,10.621621622,44363,37.0004,015,N,96.2,015907164,015907
015907171,45,35,33,121,247,4,4,39,225,.,.,.,15.944444444,47004,17.5002,015,N,97.1,015907171,015907
015907174,75,72,70,3,465,13,9,51,458,.,.,.,18.878787879,51540,33.0007,015,N,97.1,015907174,015907
015908101,83,70,73,11,483,2,3,27,462,.,.,.,14.028571429,43060,33.0648,015,N,97.3,015908101,015908
015908105,67,55,63,3,454,4,7,45,426,.,.,.,11.029411765,42218,33.0145,015,N,95.8,015908105,015908
015908106,95,105,87,9,692,9,12,53,650,.,.,.,10.857142857,41565,41.2125,015,N,96.2,015908106,015908
015908108,67,65,55,18,478,29,3,53,457,.,.,.,10.371428571,41248,33.4661,015,N,96,015908108,015908
015908109,51,53,50,19,392,11,8,53,354,.,.,.,16.068965517,46638,27.1912,015,N,95.6,015908109,015908
015908110,82,71,73,12,484,20,12,36,458,.,.,.,10.3125,42074,31.3353,015,N,96.2,015908110,015908
015910104,54,71,74,11,497,57,16,65,399,.,.,.,12.493333333,45599,36.2388,015,N,96,015910104,015910
015910105,86,82,70,63,634,117,12,92,528,.,.,.,10.953271028,44554,52.8916,015,N,96,015910105,015910
015910106,82,82,133,83,728,233,33,110,403,.,.,.,10.744680851,44460,43.103,015,N,96.1,015910106,015910
015910107,111,102,115,30,694,47,3,61,615,.,.,.,8.0330578512,43092,56.7438,015,N,95.2,015910107,015910
015910108,128,112,112,129,843,140,10,93,670,.,.,.,9.2222222222,43494,58.7841,015,N,94.5,015910108,015910
