,gr6_math_avg,gr6_ela_avg,gr7_math_avg,gr7_ela_avg,gr7_writ_avg,gr8_math_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
001902041,98,85,95,93,86,86,96,80,001902041,001902
001903041,73,81,72,88,87,78,86,67,001903041,001903
001904041,81,73,84,84,82,82,83,75,001904041,001904
002901041,60,60,65,71,61,82,85,74,002901041,002901
003902041,87,82,86,83,78,94,93,91,003902041,003902
003903044,77,72,79,80,74,86,87,82,003903044,003903
003904041,85,72,73,71,57,91,83,74,003904041,003904
003907041,85,68,76,81,66,79,88,88,003907041,003907
004901041,73,70,77,76,71,73,77,81,004901041,004901
005902041,73,78,89,89,84,95,94,77,005902041,005902
005904041,94,82,95,90,88,90,89,95,005904041,005904
007902006,.,.,.,.,.,.,.,.,007902006,007902
007902041,85,82,71,79,79,89,90,82,007902041,007902
007904041,51,50,62,68,55,71,79,62,007904041,007904
007906041,52,56,61,77,71,62,73,62,007906041,007906
008901041,81,78,64,79,73,78,90,83,008901041,008901
008902041,79,72,71,80,83,80,85,70,008902041,008902
008903041,69,59,93,85,87,97,91,92,008903041,008903
009901041,78,57,81,66,60,87,78,72,009901041,009901
010902041,76,74,68,81,70,85,89,85,010902041,010902
011902041,61,58,58,64,59,60,79,72,011902041,011902
011904041,81,80,76,81,64,72,81,71,011904041,011904
013901041,45,56,58,68,56,56,81,64,013901041,013901
013905041,71,81,88,90,91,94,93,89,013905041,013905
014903042,85,85,82,87,74,77,86,85,014903042,014903
014903043,88,85,95,91,81,90,91,85,014903043,014903
014903044,59,60,56,72,60,52,82,78,014903044,014903
014905041,94,85,77,87,84,89,89,98,014905041,014905
014906009,.,.,.,.,.,.,.,.,014906009,014906
014906042,55,62,53,77,63,58,71,53,014906042,014906
014906043,68,66,68,69,55,59,77,71,014906043,014906
014906044,73,70,69,74,64,54,78,66,014906044,014906
014906045,83,75,76,84,75,74,82,77,014906045,014906
014906046,70,66,67,72,62,63,81,65,014906046,014906
014906048,62,68,63,76,63,76,79,67,014906048,014906
014906049,78,78,86,80,75,86,88,79,014906049,014906
