,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
180901041,20,29,30,9,79,55,6,11,68,5.8,6.2,7.4,12.583333333,47267,12.6862,180,N,98.8,180901041,180901
181901041,176,195,161,2,532,466,76,53,358,19.9,17.8,20.8,12.480788595,41060,33.7332,181,N,95.8,181901041,181901
181906041,187,174,216,388,577,151,50,83,457,15.4,16.1,17.7,13.844310667,41787,41.2847,181,N,93.3,181906041,181906
181908041,182,164,179,60,525,432,26,80,129,21.1,21.6,22.3,15.138888889,44834,33.9976,181,N,94.1,181908041,181908
181908042,104,130,113,5,347,306,16,32,100,21.1,17.9,24.3,9.2307692308,40532,23.5147,181,N,95.5,181908042,181908
184901041,47,40,29,0,116,101,9,10,58,17,17.3,17.3,10,39204,9.1123,184,N,96.3,184901041,184901
184904041,43,54,47,0,144,127,11,18,59,12.9,10,12.6,12.095238095,42494,15.8835,184,N,95.8,184904041,184904
184908041,85,73,92,3,250,222,15,22,61,13,13.8,16.9,13.357142857,42542,21.7119,184,N,95.8,184908041,184908
184909041,66,59,57,3,182,172,10,13,18,12.6,13.6,14.4,13.272727273,41539,17.6901,184,N,97.3,184909041,184909
185901041,28,30,30,0,88,6,7,2,71,10.5,11.6,15,13.266666667,37533,7.0702,185,N,97.3,185901041,185901
185902041,40,36,41,1,117,64,11,4,67,15.4,19.3,19,13.466666667,40960,9.6593,185,N,96.8,185902041,185902
185903041,96,92,100,1,288,68,22,32,213,14.6,15.7,19,14.185185185,41502,25.8446,185,N,95.6,185903041,185903
186902041,181,167,189,1,537,75,28,29,324,18.6,17.3,17,12.435897436,45210,38.4796,186,N,94.4,186902041,186902
186903041,25,29,26,2,80,44,8,7,29,14,13.8,13.8,15.928571429,50240,9.4808,186,N,95.1,186903041,186903
187903041,20,17,18,12,55,23,0,10,42,17,17,17,19.473684211,45506,4.8663,187,N,96.2,187903041,187903
187907041,294,291,326,115,911,645,64,124,500,16.7,18,20.7,9.6323529412,40930,66.511,187,N,95.5,187907041,187907
188901041,235,275,253,61,763,486,106,65,351,21.6,20.6,23.1,11.056603774,45963,51.4017,188,N,95.2,188901041,188901
188901042,331,368,345,40,1044,153,76,102,879,22.2,17,24.1,9.3928054943,44371,73.3866,188,N,95.9,188901042,188901
188901043,249,228,230,38,707,552,136,69,142,18.3,18,20.6,13.458598726,47336,44.1306,188,N,96.2,188901043,188901
188901044,225,206,195,64,626,332,59,60,414,15.9,20.1,20.1,11.537634025,45787,42.5668,188,N,94.7,188901044,188901
188901045,270,246,257,173,773,277,83,65,593,14.3,14.7,19.2,9.3156758313,44588,67.2493,188,N,95,188901045,188901
188901046,7,215,228,129,450,76,20,88,405,15.9,15.6,23.7,10.916666667,45164,38.4128,188,N,94.2,188901046,188901
