,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
034902,18.9,18.9,18.9,034902
034903,19.6,19.6,19.6,034903
034905,20,20,20,034905
034906,21.6,21.6,21.6,034906
034907,19.9,19.9,19.9,034907
034909,15.9,15.9,15.9,034909
035901,20.3,20.3,20.3,035901
035902,18,18,18,035902
035903,24,24,24,035903
036901,18.5,18.5,18.5,036901
036902,22.1,22.1,22.1,036902
036903,20.6,20.6,20.6,036903
037901,19,19,19,037901
037904,19.1,19.1,19.1,037904
037907,20.2,20.2,20.2,037907
037908,-1,-1,-1,037908
037909,19.7,19.7,19.7,037909
038901,18.6,18.6,18.6,038901
039901,-1,-1,-1,039901
039902,21.4,21.4,21.4,039902
039903,20.7,20.7,20.7,039903
039904,-1,-1,-1,039904
039905,.,.,.,039905
040901,16.5,16.5,16.5,040901
040902,19,19,19,040902
041901,20.2,20.2,20.2,041901
041902,19.5,19.5,19.5,041902
042901,19.3,19.3,19.3,042901
042903,18.3,18.3,18.3,042903
042905,22.2,22.2,22.2,042905
042906,-1,-1,-1,042906
043901,23.5,23.5,23.5,043901
043902,22,22,22,043902
043903,22.2,22.2,22.2,043903
043904,21.1,21.1,21.1,043904
043905,22.6,22.6,22.6,043905
043907,22.8,22.8,22.8,043907
043908,19.3,19.3,19.3,043908
043910,25.2,25.2,25.2,043910
043911,20.8,20.8,20.8,043911
043912,23.8,23.8,23.8,043912
043914,21.9,21.9,21.9,043914
043917,19.5,19.5,19.5,043917
043918,19.9,19.9,19.9,043918
043919,.,.,.,043919
044902,20.3,20.3,20.3,044902
044904,-1,-1,-1,044904
045902,19.8,19.8,19.8,045902
045903,18.4,18.4,18.4,045903
045905,20.5,20.5,20.5,045905
046802,.,.,.,046802
046901,21.6,21.6,21.6,046901
046902,21.4,21.4,21.4,046902
047901,19.7,19.7,19.7,047901
047902,20.2,20.2,20.2,047902
047903,18.4,18.4,18.4,047903
047905,-1,-1,-1,047905
048901,20.5,20.5,20.5,048901
048903,18.6,18.6,18.6,048903
049901,18.6,18.6,18.6,049901
049902,21.3,21.3,21.3,049902
049903,19.6,19.6,19.6,049903
049905,19.3,19.3,19.3,049905
049906,23,23,23,049906
049907,23.3,23.3,23.3,049907
049908,.,.,.,049908
049909,.,.,.,049909
050901,18.6,18.6,18.6,050901
050902,20.9,20.9,20.9,050902
050904,22.2,22.2,22.2,050904
050909,-1,-1,-1,050909
050910,20,20,20,050910
051901,19,19,19,051901
052901,20.9,20.9,20.9,052901
053001,18.4,18.4,18.4,053001
054901,19.1,19.1,19.1,054901
054902,19.6,19.6,19.6,054902
054903,18.7,18.7,18.7,054903
055901,17.6,17.6,17.6,055901
056901,20.6,20.6,20.6,056901
056902,20.9,20.9,20.9,056902
057802,16,16,16,057802
057803,24.4,24.4,24.4,057803
057804,13.9,13.9,13.9,057804
057805,.,.,.,057805
057806,.,.,.,057806
057807,16.9,16.9,16.9,057807
057808,-1,-1,-1,057808
057809,.,.,.,057809
057810,.,.,.,057810
057811,.,.,.,057811
057813,.,.,.,057813
