,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,37,48,39,49,7,173,2,148,21,35,53,7.9,10.9,11,12.2,44614,18.8,001,N,96.4,001902001,001902
001903001,110,104,91,89,21,394,7,314,15,43,182,10.3,13.2,17.1,14.5,45885,33.4,001,N,96.4,001903001,001903
001904001,66,65,68,55,18,254,1,201,19,25,115,14.5,18.2,16.5,12.8,46407,21.3,001,N,95.4,001904001,001904
001906002,39,26,24,19,7,108,1,82,6,20,47,10.3,11.5,12.7,11,47082,11.1,001,N,95.5,001906002,001906
001907001,274,250,230,218,258,972,10,307,31,86,625,18.6,20.7,22.3,11.8,49421,82.7,001,N,95.1,001907001,001907
001908002,122,104,119,92,95,437,8,225,18,48,263,16.6,16.5,17,12.6,44008,39.8,001,N,95.4,001908002,001908
001909001,31,26,28,22,0,107,0,100,6,13,45,13.7,10.7,14,13.2,45810,13.8,001,N,97.7,001909001,001909
002901001,285,285,220,205,14,995,2,306,51,63,337,12.9,17.1,18.1,15.1,58293,71.5,002,N,96.4,002901001,002901
002901002,1,2,18,13,0,34,0,8,0,0,13,8.2,3,2.9,15.7,54234,6,002,N,93.1,002901002,002901
003801001,75,62,51,39,35,227,11,137,26,18,89,11.5,11.5,14.4,9.3,47539,16,003,Y,95.9,003801001,003801
003902001,213,211,194,184,47,802,10,536,93,65,375,20.5,18.4,20.8,13.6,49003,55.9,003,N,95.5,003902001,003902
003903001,602,579,542,460,599,2183,46,609,249,265,1466,12.8,15.6,17.9,12.8,48370,177.6,003,N,95.1,003903001,003903
003903004,2,11,15,17,14,45,0,17,0,6,32,.,.,.,.,.,.,003,N,81.4,003903004,003903
003904001,158,138,129,127,7,552,1,480,43,42,242,20.9,20.4,19.4,13.4,47044,38.9,003,N,94.8,003904001,003904
003904005,1,4,6,15,1,26,0,21,0,3,18,.,.,.,14,43613,3,003,N,83.1,003904005,003904
003905001,142,125,128,128,59,523,2,166,24,65,392,18.3,17.9,22,13.7,48923,34.7,003,N,94.9,003905001,003905
003907001,122,105,107,111,27,445,3,329,24,63,208,15.9,14.9,17.3,9,47012,37.6,003,N,94.8,003907001,003907
004901001,271,266,255,195,11,987,20,551,32,86,448,18.6,21.9,21.3,11.1,46410,77.4,004,N,94.3,004901001,004901
005902001,79,77,68,79,2,303,0,273,18,27,57,10,12,14.9,16.7,47040,25.9,005,N,96.9,005902001,005902
005904001,35,38,41,40,0,154,0,104,21,12,55,9.4,11.8,12.6,14.9,46347,13.9,005,N,97.3,005904001,005904
007901001,44,43,33,38,0,158,0,10,11,23,115,9.3,11.8,10.5,6.2,44936,15.2,007,N,94.5,007901001,007901
007901003,2,0,0,1,0,3,0,0,0,0,3,1.5,1.3,1,9,47051,1.1,007,N,-1,007901003,007901
007902001,132,114,94,130,5,470,1,195,30,30,229,13.7,14,14.5,14.6,53630,40.8,007,N,96.2,007902001,007902
007902005,3,0,0,1,0,4,0,1,0,0,0,4,4,4,11,49076,1,007,N,-1,007902005,007902
007904001,104,126,103,95,5,428,1,79,21,30,297,13.6,16.3,17.7,11.4,53437,37.6,007,N,94,007904001,007904
007905001,286,251,239,193,1,969,4,271,59,74,454,18.7,16.5,17.3,12.9,47983,68.7,007,N,94.7,007905001,007905
007906001,135,138,126,103,6,502,0,66,37,53,351,16.6,16.8,15.8,12.6,51218,35.7,007,N,92.2,007906001,007906
008901001,188,185,165,159,71,697,5,433,74,57,275,15.1,17.4,15.8,12.8,48872,50.4,008,N,96.8,008901001,008901
008902001,220,209,238,178,89,845,7,365,65,62,431,15.5,16.5,15.5,12.8,54218,61,008,N,94.8,008902001,008902
008903001,77,47,56,56,21,236,2,93,4,18,133,15.8,16.5,14.5,11.8,47113,20.3,008,N,95.7,008903001,008903
009901001,93,100,88,73,0,354,2,50,16,38,248,11.9,13.5,15,13.1,44834,35.1,009,N,96.1,009901001,009901
009901002,1,6,3,9,0,19,0,0,0,2,19,.,.,.,.,.,0,009,N,85.9,009901002,009901
010902001,179,180,168,146,4,673,3,427,43,57,305,14.5,17.6,18.9,13.4,51056,48.7,010,N,94.6,010902001,010902
011901001,369,372,290,295,105,1326,7,535,132,139,635,17.3,23.6,24.1,12,50139,96.3,011,N,94.3,011901001,011901
011901002,480,346,366,284,53,1476,4,329,125,153,899,17.2,18.1,21.5,8.7,48768,105.5,011,N,94,011901002,011901
011901022,1,13,30,32,5,76,0,21,0,10,51,.,.,.,18.3,54489,7.5,011,N,-1,011901022,011901
011902001,381,326,292,247,159,1246,6,349,118,107,822,15.8,17.5,18.8,8.6,50772,89.6,011,N,93.7,011902001,011902
011902004,1,8,20,20,4,49,0,14,0,6,30,6.2,3.9,2.8,34.8,66376,2,011,N,93.1,011902004,011902
011904002,130,150,128,116,41,524,3,304,51,47,273,15.8,15.5,18.8,12.1,48749,49,011,N,96,011904002,011904
012901001,38,45,37,48,5,168,2,120,2,17,77,6.3,9.6,12,15,44873,19.8,012,N,95,012901001,012901
013901001,301,290,225,217,32,1033,5,134,54,97,652,18.7,17.1,16.9,7.7,50610,66.1,013,N,92.5,013901001,013901
013905001,74,77,68,63,1,282,3,89,28,25,139,17.3,13.4,13.5,10.5,46364,20.8,013,N,93.3,013905001,013905
014801001,30,59,59,64,90,212,2,44,0,37,171,9.1,8.9,7.4,5.4,45254,11.3,014,Y,85,014801001,014801
014801002,194,171,94,34,11,493,0,114,0,46,259,9.8,13.4,9.3,5,46409,17.7,014,Y,87.8,014801002,014801
014801003,50,71,35,34,14,190,0,59,0,16,125,6.9,9.4,4.9,6.7,53675,9.1,014,Y,81.4,014801003,014801
014801004,84,69,51,22,23,226,1,49,0,33,201,9.3,12.7,8.1,10.6,48118,12.7,014,Y,80.8,014801004,014801
014801005,44,43,58,55,81,200,2,7,0,17,173,6.1,9.4,3.1,4.8,43556,8.1,014,Y,79.4,014801005,014801
014801006,35,81,44,56,84,216,2,26,0,26,161,5.6,8.1,5,8.8,50558,9.1,014,Y,77.7,014801006,014801
014801007,107,117,77,86,9,387,1,94,0,41,278,6,7.6,5.3,6.5,50263,14.9,014,Y,79.1,014801007,014801
014801008,43,47,40,18,12,148,3,82,0,17,113,4.1,4.5,2.4,5.7,46742,7.9,014,Y,76.6,014801008,014801
014801009,52,13,0,2,1,67,0,4,0,1,66,3,3,2.7,8,45858,4.5,014,Y,.,014801009,014801
014801010,32,25,9,14,8,80,0,9,0,3,59,3.9,6.4,3.8,5.3,47952,4.9,014,Y,.,014801010,014801
014804005,15,27,36,23,2,101,0,67,0,9,10,2.9,2.1,3.3,9.5,48370,2,014,Y,89.5,014804005,014804
