,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,51,66,39,50,16,206,2,167,23,29,60,12.3,10.4,11.5,15.472727273,46378,21.1127,001,N,96.2,001902001,001902
001903001,98,76,96,79,12,349,2,298,24,34,129,10.5,14.4,14.8,11.916666667,41403,32.1889,001,N,95.8,001903001,001903
001904001,54,46,61,49,29,210,2,145,13,34,114,12.4,13.3,15.3,12.161290323,41890,23.0455,001,N,95.1,001904001,001904
001906002,29,36,39,20,8,124,1,105,8,15,47,8.9,10.5,13.3,11,42917,10.9948,001,N,96.5,001906002,001906
001907001,237,213,200,200,246,850,11,285,40,74,542,18.3,17.3,18.9,12.465995102,46775,75.2551,001,N,95.6,001907001,001907
001908002,131,130,82,86,81,429,5,262,23,40,208,15.4,13.1,14.5,12.329931973,41528,37.4076,001,N,95.6,001908002,001908
002901001,269,252,219,163,19,903,3,306,56,90,244,15.1,19.1,18.5,14.801369863,59568,65.2341,002,N,95.9,002901001,002901
002901002,1,0,23,12,1,36,0,8,0,3,14,.,.,.,14.714285714,55517,5.2979,002,N,91.8,002901002,002901
003902001,207,193,195,160,31,755,10,543,38,59,334,16.7,16.1,17.9,13.620689655,44215,49.7362,003,N,96.4,003902001,003902
003903001,592,544,585,484,613,2205,37,765,326,330,1334,16,16.6,19.4,13.942779292,44103,176.6625,003,N,95.1,003903001,003903
003903004,1,0,23,17,8,41,0,17,0,7,22,.,.,.,.,.,.,003,N,64.1,003903004,003903
003904001,154,143,127,92,16,516,1,462,44,58,225,18.7,18.4,16,11.794871795,44387,30.4379,003,N,96.2,003904001,003904
003904005,3,10,10,20,0,43,0,33,0,7,27,.,.,.,11.6,46051,4.3807,003,N,89.9,003904005,003904
003905001,140,122,122,118,76,502,1,171,31,58,353,13.4,14.7,18.1,10.719133626,46017,36.5817,003,N,94.9,003905001,003905
003907001,126,97,100,96,13,419,0,344,20,61,183,12.9,17.9,16.5,12.022727273,44976,38.7843,003,N,95.5,003907001,003907
004901001,248,253,200,206,9,907,34,498,38,83,424,16.8,20.7,20.6,11.170454545,43841,81.3899,004,N,94,004901001,004901
005902001,63,67,73,66,1,269,0,251,11,22,62,10.1,14.6,13.9,16.161290323,44898,24.4899,005,N,96,005902001,005902
005904001,44,41,42,34,0,161,1,123,18,13,66,9.9,13.4,14.5,13.571428571,43925,14.3496,005,N,97.5,005904001,005904
007901001,41,41,26,31,0,139,1,21,1,16,96,10.9,11.1,14,11.117647059,45047,15.1962,007,N,95.5,007901001,007901
007902001,113,115,104,74,1,406,2,164,34,30,195,12.3,13.6,16.4,16.3,51507,30.819,007,N,94.6,007902001,007902
007904001,142,141,131,117,7,531,0,104,37,32,352,15.7,17.4,21,11.853658537,47013,37.5406,007,N,93.4,007904001,007904
007905001,282,250,228,202,3,962,5,295,69,98,532,21.7,17.4,19.7,11.075331772,49959,68.9134,007,N,94.2,007905001,007905
007906001,130,147,107,115,1,499,1,73,43,51,359,12.2,11,11.9,11.247161683,43366,41.2193,007,N,92.9,007906001,007906
008901001,156,142,154,173,56,625,0,416,69,57,232,15.7,17.1,15.4,15.261135199,43390,48.6229,008,N,96.2,008901001,008901
008902001,226,185,180,187,90,778,1,358,63,91,412,15.8,17.4,17.1,14.483757501,49490,56.3177,008,N,95.2,008902001,008902
008903001,65,64,55,51,25,235,1,88,2,17,117,14.2,11.9,13.4,14.128934395,47727,22.1524,008,N,95.5,008903001,008903
009901001,100,105,71,79,0,355,2,74,26,37,271,13.2,14.2,15.2,12.663800156,42017,34.0808,009,N,96.7,009901001,009901
009901002,1,3,1,3,1,8,0,0,0,2,8,.,.,.,.,.,.,009,N,85,009901002,009901
010902001,234,175,183,175,1,767,3,541,88,80,302,14.5,14.4,18.4,14.884239149,50301,58.8629,010,N,94.7,010902001,010902
011901001,411,220,327,299,128,1257,8,635,153,165,664,15.5,13.3,13.5,12.824742268,47478,87.1163,011,N,93.2,011901001,011901
011901002,475,301,257,248,55,1281,7,423,101,143,828,24.5,23.6,24.1,9.919843657,46196,81.2632,011,N,94.3,011901002,011901
011902001,361,331,277,242,185,1211,4,424,65,113,758,24.8,22.9,26.3,12.20197315,49092,63.3936,011,N,93,011902001,011902
011904002,163,118,135,142,51,558,0,375,27,65,245,14.7,19.2,18.7,13.268184243,44846,41.6165,011,N,95.8,011904002,011904
012901001,39,39,29,38,5,145,1,107,13,15,59,9.6,8.3,12.6,13.529411765,43682,20.0295,012,N,95.8,012901001,012901
013901001,349,226,216,226,22,1017,9,163,101,101,600,12.6,12.6,12.7,10.40397351,42658,73.6634,013,N,91.9,013901001,013901
013905001,63,73,62,70,2,268,0,88,19,30,144,14.4,12.4,13.6,15.44,48140,23.2591,013,N,95.5,013905001,013905
014801001,39,43,44,30,67,156,2,40,0,36,122,4.5,8.8,7.6,6.4230587703,31818,15.0436,014,Y,88.1,014801001,014801
014802001,16,17,18,15,32,66,0,13,0,9,24,4.6,5.1,5,12.333333333,37797,3.0015,014,Y,92.3,014802001,014802
014901001,93,100,87,75,6,355,2,262,35,32,95,14.4,13.2,13.4,16.411764706,47516,30.3059,014,N,96.5,014901001,014901
014903001,700,611,662,567,198,2540,36,1426,247,286,1009,22,21.8,24.2,13.320267217,48482,161.0946,014,N,95.6,014903001,014903
014905001,34,71,35,36,10,176,1,107,33,15,90,14.4,11.9,13.4,13.542501778,44532,16.5014,014,N,96.4,014905001,014905
014906001,740,598,471,373,862,2182,57,495,149,298,1247,14.5,19.2,23.4,10.627399133,48678,140.992,014,N,94.3,014906001,014906
014906002,812,566,500,548,929,2426,114,544,181,321,1059,16.5,20.1,21.6,11.727322834,49557,153.6352,014,N,94.7,014906002,014906
014906004,40,23,15,5,46,83,1,10,1,22,54,.,.,.,11.398737917,52316,15.6814,014,N,86.3,014906004,014906
014906006,14,81,99,106,117,300,3,78,7,25,178,.,.,.,13.486486486,50682,24.6072,014,N,77.6,014906006,014906
014906007,682,595,522,584,705,2383,94,870,204,238,635,17.7,20.7,22.1,12.163558112,49685,143.9607,014,N,94.7,014906007,014906
014906008,670,485,467,482,955,2104,65,392,82,271,1067,18.5,20.6,21.4,10.125367189,48117,134.8457,014,N,93.3,014906008,014906
014907001,80,71,76,60,3,287,2,218,33,27,115,14,16.8,16.6,14.259259259,44277,22.0381,014,N,96.8,014907001,014907
014907043,1,0,1,2,0,4,0,4,0,0,2,.,.,.,.,.,.,014,N,-1,014907043,014907
014908001,121,101,122,108,3,452,4,344,23,33,88,14.7,20.1,20.8,15.703901207,47372,33.7439,014,N,95.6,014908001,014908
014909002,660,509,437,381,519,1987,42,608,231,216,1181,22.7,22.3,21.3,11.958223977,47353,149.2539,014,N,93.9,014909002,014909
014909008,5,22,28,4,20,59,0,11,0,1,41,.,.,.,12.714285714,45873,6.1505,014,N,82.9,014909008,014909
014910001,126,93,85,80,4,384,2,291,43,30,151,15.3,15.5,17,11.384248513,43648,29.9661,014,N,96.3,014910001,014910
015801001,58,55,52,24,6,189,0,6,0,24,150,13.4,10.8,11.4,4,35551,14.0007,015,Y,59.1,015801001,015801
015801002,11,11,14,20,3,56,1,7,0,9,37,9,5,6.7,1.9505637232,46901,7.3539,015,Y,93.2,015801002,015801
015801003,14,17,14,21,1,66,0,5,0,14,61,5.6,6.9,10.3,1.5876255925,37819,8.3252,015,Y,75.2,015801003,015801
015806001,31,21,20,6,26,78,0,0,0,22,57,9.8,11.3,17,5.5000161765,35768,7.1003,015,Y,95.1,015806001,015806
015806003,40,20,22,37,30,119,0,3,0,10,90,10.8,10.3,11.9,5.5000161765,35822,9.9547,015,Y,95.8,015806003,015806
015807005,1,2,12,20,3,35,1,6,0,3,19,4.5,2.9,3,11.666666667,45981,3.787,015,Y,91.1,015807005,015807
015814001,43,38,50,36,3,167,0,6,0,9,158,2.6,3.4,2.2,11.090909091,33271,11.0024,015,Y,84.5,015814001,015814
015816001,40,22,36,94,16,192,1,21,1,19,70,15,15,15,3.3846153846,33831,12.9997,015,Y,94.2,015816001,015816
015817001,144,94,122,75,10,435,1,12,0,53,413,9.6,13.6,12.1,2.7826086957,42430,23.0005,015,Y,86.7,015817001,015817
015823001,20,22,23,12,2,77,1,0,0,10,72,5.5,4.1,6.5,10.059133824,33857,5.9519,015,Y,88.6,015823001,015823
015826001,113,92,65,68,16,338,1,9,0,35,262,16.3,14.6,15.8,1.8415404653,46449,27.223,015,Y,95.8,015826001,015826
015833001,43,40,52,68,7,203,1,20,0,16,101,18.9,17.3,19.7,3.1594202899,44451,12.9346,015,Y,93.5,015833001,015833
015901001,411,360,352,348,18,1471,34,846,312,88,241,16.7,23.8,24.7,14.534983341,56650,101.7712,015,N,94.7,015901001,015901
015904001,619,482,460,397,8,1958,3,29,178,203,1674,17.4,17.5,16.2,11.645390071,49961,138.2278,015,N,94.7,015904001,015904
015904002,494,463,412,344,10,1713,3,62,136,193,1354,16.2,17,15.7,10.351567383,49161,117.7776,015,N,94.3,015904002,015904
015904004,15,33,66,46,0,160,0,4,4,16,149,3.8,4,4.6,10.898120615,49573,13.3041,015,N,85.8,015904004,015904
015904010,4,2,2,1,0,9,0,4,0,9,7,1.4,1,2,11.857142857,49865,2.3489,015,N,74.4,015904010,015904
015905002,420,351,297,328,14,1396,0,9,135,170,1358,23.3,21.3,20.8,11.418556039,49642,82.2986,015,N,91.5,015905002,015905
015905003,413,317,311,223,9,1264,2,9,118,172,1117,20.6,19.8,21,11.847842548,50252,76.5536,015,N,92,015905003,015905
015906001,108,77,55,85,48,325,12,169,28,17,17,17.7,18.1,18.6,17.483337893,53798,24.5351,015,N,97.2,015906001,015906
015907001,629,544,425,356,84,1954,3,28,221,234,1714,15.7,16.6,13.7,12.834710744,50492,115.2563,015,N,93.4,015907001,015907
015907002,392,361,299,284,7,1336,0,20,144,161,1168,12.4,12.1,9.3,11.691489362,50333,86.8628,015,N,92.8,015907002,015907
015907003,489,416,400,362,30,1667,5,39,152,203,1465,9.4,11.3,10.4,12.00877193,50010,108.4475,015,N,93.4,015907003,015907
015907004,85,109,92,158,16,444,2,4,57,45,388,9.2,11.4,9.9,9.32,49220,43.3939,015,N,93.7,015907004,015907
015907005,512,474,430,402,143,1818,2,63,145,291,1562,13.3,12.9,14,11.593495935,50238,117.5076,015,N,93.2,015907005,015907
