,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
101920123,58,56,59,129,428,102,10,39,237,15.4,29.5,.,9.0645622663,41203,31.3815,101,N,96.5,101920123,101920
101920124,83,101,85,42,583,45,15,62,473,19.1,27.7,.,8.9165606839,42281,45.6631,101,N,96.4,101920124,101920
102903103,59,53,58,89,373,230,14,40,242,.,.,.,10.962962963,32349,27.0006,102,N,96,102903103,102903
102905101,37,55,55,14,300,278,12,39,132,.,.,.,10.259259259,33520,26.1311,102,N,96.5,102905101,102905
102906101,62,64,58,86,445,349,7,59,212,.,.,.,13.060606061,36100,32.1296,102,N,95.9,102906101,102906
105906103,94,83,97,12,592,106,25,45,438,.,.,.,7.6570975125,36325,40.8779,105,N,97.2,105906103,105906
105906110,113,113,108,41,817,220,35,61,440,.,.,.,5.0696944622,34593,49.4683,105,N,97,105906110,105906
107904101,38,35,45,8,258,236,10,36,146,.,.,.,11.7,34349,19.2064,107,N,97.2,107904101,107904
108902103,81,61,61,0,492,1,66,35,471,.,.,.,11.444444444,39341,27.0005,108,N,97.5,108902103,108902
108902104,75,70,73,0,531,0,47,48,512,.,.,.,11.533860798,39323,33.9771,108,N,96.6,108902104,108902
108902105,57,49,52,0,369,5,42,23,349,.,.,.,5.1330874019,33849,23.1124,108,N,98.4,108902105,108902
108902106,75,47,60,0,426,4,34,33,409,.,.,.,7.5061916983,36551,27.1568,108,N,97.7,108902106,108902
108902109,63,62,57,0,443,1,63,41,431,.,.,.,12.121082176,39494,28.6059,108,N,97.4,108902109,108902
108902111,63,90,73,2,487,1,12,45,483,.,.,.,11.541125773,39147,28.2368,108,N,97.1,108902111,108902
108902112,109,89,114,1,726,11,78,76,715,.,.,.,5.8168573526,35601,40.9451,108,N,97.1,108902112,108902
108902113,97,75,74,0,667,0,27,60,663,.,.,.,5.2857142857,34532,40.2682,108,N,96.9,108902113,108902
108902115,74,76,53,0,579,2,53,65,537,.,.,.,10.117218318,38676,34.6427,108,N,96.9,108902115,108902
108902116,96,83,83,0,658,1,17,43,651,.,.,.,4.6520056365,33974,36.9737,108,N,96.2,108902116,108902
108904103,38,53,29,0,291,1,7,24,277,.,.,.,12.162373577,40507,21.0189,108,N,98,108904103,108904
108904104,69,77,75,0,558,2,19,24,494,.,.,.,13.735294118,41741,34.0002,108,N,97.9,108904104,108904
108904105,73,80,65,2,457,20,86,40,340,.,.,.,13.647462314,40806,30.0413,108,N,97.6,108904105,108904
108904106,79,79,100,4,564,20,111,38,370,.,.,.,12.138017558,41198,29.5978,108,N,98.1,108904106,108904
108904108,67,73,62,1,461,9,10,45,422,.,.,.,12,40393,33.0424,108,N,97.9,108904108,108904
108904109,102,93,83,0,620,5,20,48,572,.,.,.,11.4767862,39614,36.7542,108,N,97.4,108904109,108904
108904110,68,64,82,0,495,8,27,62,435,.,.,.,8.5428571429,38206,35.0001,108,N,96.6,108904110,108904
108904111,67,64,57,0,434,6,14,48,393,.,.,.,10.661835975,39763,29.1189,108,N,97.2,108904111,108904
108904112,93,67,81,3,569,28,17,29,367,.,.,.,15.456802571,41931,31.7383,108,N,97.4,108904112,108904
108904113,78,72,89,0,563,8,18,32,477,.,.,.,12.30593879,40717,31.936,108,N,97.1,108904113,108904
108904115,85,87,85,1,574,4,8,36,544,.,.,.,10.605263158,39228,37.0213,108,N,97.4,108904115,108904
108904116,67,83,92,0,565,6,13,36,502,.,.,.,10.055555556,38610,34.589,108,N,97.9,108904116,108904
108904117,90,73,80,7,602,26,24,53,478,.,.,.,14.039478143,42106,36.0631,108,N,97,108904117,108904
108904118,82,75,80,6,566,0,17,33,553,.,.,.,8.7948717949,37822,37.9595,108,N,97.5,108904118,108904
