,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902103,34,39,51,18,245,214,33,39,89,.,.,.,14.5,37032,19.2,001,N,96.3,001902103,001902
001904102,54,70,52,69,369,279,17,37,210,.,.,.,16.5,36886,30.5,001,N,95.7,001904102,001904
002901103,0,0,199,6,278,126,17,78,171,.,.,.,15.5,43236,19.7,002,N,95.9,002901103,002901
005902101,69,73,56,3,369,354,24,27,114,.,.,.,9.9,32253,25.8,005,N,97.5,005902101,005902
006902101,29,40,27,1,175,165,3,32,97,.,.,.,9.1,32996,15,006,N,97.4,006902101,006902
008903102,48,59,64,59,375,155,8,62,217,.,.,.,14.6,39686,32.9,008,N,95.9,008903102,008903
010902101,89,97,92,3,609,462,63,91,314,.,.,.,12.2,36969,49.2,010,N,94.9,010902101,010902
011902102,90,94,108,82,706,279,36,68,413,.,.,.,9.9,37751,46.5,011,N,96.5,011902102,011902
013905101,50,56,36,9,317,89,33,37,227,.,.,.,12.1,35909,21.7,013,N,96,013905101,013905
014905101,32,38,27,16,256,165,8,15,149,.,.,.,15,37240,18,014,N,96.2,014905101,014905
014906103,87,62,59,241,521,123,13,84,452,.,.,.,4,35197,38.3,014,N,95.9,014906103,014906
014906104,43,51,55,141,372,142,35,50,258,.,.,.,10.1,40285,28.1,014,N,96.2,014906104,014906
014906106,62,67,80,331,515,97,20,111,377,.,.,.,9,39587,44.8,014,N,96.6,014906106,014906
014906109,75,78,69,294,546,128,14,64,365,.,.,.,6.5,37130,39.5,014,N,96.4,014906109,014906
014906110,87,86,76,199,555,204,37,72,263,.,.,.,9.8,39550,42.3,014,N,96.9,014906110,014906
014906112,61,59,57,227,539,159,14,57,425,.,.,.,10.7,40049,38.3,014,N,95.5,014906112,014906
014906115,131,137,136,114,770,526,102,93,264,.,.,.,13.4,42657,52.4,014,N,96.4,014906115,014906
014906119,109,85,82,378,691,204,31,90,406,.,.,.,9.3,39721,48.4,014,N,96.5,014906119,014906
014906127,87,106,96,194,632,286,32,86,260,.,.,.,6.8,36856,40.9,014,N,96.6,014906127,014906
014906129,120,92,121,379,814,212,33,84,419,.,.,.,7.3,37053,52.1,014,N,97,014906129,014906
015904101,71,87,78,3,529,26,17,68,447,.,.,.,9.6,39510,34.2,015,N,97,015904101,015904
015904103,87,74,84,0,531,7,14,59,491,.,.,.,7.9,37885,32.4,015,N,96,015904103,015904
015904104,49,53,47,0,374,5,9,53,277,.,.,.,11.8,40719,28.4,015,N,96.8,015904104,015904
015904107,81,77,88,0,533,25,19,78,485,.,.,.,9.1,38570,32.6,015,N,96.6,015904107,015904
015904115,1,4,17,4,30,4,0,30,22,.,.,.,11.3,40529,7,015,N,86,015904115,015904
015904116,65,57,57,9,459,10,4,84,416,.,.,.,9.4,39135,36.1,015,N,95.8,015904116,015904
015906101,69,77,73,139,529,296,26,59,140,.,.,.,17.1,47670,39.9,015,N,97,015906101,015906
015907117,89,56,54,3,460,15,9,50,453,.,.,.,17.8,50515,26.9,015,N,96.8,015907117,015907
015907123,59,52,59,3,396,8,16,52,395,.,.,.,16.5,46785,27.2,015,N,97.1,015907123,015907
015907124,59,51,54,16,368,37,17,40,346,.,.,.,16.3,47342,20,015,N,96.4,015907124,015907
015907145,31,33,25,0,264,2,7,29,260,.,.,.,14.6,45975,16.5,015,N,97.2,015907145,015907
015907164,106,116,95,44,753,108,18,66,634,.,.,.,11.4,43386,45.6,015,N,96.9,015907164,015907
015907174,82,76,76,0,494,8,9,43,476,.,.,.,19.1,50044,33.4,015,N,96.7,015907174,015907
015908101,81,71,66,4,505,2,6,28,485,.,.,.,13.3,42913,34.1,015,N,97.5,015908101,015908
015908105,64,68,66,2,475,8,9,51,439,.,.,.,13.2,43126,32.6,015,N,96.6,015908105,015908
015908106,92,87,90,5,633,6,12,56,626,.,.,.,14.2,42774,38.8,015,N,96.4,015908106,015908
015908108,66,69,74,17,507,38,16,39,471,.,.,.,12.7,43090,32.4,015,N,95.9,015908108,015908
015908109,53,55,65,15,408,25,15,47,358,.,.,.,13.8,44253,29.9,015,N,96,015908109,015908
015908110,72,78,74,11,488,31,12,42,458,.,.,.,11.5,42613,31.3,015,N,95.9,015908110,015908
015909104,98,114,105,29,672,85,30,57,572,.,.,.,4.8,36743,43.4,015,N,96,015909104,015909
015910104,80,78,79,11,561,87,14,98,437,.,.,.,11.2,43323,38.6,015,N,96,015910104,015910
015910105,49,54,63,72,444,108,11,82,331,.,.,.,11,42830,31.6,015,N,95.5,015910105,015910
015910106,116,121,95,63,709,266,36,104,329,.,.,.,12,43392,43.3,015,N,96.3,015910106,015910
015910108,101,103,85,113,745,164,7,99,555,.,.,.,9.8,42149,46,015,N,94.3,015910108,015910
015910109,61,65,75,46,395,225,36,75,125,.,.,.,10.1,42195,32.6,015,N,95.9,015910109,015910
015910110,79,74,66,86,515,190,7,106,320,.,.,.,15.9,46518,39.8,015,N,95.9,015910110,015910
015910112,75,90,84,44,646,81,18,111,521,.,.,.,10.6,42695,49.9,015,N,95,015910112,015910
015910113,68,68,54,132,540,149,12,79,375,.,.,.,11.4,43260,40.2,015,N,95.1,015910113,015910
015910116,61,72,57,108,427,83,8,102,311,.,.,.,13.9,45051,37.8,015,N,96,015910116,015910
015910128,104,94,129,37,728,467,50,140,126,.,.,.,15.7,46791,48.8,015,N,96.9,015910128,015910
015910129,155,161,169,23,971,654,76,135,53,.,.,.,13.7,45357,60.5,015,N,97,015910129,015910
