,gr6_stu_count,gr7_stu_count,gr8_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902041,51,58,45,24,154,124,19,23,48,15.4,15,16.5,10.619047619,32439,12.8475,001,N,96.5,001902041,001902
001903041,90,90,101,23,281,240,16,71,130,14.4,13,17,10.066666667,33234,25.5288,001,N,96,001903041,001903
001904041,67,74,54,31,195,151,27,29,100,16.6,14.8,18.3,11.4,34282,15.7085,001,N,96.3,001904041,001904
002901041,197,212,209,5,618,257,51,131,285,15.1,18.2,17.9,13.336734694,43332,46.7195,002,N,95.8,002901041,002901
003903044,586,554,608,559,1748,703,172,349,997,18.5,21.2,19.3,12.138461538,37234,125.5555,003,N,96.4,003903044,003903
003904041,115,129,129,8,373,351,23,69,170,15.7,18.1,21.3,9.3548387097,34227,28.5137,003,N,95.4,003904041,003904
003905041,139,136,150,62,425,171,22,49,291,15.2,14.7,16.6,13.176470588,36081,34.002,003,N,96.4,003905041,003905
003907041,136,130,149,11,415,347,28,95,170,18,21.3,22.7,14.8,39569,29.9514,003,N,96.5,003907041,003907
004901041,295,285,271,19,851,484,58,152,493,20,20.9,22.8,12.923076923,39466,59.4949,004,N,95,004901041,004901
005902041,60,65,62,0,187,177,10,11,43,14.5,15.1,15.6,12.807692308,35100,16.3653,005,N,97.3,005902041,005902
007901041,43,39,35,0,117,21,15,18,86,18.8,15,18.8,17.827586207,41713,7.546,007,N,96,007901041,007901
007902041,98,104,97,0,299,122,21,44,185,16.8,20.5,20.1,12.793103448,39928,22.3185,007,N,96.7,007902041,007902
007904041,119,124,100,0,343,93,25,38,233,18.3,17.8,20.3,10.730769231,36849,23.2922,007,N,96.2,007904041,007904
008901041,164,178,188,85,530,351,80,73,177,17.7,16.9,23.1,14.518150953,39355,36.4736,008,N,96.4,008901041,008901
008903041,58,65,70,27,193,97,17,39,85,15.6,16.4,16.8,16.756097561,43829,18.1232,008,N,96.5,008903041,008903
009901041,113,97,103,7,313,93,24,46,235,14,15.1,16.2,12.326604399,36646,28.2276,009,N,96.1,009901041,009901
010902041,207,202,221,5,630,471,108,98,301,19.3,20.1,20,11.04,37224,46.631,010,N,95.1,010902041,010902
011902041,218,241,227,96,686,277,41,92,370,19.3,22.3,22.9,12.647551605,41433,51.3339,011,N,96.2,011902041,011902
011904041,134,160,139,39,433,318,22,60,199,15.8,16,24.1,11.848484848,36889,32.0157,011,N,96.2,011904041,011904
013905041,41,59,60,3,160,61,14,21,108,14.6,11.3,19.8,9.7142857143,36451,11.2303,013,N,96,013905041,013905
