,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
003906101,39,32,36,4,240,226,6,19,163,.,.,.,12.25,41676,19.6003,003,N,96.2,003906101,003906
007901101,44,37,43,0,262,28,1,12,217,.,.,.,12.804878049,45441,20.0346,007,N,95.9,007901101,007901
007902101,94,100,118,9,613,241,30,39,394,.,.,.,10.45,44217,39.9998,007,N,97,007902101,007902
008903102,57,70,64,42,385,166,4,17,235,.,.,.,13.230769231,46410,24.5524,008,N,96.6,008903102,008903
013903101,29,28,29,5,180,72,2,17,140,.,.,.,15.25,43963,14.8317,013,N,96.7,013903101,013903
013905101,73,54,55,7,375,110,6,28,273,.,.,.,12.496700473,44605,24.2971,013,N,97,013905101,013905
014903102,46,39,41,12,293,208,23,25,156,.,.,.,12.666666667,44861,19,014,N,97.5,014903102,014903
014903103,58,54,61,66,412,192,23,41,339,.,.,.,8.8275862069,42933,28.5002,014,N,96.2,014903103,014903
014903104,79,69,62,37,484,122,3,40,426,.,.,.,11.366666667,44278,30.0004,014,N,96.8,014903104,014903
014903109,117,109,125,33,712,540,27,75,306,.,.,.,9.5667371907,43420,43.484,014,N,96.6,014903109,014903
014905101,40,54,45,11,274,189,9,16,156,.,.,.,15.434782609,40593,21.6,014,N,97,014905101,014905
014906102,75,60,58,97,453,118,10,33,300,.,.,.,10.475979027,49195,36.5615,014,N,96.9,014906102,014906
014906103,85,68,62,187,504,128,4,71,428,.,.,.,8.1565226933,45884,39.9151,014,N,95.5,014906103,014906
014906105,103,95,94,201,769,250,11,54,603,.,.,.,9.2730314282,47713,52.1357,014,N,96.3,014906105,014906
014906108,81,205,150,194,812,425,34,48,321,.,.,.,11.407617522,48676,52.1508,014,N,95.1,014906108,014906
014906109,100,77,70,198,682,156,5,49,518,.,.,.,8.1730769231,46791,51.3999,014,N,96.1,014906109,014906
014906111,60,74,66,209,492,116,21,33,347,.,.,.,12.257142857,49232,34.0471,014,N,96,014906111,014906
014906112,80,54,52,136,471,134,1,44,401,.,.,.,12.619024309,49673,36.5701,014,N,94.9,014906112,014906
014906113,83,82,71,226,552,135,13,66,399,.,.,.,12.526315789,49644,36.295,014,N,96,014906113,014906
014906115,88,103,81,105,632,383,47,53,291,.,.,.,13.048695221,50215,43.6005,014,N,96.2,014906115,014906
014906117,92,89,84,161,675,343,15,54,376,.,.,.,9.170212766,47390,47.0081,014,N,94.7,014906117,014906
014906119,94,94,79,330,686,186,8,67,474,.,.,.,11.497249214,48980,49.8849,014,N,96.2,014906119,014906
014906120,110,121,129,415,848,224,9,122,560,.,.,.,7.8132561957,46035,54.3547,014,N,95.4,014906120,014906
014906123,115,109,79,222,801,364,13,55,609,.,.,.,9.1454545455,47301,53.2196,014,N,94.7,014906123,014906
014906124,112,117,99,274,740,220,27,49,362,.,.,.,11.815256808,49414,47.0284,014,N,97,014906124,014906
014906128,75,75,75,142,576,315,7,67,443,.,.,.,6.904241827,45395,42.4422,014,N,95.1,014906128,014906
014906130,129,81,100,391,800,182,19,68,571,.,.,.,6.4039164243,44835,51.6439,014,N,95.9,014906130,014906
014906131,170,148,165,512,1161,337,21,66,659,.,.,.,8.407519425,45920,69.768,014,N,96.3,014906131,014906
014906136,133,151,150,193,897,472,35,73,254,.,.,.,7.5597511592,45669,55.8845,014,N,96,014906136,014906
014906137,83,88,80,106,585,307,9,54,320,.,.,.,10.185583269,47205,41.4585,014,N,.,014906137,014906
014907102,48,66,54,6,368,261,25,22,195,.,.,.,10.984962406,39021,25.397,014,N,97.3,014907102,014907
015819001,14,9,10,4,111,10,0,6,104,.,.,.,9.4444444444,34752,9.0004,015,Y,95.4,015819001,015819
015819101,7,7,9,46,106,18,0,3,95,.,.,.,9.8571428571,35228,7,015,Y,95.3,015819101,015819
015904101,76,88,106,4,598,16,32,43,518,.,.,.,8.2350142348,47809,37.8275,015,N,96.7,015904101,015904
015904102,110,104,104,4,661,34,29,45,581,.,.,.,11.30952381,48552,41.4991,015,N,96.6,015904102,015904
015904103,80,79,76,0,504,7,10,38,471,.,.,.,10.0625,47561,31.2149,015,N,96.5,015904103,015904
015904105,78,90,87,2,738,6,20,48,726,.,.,.,8.6872861162,48051,48.053,015,N,96.8,015904105,015904
015904106,109,114,104,3,776,15,22,57,754,.,.,.,10.765957447,48771,46.5,015,N,96.3,015904106,015904
015904107,82,89,93,2,548,19,21,41,515,.,.,.,12,48661,33.8624,015,N,96.6,015904107,015904
015904108,88,107,105,1,691,40,25,52,572,.,.,.,12.279069767,49686,42.0719,015,N,96,015904108,015904
015904109,78,93,74,3,525,6,22,39,523,.,.,.,12.742857143,51747,34.3273,015,N,97,015904109,015904
