,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1433,23.3,85,60,82,001902
001903,1442,18.7,88,66,94,001903
001904,1365,19.2,95,78,96,001904
001906,1453,19,90,68,92,001906
001907,1347,19.8,86,55,91,001907
001908,1360,18.9,88,59,94,001908
001909,1497,20.5,87,76,96,001909
002901,1417,20.7,87,59,84,002901
003801,1399,-1,84,66,76,003801
003902,1445,22.4,94,73,91,003902
003903,1373,19.9,84,59,91,003903
003904,1374,19.7,79,62,92,003904
003905,1285,17.7,80,57,88,003905
003906,1308,18.9,71,51,64,003906
003907,1379,21.1,83,61,80,003907
004901,1402,20.2,84,63,93,004901
005901,1570,21.1,89,85,94,005901
005902,1619,23.2,88,80,97,005902
005904,-1,20.9,97,73,93,005904
006902,1553,21.4,83,78,88,006902
007901,1219,16.3,60,49,94,007901
007902,1415,21,70,62,96,007902
007904,1301,17.4,65,60,77,007904
007905,1332,19.2,79,55,94,007905
007906,1259,18.1,70,55,81,007906
008901,1449,20.5,81,62,87,008901
008902,1341,19.6,81,67,88,008902
008903,1419,19.9,81,71,96,008903
009901,-1,17.5,90,55,93,009901
010901,1374,21.2,70,80,90,010901
010902,1479,22.1,84,68,95,010902
011901,1358,18.7,76,51,92,011901
011902,1258,17.6,72,58,87,011902
011904,1397,19.7,72,60,92,011904
011905,.,.,94,71,.,011905
012901,-1,22.5,93,75,97,012901
013801,.,.,.,.,.,013801
013901,1347,17.8,65,49,74,013901
013902,.,.,.,.,.,013902
013903,1226,21.4,89,60,90,013903
013905,1527,21.3,81,72,88,013905
014801,1199,17.7,26,18,59,014801
014803,-1,-1,61,58,97,014803
014804,1436,21.7,92,87,100,014804
014901,1568,26,85,70,88,014901
014902,920,18,88,63,87,014902
014903,1469,21.9,87,67,95,014903
014905,1379,20.4,92,80,94,014905
014906,1368,19.6,79,60,91,014906
014907,1387,20.4,88,62,96,014907
014908,1521,24.5,91,73,89,014908
014909,1372,20.5,81,48,88,014909
014910,1383,19.9,83,73,89,014910
015801,1240,-1,44,39,79,015801
015802,.,14.8,96,80,100,015802
015805,.,.,89,91,99,015805
015806,1164,.,81,61,86,015806
015807,1220,-1,43,46,75,015807
015808,.,.,78,70,-1,015808
015809,.,.,.,.,.,015809
015814,-1,.,69,35,87,015814
015815,1176,.,91,48,96,015815
015820,1215,-1,46,47,82,015820
015822,1233,14.3,69,59,75,015822
015825,.,.,.,.,.,015825
015826,1218,17.4,79,60,96,015826
015827,1456,24.3,95,82,96,015827
015828,1362,17.5,92,75,94,015828
015830,1326,21.8,68,60,96,015830
015831,1507,-1,83,57,100,015831
015833,1259,19.8,73,77,91,015833
015834,.,.,93,100,99,015834
015835,.,.,88,93,100,015835
015836,.,.,-1,.,.,015836
015837,.,.,28,43,85,015837
015901,1601,24,91,78,98,015901
015904,1117,17.7,80,54,85,015904
015905,1163,18.1,74,45,86,015905
015906,1519,23.4,93,88,100,015906
015907,1200,16.9,68,47,87,015907
015908,1131,17.9,71,55,90,015908
015909,1135,18.2,75,53,88,015909
015910,1465,22.2,87,74,96,015910
015911,1318,18.8,70,56,89,015911
015912,1104,18.5,79,55,89,015912
015913,1561,22.5,95,73,98,015913
015914,1482,22.5,93,80,99,015914
015915,1317,21.3,88,71,96,015915
015916,1217,19.9,76,61,92,015916
015917,1125,18,78,46,91,015917
016901,1445,26.7,86,64,100,016901
016902,1404,19.9,88,59,100,016902
017901,-1,21.5,96,96,94,017901
018901,1371,19.4,85,69,96,018901
018902,1408,20.2,80,74,81,018902
018903,-1,.,78,56,88,018903
018904,1420,20.5,84,62,93,018904
018905,-1,.,89,73,88,018905
018906,-1,-1,100,71,100,018906
018907,1399,.,87,60,100,018907
018908,-1,-1,100,92,100,018908
019901,-1,20.2,87,68,79,019901
019902,.,17.9,89,69,92,019902
019903,-1,20.2,87,67,91,019903
019905,-1,20.2,77,59,89,019905
019906,-1,20.9,88,70,90,019906
019907,1566,21,82,61,89,019907
019908,1309,18.6,62,46,76,019908
019909,-1,19.9,86,47,89,019909
019910,.,.,.,.,.,019910
019911,.,.,100,.,.,019911
019912,1490,21.7,94,86,96,019912
019913,.,.,.,.,.,019913
019914,.,.,.,.,.,019914
020901,1372,20,85,62,92,020901
020902,1357,19.7,81,67,92,020902
020904,1392,19,89,74,95,020904
020905,1469,19.6,70,53,80,020905
020906,1411,21,87,67,76,020906
020907,1390,20.6,80,58,84,020907
020908,1527,22.8,92,78,95,020908
020910,.,.,90,56,100,020910
021803,.,.,.,.,.,021803
021805,.,.,.,.,.,021805
021901,1601,23.9,89,74,94,021901
021902,1382,20.4,70,50,90,021902
022004,-1,19.4,85,36,82,022004
022901,1354,18.7,88,70,99,022901
022902,-1,.,.,-1,.,022902
022903,.,.,.,.,.,022903
023902,-1,22,100,100,94,023902
024901,1573,17.9,84,49,71,024901
025901,1489,20,80,69,86,025901
