,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
001902,1483,20.2,85,74,.,001902
001903,1417,-1,88,77,.,001903
001904,1312,18.3,86,76,75,001904
001906,1284,19.9,78,82,.,001906
001907,1392,19.7,66,57,-1,001907
001908,1417,20,87,71,-1,001908
001909,1571,23.7,66,76,.,001909
002901,1495,20.8,69,59,.,002901
003801,.,.,82,79,-1,003801
003902,1410,20.7,93,86,56,003902
003903,1473,18.6,85,73,72,003903
003904,1458,21,71,70,-1,003904
003905,1477,19.5,80,53,.,003905
003906,1401,22.6,72,85,.,003906
003907,1419,-1,79,67,-1,003907
004901,1374,20.7,74,74,-1,004901
005901,1487,20.5,76,74,.,005901
005902,1539,23.3,88,82,.,005902
005904,1514,22.4,91,80,.,005904
006902,-1,21.9,72,79,-1,006902
007901,1182,17,60,41,-1,007901
007902,1358,21,68,63,-1,007902
007904,1342,18.3,71,65,.,007904
007905,1390,20.4,66,52,-1,007905
007906,1309,17.2,63,49,-1,007906
008901,1474,22.7,91,81,.,008901
008902,1358,19.6,85,69,-1,008902
008903,1407,21.1,82,60,.,008903
009901,-1,18.8,81,64,-1,009901
010901,1388,21.3,58,87,.,010901
010902,1423,20.8,75,85,-1,010902
011901,1405,20,81,70,100,011901
011902,1362,17.8,69,56,-1,011902
011904,1447,21,73,79,-1,011904
011905,.,.,55,.,.,011905
012901,-1,22.6,88,78,.,012901
013801,.,.,.,.,.,013801
013901,1475,19.6,56,55,-1,013901
013902,.,.,.,.,.,013902
013903,1282,17.4,88,76,-1,013903
013905,1370,20.3,93,84,.,013905
014801,1197,-1,-1,38,.,014801
014802,.,.,-1,-1,-1,014802
014803,1578,.,83,83,-1,014803
014804,1486,-1,72,78,.,014804
014901,1526,23.6,88,76,-1,014901
014902,1121,-1,68,53,-1,014902
014903,1465,22.6,86,77,89,014903
014905,1420,19.2,84,70,.,014905
014906,1376,20,76,71,59,014906
014907,1396,21.3,90,67,.,014907
014908,1541,24.4,91,89,-1,014908
014909,1448,21.6,64,54,62,014909
014910,1476,20.1,92,83,-1,014910
015801,1056,.,24,37,-1,015801
015802,-1,-1,54,52,.,015802
015803,-1,.,58,46,.,015803
015805,.,.,.,.,.,015805
015806,1240,.,70,51,70,015806
015807,1219,-1,39,35,-1,015807
015808,.,.,43,50,.,015808
015809,.,.,.,.,.,015809
015814,-1,.,56,35,.,015814
015815,-1,-1,92,69,-1,015815
015816,.,16.1,54,71,.,015816
015817,.,18.6,34,23,-1,015817
015819,-1,.,56,41,.,015819
015820,1182,.,50,63,.,015820
015822,1281,-1,64,51,58,015822
