,SAT_avg,ACT_avg,SAT/ACT_pct,DISTRICT
001902,19.2,19.2,19.2,001902
001903,18.9,18.9,18.9,001903
001904,19.4,19.4,19.4,001904
001906,19.2,19.2,19.2,001906
001907,20.1,20.1,20.1,001907
001908,18.7,18.7,18.7,001908
001909,21.1,21.1,21.1,001909
002901,20,20,20,002901
003801,.,.,.,003801
003902,19.9,19.9,19.9,003902
003903,17.1,17.1,17.1,003903
003904,-1,-1,-1,003904
003905,17.6,17.6,17.6,003905
003906,19.2,19.2,19.2,003906
003907,18,18,18,003907
004901,21.1,21.1,21.1,004901
005901,21.4,21.4,21.4,005901
005902,20.8,20.8,20.8,005902
005903,-1,-1,-1,005903
005904,22.6,22.6,22.6,005904
006902,22,22,22,006902
007901,18.6,18.6,18.6,007901
007902,20,20,20,007902
007904,21.4,21.4,21.4,007904
007905,20.1,20.1,20.1,007905
007906,18.3,18.3,18.3,007906
008901,19.7,19.7,19.7,008901
008902,20.6,20.6,20.6,008902
008903,-1,-1,-1,008903
009901,20.4,20.4,20.4,009901
010901,20,20,20,010901
010902,21,21,21,010902
011901,19.5,19.5,19.5,011901
011902,20.2,20.2,20.2,011902
011904,21,21,21,011904
011905,.,.,.,011905
012901,21.5,21.5,21.5,012901
013801,.,.,.,013801
013901,17.3,17.3,17.3,013901
013902,.,.,.,013902
013903,19.1,19.1,19.1,013903
013905,19.1,19.1,19.1,013905
014801,.,.,.,014801
014802,.,.,.,014802
014803,.,.,.,014803
014804,.,.,.,014804
014901,21.6,21.6,21.6,014901
014902,17,17,17,014902
014903,18.7,18.7,18.7,014903
014905,20.4,20.4,20.4,014905
014906,19.3,19.3,19.3,014906
014907,21.1,21.1,21.1,014907
014908,22,22,22,014908
014909,20.9,20.9,20.9,014909
014910,20.5,20.5,20.5,014910
015801,.,.,.,015801
015802,-1,-1,-1,015802
015803,.,.,.,015803
015805,.,.,.,015805
015806,17.4,17.4,17.4,015806
015807,-1,-1,-1,015807
015808,.,.,.,015808
015809,.,.,.,015809
015810,.,.,.,015810
015811,.,.,.,015811
015812,.,.,.,015812
015813,.,.,.,015813
015814,.,.,.,015814
015815,.,.,.,015815
015816,-1,-1,-1,015816
015817,.,.,.,015817
015818,.,.,.,015818
015819,.,.,.,015819
015820,.,.,.,015820
015822,-1,-1,-1,015822
015823,.,.,.,015823
015824,.,.,.,015824
015825,.,.,.,015825
015826,.,.,.,015826
015827,.,.,.,015827
015901,23,23,23,015901
015904,17.4,17.4,17.4,015904
015905,16.4,16.4,16.4,015905
015906,22.7,22.7,22.7,015906
015907,17,17,17,015907
015908,17,17,17,015908
015909,19.4,19.4,19.4,015909
015910,21.5,21.5,21.5,015910
015911,19.8,19.8,19.8,015911
015912,18.3,18.3,18.3,015912
015913,24.5,24.5,24.5,015913
015914,23,23,23,015914
015915,20.9,20.9,20.9,015915
015916,19.3,19.3,19.3,015916
015917,17.9,17.9,17.9,015917
016901,18.6,18.6,18.6,016901
016902,20.9,20.9,20.9,016902
017901,21.9,21.9,21.9,017901
018901,20.4,20.4,20.4,018901
018902,18.8,18.8,18.8,018902
018903,.,.,.,018903
018904,20.1,20.1,20.1,018904
018905,-1,-1,-1,018905
018906,-1,-1,-1,018906
018907,21,21,21,018907
018908,.,.,.,018908
019901,19.3,19.3,19.3,019901
019902,19.6,19.6,19.6,019902
019903,21.2,21.2,21.2,019903
019905,19.9,19.9,19.9,019905
019906,21.3,21.3,21.3,019906
019907,20,20,20,019907
019908,18.8,18.8,18.8,019908
019909,19.7,19.7,19.7,019909
019910,.,.,.,019910
019911,.,.,.,019911
019912,23.4,23.4,23.4,019912
019913,.,.,.,019913
019914,.,.,.,019914
020901,21.5,21.5,21.5,020901
020902,20.5,20.5,20.5,020902
020904,15.4,15.4,15.4,020904
020905,21.2,21.2,21.2,020905
020906,21.2,21.2,21.2,020906
020907,19.8,19.8,19.8,020907
020908,22.2,22.2,22.2,020908
020910,.,.,.,020910
021803,.,.,.,021803
021901,22.5,22.5,22.5,021901
021902,19.4,19.4,19.4,021902
022004,.,.,.,022004
022901,20.6,20.6,20.6,022901
022902,-1,-1,-1,022902
022903,.,.,.,022903
023902,19.1,19.1,19.1,023902
024801,.,.,.,024801
024901,17.2,17.2,17.2,024901
025901,20.3,20.3,20.3,025901
025902,20,20,20,025902
025904,17.4,17.4,17.4,025904
025905,19.4,19.4,19.4,025905
025906,20.7,20.7,20.7,025906
025908,21.6,21.6,21.6,025908
025909,21.4,21.4,21.4,025909
026901,20.9,20.9,20.9,026901
026902,19.4,19.4,19.4,026902
026903,-1,-1,-1,026903
027903,19.8,19.8,19.8,027903
027904,21.9,21.9,21.9,027904
028902,19.1,19.1,19.1,028902
028903,18.9,18.9,18.9,028903
028906,-1,-1,-1,028906
029901,20,20,20,029901
030901,19.3,19.3,19.3,030901
030902,20.5,20.5,20.5,030902
030903,18.5,18.5,18.5,030903
030906,21.1,21.1,21.1,030906
031802,.,.,.,031802
031901,18.1,18.1,18.1,031901
031903,19,19,19,031903
031905,18.4,18.4,18.4,031905
031906,18.3,18.3,18.3,031906
031909,17.4,17.4,17.4,031909
031911,19.4,19.4,19.4,031911
031912,16.9,16.9,16.9,031912
031913,-1,-1,-1,031913
031914,16,16,16,031914
031916,21.6,21.6,21.6,031916
032902,19.1,19.1,19.1,032902
033901,23.8,23.8,23.8,033901
033902,22.2,22.2,22.2,033902
033904,21.8,21.8,21.8,033904
034901,20.5,20.5,20.5,034901
034902,18.3,18.3,18.3,034902
034903,18.8,18.8,18.8,034903
034905,18.9,18.9,18.9,034905
034906,19.8,19.8,19.8,034906
034907,19.6,19.6,19.6,034907
034908,.,.,.,034908
