,SAT_avg,ACT_avg,EOC_alg1_avg,EOC_eng1_avg,EOC_his_avg,DISTRICT
028902,1345,19.2,82,57,85,028902
028903,1360,18.8,69,66,95,028903
028906,1300,-1,55,-1,90,028906
029901,1478,20.5,89,67,91,029901
030901,.,22.7,96,86,92,030901
030902,1408,20.2,88,80,93,030902
030903,.,17.5,71,56,94,030903
030906,-1,20.6,93,92,100,030906
031901,1255,18.2,84,65,89,031901
031903,1334,18.7,70,61,84,031903
031905,1369,18.1,74,66,90,031905
031906,1280,18.3,92,78,94,031906
031909,1252,16.9,88,63,86,031909
031911,1231,17.2,70,69,87,031911
031912,1238,16.9,83,64,87,031912
031913,1170,16.8,88,70,69,031913
031914,.,17,73,77,87,031914
031916,1502,21.5,87,88,97,031916
032902,1403,19.8,90,74,78,032902
033901,-1,24,100,100,93,033901
033902,-1,21,92,95,92,033902
033904,1520,21.6,86,86,96,033904
034901,-1,20.1,79,74,89,034901
034902,.,17.3,-1,92,56,034902
034903,-1,19.4,89,76,91,034903
034905,.,20.2,86,71,98,034905
034906,.,21.6,100,73,75,034906
034907,-1,20,92,77,96,034907
034909,.,19.4,90,63,91,034909
035901,.,17.4,75,64,71,035901
035902,.,17.3,76,53,48,035902
035903,.,24,100,84,100,035903
036901,1326,19,87,72,92,036901
036902,1478,21.7,96,91,100,036902
036903,1396,18.6,84,70,96,036903
037901,1434,19.1,69,70,86,037901
037904,1475,18.7,89,69,89,037904
037907,1530,22,85,79,95,037907
037908,-1,-1,80,55,78,037908
037909,1225,.,37,57,91,037909
038901,-1,19.9,90,84,91,038901
039902,1441,21.5,89,77,96,039902
039903,.,19.9,92,81,96,039903
039904,-1,-1,77,42,90,039904
039905,-1,19.8,100,73,86,039905
040901,-1,17.4,71,68,78,040901
040902,-1,21.8,77,81,100,040902
041901,.,20.5,93,85,100,041901
041902,-1,23.9,86,75,100,041902
042901,.,20.4,89,82,91,042901
042903,-1,20.4,95,70,95,042903
042905,.,21.6,100,80,100,042905
043801,.,.,96,96,100,043801
043901,1605,24.1,94,91,98,043901
043902,1454,21.5,86,79,93,043902
043903,1506,21.9,86,82,97,043903
043904,1504,21.5,88,81,100,043904
043905,1609,24.1,96,92,99,043905
043907,1576,23.3,92,86,97,043907
043908,1476,21.7,95,89,92,043908
043910,1693,25.8,94,90,98,043910
043911,1436,21.1,80,74,85,043911
043912,1561,23.2,98,92,98,043912
043914,1468,21.8,94,85,96,043914
043917,1333,18.4,63,68,88,043917
043918,1392,20.1,77,77,95,043918
043919,1677,25.6,100,98,100,043919
044902,-1,19.6,100,80,84,044902
045902,1357,19.3,84,67,89,045902
045903,1410,18,77,68,86,045903
045905,1399,22,96,85,95,045905
046802,.,.,46,60,100,046802
046901,1501,22.3,83,83,96,046901
046902,1489,22.2,91,82,96,046902
047901,1409,20.1,90,86,96,047901
047902,1459,20,81,79,98,047902
047903,1221,17.9,50,67,92,047903
047905,-1,-1,100,88,92,047905
048901,.,20.2,94,84,95,048901
048903,-1,-1,100,68,100,048903
049901,1451,20.4,81,70,90,049901
049902,1592,22.6,100,97,100,049902
049903,1388,19.7,95,66,98,049903
049905,1322,-1,93,86,96,049905
049906,1371,19,89,85,97,049906
049907,1570,22.8,98,93,100,049907
049908,.,.,-1,.,.,049908
049909,.,.,.,.,.,049909
050901,-1,18.8,85,70,93,050901
050902,1381,20.8,93,80,92,050902
050904,1342,-1,92,77,75,050904
050909,-1,20,81,82,86,050909
050910,1381,19.6,83,76,89,050910
051901,.,20.8,87,75,89,051901
052901,1621,18.8,73,56,93,052901
053001,1296,18.2,70,66,98,053001
054901,.,17,84,78,100,054901
054902,-1,-1,85,53,75,054902
054903,1298,17.1,88,81,90,054903
055901,-1,18.1,71,63,70,055901
056901,1576,20.6,75,70,93,056901
056902,-1,19.4,80,83,100,056902
057802,1235,-1,68,53,82,057802
057803,1713,25.8,90,94,97,057803
057804,1154,15.1,49,53,67,057804
057805,.,.,.,.,.,057805
057806,1194,14.9,79,70,94,057806
057807,1339,18.9,93,74,98,057807
057808,1325,-1,50,50,85,057808
057809,.,.,.,.,.,057809
057810,.,.,.,.,.,057810
057811,.,.,.,.,.,057811
057813,.,.,95,.,.,057813
057814,.,.,20,23,-1,057814
057815,1156,16,71,49,68,057815
057816,.,.,100,93,.,057816
057817,1181,.,57,49,90,057817
057819,-1,-1,75,-1,-1,057819
057827,.,.,.,.,.,057827
057828,1475,18,37,53,71,057828
057829,1198,-1,80,67,87,057829
057830,.,.,78,52,81,057830
057831,1142,14,60,58,85,057831
057832,-1,-1,46,33,48,057832
057833,.,.,.,.,.,057833
057834,1289,-1,31,34,65,057834
057835,.,.,.,.,.,057835
057836,.,.,.,.,.,057836
057837,.,.,83,.,.,057837
057838,1356,19.1,87,85,96,057838
057839,.,.,100,.,.,057839
057840,1612,23.9,.,-1,100,057840
057841,.,.,.,.,.,057841
057842,1391,19.8,78,78,96,057842
057843,1280,18.3,81,67,95,057843
057844,.,.,.,.,.,057844
057845,.,.,87,81,.,057845
057846,.,.,81,58,.,057846
057847,.,.,67,64,.,057847
057848,.,-1,86,79,93,057848
057903,1476,21,85,75,94,057903
057904,1346,19.2,70,67,92,057904
057905,1279,17.1,75,62,91,057905
057906,1250,17,69,62,80,057906
057907,1305,18.6,67,63,89,057907
057909,1435,20.7,82,69,92,057909
057910,1334,18.9,80,68,93,057910
057911,1792,27.2,99,99,100,057911
057912,1238,18.7,78,73,91,057912
057913,1198,16.4,64,60,87,057913
057914,1337,18.9,83,73,90,057914
057916,1542,20.2,83,75,94,057916
057919,1540,22.8,99,96,96,057919
057922,1704,25.2,95,92,98,057922
058902,.,17.5,75,77,100,058902
058905,-1,22.3,100,100,100,058905
058906,1334,18.6,61,57,71,058906
058909,.,18.7,94,88,100,058909
059901,1680,19.1,73,53,78,059901
059902,.,.,.,.,.,059902
060902,1390,20.3,87,78,78,060902
060914,-1,16.2,91,75,88,060914
061802,1538,-1,.,.,.,061802
061804,.,.,.,.,.,061804
061901,1477,21.1,83,73,90,061901
061902,1610,23.7,91,85,95,061902
061903,1427,19.4,87,89,94,061903
061905,1434,20.7,87,78,96,061905
061906,1528,22.7,86,84,95,061906
061907,1486,22.8,92,82,99,061907
061908,1440,21.2,85,70,94,061908
061910,1600,24.5,99,97,99,061910
061911,1491,22.6,88,83,96,061911
061912,1459,22.5,82,79,93,061912
061914,1421,20.3,75,71,91,061914
062901,1417,20.3,81,62,80,062901
062902,-1,18.7,63,50,87,062902
062903,1575,19.8,77,68,86,062903
062904,1442,-1,86,87,100,062904
062905,.,.,.,.,.,062905
062906,.,.,100,.,.,062906
063903,-1,21.1,91,96,93,063903
063906,.,-1,88,78,.,063906
064903,1275,17.8,65,56,87,064903
065901,-1,20,85,82,91,065901
065902,.,18.8,86,67,83,065902
066005,.,.,.,.,.,066005
066901,.,15.3,88,69,95,066901
066902,-1,16.8,70,58,74,066902
066903,-1,17.8,71,59,96,066903
067902,1489,20.9,93,90,98,067902
067903,1401,20.8,81,80,91,067903
067904,1450,19.5,75,67,72,067904
067907,1594,-1,47,44,79,067907
067908,.,20,93,86,88,067908
068802,.,.,.,.,.,068802
068803,.,.,.,.,.,068803
068901,1365,20.3,64,57,82,068901
069901,-1,18.3,75,68,92,069901
069902,.,19.3,91,79,100,069902
070801,1337,-1,88,41,87,070801
070901,1291,-1,100,66,95,070901
070903,1458,19.5,84,64,86,070903
070905,1317,19.5,86,77,91,070905
070907,1304,17.8,96,69,95,070907
070908,1492,22.3,92,82,94,070908
070909,.,20.2,83,79,93,070909
070910,1362,20.5,95,86,98,070910
070911,1440,21,92,81,96,070911
070912,1463,21.3,81,72,89,070912
070915,1473,21,99,76,93,070915
071801,1463,18.1,96,85,96,071801
071803,1069,-1,70,63,88,071803
071804,1263,-1,68,60,74,071804
071806,1427,23.1,93,70,93,071806
071807,.,.,.,.,.,071807
071809,.,.,.,.,.,071809
071810,.,.,.,.,.,071810
071901,1146,16.9,81,66,90,071901
071902,1443,19,79,65,86,071902
071903,1186,.,88,70,88,071903
071904,1156,16.4,79,58,83,071904
071905,1191,18.7,88,74,93,071905
071906,1522,15.9,78,71,100,071906
071907,1201,18.4,75,71,87,071907
071908,1164,15.2,79,49,80,071908
071909,1291,18.8,81,71,91,071909
072801,1350,18.2,72,70,84,072801
072802,-1,.,64,78,94,072802
072901,.,.,-1,.,.,072901
072902,1330,19.7,86,77,78,072902
072903,1487,21.8,84,77,93,072903
072904,.,.,-1,.,.,072904
072908,1430,20.6,94,75,100,072908
072909,1173,18.8,80,63,85,072909
072910,.,.,.,.,.,072910
073901,.,17.6,70,64,81,073901
073903,1099,16.8,60,41,85,073903
073904,.,.,100,.,.,073904
073905,1317,19.7,71,58,92,073905
074903,1463,20.3,70,55,82,074903
074904,-1,21.9,94,86,100,074904
074905,-1,-1,84,43,91,074905
074907,-1,20.1,94,80,91,074907
074909,1389,20.8,87,79,91,074909
074911,1511,19.4,93,94,96,074911
074912,1444,21.2,98,85,93,074912
074917,1366,20.9,93,97,96,074917
075901,1289,18.8,100,89,98,075901
075902,1442,21.4,94,77,93,075902
075903,1449,19.9,82,83,88,075903
075906,1395,20.3,91,76,100,075906
075908,1418,21.5,90,83,96,075908
076903,-1,21.2,100,94,100,076903
076904,.,18.9,75,71,86,076904
077901,-1,18,93,77,93,077901
077902,-1,19.8,64,65,92,077902
078901,-1,20.9,100,67,73,078901
079901,1464,21,77,74,93,079901
079906,1461,21.6,81,79,94,079906
079907,1528,22.1,85,78,95,079907
079910,1336,19.5,66,68,88,079910
080901,-1,23.2,88,88,86,080901
081902,1545,20.1,97,94,95,081902
081904,1449,19.5,83,71,85,081904
081905,1450,19.3,79,75,82,081905
081906,.,.,-1,.,.,081906
082902,1272,17.2,51,59,70,082902
082903,-1,17.4,66,56,86,082903
083901,-1,16.9,66,53,81,083901
083902,.,18.1,89,90,100,083902
083903,1408,20.5,81,70,97,083903
084801,.,.,100,.,.,084801
084802,.,.,94,71,.,084802
084804,.,.,100,.,.,084804
084805,-1,-1,58,69,82,084805
084901,1360,18.7,80,62,93,084901
084902,1357,20.3,71,63,84,084902
084903,1211,-1,65,57,88,084903
084904,1220,16.7,50,53,82,084904
084906,1326,19.1,68,63,87,084906
084908,1092,14.9,60,53,80,084908
084909,1389,21,79,63,85,084909
084910,1589,24.1,92,84,96,084910
084911,1642,25,98,92,98,084911
085902,-1,19.6,70,73,91,085902
085903,-1,18,82,85,75,085903
086024,.,.,.,.,.,086024
