,gr6_ela_avg,gr7_ela_avg,gr7_writ_avg,gr8_ela_avg,gr8_sci_avg,CAMPUS,DISTRICT
031901046,68,63,60,79,51,031901046,031901
031901047,68,71,70,80,53,031901047,031901
031901048,54,64,63,79,68,031901048,031901
031901051,77,73,73,86,67,031901051,031901
031901053,72,70,71,88,67,031901053,031901
031901054,82,78,80,86,58,031901054,031901
031901055,86,76,76,91,80,031901055,031901
031903041,73,78,72,86,60,031903041,031903
031903042,68,72,71,79,67,031903042,031903
031903043,69,73,72,84,58,031903043,031903
031903044,74,77,76,87,68,031903044,031903
031903045,72,71,70,84,69,031903045,031903
031906041,84,81,86,93,91,031906041,031906
031906042,80,81,84,90,93,031906042,031906
031906105,89,89,93,91,81,031906105,031906
031909041,66,66,68,84,63,031909041,031909
031911041,57,63,56,80,63,031911041,031911
031912041,68,65,74,87,57,031912041,031912
031912042,63,66,73,75,51,031912042,031912
031912043,68,62,66,80,71,031912043,031912
031913041,45,34,27,54,26,031913041,031913
031914041,65,69,75,79,62,031914041,031914
033902041,98,98,100,98,83,033902041,033902
034903041,94,91,85,99,84,034903041,034903
034905041,87,87,81,100,86,034905041,034905
034906041,78,78,70,79,61,034906041,034906
036901041,74,81,85,99,79,036901041,036901
036902042,90,85,83,97,88,036902042,036902
036902043,90,97,91,98,89,036902043,036902
037907041,81,82,76,92,74,037907041,037907
038901041,86,88,78,97,74,038901041,038901
039902041,91,79,77,97,78,039902041,039902
042901041,59,65,64,85,53,042901041,042901
043902041,87,81,82,95,75,043902041,043902
043904041,85,96,86,96,92,043904041,043904
043905041,89,92,89,94,83,043905041,043905
043905043,90,93,95,97,90,043905043,043905
043905044,96,94,95,99,94,043905044,043905
043905045,95,94,90,97,93,043905045,043905
043905046,97,99,99,100,95,043905046,043905
043905047,93,95,93,98,87,043905047,043905
043905048,95,98,97,99,98,043905048,043905
043905049,94,94,93,99,90,043905049,043905
043905050,93,91,87,96,87,043905050,043905
043905051,89,92,94,98,87,043905051,043905
043905052,95,98,95,98,89,043905052,043905
