,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
015907119,54,54,58,17,369,1,2,6,34,360,.,.,.,9.3,51677,21.5,015,N,95.9,015907119,015907
015907123,57,51,44,5,370,2,4,10,20,357,.,.,.,14.4,53490,21.4,015,N,97.3,015907123,015907
015907125,65,68,58,88,602,2,23,8,48,565,.,.,.,13.2,53019,31.6,015,N,96.3,015907125,015907
015907126,75,85,86,4,533,0,13,3,39,504,.,.,.,13.6,54360,29,015,N,97.4,015907126,015907
015907127,27,46,34,94,281,0,6,2,23,246,.,.,.,7.2,51260,18.4,015,N,96.1,015907127,015907
015907129,113,121,129,1,829,1,6,63,60,767,.,.,.,9.7,51668,48,015,N,97,015907129,015907
015907132,78,64,58,31,519,0,2,23,42,501,.,.,.,11,52427,30.7,015,N,97.5,015907132,015907
015907134,97,91,107,18,674,1,16,6,45,641,.,.,.,16.4,55505,34,015,N,96.4,015907134,015907
015907135,97,101,110,15,696,0,14,24,55,640,.,.,.,13.3,52943,39,015,N,96.2,015907135,015907
015907136,85,75,76,1,586,0,4,8,43,560,.,.,.,13.9,53777,36,015,N,96.7,015907136,015907
015907137,73,62,71,180,536,1,11,11,49,507,.,.,.,8.2,51211,31,015,N,96.5,015907137,015907
015907139,53,42,40,3,376,0,2,8,47,347,.,.,.,13.1,53500,23.4,015,N,96.4,015907139,015907
015907140,77,68,77,7,465,0,5,6,33,433,.,.,.,8,51240,26.6,015,N,96.8,015907140,015907
015907141,66,57,63,3,507,1,4,10,47,483,.,.,.,14.5,52993,31.6,015,N,96.6,015907141,015907
015907143,44,42,37,0,281,1,2,21,26,264,.,.,.,10.5,52299,16.3,015,N,96.9,015907143,015907
015907146,28,22,28,14,226,4,17,9,19,206,.,.,.,15.4,54699,16.3,015,N,97.5,015907146,015907
015907148,80,98,74,1,660,0,3,4,56,615,.,.,.,15.3,55012,38,015,N,96.6,015907148,015907
015907149,86,99,63,8,519,0,10,8,53,502,.,.,.,12.7,52490,34,015,N,96.6,015907149,015907
015907153,53,46,52,64,353,0,2,16,42,319,.,.,.,9.5,51815,22.6,015,N,95.4,015907153,015907
015907155,74,111,104,1,633,2,6,18,61,606,.,.,.,11.7,52840,40,015,N,96.9,015907155,015907
015907156,61,48,45,6,414,0,1,9,33,396,.,.,.,15,54259,25.5,015,N,97.1,015907156,015907
015907158,62,41,66,50,424,8,6,9,36,413,.,.,.,12.6,53911,24.4,015,N,96.8,015907158,015907
015907160,55,53,62,11,395,0,7,16,32,382,.,.,.,14.6,54846,24,015,N,96.5,015907160,015907
015907161,104,101,97,4,687,0,9,24,45,655,.,.,.,9.3,51561,40,015,N,97.2,015907161,015907
015907162,69,67,61,7,477,1,2,12,61,461,.,.,.,12.9,52669,27.6,015,N,97,015907162,015907
015907167,40,55,47,3,327,0,10,9,21,307,.,.,.,10,51879,20.4,015,N,96.3,015907167,015907
015907168,86,85,93,63,565,1,11,15,28,547,.,.,.,7.6,50833,34,015,N,95.7,015907168,015907
015907169,66,72,65,6,446,0,4,1,32,437,.,.,.,7.1,50690,27.4,015,N,96.8,015907169,015907
015907172,67,71,67,112,459,0,3,14,25,459,.,.,.,7.9,51518,31,015,N,97,015907172,015907
015907173,58,62,46,213,440,0,15,3,28,418,.,.,.,14.2,53951,25,015,N,96.3,015907173,015907
015907176,95,89,72,7,566,2,4,26,51,527,.,.,.,10.1,51440,34,015,N,96.6,015907176,015907
015908104,91,88,96,4,597,0,13,28,37,527,.,.,.,11.1,51673,35.4,015,N,96.5,015908104,015908
015908106,77,96,92,5,557,0,6,14,41,540,.,.,.,10,51014,33.4,015,N,96.6,015908106,015908
015908107,84,65,68,0,474,1,4,15,28,443,.,.,.,11.3,51199,29.6,015,N,97.2,015908107,015908
015908109,64,57,51,13,382,1,6,20,22,365,.,.,.,11.8,51279,24.3,015,N,95.3,015908109,015908
015908110,65,75,79,7,480,0,13,16,41,452,.,.,.,11,50944,31.7,015,N,96.2,015908110,015908
015908112,80,82,56,0,451,0,7,11,19,443,.,.,.,12.1,51383,27.2,015,N,96.2,015908112,015908
015908113,79,100,94,0,621,0,4,17,33,565,.,.,.,9.4,50062,35.6,015,N,96.5,015908113,015908
015910105,134,88,91,38,670,9,46,7,58,562,.,.,.,11.6,53667,52.5,015,N,96.2,015910105,015910
015910111,88,109,104,12,681,2,25,17,49,596,.,.,.,9,52226,50.7,015,N,96.1,015910111,015910
015910121,105,118,114,45,753,2,93,9,68,579,.,.,.,11.7,54313,53.4,015,N,96.7,015910121,015910
015910125,153,135,152,80,1001,25,209,18,90,623,.,.,.,12.7,55029,59.1,015,N,96.7,015910125,015910
015910139,110,132,100,36,775,96,210,30,57,226,.,.,.,12.7,54658,47.1,015,N,97.3,015910139,015910
015910147,123,99,99,18,837,66,297,55,54,86,.,.,.,9.8,53367,52.6,015,N,97.2,015910147,015910
015912102,100,90,94,22,641,1,47,47,67,490,.,.,.,9.8,54500,43,015,N,96.3,015912102,015912
015912104,63,72,63,6,409,0,4,14,32,376,.,.,.,11.4,56107,29.5,015,N,97.3,015912104,015912
015912105,109,83,103,6,645,1,3,40,37,602,.,.,.,12.9,56480,42.5,015,N,96.4,015912105,015912
015912107,118,113,110,24,707,3,53,35,56,518,.,.,.,10.5,55659,45.3,015,N,96.6,015912107,015912
015912108,103,113,127,5,664,0,65,61,61,499,.,.,.,11.2,55698,42.2,015,N,96.1,015912108,015912
015916106,82,87,77,29,568,1,144,57,44,361,.,.,.,13.2,52520,40.8,015,N,96.9,015916106,015916
015916109,87,68,68,36,469,10,189,35,48,184,.,.,.,10.3,51151,32.4,015,N,97.3,015916109,015916
