,gr3_stu_count,gr4_stu_count,gr5_stu_count,black_stu_count,all_stu_count,asian_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
003906101,34,35,36,2,217,0,198,5,18,139,.,.,.,13.624571627,43499,17.6502,003,N,96.5,003906101,003906
005904101,30,30,36,0,202,0,139,6,13,90,.,.,.,14.052631579,40943,14.5441,005,N,97.6,005904101,005904
006902101,17,32,20,6,168,0,130,0,19,94,.,.,.,13.941176471,41786,14.893,006,N,97.5,006902101,006902
007902101,109,111,124,4,688,0,264,25,59,414,.,.,.,12.394736842,47121,37.4052,007,N,97.3,007902101,007902
008903102,64,47,64,32,394,3,159,8,13,233,.,.,.,12.461538462,47717,24.8909,008,N,96.8,008903102,008903
010902101,89,95,84,3,604,4,380,12,58,368,.,.,.,13.775685914,49673,41.8125,010,N,95.9,010902101,010902
013903101,24,23,30,0,180,0,62,11,21,112,.,.,.,14.3125,43985,14.7507,013,N,96.3,013903101,013903
013905101,50,53,57,7,342,1,114,6,36,214,.,.,.,12.200789128,44688,22.81,013,N,97,013905101,013905
014903103,64,63,57,64,447,5,181,17,68,367,.,.,.,6.7109364776,43832,29.105,014,N,96.4,014903103,014903
014903104,80,84,90,27,538,1,163,19,37,479,.,.,.,9.8,45289,34.5003,014,N,96.7,014903104,014903
014903109,115,100,119,24,709,9,500,64,59,293,.,.,.,12,46603,40.9998,014,N,96.7,014903109,014903
014903116,92,93,96,58,737,18,439,25,76,357,.,.,.,7.4347826087,43905,46.0007,014,N,96.7,014903116,014903
014906102,67,51,59,76,466,6,116,13,40,322,.,.,.,11.706745735,50068,34.1926,014,N,96.6,014906102,014906
014906103,57,70,59,200,501,4,99,8,63,435,.,.,.,8.0789473684,46783,37.0885,014,N,96.1,014906103,014906
014906105,110,94,91,154,759,2,206,9,67,644,.,.,.,10.909090909,48681,52.6277,014,N,95.6,014906105,014906
014906108,74,179,157,211,790,25,348,21,65,295,.,.,.,11.981481481,49385,51.7041,014,N,95.5,014906108,014906
014906109,104,88,58,169,688,9,123,8,59,551,.,.,.,9.5692881764,48374,49.2051,014,N,95.6,014906109,014906
014906110,96,126,98,201,748,20,167,11,61,515,.,.,.,10.245283507,48709,45.6229,014,N,96.3,014906110,014906
014906111,64,62,62,188,502,10,102,13,50,366,.,.,.,10.205134569,48641,33.447,014,N,95.7,014906111,014906
014906112,70,66,54,169,529,1,116,4,54,464,.,.,.,11.734358927,49411,37.9167,014,N,94.7,014906112,014906
014906113,80,73,75,236,613,9,136,6,103,467,.,.,.,11.113872982,48488,39.3777,014,N,95.6,014906113,014906
014906115,97,101,115,110,719,15,357,49,58,342,.,.,.,13.436737232,50296,45.3548,014,N,96.1,014906115,014906
014906117,76,88,72,88,662,20,315,17,53,311,.,.,.,11.659090909,49369,43.0564,014,N,95.2,014906117,014906
014906119,90,99,82,323,710,10,142,17,72,519,.,.,.,10.316281634,48624,47.0986,014,N,95.7,014906119,014906
014906120,130,143,123,490,1023,22,188,7,71,699,.,.,.,6.0361916227,45287,64.689,014,N,95.8,014906120,014906
014906122,129,124,103,280,815,38,156,20,90,445,.,.,.,9.8057143489,48313,53.4818,014,N,96.4,014906122,014906
014906123,73,94,84,144,735,15,336,15,63,557,.,.,.,11.388720948,48750,47.2084,014,N,94.7,014906123,014906
014906124,97,126,110,239,746,16,203,16,49,375,.,.,.,10.54672203,48542,49.5885,014,N,96.5,014906124,014906
014906130,118,96,97,366,755,9,108,15,69,571,.,.,.,6.9051653604,45232,52.2322,014,N,96,014906130,014906
014906131,136,113,135,382,998,17,231,21,98,534,.,.,.,8.9995209324,47634,65.8718,014,N,96,014906131,014906
014906136,137,153,145,206,967,29,393,34,99,303,.,.,.,7.1850853503,45930,56.4383,014,N,96.4,014906136,014906
014906137,96,90,98,109,647,9,318,31,92,394,.,.,.,11.37146213,48175,46.6972,014,N,96,014906137,014906
014906138,146,139,143,351,1051,38,281,27,44,499,.,.,.,6.3930342128,44782,62.1634,014,N,96.1,014906138,014906
014907102,51,51,58,6,366,3,245,28,19,195,.,.,.,11.032786885,40299,23.9453,014,N,97.2,014907102,014907
015819101,8,5,5,19,75,0,7,0,1,62,.,.,.,3.3126395881,55482,5.2836,015,Y,93.9,015819101,015819
015819102,20,12,13,62,140,0,10,0,3,131,.,.,.,5.4093664591,47121,9.733,015,Y,94.2,015819102,015819
015822004,10,15,9,0,87,0,2,0,6,51,.,.,.,0,33636,8.9046,015,Y,.,015822004,015822
015822008,16,14,7,0,132,1,10,0,4,96,.,.,.,0,31684,10.0002,015,Y,95.9,015822008,015822
015904101,82,90,71,2,560,0,18,50,43,456,.,.,.,9.1714285714,48035,33.4326,015,N,96.9,015904101,015904
015904102,107,105,93,0,702,1,19,28,54,622,.,.,.,11.76744186,49782,43.0001,015,N,96.8,015904102,015904
015904104,77,66,64,1,484,0,8,35,44,435,.,.,.,12.272727273,49544,30.2827,015,N,96.6,015904104,015904
015904106,107,92,107,1,785,0,9,20,52,706,.,.,.,10.458333333,49072,44.7636,015,N,96.2,015904106,015904
015904107,91,89,83,1,681,0,12,26,46,600,.,.,.,11.394912159,49577,38.1343,015,N,96.6,015904107,015904
015904108,109,99,102,0,791,0,39,41,60,691,.,.,.,10.880011605,49350,43.2145,015,N,96.1,015904108,015904
015904109,91,88,82,1,564,0,7,20,40,464,.,.,.,12.454545455,50503,30.5286,015,N,96.7,015904109,015904
015904110,81,64,55,0,502,0,5,23,45,446,.,.,.,12.032258065,50249,26.7492,015,N,96.7,015904110,015904
015904113,80,61,68,0,564,3,11,26,39,533,.,.,.,11.179200386,50119,31.6096,015,N,96.5,015904113,015904
015904114,59,55,59,2,488,1,14,34,35,417,.,.,.,10.612903226,49466,28.3588,015,N,97,015904114,015904
015904116,76,72,93,5,625,0,7,26,49,589,.,.,.,8.824512153,48576,31.8879,015,N,96.2,015904116,015904
015905104,104,75,88,2,643,0,3,19,52,630,.,.,.,8.661826573,48618,35.8077,015,N,96.7,015905104,015905
015905106,100,91,89,7,608,1,0,20,43,562,.,.,.,8.8146855677,48553,37.5225,015,N,95.7,015905106,015905
015905108,85,87,82,0,561,0,4,23,44,552,.,.,.,15.409482488,51214,35.5812,015,N,96.4,015905108,015905
015905109,94,80,64,17,554,0,1,20,41,544,.,.,.,11.519671496,62834,30.6273,015,N,96.2,015905109,015905
015905110,103,95,79,7,616,0,3,38,58,587,.,.,.,11.438217265,48960,36.1753,015,N,96.4,015905110,015905
015905112,105,115,85,1,693,0,1,45,67,635,.,.,.,12.487785791,50510,42.0249,015,N,95.8,015905112,015905
015905116,97,96,100,11,641,0,2,28,44,595,.,.,.,10.355555556,49256,40.2272,015,N,95.7,015905116,015905
015905117,95,98,91,21,591,0,6,33,33,558,.,.,.,11.406331685,49333,32.9336,015,N,96.8,015905117,015905
015906101,101,76,83,93,588,14,269,27,31,87,.,.,.,15.721884893,52202,40.3993,015,N,97.4,015906101,015906
015907103,79,74,59,18,514,3,5,9,61,503,.,.,.,6.6333333333,46651,29.7425,015,N,95.8,015907103,015907
015907105,58,69,73,18,514,3,29,7,46,461,.,.,.,12.068965517,49137,28.9993,015,N,96.2,015907105,015907
015907106,82,79,68,6,564,1,20,27,51,536,.,.,.,10.71875,48937,31.5434,015,N,96.7,015907106,015907
015907110,88,70,72,42,716,0,11,5,32,712,.,.,.,6.8636363636,46712,43.2885,015,N,97.2,015907110,015907
015907111,93,84,62,15,597,0,2,5,26,585,.,.,.,9.2,47948,34.9966,015,N,96.9,015907111,015907
015907112,94,88,66,0,591,1,4,11,40,544,.,.,.,13.8,51385,34.8351,015,N,96.9,015907112,015907
015907116,104,86,73,1,621,0,6,15,38,589,.,.,.,13.571428571,50100,34.997,015,N,96.8,015907116,015907
015907118,128,129,135,8,807,0,0,3,63,795,.,.,.,15.425531915,52237,46.9952,015,N,96.2,015907118,015907
015907119,59,65,46,30,391,2,4,4,39,382,.,.,.,11.608695652,49762,22.4351,015,N,96.1,015907119,015907
015907121,90,103,68,1,613,0,12,19,42,605,.,.,.,11.473684211,48810,37.9957,015,N,96.6,015907121,015907
015907123,43,57,55,4,390,1,3,8,35,379,.,.,.,16.090909091,51513,21.4316,015,N,97,015907123,015907
015907125,61,56,58,78,617,1,20,8,41,599,.,.,.,10.147058824,48793,33.5665,015,N,96.4,015907125,015907
015907126,83,80,79,2,528,0,13,9,32,505,.,.,.,16.733333333,52931,29.6376,015,N,97.8,015907126,015907
015907129,125,113,123,1,816,1,6,45,52,764,.,.,.,13.020833333,50062,47.4669,015,N,96.8,015907129,015907
015907132,65,59,61,30,520,0,8,10,34,509,.,.,.,12.15625,49499,31.6463,015,N,97,015907132,015907
015907134,117,107,121,18,740,1,20,13,37,684,.,.,.,14.25,51355,39.9998,015,N,96.4,015907134,015907
015907135,114,106,109,14,715,0,17,20,49,683,.,.,.,12.243902439,49796,40.3602,015,N,96.2,015907135,015907
015907137,83,60,75,200,555,1,18,11,53,530,.,.,.,9.3548387097,48326,31.0006,015,N,96.5,015907137,015907
015907139,44,51,39,2,344,0,4,5,36,322,.,.,.,14.136363636,51729,21.3627,015,N,96.4,015907139,015907
015907143,43,30,39,1,280,1,4,15,25,269,.,.,.,10.777777778,49108,17.3508,015,N,96.8,015907143,015907
015907146,33,20,26,18,216,2,8,3,24,210,.,.,.,17.941176471,52847,16.3609,015,N,96.8,015907146,015907
015907147,81,63,57,38,494,1,7,7,55,484,.,.,.,9.46875,48325,31.9995,015,N,96.7,015907147,015907
015907148,73,89,82,7,614,1,7,3,38,581,.,.,.,14.485714286,51584,34.9988,015,N,96.6,015907148,015907
015907153,55,60,49,61,381,0,9,8,48,367,.,.,.,7.5833333333,47514,23.6063,015,N,96.3,015907153,015907
015907155,117,115,106,1,705,2,5,19,53,678,.,.,.,12.333333333,50155,41.7489,015,N,97,015907155,015907
