,gr9_stu_count,gr10_stu_count,gr11_stu_count,gr12_stu_count,black_stu_count,all_stu_count,white_stu_count,gifted_stu_count,spec_ed_stu_count,econ_dis_stu_count,eng_class_size,math_class_size,sci_class_size,teacher_experience,teacher_avg_salary,teacher_fte,county_num,charter_school,attendance,CAMPUS,DISTRICT
001902001,53,32,48,30,29,163,124,15,35,36,10.8,11,11.5,11.9,33867,17.8,001,N,95.8,001902001,001902
001903001,102,100,97,68,31,367,322,17,87,94,15,15.1,16.3,14.9,35588,27.7,001,N,94.7,001903001,001903
001904001,61,55,62,60,30,238,197,20,37,59,13.7,11.8,12,11.4,33989,23,001,N,95.8,001904001,001904
001907001,257,252,207,179,289,895,402,48,106,426,18.7,18.1,17.3,13.4,37226,69.2,001,N,94.2,001907001,001907
001908002,163,136,118,122,83,539,402,31,103,161,18.6,17,17.4,13.8,36256,36,001,N,95.1,001908002,001908
002901001,256,224,214,252,24,946,463,96,152,281,20.2,22.3,24,13.8,44560,64.8,002,N,96.2,002901001,002901
003902001,177,171,169,136,27,653,497,54,88,283,18.8,15.6,17.3,11.8,35480,51.7,003,N,95.6,003902001,003902
003902004,2,1,3,5,0,11,11,0,1,1,7,5,.,10.3,43212,5.9,003,N,82.2,003902004,003902
003903001,672,582,539,439,738,2232,971,198,391,936,19.2,16.5,17.5,13.2,37128,163.4,003,N,95.3,003903001,003903
003903004,2,5,20,13,16,40,15,0,5,14,.,.,.,.,.,.,003,N,82.1,003903004,003903
003904001,144,120,94,101,26,459,418,41,99,137,15.8,19.4,20.9,12.7,35980,37.9,003,N,94.9,003904001,003904
003904005,9,12,18,34,4,73,66,0,19,39,.,.,.,19,37580,5,003,N,94.9,003904005,003904
003905001,158,139,119,107,77,523,250,29,91,303,19,18.6,18.6,15.4,40649,39.7,003,N,94,003905001,003905
003905004,3,0,2,4,1,9,6,0,1,0,.,.,.,.,.,.,003,N,.,003905004,003905
003907001,131,131,98,87,16,447,375,14,103,150,14.6,17.2,17.2,12.1,34632,34.4,003,N,95.3,003907001,003907
003907004,4,2,6,13,1,25,22,0,3,6,.,.,.,.,.,.,003,N,87,003907004,003907
004901001,276,272,260,202,21,1010,639,78,150,383,18.1,19.3,19.9,13.4,37637,71.8,004,N,94.2,004901001,004901
005902001,69,67,79,64,0,279,272,22,23,40,11.8,12.1,12.9,14.5,36518,28.4,005,N,96.9,005902001,005902
007901001,34,30,30,27,0,121,24,13,26,76,13.2,11.4,8.9,14.3,41443,13.8,007,N,89.3,007901001,007901
007902001,112,95,80,81,1,368,163,38,64,188,17.1,16.1,16.1,14.4,41074,30.1,007,N,93.8,007902001,007902
007904001,125,88,114,81,1,408,127,48,64,238,16.5,18.7,18.7,8.7,36577,31.3,007,N,94.4,007904001,007904
007905001,268,241,233,208,13,950,392,91,219,452,16.1,15,18.9,12.2,38462,73.3,007,N,92.7,007905001,007905
007906001,128,141,117,107,0,493,90,36,107,300,14.3,14.2,17.5,11.8,35614,42.7,007,N,93.2,007906001,007906
008901001,193,167,161,184,96,705,523,90,107,152,18.3,19.4,19,13.8,39655,47.2,008,N,95.7,008901001,008901
008902001,215,174,144,139,96,672,393,44,101,233,17.2,19.4,16.7,14.7,42608,56,008,N,94.6,008902001,008902
008903001,71,61,64,73,38,269,154,10,47,82,16.1,15.9,14.3,12.3,36397,22.7,008,N,95.1,008903001,008903
009901001,113,98,108,89,4,408,178,50,44,192,18.3,16.1,15.7,13,36125,32.3,009,N,95.6,009901001,009901
009901002,1,2,2,1,0,6,0,0,0,4,.,.,.,.,.,.,009,N,59.1,009901002,009901
010902001,303,240,179,156,9,878,678,91,136,277,20.7,19.6,22.2,12,37402,62.2,010,N,94.7,010902001,010902
011901001,623,553,471,370,201,2017,1206,125,272,776,25,22.9,24.2,11.2,41140,126.5,011,N,92.7,011901001,011901
011901022,4,13,24,17,3,58,30,0,6,36,.,.,.,16.4,43064,6.2,011,N,78.1,011901022,011901
011902001,298,228,199,209,119,934,446,58,131,394,21.2,23.7,19.9,11.4,41242,65.4,011,N,93.2,011902001,011902
011902004,1,6,7,8,2,22,7,0,5,7,.,.,.,.,.,.,011,N,97.4,011902004,011902
011904002,166,138,115,100,54,519,368,35,85,181,17.4,18.5,18.3,11.9,37881,43.6,011,N,94.8,011904002,011904
012901001,62,58,40,40,10,200,161,10,30,81,13,12.3,16.9,10.3,33802,22.9,012,N,95.8,012901001,012901
013901001,331,258,279,242,30,1110,298,69,102,560,21.2,20,21.5,10.3,38375,72.1,013,N,93.8,013901001,013901
013901002,3,4,16,8,1,31,2,0,1,21,.,.,.,7.9,38116,6.7,013,N,87.3,013901002,013901
013905001,67,44,56,53,3,220,85,23,34,112,17,16.6,17.3,12.5,37087,14.9,013,N,94.1,013905001,013905
014801001,28,48,38,47,57,161,58,0,24,24,13,12.1,6.6,7.9,28970,8,014,Y,82.9,014801001,014801
014802001,40,34,31,29,63,134,37,0,14,77,.,.,.,7.7,24875,2,014,Y,74,014802001,014802
014901001,93,93,72,73,2,331,284,41,77,78,15.7,16.5,15.2,15,38120,24.3,014,N,95.3,014901001,014901
014903001,602,533,462,450,108,2047,1458,225,306,699,22.5,25,24.8,13,39151,126.4,014,N,94.4,014903001,014903
014903005,10,21,36,40,2,107,77,0,3,51,.,.,.,15,40183,7.1,014,N,91.4,014903005,014903
014905001,39,21,46,36,6,142,115,17,14,48,18,13,12.4,13.7,39240,13.9,014,N,95.4,014905001,014905
014906001,551,391,340,317,773,1599,439,120,288,691,22,22.1,25.2,13.2,45159,120.5,014,N,96.7,014906001,014906
014906002,586,398,412,356,679,1752,629,178,255,579,24.4,26.9,25.6,11.9,43506,126.3,014,N,96.5,014906002,014906
014906004,16,13,8,1,22,38,8,0,9,20,4.8,6.4,6.2,13,43988,9.8,014,N,92.7,014906004,014906
014906006,1,8,18,45,35,72,15,0,1,72,9,4.7,4.5,18,46697,11,014,N,87.4,014906006,014906
014906007,639,523,492,466,650,2120,1015,289,284,490,21.8,23,24.6,10,41156,150.3,014,N,94.4,014906007,014906
014906008,713,464,481,401,1016,2059,549,144,281,746,23.8,23.3,23.6,8,39637,140.5,014,N,96.8,014906008,014906
014907001,74,57,79,76,7,286,224,43,47,77,14.5,14.2,14.8,13,37355,24.8,014,N,96.1,014907001,014907
014908001,110,90,84,61,1,345,301,39,41,46,15.6,17.2,17,9.6,34586,26.9,014,N,96.8,014908001,014908
014909002,791,512,466,358,608,2127,988,198,375,817,20.8,20.1,20.3,12,37432,149.4,014,N,93.9,014909002,014909
014910001,134,84,93,80,1,391,312,45,72,89,19.5,17.7,16.6,12.6,37157,27.8,014,N,96.2,014910001,014910
015801001,51,46,55,43,0,195,5,0,18,170,17,13.9,15.4,9.5,34477,11.4,015,Y,74.3,015801001,015801
015801002,40,45,47,21,14,153,40,0,15,41,.,.,.,1.9,32074,8.7,015,Y,92.9,015801002,015801
015807001,75,52,64,57,48,248,66,0,41,132,16.6,19.9,25,2.8,35744,15,015,Y,83.9,015807001,015807
015807002,70,67,78,69,110,284,31,0,43,149,38.8,.,.,0.6,30471,8.1,015,Y,91.3,015807002,015807
015807004,44,39,50,29,9,162,28,0,28,83,23.3,29,15.7,3.4,27682,6.3,015,Y,86.6,015807004,015807
015814001,81,81,72,28,3,262,11,0,31,214,16.8,17,16,9.9,25470,9,015,Y,84.6,015814001,015814
015816001,51,45,27,12,2,135,13,3,21,125,15,15,15,5.3,27000,9,015,Y,89.7,015816001,015816
015817001,126,134,90,37,7,387,22,0,70,284,31.3,38.5,40,2.8,31783,16.7,015,Y,72.6,015817001,015817
015823001,50,47,26,26,3,149,2,0,19,134,11.5,11.2,10.8,12.2,24221,14,015,Y,72.9,015823001,015823
015901001,360,329,340,315,25,1344,967,338,115,199,19.5,20.1,19.8,14.7,46547,96,015,N,94.6,015901001,015901
015904001,684,483,363,348,5,1878,39,134,362,1734,21.7,20.4,22.1,11.8,40877,119.6,015,N,92.2,015904001,015904
015904002,585,438,372,328,9,1723,142,195,240,1530,22.1,18.8,23.5,12.3,41747,110.6,015,N,92.9,015904002,015904
015904003,17,9,7,3,0,36,3,0,13,32,.,4.5,.,9.2,39380,5.2,015,N,82.9,015904003,015904
015904004,1,28,50,43,0,122,10,0,8,110,.,.,.,11.5,40314,14.7,015,N,83.2,015904004,015904
015904010,6,2,3,3,0,14,1,0,14,9,.,.,.,2.7,35023,3,015,N,79.3,015904010,015904
015905002,487,443,289,267,16,1486,15,128,276,1486,24.2,24.9,24.1,12.3,41797,92.4,015,N,90.8,015905002,015905
015905003,471,407,288,268,27,1434,15,141,251,1253,22.8,28.3,19,14.1,43024,85.4,015,N,92,015905003,015905
015905006,12,23,55,100,4,190,6,4,17,159,49.7,36.1,30.8,11.9,40727,10.3,015,N,74.4,015905006,015905
015906001,84,84,68,66,66,302,183,36,32,31,16.1,16.9,15.8,16.7,48660,26.7,015,N,96.3,015906001,015906
015907001,571,484,435,408,99,1898,68,322,211,1544,22.3,20.7,21.9,13.1,46210,111.5,015,N,92.9,015907001,015907
015907002,414,304,322,273,3,1313,23,101,224,1053,24.3,25.8,24.2,16.2,48386,84.3,015,N,92.8,015907002,015907
015907003,583,418,327,355,39,1683,56,157,254,1525,22.3,20.8,21.7,13.4,46247,109,015,N,91.7,015907003,015907
015907004,534,431,428,335,123,1728,33,124,231,1388,21.3,20.1,25.3,13.7,45318,107.7,015,N,91.7,015907004,015907
015907005,720,552,488,421,192,2181,210,195,314,1787,21.6,22.4,23.9,17.4,48298,127.4,015,N,93.1,015907005,015907
015907006,414,255,236,235,726,1140,46,58,263,892,22.5,20.5,21.2,14.3,46512,81.2,015,N,91.8,015907006,015907
